Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Jackson, N.J.; Andreadis, K.; Ancker, J.S.","Jackson, Nicholas J. (59702887800); Andreadis, Katerina (57211687029); Ancker, Jessica S. (55916074200)",59702887800; 57211687029; 55916074200,Large Language Models and Communication of Medical Probabilities,2025,JAMA Network Open,8,12,e2550449,,,0,10.1001/jamanetworkopen.2025.50449,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025062033&doi=10.1001%2Fjamanetworkopen.2025.50449&partnerID=40&md5=47465ca6f299a827e46ebc5bad31dd0a,[No abstract available],,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105025062033
"Diamond, C.J.; Elias, J.E.; Lee, R.Y.; Jia, H.; Abramson, E.L.; Ancker, J.S.; Bostwick, S.; Dwain Cato, K.D.; Trepp, R.; Lewis, R.A.; Crimmins, T.J.; Collins, S.C.","Diamond, Courtney J. (57226708490); Elias, Jonathan E. (57216520227); Lee, Rachel Yeji (57682631700); Jia, Haomiao (7202381396); Abramson, Erika L. (24435990700); Ancker, Jessica S. (55916074200); Bostwick, Susan B. (6506296739); Dwain Cato, Kenrick Dwain (35071035400); Trepp, Richard C. (57204500397); Lewis, Rachel A. (58374556500); Crimmins, Timothy J. (57218253281); Collins, Sarah A. (57022911000)",57226708490; 57216520227; 57682631700; 7202381396; 24435990700; 55916074200; 6506296739; 35071035400; 57204500397; 58374556500; 57218253281; 57022911000,"Evaluating Clinical Staff Perceptions of EHR Usability, Satisfaction, and Adaptation to a New EHR: A Multisite, Pre-Post Implementation Study",2025,Applied Clinical Informatics,16,5,,1368,1380,0,10.1055/a-2701-4543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019099561&doi=10.1055%2Fa-2701-4543&partnerID=40&md5=db6257868ec5e9b2885ffd9e39e24439,"Background The adoption of electronic health records (EHRs) into clinical practice has changed clinical workflows and, in some cases, increased documentation burden and clinician burnout. Identifying factors associated with perceived EHR usability after the implementation of a new EHR may guide efforts to reduce burden and burnout. Objectives This study measured: (1) group-level perceptions of EHR usability pre- and postimplementation of a new EHR; (2) adaptation to the new EHR; and (3) the effects of clinical role, setting, and specialty on these measures. Methods Pre- and postimplementation surveys were sent to clinical staff at two academic medical centers (AMC A and AMC B), each part of the same Northeast health system where one instance of a new EHR was implemented starting in 2020. The surveys measured constructs from the Health Information Technology Usability Evaluation Scale (Health-ITUES) and Health Information Technology Adaptation survey. Unpaired t -tests assessed changes in group-level scores from pre- to postimplementation, and multiway analyses of variance with post hoc pairwise t -tests with Bonferroni's correction were used to assess differences in scores by clinical role, setting, and specialty. Results Average Perceived Usefulness (PU) and adaptation scores were higher at AMC B than at AMC A, but similar pre- to postimplementation trends were observed at both sites. Perceptions of Quality of Work Life (QWL), PU, and User Control (UC) improved across both sites postimplementation, whereas Perceived Ease of Use and Cognitive Support and Situational Awareness declined. Ordering Providers, Registered Nurses, clinicians practicing in the Emergency Department setting, and Emergency Medicine, and Critical/Intensive Care specialists had statistically different scores across various constructs. Conclusion After implementation of a new EHR system at two AMCs, clinical staff perceptions of quality of work life (QWL), perceived usefulness (PU), and user control (UC) generally improved, although perceptions of perceived ease of use and cognitive support declined. © 2025. Thieme. All rights reserved.",burnout; cognitive support; electronic health records and systems; implementation and deployment; interface usability; user satisfaction,Article,Final,,Scopus,2-s2.0-105019099561
"Flory, J.H.; Vertosick, E.A.; Kuperman, G.; Ancker, J.S.; Kim, S.; Fitzpatrick, C.; Gould, K.; Weiss, E.; Vickers, A.J.","Flory, James H. (7006862896); Vertosick, Emily Ann (55550212000); Kuperman, Gilad J. (7007145367); Ancker, Jessica S. (55916074200); Kim, Scott Y.H. (55083192000); Fitzpatrick, Christine (58535339900); Gould, Kimberly (60071282500); Weiss, Everett (58170214800); Vickers, Andrew J. (35417733500)",7006862896; 55550212000; 7007145367; 55916074200; 55083192000; 58535339900; 60071282500; 58170214800; 35417733500,Bedtime sliding scale insulin is unnecessary for hospitalized patients with bedtime glucose < 300 mg/dL: A nudge-based quasi-experiment,2025,Diabetes Research and Clinical Practice,228,,112428,,,0,10.1016/j.diabres.2025.112428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014296972&doi=10.1016%2Fj.diabres.2025.112428&partnerID=40&md5=87dc1d1b8c0fb85a9eab98ad2627a9f0,"Aims: Bedtime rapid-acting insulin is commonly given to hospitalized patients with moderate hyperglycemia. Its effectiveness has been evaluated in one randomized controlled trial (RCT), the results of which might not generalize to specific populations such as cancer patients. Methods: An order set encouraging use of rapid-acting bedtime insulin was replaced with one defaulting to rapid-acting bedtime insulin only for glucoses ≥300 mg/dL, deployed over a two-month period in which approximately half of providers were arbitrarily assigned to the new order set. Analysis assessed the effect of the new order set on whether a less-aggressive bedtime sliding scale was actually ordered and mean morning glucose levels. Results: An inpatient insulin order set was placed for 458 patients. Exposure to the new order set was associated with a 91 % (95 % CI 87 % to 95 %) increase in use of the less-aggressive sliding scale. Mean morning glucose decreased by 16 mg/dL (95 % CI −16 to −1.1 mg/dL, p = 0.035). Conclusion: These results show it is unnecessary to give rapid-acting bedtime insulin for glucoses <300 mg/dL. Further research should be conducted using changes in the order set as a way of conducting well-controlled trials at low cost with minimum disruption to usual clinical care. © 2025",,Article,Final,,Scopus,2-s2.0-105014296972
"Zikmund-Fisher, B.J.; Benda, N.C.; Ancker, J.S.","Zikmund-Fisher, Brian J. (7801355675); Benda, Natalie C. (56501780400); Ancker, Jessica S. (55916074200)",7801355675; 56501780400; 55916074200,Evidence on Methods for Communicating Health-Related Probabilities: Comparing the Making Numbers Meaningful Systematic Review to the 2021 IPDAS Evidence Paper Recommendations,2025,Medical Decision Making,45,7,,794,810,1,10.1177/0272989X251346811,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013258319&doi=10.1177%2F0272989X251346811&partnerID=40&md5=b9fa94d3d3656832d20635d082faf16e,"Purpose: To summarize the degree to which evidence from our recent Making Numbers Meaningful (MNM) systematic review of the effects of data presentation format on communication of health numbers supports recommendations from the 2021 International Patient Decision Aids Standards (IPDAS) Collaboration papers on presenting probabilities. Methods: The MNM review generated 1,119 distinct findings (derived from 316 papers) related to communication of probabilities to patients or other lay audiences, classifying each finding by its relation to audience task, type of stimulus (data and data presentation format), and up to 10 distinct sets of outcomes: identification and/or recall, contrast, categorization, computation, probability perceptions and/or feelings, effectiveness perceptions and/or feelings, behavioral intentions or behavior, trust, preference, and discrimination. Here, we summarize the findings related to each of the 35 IPDAS paper recommendations. Results: Strong evidence exists to support several IPDAS recommendations, including those related to the use of part-to-whole graphical formats (e.g., icon arrays) and avoidance of verbal probability terms, 1-in-X formats, and relative risk formats to prevent amplification of probability perceptions, effectiveness perceptions, and/or behavioral intentions as well as the use of consistent denominators to improve computation outcomes. However, the evidence base appears weaker and less complete for other IPDAS recommendations (e.g., recommendations regarding numerical estimates in context and evaluative labels). The IPDAS papers and the MNM review agree that both communication of uncertainty and use of interactive formats need further research. Conclusions: The idea that no one visual or numerical format is optimal for every probability communication situation is both an IPDAS panel recommendation and foundational to the MNM project’s design. Although no MNM evidence contradicts IPDAS recommendations, the evidence base needed to support many common probability communication recommendations remains incomplete. Highlights: The Making Numbers Meaningful (MNM) systematic review of the literature on communicating health numbers provides mixed support for the recommendations of the 2021 International Patient Decision Aids Standards (IPDAS) evidence papers on presenting probabilities in patient decision aids.Both the IPDAS papers and the MNM project agree that no single visual or numerical format is optimal for every probability communication situation.The MNM review provides strong evidentiary support for IPDAS recommendations in favor of using part-to-whole graphical formats (e.g., icon arrays) and consistent denominators.The MNM review also supports the IPDAS cautions against verbal probability terms and 1-in-X formats as well as its concerns about the potential biasing effects of relative risk formats and framing.MNM evidence is weaker related to IPDAS recommendations about placing numerical estimates in context and use of evaluative labels. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages (https://us.sagepub.com/en-us/nam/open-access-at-sage).",data visualization; health communication; patient education as topic; Risk,Review,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105013258319
"Benda, N.C.; Zikmund-Fisher, B.J.; Ancker, J.S.","Benda, Natalie C. (56501780400); Zikmund-Fisher, Brian J. (7801355675); Ancker, Jessica S. (55916074200)",56501780400; 7801355675; 55916074200,How to Report Research on the Communication of Health-Related Numbers: The Research on Communicating Numbers (ReCoN) Guidelines,2025,Medical Decision Making,45,7,,826,833,1,10.1177/0272989X251346799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010357761&doi=10.1177%2F0272989X251346799&partnerID=40&md5=01aadc54708a0c00f158a26f06b7c910,"Background: Research with lay audiences (e.g., patients, the public) can inform the communication of health-related numerical information. However, a recent systematic review (Making Numbers Meaningful) highlighted several common issues in the literature that impair readers’ ability to evaluate and replicate these studies. Purpose: To create a set of guidelines for reporting research regarding the research on communicating numbers to lay audiences for health-related purposes. Reporting Recommendations: We present 6 common reporting issues from research on communicating numbers that pertain to the background motivating the study, experimental design and analysis reporting, description of the outcomes, and reporting of the data presentation formats. To address these issues, we propose a set of 7 reporting guidelines including 1) specifying how study objectives address a gap in evidence on research on communicating numbers, 2) clearly reporting all combinations of data presentation formats (experimental conditions) compared, 3) providing verbatim examples of the data that were presented to the audience, 4) describing whether or not participants had access to the data presentation formats while outcomes were assessed, 5) reporting the wording of all outcome measures, 6) using standardized terms for both outcomes and data presentation formats, and 7) ensuring that broad outcome concepts such as gist, comprehension, or knowledge are concretely defined. Conclusions: Future studies involving research on communicating health-related numbers should use these guidelines to improve the quality of reporting and ease of evidence synthesis in future efforts. Highlights: Our systematic review allowed us to exhaustively identify and enumerate several common reporting issues from research on communicating numbers that make it challenging to synthesize evidence. Reporting issues involved not including the background motivating the gap the study addresses, insufficiently describing experimental designs and analyses, and failing to report information regarding the outcomes measured. We propose 7 reporting guidelines for future research on communicating numbers to address the issues detected:1. Specification of how study objectives address a gap in evidence on research communicating numbers2. Clearly reporting all combinations of data presentation format elements compared3. Providing verbatim examples of the data presentation formats4. Describing whether participants had access to the data presentation formats while outcomes were assessed5. Reporting the wording of all outcome measures6. Using standardized terms for both outcomes and data presentation formats7. Ensuring that broad outcome concepts such as gist, comprehension, or knowledge are concretely defined Implementation of these guidelines will facilitate knowledge synthesis of research on communicating numbers and support creating evidence-based guidelines of best practices for communicating health-related numbers to lay audiences. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access pages (https://us.sagepub.com/en-us/nam/open-access-at-sage).",health communication; health literacy; numeric communication; reporting guidelines; risk communication; scholarly communication,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105010357761
"Reese, T.J.; Padi-Adjirackor, N.A.; Griffith, K.N.; Steitz, B.; Patrick, S.W.; Leech, A.A.; Wiese, A.D.; Wright, A.T.; Shah, M.V.; Ancker, J.S.","Reese, Thomas S. (35582358400); Padi-Adjirackor, Nana Addo (58095553100); Griffith, Kevin N. (57195323796); Steitz, Bryan D. (57096135600); Patrick, Stephen W. (57217676222); Leech, Ashley A. (56080155100); Wiese, Andrew David (55479742800); Wright, Adam T. (16644142900); Shah, Mauli V. (58920780600); Ancker, Jessica S. (55916074200)",35582358400; 58095553100; 57195323796; 57096135600; 57217676222; 56080155100; 55479742800; 16644142900; 58920780600; 55916074200,Comparative effectiveness of buprenorphine adherence with telemedicine vs. in-person for rural and urban patients,2025,Journal of the American Pharmacists Association,65,2,102318,,,0,10.1016/j.japh.2024.102318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215434880&doi=10.1016%2Fj.japh.2024.102318&partnerID=40&md5=02f044ddae12b679d7fdc296a6961aa0,"Background: Policy changes during the COVID-19 pandemic allowed buprenorphine to be prescribed for opioid use disorder via telemedicine without an in-person visit. A recently proposed change will limit buprenorphine access to 30 days without an in-person visit. Given that people living in rural areas may be disproportionally impacted by this change, we sought to better understand how buprenorphine adherence may be impacted by requiring in-person visits. Objective: Compare buprenorphine adherence after telemedicine to adherence after in-person visits for patients who live in rural and urban areas. Methods: In this retrospective cohort study, we used electronic health record data from a large medical center. The cohort included all adult patients prescribed buprenorphine for opioid use disorder during 2017–2022. The primary outcome was adherence, characterized by the Medication Possession Ratio (MPR) and gaps in buprenorphine treatment at 30 and 180 days. We conducted a longitudinal analysis at visit level, stratified by patient urbanicity, and controlled for patient, prescriber, prescription, and setting characteristics. Results: From 511 patients, we followed 3302 in-person and 519 telemedicine visits. Compared to in-person visits we observed no difference in the adherence following telemedicine visits overall. However, telemedicine was associated with higher MPR for rural patients (30 days: adjusted marginal effects [AME], 3.7%; 95% CI, 2.0–5.5; P < 0.001 and 180 days: AME, 8.5%; 95% CI 5.7–11.3; P < 0.001) and fewer gaps (30 days: AME, −6.7%; 95% CI, −9.9 to −0.1; P < 0.001 and 180 days: AME, −9.4%; −14.0 to −4.5; P < 0.001) compared to in-person visits. Conclusion: These findings suggest that telemedicine is a viable alternative to in-person visits, especially for patients living in rural areas, which should help guide future policies that preserve or increase access to buprenorphine in a manner that can reduce barriers for patients. © 2024 American Pharmacists Association®",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85215434880
"Ancker, J.S.","Ancker, Jessica S. (55916074200)",55916074200,Trusting Health Care Systems to Use Artificial Intelligence,2025,JAMA Network Open,8,2,e2460634,,,5,10.1001/jamanetworkopen.2024.60634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218836718&doi=10.1001%2Fjamanetworkopen.2024.60634&partnerID=40&md5=1bac941f70a0031f25be99c616b7a652,[No abstract available],,Note,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85218836718
"Flory, J.H.; Ancker, J.S.; Kim, S.; Kuperman, G.; Petrov, A.; Vickers, A.","Flory, James H. (7006862896); Ancker, Jessica S. (55916074200); Kim, Scott Y.H. (55083192000); Kuperman, Gilad J. (7007145367); Petrov, Aleksandr (59537477700); Vickers, Andrew Julian (57211753754)",7006862896; 55916074200; 55083192000; 7007145367; 59537477700; 57211753754,Large Language Model GPT-4 Compared to Endocrinologist Responses on Initial Choice of Glucose-Lowering Medication Under Conditions of Clinical Uncertainty,2025,Diabetes Care,48,2,,185,192,7,10.2337/dc24-1067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216544887&doi=10.2337%2Fdc24-1067&partnerID=40&md5=73d59ed1d567202cdd668cacd82cc9d2,"OBJECTIVE To explore how the commercially available large language model (LLM) GPT-4 compares to endocrinologists when addressing medical questions when there is uncertainty regarding the best answer. RESEARCH DESIGN AND METHODS This study compared responses from GPT-4 to responses from 31 endocrinolo-gists outcome was the choice between metformin and other treatments. RESULTS With a simple prompt, GPT-4 chose metformin in 12% (95% CI 7.9–17%) of responses, compared with 31% (95% CI 23–39%) of endocrinologist responses. After modifying the prompt to encourage metformin use, the selection of metformin by GPT-4 increased to 25% (95% CI 22–28%). GPT-4 rarely selected metformin in patients with impaired kidney function, or a history of gastrointestinal distress (2.9% of responses, 95% CI 1.4–5.5%). In contrast, endocrinologists often prescribed metformin even in patients with a history of gastrointestinal distress (21% of responses, 95% CI 12–36%). GPT-4 responses showed low variability on repeated runs except at intermediate levels of kidney function. CONCLUSIONS In clinical scenarios with no single right answer, GPT-4’s responses were reasonable, but differed from endocrinologists’ responses in clinically important ways. Value judgments are needed to determine when these differences should be addressed by adjusting the model. We recommend against reliance on LLM output until it is shown to align not just with clinical guidelines but also with patient and clinician preferen-ces, or it demonstrates improvement in clinical outcomes over standard of care. © 2024 by the American Diabetes Association.",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85216544887
"Suresh, U.; Ancker, J.S.; Salmi, L.; Diamond, L.; Rosenbloom, T.; Steitz, B.","Suresh, Uday (58816779400); Ancker, Jessica S. (55916074200); Salmi, Liz (57205927261); Diamond, Lisa C. (25923783000); Rosenbloom, Samuel Trent (7003853908); Steitz, Bryan D. (57096135600)",58816779400; 55916074200; 57205927261; 25923783000; 7003853908; 57096135600,Advancing cancer care through digital access in the USA: a state-of-the-art review of patient portals in oncology,2025,BMJ Oncology,4,1,e000432,,,5,10.1136/bmjonc-2024-000432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214485324&doi=10.1136%2Fbmjonc-2024-000432&partnerID=40&md5=461989e11f89c48f4ab42291ef983ed9,"Patient portal use among patients with cancer has increased significantly in recent years. This state-of-the-art review seeks to address and analyse literature involving patient portal use by patients with cancer and their care partners. In this review, we queried articles from PubMed published between January 2018 and April 2024 that describe recent trends and the current presence of portals in cancer care for patients, proxy users and/or care partners. We searched for articles addressing three overarching themes: (1) trends and disparities in portal adoption and use among patients with cancer, (2) use of specific portal components and functions in cancer care and (3) associations between portal use and cancer-related outcomes. Our search identified 278 unique studies, of which 82 were relevant empiric studies that met inclusion criteria and were included in this review. These papers aligned with 12 subthemes, including disparities in patient portal access, growing use of telemedicine via patient portal and patient access to immediately available to electronic health information. Our findings indicate that patient portals play an increasingly important role in helping patients manage their cancer care, despite few disparities that contribute to inequitable use. However, despite consistent growth in use over recent years, there are many areas for improvement in how portals support patients with cancer and a demand for functionality to continually evolve with patient needs. © Author(s) (or their employer(s)) 2025.",Health Services Research,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85214485324
"Sharko, M.; Ancker, J.S.; Sharma, M.; Davis, M.E.; Patra, B.G.; Pathak, J.","Sharko, Marianne (57204237450); Ancker, Jessica S. (55916074200); Sharma, Mohit Manoj (57218951139); Davis, Meghan E. (60100840400); Patra, Braja Gopal (55247543000); Pathak, Jyotishman (8843296000)",57204237450; 55916074200; 57218951139; 60100840400; 55247543000; 8843296000,Pregnant Patients are Less Likely to Disclose Substance USE if They Perceive Stigma in Their Clinic Notes,2025,Journal of General Internal Medicine,,,,,,0,10.1007/s11606-025-09869-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016196054&doi=10.1007%2Fs11606-025-09869-w&partnerID=40&md5=8bfd5371b605bb791155d4c74eca3cc6,[No abstract available],,Article,aip,,Scopus,2-s2.0-105016196054
