Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Wang, S.; Song, R.; Lochard, L.M.; Fan, J.; Li, Y.; Kundert-Obando, K.; Martin, C.; Goodale, S.E.; Pourmotabbed, H.; Harding, J.M.; Lee, T.; Li, C.; Zhang, S.; Bayrak, R.G.; Bolt, T.; Nomi, J.S.; Uddin, L.Q.; Chen, J.E.; Mather, M.; Chang, C.","Wang, Shiyu (58158341200); Song, Richard (59964688000); Lochard, Laurent M. (59700431700); Fan, Jiawen (59549282500); Li, Yamin (57214236515); Kundert-Obando, Kimberly (60389711700); Martin, Caroline G. (57288429700); Goodale, Sarah E. (57203140921); Pourmotabbed, Haatef (57214891270); Harding, Jeffrey Mason (59910446500); Lee, Terra (60056989600); Li, Chang (60389604300); Zhang, Shengchao (57219409125); Bayrak, Roza G. (57204806278); Bolt, Taylor S. (55583499400); Nomi, Jason S. (35322974900); Uddin, Lucina Q. (8547715200); Chen, Jingyuan E. (56467546500); Mather, Mara M. (35612038600); Chang, Catie E. (56561973300)",58158341200; 59964688000; 59700431700; 59549282500; 57214236515; 60389711700; 57288429700; 57203140921; 57214891270; 59910446500; 60056989600; 60389604300; 57219409125; 57204806278; 55583499400; 35322974900; 8547715200; 56467546500; 35612038600; 56561973300,Distributed fMRI Patterns Coupled to Low-Frequency Cardiorespiratory Dynamics Provide Markers of Aging,2026,The Journal of neuroscience : the official journal of the Society for Neuroscience,46,6,,,,0,10.1523/JNEUROSCI.1231-25.2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030085026&doi=10.1523%2FJNEUROSCI.1231-25.2026&partnerID=40&md5=c1917b3ed98da5f9cdf06aad2c362dc4,"How aging affects brain-body connections can be investigated through changes in the coupling between functional magnetic resonance imaging (fMRI) signals and bodily autonomic processes across the adult lifespan. Recent studies using univariate approaches have identified age-related changes in the association between fMRI signals from multiple individual brain regions and low-frequency respiratory and cardiac activity. Here, we investigate if whole-brain spatial fMRI patterns associated with low-frequency physiological processes (heart rate and respiratory volume fluctuations) present generalizable changes with age. Data from human participants of both sexes are included in the analysis. We find that chronological age can be predicted statistically beyond chance from patterns of low-frequency fMRI-physiological coupling, even after accounting for individual differences in physiological signal characteristics and brain anatomy. Notably, brain areas implicated in central autonomic regulation, including nodes within salience and ventral attention networks (e.g., insula and middle cingulate cortex), are among the strongest contributors to age prediction. Furthermore, we observe that after removing physiological effects from fMRI data, the residual blood oxygen level-dependent signal variability is still a reliable indicator of age. Together, these findings underscore the close integration between brain and body physiology and highlight this interaction as a potential biomarker of the aging process. © © 2026 the authors.",aging; brain–body interactions; fMRI variability; heart rate; respiratory variation; systemic physiology,Article,Final,,Scopus,2-s2.0-105030085026
"Kundert-Obando, K.; Lee, T.; Martin, C.; Kaur, K.; Lagándara, J.G.; Li, Y.; Harding, J.M.; Wang, S.; Song, R.; Yang, R.; Guntaka, R.; Goodale, S.E.; Bayrak, R.G.; Uddin, L.Q.; Walter, M.; Hogeveen, J.; Chang, C.","Kundert-Obando, Kimberly (60389711700); Lee, Terra (60056989600); Martin, Caroline G. (57288429700); Kaur, Kamalpreet (60056866700); Lagándara, Juan Gomez (57193548216); Li, Yamin (57214236515); Harding, Jeffrey Mason (59910446500); Wang, Shiyu (58158341200); Song, Richard (59964688000); Yang, Ruoqi (59964775500); Guntaka, Rithwik (60057021900); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Uddin, Lucina Q. (8547715200); Walter, Martin (35300798800); Hogeveen, Jeremy P. (36008494600); Chang, Catie E. (56561973300)",60389711700; 60056989600; 57288429700; 60056866700; 57193548216; 57214236515; 59910446500; 58158341200; 59964688000; 59964775500; 60057021900; 57203140921; 57204806278; 8547715200; 35300798800; 36008494600; 56561973300,Global cortical arousal effects in fMRI reveal brain markers of state and trait anxiety,2026,Cerebral Cortex,36,2,bhag008,,,0,10.1093/cercor/bhag008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030267384&doi=10.1093%2Fcercor%2Fbhag008&partnerID=40&md5=5a45882f4f59ca65398ba3d202704496,"To personalize the diagnosis and treatment of anxiety, there is a need to identify biological constructs that underlie self-reported symptoms. Notably, physiological responses and levels of arousal are constituents of anxiety, and have widespread (“global”) effects on functional magnetic resonance imaging (fMRI) signals that may provide novel brain markers of anxiety. Here, we modeled autonomic physiological and cortical arousal signatures in fMRI data and determined whether these global fMRI components relate to measures of state and trait anxiety. Additionally, we tested if these global effects impact relationships between brain network connectivity and anxiety levels. We found significant relationships between fMRI global components and state/trait anxiety scores, identifying brain regions in which the strength of the global mean fMRI signal and the cortical arousal-related fMRI signal were associated with both state and trait anxiety. Notably, the resulting patterns exhibited substantial overlap with established large-scale functional networks, including the default-mode network. These findings indicate that global effects in fMRI signals hold valuable information that may reveal how cortical arousal is expressed in anxiety, and may provide a source of information that has previously been treated as a confound. © The Author(s) 2026. Published by Oxford University Press.",fmri; global mean signal; state anxiety; trait anxiety,Article,Final,,Scopus,2-s2.0-105030267384
"Li, C.; Li, Y.; Pourmotabbed, H.; Zhang, S.; Salas, J.A.; Goodale, S.E.; Bayrak, R.G.; Chang, C.","Li, Chang (60126848100); Li, Yamin (57214236515); Pourmotabbed, Haatef (57214891270); Zhang, Shengchao (57219409125); Salas, Jorge Alberto (57219433500); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",60126848100; 57214236515; 57214891270; 57219409125; 57219433500; 57203140921; 57204806278; 56561973300,CBrain: Cross-Modal Learning for Brain Vigilance Detection in Resting-State fMRI,2026,Lecture Notes in Computer Science,15960 LNCS,,,109,119,0,10.1007/978-3-032-04927-8_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017849276&doi=10.1007%2F978-3-032-04927-8_11&partnerID=40&md5=53db3cdd0f41ad26e5400a942c0b21c5,"Detecting human vigilance states (e.g., natural shifts between alertness and drowsiness) from functional magnetic resonance imaging (fMRI) data can provide novel insight into the whole-brain patterns underlying these critical states. Moreover, as a person’s vigilance levels are closely tied to their behavior and brain activity, vigilance state can strongly influence the results of fMRI studies. Therefore, the ability to annotate fMRI scans with vigilance information can also enable clearer and more robust results in fMRI research. However, well-established vigilance indicators are derived from other modalities such as behavioral responses, electroencephalography (EEG), and pupillometry, which are not typically available in fMRI data collection. While previous works indicate the promise of distinguishing vigilance states from fMRI alone, EEG data can provide reliable vigilance indicators that complement and augment fMRI domain information. Here, we propose CBrain: Cross-modal learning for Brain vigilance detection in resting-state fMRI. Our model transfers EEG vigilance information into an fMRI latent space in training, and predicts human vigilance states using only fMRI data in testing, addressing the need for external vigilance indicators. Experimental results demonstrate CBrain’s ability to predict vigilance states across different individuals at a granularity of 10-fMRI-frames with an 81.07%mF1 score on a test set of unseen subjects. Additionally, our generalization experiments highlight the model’s potential to estimate vigilance in an unseen task and in resting-state fMRI scans collected with a different scanner at a different site. Source code: https://github.com/neurdylab/CBrain. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",brain patterns; cross-modal learning; EEG; fMRI,Conference paper,Final,,Scopus,2-s2.0-105017849276
"Bayrak, R.G.; Hansen, C.B.; Salas, J.A.; Ahmed, N.; Lyu, I.; Mather, M.; Huo, Y.; Chang, C.","Bayrak, Roza G. (57204806278); Hansen, Colin B. (57202756650); Salas, Jorge Alberto (57219433500); Ahmed, Nafis (57199979016); Lyu, Ilwoo (58290940200); Mather, Mara M. (35612038600); Huo, Yuankai (56830058500); Chang, Catie E. (56561973300)",57204806278; 57202756650; 57219433500; 57199979016; 58290940200; 35612038600; 56830058500; 56561973300,DeepPhysioRecon: Tracing peripheral physiology in low frequency fMRI dynamics,2025,Imaging Neuroscience,3,,IMAG.a.163,,,0,10.1162/IMAG.a.163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017923291&doi=10.1162%2FIMAG.a.163&partnerID=40&md5=3bb0151dc9adf2bcbdee0c559fc0be64,"Many studies of the human brain using functional magnetic resonance imaging (fMRI) lack physiological measurements, which substantially impacts the interpretation and richness of fMRI studies. Natural fluctuations in autonomic physiology, such as breathing and heart rate, provide windows into critical functions, including cognition, emotion, and health, and can heavily influence fMRI signals. Here, we developed DeepPhysioRecon, a Long-Short-Term-Memory (LSTM)-based network that decodes continuous variations in respiration amplitude and heart rate directly from whole-brain fMRI dynamics. Through systematic evaluations, we investigate the generalizability of this approach across datasets and experimental conditions. We also demonstrate the importance of including these measures in fMRI analyses. This work highlights the importance of studying brain-body interactions, proposes a tool that may enhance the efficacy of fMRI as a biomarker, and provides widely applicable open-source software. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",brain-body; fMRI; heart rate; respiration,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105017923291
"Pourmotabbed, H.; Martin, C.; Goodale, S.E.; Doss, D.J.; Wang, S.; Bayrak, R.G.; Kang, H.; Morgan, V.; Englot, D.J.; Chang, C.","Pourmotabbed, Haatef (57214891270); Martin, Caroline G. (57288429700); Goodale, Sarah E. (57203140921); Doss, Derek J. (57194498541); Wang, Shiyu (58158341200); Bayrak, Roza G. (57204806278); Kang, Hakmook (54915922800); Morgan, Victoria L. (7004877594); Englot, Dario J. (23667065900); Chang, Catie E. (56561973300)",57214891270; 57288429700; 57203140921; 57194498541; 58158341200; 57204806278; 54915922800; 7004877594; 23667065900; 56561973300,Multimodal state-dependent connectivity analysis of arousal and autonomic centers in the brainstem and basal forebrain,2025,Imaging Neuroscience,3,,IMAG.a.91,,,1,10.1162/IMAG.a.91,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011520284&doi=10.1162%2FIMAG.a.91&partnerID=40&md5=6f2efa28ff4e11f1c1b2061f74697c58,"Vigilance is a continuously altering state of cortical activation that influences cognition and behavior and is disrupted in multiple brain pathologies. Neuromodulatory nuclei in the brainstem and basal forebrain are implicated in arousal regulation and are key drivers of widespread neuronal activity and communication. However, it is unclear how their large-scale brain network architecture changes across dynamic variations in vigilance state (i.e., alertness and drowsiness). In this study, we leverage simultaneous electroencephalography (EEG) and 3T multi-echo functional magnetic resonance imaging (fMRI) to elucidate the vigilance-dependent connectivity of arousal regulation centers in the brainstem and basal forebrain. During states of low vigilance, most of the neuromodulatory nuclei investigated here exhibit a stronger global correlation pattern and greater connectivity to the thalamus, precuneus, and sensory and motor cortices. In a more alert state, the nuclei exhibit the strongest connectivity to the salience, default mode, and auditory networks. These vigilance-dependent correlation patterns persist even after applying multiple preprocessing strategies to reduce systemic vascular effects. To validate our findings, we analyze two large 3T and 7T fMRI datasets from the Human Connectome Project and demonstrate that the static and vigilance-dependent connectivity profiles of the arousal nuclei are reproducible across 3T multi-echo, 3T single-echo, and 7T single-echo fMRI modalities. Overall, this work provides novel insights into the role of neuromodulatory systems in vigilance-related brain activity. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",ascending arousal system; autonomic nervous system; basal forebrain; brainstem; functional connectivity; functional magnetic resonance imaging (fMRI); vigilance,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105011520284
"Clements, R.G.; Zvolanek, K.M.; Reddy, N.A.; Hemmerling, K.J.; Bayrak, R.G.; Chang, C.; Bright, M.G.","Clements, Rebecca G. (57216417654); Zvolanek, Kristina M. (57222310706); Reddy, Neha A. (57210633975); Hemmerling, Kimberly J. (57219613794); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300); Bright, M. G. (27367489900)",57216417654; 57222310706; 57210633975; 57219613794; 57204806278; 56561973300; 27367489900,Quantitative mapping of cerebrovascular reactivity amplitude and delay with breath-hold BOLD fMRI when end-tidal CO2 quality is low,2025,Imaging Neuroscience,3,,imag_a_00536,,,1,10.1162/imag_a_00536,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010238164&doi=10.1162%2Fimag_a_00536&partnerID=40&md5=447cbbd876cc36b2291c93f12cc7e459,"Cerebrovascular reactivity (CVR), the ability of cerebral blood vessels to dilate or constrict in response to a vasoactive stimulus, is a clinically useful measure of cerebrovascular health. CVR is often measured using a breath-hold task to modulate blood CO<inf>2</inf> levels during an fMRI scan. Measuring end-tidal CO<inf>2</inf> (P<inf>ET</inf>CO<inf>2</inf>) with a nasal cannula during the task allows CVR amplitude to be calculated in standard units (vascular response per unit change in CO<inf>2</inf>, or %BOLD/mmHg) and CVR delay to be calculated in seconds. The use of standard units allows for normative CVR ranges to be established and for CVR comparisons to be made across subjects and scan sessions. Although breath holding can be successfully performed by diverse patient populations, obtaining accurate P<inf>ET</inf>CO<inf>2</inf> measurements requires additional task compliance; specifically, participants must breathe exclusively through their nose and exhale immediately before and after each breath hold. Meeting these requirements is challenging, even in healthy participants, and this has limited the translational potential of breath-hold fMRI for CVR mapping. Previous work has focused on using alternative regressors such as respiration volume per time (RVT), derived from respiration-belt measurements, to map CVR. Because measuring RVT does not require additional task compliance from participants, it is a more feasible measure than P<inf>ET</inf>CO<inf>2</inf>. However, using RVT does not produce CVR amplitude in standard units. In this work, we explored how to achieve CVR amplitude maps, in standard units, and CVR delay maps, when breath-hold task P<inf>ET</inf>CO<inf>2</inf> data quality is low. First, we evaluated whether RVT could be scaled to units of mmHg using a subset of P<inf>ET</inf>CO<inf>2</inf> data of sufficiently high quality. Second, we explored whether a P<inf>ET</inf>CO<inf>2</inf> timeseries predicted from RVT using deep learning allows for more accurate CVR measurements. Using a dense-mapping breath-hold fMRI dataset, we showed that both rescaled RVT and rescaled, predicted P<inf>ET</inf>CO<inf>2</inf> can be used to produce maps of CVR amplitude in standard units and CVR delay with strong absolute agreement to ground-truth maps. The rescaled, predicted P<inf>ET</inf>CO<inf>2</inf> regressor resulted in superior accuracy for both CVR amplitude and delay. In an individual with regions of increased CVR delay due to Moyamoya disease, the predicted P<inf>ET</inf>CO<inf>2</inf> regressor also provided greater sensitivity to pathology than RVT. Ultimately, this work will increase the clinical applicability of CVR in populations exhibiting decreased task compliance. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",BOLD fMRI; breath-hold task; cerebrovascular reactivity; CO2; deep learning; respiration volume per time,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105010238164
"Xu, T.; Bayrak, R.G.; Fischbach, A.; Bridgeford, E.W.; Vogelstein, J.; Noble, S.; Anteraper, S.","Xu, Ting (35996035600); Bayrak, Roza G. (57204806278); Fischbach, Alexandra K. (58080947500); Bridgeford, Eric W. (57148119100); Vogelstein, Joshua T. (15761214600); Noble, Stephanie M. (57192168434); Anteraper, Sheeba Arnold (56416428300)",35996035600; 57204806278; 58080947500; 57148119100; 15761214600; 57192168434; 56416428300,Current limitations in functional connectivity assessment: suggestions for analysis improvements,2025,Functional Connectivity of the Human Brain: From Mechanisms to Clinical Applications,,,,261,279,0,10.1016/B978-0-443-19099-5.00002-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023913464&doi=10.1016%2FB978-0-443-19099-5.00002-7&partnerID=40&md5=bd710c27a46286d194f72241e4258974,"Functional connectivity (FC) has been extensively studied to elucidate how brain regions communicate and synchronize, offering profound insights into the intricate mechanisms of neural interactions. Research into FC holds the promise for both scientific and clinical applications, from discovering underlying mechanisms to developing methodologies for analyzing imaging data, from diagnosing neurological disorders to tailoring therapeutic interventions. Nevertheless, both the study of the mechanisms and the clinical practice present significant challenges. The inherent complexities in assessment can sometimes obscure or mislead our understanding, necessitating a cautious and informed approach to harnessing the full potential of FC in research and clinical settings. This chapter introduces the challenges and pitfalls of the current FC approaches and discusses the potential solutions proposed in recent studies. Notably, it is worth acknowledging that the progress in the field has been driven not only by methodological improvements but also by ongoing innovations in MRI physics and fMRI techniques. However, this chapter focuses primarily on limitations in analytic methodologies, rather than on the MR physics-based limitations of the fMRI technique. It delves into the inherent limitations of existing methodologies, highlighting issues such as data variability, methodological biases, and the need for robust validation frameworks. By examining recent advancements and innovative strategies, this chapter aims to chart a path forward, advocating for more precise and reliable FC analyses. The proposed solutions and future directions within each section underscore the importance of interdisciplinary collaboration and the continuous refinement of analytical techniques to fully exploit the potential of FC analysis in understanding the most complex object in the known universe, the human brain. © 2026 Elsevier Inc. All rights reserved.",Brain parcellation; Coactivation patterns; Complex principal component analysis; Data variability; Deep learning; Dynamic network modes; Hidden Markov model; Methodological biases; Multiscale signal decomposition; Node definition; Quasiperiodic patterns; Sliding windows; Time-varying functional connectivity; Validation,Book chapter,Final,,Scopus,2-s2.0-105023913464
"Wang, S.; Xu, Z.; Lochard, L.M.; Li, Y.; Fan, J.; Chen, J.E.; Huo, Y.; Mather, M.; Bayrak, R.G.; Chang, C.","Wang, Shiyu (58158341200); Xu, Ziyuan (58897297000); Lochard, Laurent M. (59700431700); Li, Yamin (57214236515); Fan, Jiawen (59549282500); Chen, Jingyuan E. (56467546500); Huo, Yuankai (56830058500); Mather, Mara M. (35612038600); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",58158341200; 58897297000; 59700431700; 57214236515; 59549282500; 56467546500; 56830058500; 35612038600; 57204806278; 56561973300,Reconstructing physiological signals from fMRI across the adult lifespan,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060M,,,0,10.1117/12.3046980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004584006&doi=10.1117%2F12.3046980&partnerID=40&md5=17a3c606ebf8b483f5002ecdb012ca32,"Interactions between the brain and body are of fundamental importance for human behavior and health. Functional magnetic resonance imaging (fMRI) captures whole-brain activity noninvasively, and modeling how fMRI signals interact with physiological dynamics of the body can provide new insight into brain function and offer potential biomarkers of disease. However, physiological recordings are not always possible to acquire since they require extra equipment and setup, and even when they are, the recorded physiological signals may contain substantial artifacts. To overcome this limitation, machine learning models have been proposed to directly extract features of respiratory and cardiac activity from resting-state fMRI signals. To date, such work has been carried out only in healthy young adults and in a pediatric population, leaving open questions about the efficacy of these approaches on older adults. Here, we propose a novel framework that leverages Transformer-based architectures for reconstructing two key physiological signals - low-frequency respiratory volume (RV) and heart rate (HR) fluctuations - from fMRI data, and test these models on a dataset of individuals aged 36-89 years old. Our framework outperforms previously proposed approaches (attaining median correlations between predicted and measured signals of r ~.698 for RV and r ~.618 for HR), indicating the potential of leveraging attention mechanisms to model fMRI-physiological signal relationships. We also evaluate several model training and fine-tuning strategies, and find that incorporating young-adult data during training improves the performance when predicting physiological signals in the aging cohort. Overall, our approach successfully infers key physiological variables directly from fMRI data from individuals across a wide range of the adult lifespan. © 2025 SPIE.",aging; cardiac activity; deep learning; physiology; respiration; Resting-state fMRI,Conference paper,Final,,Scopus,2-s2.0-105004584006
"Li, Y.; Lou, A.; Xu, Z.; Zhang, S.; Wang, S.; Englot, D.J.; Kolouri, S.; Moyer, D.; Bayrak, R.G.; Chang, C.","Li, Yamin (57214236515); Lou, Ange (57219733410); Xu, Ziyuan (59885093200); Zhang, Shengchao (59638031100); Wang, Shiyu (59876912000); Englot, Dario J. (23667065900); Kolouri, Soheil (55497793500); Moyer, Daniel C. (57117453900); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",57214236515; 57219733410; 59885093200; 59638031100; 59876912000; 23667065900; 55497793500; 57117453900; 57204806278; 56561973300,NeuroBOLT: Resting-state EEG-to-fMRI Synthesis with Multi-dimensional Feature Mapping,2024,Advances in Neural Information Processing Systems,37,,,,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000548354&partnerID=40&md5=40b02ce145bd8c375d203a06c8d65c5d,"Functional magnetic resonance imaging (fMRI) is an indispensable tool in modern neuroscience, providing a non-invasive window into whole-brain dynamics at millimeter-scale spatial resolution. However, fMRI is constrained by issues such as high operation costs and immobility. With the rapid advancements in cross-modality synthesis and brain decoding, the use of deep neural networks has emerged as a promising solution for inferring whole-brain, high-resolution fMRI features directly from electroencephalography (EEG), a more widely accessible and portable neuroimaging modality. Nonetheless, the complex projection from neural activity to fMRI hemodynamic responses and the spatial ambiguity of EEG pose substantial challenges both in modeling and interpretability. Relatively few studies to date have developed approaches for EEG-fMRI translation, and although they have made significant strides, the inference of fMRI signals in a given study has been limited to a small set of brain areas and to a single condition (i.e., either resting-state or a specific task). The capability to predict fMRI signals in other brain areas, as well as to generalize across conditions, remain critical gaps in the field. To tackle these challenges, we introduce a novel and generalizable framework: NeuroBOLT, i.e., Neuro-to-BOLD Transformer, which leverages multi-dimensional representation learning from temporal, spatial, and spectral domains to translate raw EEG data to the corresponding fMRI activity signals across the brain. Our experiments demonstrate that NeuroBOLT effectively reconstructs unseen resting-state fMRI signals from primary sensory, high-level cognitive areas, and deep subcortical brain regions, achieving state-of-the-art accuracy with the potential to generalize across varying conditions and sites, which significantly advances the integration of these two modalities. © 2024 Neural information processing systems foundation. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105000548354
"Said, A.; Derr, T.; Moyer, D.; Bayrak, R.G.; Shabbir, M.; Chang, C.; Koutsoukos, X.","Said, Anwar (57197814045); Derr, Tyler (57198886641); Moyer, Daniel C. (57117453900); Bayrak, Roza G. (57204806278); Shabbir, Mudassir (56609972100); Chang, Catie E. (56561973300); Koutsoukos, Xenofon D. (6603632868)",57197814045; 57198886641; 57117453900; 57204806278; 56609972100; 56561973300; 6603632868,NeuroGraph: Benchmarks for Graph Machine Learning in Brain Connectomics,2023,Advances in Neural Information Processing Systems,36,,,,,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191160246&partnerID=40&md5=5dc7eb06b399bf22c101836af823ad45,"Machine learning provides a valuable tool for analyzing high-dimensional functional neuroimaging data, and is proving effective in predicting various neurological conditions, psychiatric disorders, and cognitive patterns. In functional magnetic resonance imaging (MRI) research, interactions between brain regions are commonly modeled using graph-based representations. The potency of graph machine learning methods has been established across myriad domains, marking a trans-formative step in data interpretation and predictive modeling. Yet, despite their promise, the transposition of these techniques to the neuroimaging domain has been challenging due to the expansive number of potential preprocessing pipelines and the large parameter search space for graph-based dataset construction. In this paper, we introduce NeuroGraph, a collection of graph-based neuroimaging datasets, and demonstrated its utility for predicting multiple categories of behavioral and cognitive traits. We delve deeply into the dataset generation search space by crafting 35 datasets that encompass static and dynamic brain connectivity, running in excess of 15 baseline methods for benchmarking. Additionally, we provide generic frameworks for learning on both static and dynamic graphs. Our extensive experiments lead to several key observations. Notably, using correlation vectors as node features, incorporating larger number of regions of interest, and employing sparser graphs lead to improved performance. To foster further advancements in graph-based data driven neuroimaging analysis, we offer a comprehensive open-source Python package that includes the benchmark datasets, baseline implementations, model training, and standard evaluation. © 2023 Neural information processing systems foundation. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-85191160246
