Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Souza, F.G.; Bhansali, S.; Thundat, T.","Souza, Fernando Gomes (60153437200); Bhansali, Shekhar (7006527220); Thundat, Thomas G. (7005693838)",60153437200; 7006527220; 7005693838,Harmfulness Score: A Data-Driven Framework for Ranking Environmental Risks of Microplastics,2025,Macromolecular Rapid Communications,46,24,e00559,,,1,10.1002/marc.202500559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019535967&doi=10.1002%2Fmarc.202500559&partnerID=40&md5=4b53e04a8e3b5b078786d3c78d438bf6,"The analysis of 104,471 scientific abstracts on microplastics and nanoplastics using bibliometric tools and machine learning models produced a comprehensive mapping of thematic trends and material-specific risk associations. A composite Harmfulness Score was constructed by integrating sentiment analysis, impact descriptors, and network centrality metrics. This score ranked polystyrene (PS) and polyethylene (PE) highest in association with terms such as oxidative stress, cytotoxicity, and genotoxicity, reflecting their prominence in the literature. Reporting frequencies for key physicochemical descriptors were low—particle size (3.91%), density (0.01%), and surface area (<0.01%)—limiting their use in computational modeling and risk assessments. Thematic clustering revealed dominant topics such as environmental policy and biological impact, alongside emerging areas in microbial degradation, enzymatic transformation, and legal-policy intersections. The results highlight the need for standardized metadata practices and expanded use of analytical frameworks to enhance research reproducibility and policy relevance. © 2025 The Author(s). Macromolecular Rapid Communications published by Wiley-VCH GmbH.",harmfulness Score; machine learning; microplastics; polymer risk assessment; regulatory science,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105019535967
"Biswas, I.J.; Hafsa Siddiqui, H.; Mujawar, M.A.; Gomes, F.; Thundat, T.; Bhansali, S.","Biswas, Ishrat Jahan (57947595200); Hafsa Siddiqui, Hafsa (57226100650); Mujawar, Mubarak A. (36993763200); Gomes, Fernando (59980235800); Thundat, Thomas G. (7005693838); Bhansali, Shekhar (7006527220)",57947595200; 57226100650; 36993763200; 59980235800; 7005693838; 7006527220,Towards cold-atmospheric plasma jet printed gold nanoparticles on filter paper as a SERS substrate for detection of polystyrene particles in water,2025,Sensors and Actuators A: Physical,394,,116929,,,0,10.1016/j.sna.2025.116929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012499096&doi=10.1016%2Fj.sna.2025.116929&partnerID=40&md5=e5a86605700f62cc7f24186c646cf8b4,"Plastic pollution is a major environmental and health threat due to its widespread presence in ecosystems and food chains. Despite extensive research on microplastics, the detection of submicron plastics remains challenging due to their distinct physical and chemical properties and the limitations of current analytical methods. SERS has attracted significant attention in recent research as an ultra-sensitive approach for detecting nanoplastics compared to other spectroscopy techniques. In this paper, a stable, biodegradable, waste-free novel paper-based SERS substrate is developed for the rapid detection of submicron (200 nm) polystyrene (PS) particles via the controlled deposition of AuNPs onto filter paper using an atmospheric cold plasma jet printing process. The density of AuNPs increases with the number of printing passes, correlating with enhanced SERS results. The resulting SERS substrates are capable of quantifying a broad range of PS concentrations (1–500 µg mL⁻¹) using just 5 µL of analyte. The fabricated SERS substrate enables reliable quantification of PS in water, exhibiting a strong linear correlation (R² = 0.993) between SERS intensity and PS concentration, with a detection limit of 10 µg mL⁻¹. These substrates demonstrate exceptional stability and reproducibility over a 10-week period, addressing key challenges associated with paper-based SERS substrates and making them suitable for long-term monitoring. Furthermore, analysis of tap water as a representative real-world sample demonstrates the practical applicability of the SERS substrate for environmental monitoring, revealing quantifiable levels of PS contamination. © 2025",Plasma printing; Plastic pollution; Polystyrene; Sub-micron plastics; Surface-enhanced raman scattering (SERS),Article,Final,,Scopus,2-s2.0-105012499096
"Mehta, P.; Kamat, V.; Ewing, D.; Bhansali, S.","Mehta, Prateek (57394032900); Kamat, Vivek A. (56919370900); Ewing, Daniel (59355442800); Bhansali, Shekhar (7006527220)",57394032900; 56919370900; 59355442800; 7006527220,Intelligent real-time error correction in additive manufacturing via context-aware deep learning,2025,Progress in Additive Manufacturing,10,11,,9875,9890,1,10.1007/s40964-025-01213-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008564918&doi=10.1007%2Fs40964-025-01213-2&partnerID=40&md5=dafd01b5254676ee0dc3b95352700d54,"Additive manufacturing (AM) faces persistent challenges in mitigating process-induced errors, which often lead to part failure, material waste, and operational inefficiencies. Current solutions struggle with real-time adaptability, generalization across hardware configurations, and balancing rapid corrections with system stability. This study presents a deep learning framework that corrects errors in real time during additive manufacturing by combining reactive adjustments with global consensus-driven corrections. A hybrid dataset of 1.45 million images—combining open-source (Brion and Pattinson in Apollo - University Cambridge Repository, 2022, https://doi.org/10.17863/CAM.84082) and proprietary data from diverse printers, materials, and failure modes—trains a shared backbone attention network to simultaneously predict critical metrics such as flow rate, speed of printing, Z-axis displacement, and extruder temperature directly from individual real-time images captured during the printing process with an overall accuracy of 85.3%. The system employs mode thresholding to filter transient noise and proportional control to apply context-aware adjustments, achieving 89% reduction in print failures across complex geometries like the Eiffel Tower and multi-material setups. Key innovations include a two-stage correction workflow enabling quasi-real-time inference (0.3 s per prediction) with hardware-agnostic deployment on electronics and hybrid data integration to address bias in lab-controlled datasets, improving generalization to real-world print farm conditions. The framework bridges the gap between high-frequency reactive systems and delayed global corrections, offering a scalable solution for enhancing AM reliability. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",3D printing; Additive manufacturing; Deep learning; Error correction; Error detection; Real time,Article,Final,,Scopus,2-s2.0-105008564918
"Gomes S．, F.; Bhansali, S.; Valladão, V.; da Silveira Maranhão, F.; Brandão, D.; Delfino, C.; Asthana, N.","Gomes S．, Fernando (59706787500); Bhansali, Shekhar (7006527220); Valladão, Viviane Silva (58938324900); da Silveira Maranhão, Fabiola (57225135820); Brandão, Daniele Silvéria (58953654500); Delfino, Carolina (59706578100); Asthana, Nidhi (36843825000)",59706787500; 7006527220; 58938324900; 57225135820; 58953654500; 59706578100; 36843825000,Sustainable catalysts: Advances in geopolymer-catalyzed reactions and their applications,2025,Journal of Molecular Structure,1336,,142017,,,5,10.1016/j.molstruc.2025.142017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000929900&doi=10.1016%2Fj.molstruc.2025.142017&partnerID=40&md5=bd408b5387a698e30313bc81b0acfb1b,"This study investigated using geopolymers as sustainable catalysts, utilizing both computational and experimental methods to improve the synthesis process. We used tools like Latent Dirichlet Allocation (LDA) and hierarchical clustering algorithms to find patterns, gaps, and new topics. We also experimented to see how structural and chemical factors affect the catalyst's performance. Adding industrial waste like blast furnace slag and fly ash made catalysts that worked very well and had properties that worked well in both chemical and environmental settings. It was easier for reagents to move through and get to active sites because of the pores and the addition of nanoparticles like TiO₂ and copper ferrites. This made the catalyst work better. Geopolymer catalysts were more than 90 % effective at breaking down pollutants like Rhodamine B and methylene blue, and they stayed stable after being used more than once. Studies also showed that these materials can be used to make biodiesel, with high yields in optimized transesterification made easier by machine learning. Notably, the resulting glycerol byproduct can serve as a precursor for biopolyesters, further enhancing the economic and ecological benefits of this approach. The results consolidate geopolymers as viable and multifunctional alternatives, promoting sustainability and technological innovation. Their versatility meets industrial and environmental demands, positioning them as promising solutions for global challenges, such as pollutant mitigation and energy transition. To make sure that geopolymers can meet the growing need for clean and long-lasting technologies, future research should focus on making them more industrially scalable, stable over time, and able to use a broader range of precursors. © 2025 Elsevier B.V.",Biodiesel production; Catalysts; Catalytic performance; Copper ferrites; Environmental remediation; Geopolymerization reaction; Geopolymers; Industrial waste; Machine learning; Nanoparticles; Photocatalysis; Sustainability,Review,Final,,Scopus,2-s2.0-105000929900
"Souza Junior, F.; Velasco, K.; Cunha, S.; Santos, J.; Aboelkheir, M.G.; Sumini, M.; Thiré, R.; Duarte, P.C.; Andrade, A.J.P.; Díaz Martín, R.D.; Clébis, V.H.; Bhansali, S.; Pal, K.; da Silveira Maranhão, F.","Souza Junior, Fernando Gomes (57893476100); Velasco, Karine (59168502600); Cunha, Suelen (59749213900); Santos, Jaciara (59749383700); Aboelkheir, Mostafa Galal (57203410802); Sumini, Mirian (58290034700); Thiré, R. M.S.M. (8732263000); Duarte, Paulo Cesar (59716363300); Andrade, Aron José Pazin (7101975977); Díaz Martín, Rubén Darío (56089496900); Clébis, Victor Hugo (57211661119); Bhansali, Shekhar (7006527220); Pal, Kaushik (56210240900); da Silveira Maranhão, Fabiola (57225135820)",57893476100; 59168502600; 59749213900; 59749383700; 57203410802; 58290034700; 8732263000; 59716363300; 7101975977; 56089496900; 57211661119; 7006527220; 56210240900; 57225135820,Leveraging large language models for accelerated learning and innovation in biogenic tissue-engineered vascular grafts,2025,Journal of Drug Delivery Science and Technology,108,,106935,,,4,10.1016/j.jddst.2025.106935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003296834&doi=10.1016%2Fj.jddst.2025.106935&partnerID=40&md5=3abb3cfcd2ab35def3ca0b304c1c5d28,"This study leverages Large Language Models (LLMs) to accelerate advancements in tissue-engineered vascular grafts (TEVGs), focusing on overcoming critical challenges such as biocompatibility, cellular integration, and scaffold design optimization. By applying LLMs to analyze and synthesize extensive literature, we identify key trends and innovations in scaffold compositions and fabrication techniques that enhance TEVG functionality and compatibility. Specifically, LLM-driven insights guide the refinement of scaffold designs using advanced methods like hybrid 3D printing, electrospinning, and melt electrowriting, leading to improved hemodynamics and mechanical properties. Our findings highlight the potential of polycaprolactone (PCL)-collagen scaffolds in promoting cell viability and extracellular matrix (ECM) remodeling, closely mimicking native vessels. This data-driven approach addresses persistent issues such as thrombosis, compliance mismatches, and challenges with small-diameter graft performance. By integrating LLMs into TEVG research, we offer a novel framework for accelerating innovation and enhancing the clinical potential of TEVGs. © 2025",Degradation kinetics; Machine learning (ML) and data mining; Mesenchymal stem cells (MSCs); Scaffold materials; Tissue-engineered vascular grafts (TEVGs),Review,Final,,Scopus,2-s2.0-105003296834
"Singh, A.; Kaushik, A.; Kumar, R.; Nair, M.; Bhansali, S.","Singh, Aparajita (57212846148); Kaushik, Ajeet K. (24080061400); Kumar, Rajesh (57223665947); Nair, Madhavan P.N. (55290739300); Bhansali, Shekhar (7006527220)",57212846148; 24080061400; 57223665947; 55290739300; 7006527220,"Correction to: Electrochemical Sensing of Cortisol: A Recent Update (Applied Biochemistry and Biotechnology, (2014), 174, 3, (1115-1126), 10.1007/s12010-014-0894-2)",2025,Applied Biochemistry and Biotechnology,197,3,,2095,,0,10.1007/s12010-025-05179-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217566341&doi=10.1007%2Fs12010-025-05179-3&partnerID=40&md5=6a60dce1fc95621a4eb2040b039119e7,"The original online version of this article was revised. After the publication of this article, it has come to the authors’ attention attention that the legend in Figure 5 did not acknowledge that Figure 5a and some data represented in Figures 5b and 5c had been adapted from a published source. The legend in Figure 5 should read as follows: a A calibration curve obtained for determination of the cortisol concentrations in saliva samples using ELISA. Comparison of results obtained from ELISA and electrochemical immunosensor for participant 1 (b), participant 2 (c), participant 3 (d), and participant 4 (e) a A calibration curve obtained for determination of the cortisol concentrations in saliva samples using ELISA. Comparison of results obtained from ELISA and electrochemical immunosensor for participant 1 (b), participant 2 (c), participant 3 (d), and participant 4 (e) Adapted from [55] The online version of the original article can be found at © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",,Erratum,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85217566341
"Venkadesh, V.; Kamat, V.; Bhansali, S.; Jayachandran, K.","Venkadesh, Vagheeswari (57847119100); Kamat, Vivek A. (56919370900); Bhansali, Shekhar (7006527220); Jayachandran, Krish (55404779800)",57847119100; 56919370900; 7006527220; 55404779800,A Quantitative Analysis of Nutrient Loss in Surface Runoff Using a Novel Molecularly-Imprinted-Polymer-Based Electrochemical Sensor,2025,AgriEngineering,7,3,83,,,1,10.3390/agriengineering7030083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000931546&doi=10.3390%2Fagriengineering7030083&partnerID=40&md5=666ebbbb1181be6887af31dd168df4c6,"Surface runoff poses a significant threat to crop production and the environment. However, most studies on soil properties have not quantified soil nutrient loss as a consequence of soil erosion. This study measures the magnitude of nutrient loss through the development of a novel electrochemical sensor designed for direct and selective detection of nitrates and phosphates in soil runoff. The sensor fabrication process utilizes molecularly imprinted polymer techniques which involve the electrodeposition of polypyrrole with the analyte onto a carbon electrode. Cyclic voltammetry (CV) analysis was performed to evaluate the sensor performance in quantifying nitrates and phosphates across three distinct sets of soil samples collected for analysis. The sensor response was linear to the nitrate concentration in the range of 0.01 M to 100 μM (R2 = 0.9906). The phosphate MIP sensor also displayed a linear response for concentrations ranging from 10 µM to 200 µM (R2 = 0.9901). The sensor exhibited high sensitivity towards nitrates and phosphates and effectively detected nutrient levels in the soil solution with a detection limit of 25 μM and 53 μM, respectively. The sensor was then evaluated for degradation and repeatability, which produced a relative standard deviation of 13.5% and 8.2% for nitrate and phosphate, respectively. Further, the loss of nutrients in different soil types indicated the need for soil characterization before the application of fertilizer to reduce the nutrient loss in the event of surface runoff. © 2025 by the authors.",electrochemical sensor; MIP; nitrate; nutrient loss; phosphate; polypyrrole; runoff,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000931546
"Gomes, F.; Bhansali, S.; da Silveira Maranhão, F.; Valladão, V.; Velasco, K.","Gomes, Fernando (59980235800); Bhansali, Shekhar (7006527220); da Silveira Maranhão, Fabiola (57225135820); Valladão, Viviane Silva (58938324900); Velasco, Karine (59168502600)",59980235800; 7006527220; 57225135820; 58938324900; 59168502600,What are the future directions for microplastics characterization? A regex-llama data mining approach for identifying emerging trends,2025,Anais da Academia Brasileira de Ciencias,97,,e20241345,,,3,10.1590/0001-3765202520241345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011883659&doi=10.1590%2F0001-3765202520241345&partnerID=40&md5=63ec01c96faf7630cc144e5fc57e722c,"This study introduces a hybrid method to identify and analyze techniques for microplastic analysis. We improve the detection and understanding of both established and new techniques by integrating regex-based pattern detection with the Llama 3.2:3b language model. Techniques like Raman and FTIR spectroscopy are explored alongside advanced tools, such as X-ray Photoelectron Spectroscopy (XPS) and Surface-Enhanced Raman Spectroscopy (SERS). This combination enhances the accuracy and speed of identifying complex terminology related to microplastics research. Data analysis and visualization were conducted using VOSDataAnalyzer and VOSviewer, allowing us to map connections and trends within a network of related terms. This analysis identified the 15 most commonly used and emerging techniques, showing a shift toward more sensitive and innovative methods in microplastic studies. This novel Regex-Llama approach, introduced here for the first time, provides a scalable methodology applicable to various searches, including the analysis of pollutants in environmental science, the evaluation of material degradation in materials engineering, and the assessment of the toxicological effects of micro-contaminants on public health. This strategy facilitates environmental evaluations and aids in formulating pollution reduction measures, addressing many difficulties across several interesting fields. © 2025, Academia Brasileira de Ciencias. All rights reserved.",Data mining; Environmental contamination; Large language models (LLMs); Machine learning; Microplastics; Spectroscopy,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105011883659
"Gomes, F.; Bhansali, S.; Valladão, V.; Brandão, D.; Silva, G.; da Silveira Maranhão, F.; Pal, K.; Thiré, R.; Araújo, J.; Batista, A.; Sabu, S.; Kalarikkal, N.; Oluwafemi, S.O.; Li, T.-R.; Wang, Y.","Gomes, Fernando (59980235800); Bhansali, Shekhar (7006527220); Valladão, Viviane Silva (58938324900); Brandão, Daniele Silvéria (58953654500); Silva, Gabriel Bezerra (57216556130); da Silveira Maranhão, Fabiola (57225135820); Pal, Kaushik (56210240900); Thiré, R. M.S.M. (8732263000); Araújo, Joyce R. (35202976600); Batista, Ariane (59980235900); Sabu, Thomas P. (7404654376); Kalarikkal, Nandakumar (36773183900); Oluwafemi, Samuel O. (57693236600); Li, Tianrong (14041964700); Wang, Yuhua (57208313882)",59980235800; 7006527220; 58938324900; 58953654500; 57216556130; 57225135820; 56210240900; 8732263000; 35202976600; 59980235900; 7404654376; 36773183900; 57693236600; 14041964700; 57208313882,"Advancing Dye-Sensitized Solar Cells: Synergistic Effects of Polyaniline, Graphene Oxide, and Carbon Nanotubes for Enhanced Efficiency and Sustainability Developments",2025,Recent Patents on Nanotechnology,,,,,,4,10.2174/0118722105366556250402051103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010056316&doi=10.2174%2F0118722105366556250402051103&partnerID=40&md5=286fa23e9380fb3fa1749e6273376661,"This paper provides an in-depth look at the latest developments in dye-sensitized solar cell (DSSC) technology. It focuses on the use of special materials, like polyaniline (PANI), graphene oxide (GO), and carbon nanotubes (CNTs). These materials improve the efficiency and stability of solar cells, and this study offers significant insights into their characteristics and practical uses. This article examines major trends in material selection, structural optimization, and manufacturing procedures by juxtaposing results from scientific literature with advancements in the patent arena, addressing the issues of developing next-generation solar cell designs. We examine the synergistic effects of PANI's stability, GO's electrical conductivity, and CNTs' mechanical strength, highlighting their roles in enhancing light absorption, charge transfer efficiency, and overall device longevity. Bibliometric data from sites, like Scopus and Lens.org, indicate substantial advancements in energy conversion efficiency and decreases in charge transfer resistance. Patents, like WO 2020 and EP3824-B1, illustrate the increasing significance of flexibility, resilience, and scalability in solar cell designs. Biopolymer-based electrolytes made from chitosan, guar gum, and starch are examples of sustainable solutions that show better ionic conductivity and mechanical stability, making them eco-friendly choices. This paper highlights the significance of nano and microfillers in enhancing electron mobility and minimizing resistive losses. Practical implementations, including photovoltaic chargers and flexible solar panels, illustrate the conversion of theoretical advancements into functional technologies. The study delineates future research avenues, promoting the utilization of nanocomposites and catalytic materials to enhance solar cell performance and thus facilitate sustainable and scalable energy solutions to address escalating global energy demands. © 2025 Bentham Science Publishers.",biopolymers; carbon nanotubes; charge transfer resistance; Dye-sensitized solar cells; flexible electronics; graphene oxide; material innovations; nanocomposites; polyaniline; power conversion efficiency; scalable solar technology; sustainable energy solutions,Review,aip,,Scopus,2-s2.0-105010056316
"Mehta, P.; Mujawar, M.A.; Lafrance, S.; Bernadin, S.; Ewing, D.; Bhansali, S.","Mehta, Prateek (57394032900); Mujawar, Mubarak A. (36993763200); Lafrance, Samantha (59007502200); Bernadin, Shonda L. (14832416700); Ewing, Daniel (59355442800); Bhansali, Shekhar (7006527220)",57394032900; 36993763200; 59007502200; 14832416700; 59355442800; 7006527220,Editors’ Choice—Review—Sensor-Based and Computational Methods for Error Detection and Correction in 3D Printing,2024,ECS Sensors Plus,3,3,030602,,,11,10.1149/2754-2726/ad7a88,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205710249&doi=10.1149%2F2754-2726%2Fad7a88&partnerID=40&md5=b4030e9fb44cd607f53bde082a3a9a63,"Highlights Additive manufacturing revolutionizes the manufacturing sector with design freedom and rapid prototyping, but faces challenges from errors like layer shifting, under extrusion, and surface imperfections that affect print success and mechanical integrity. State-of-the-art sensor-based error detection methods in 3D printing, including vision-based, fluctuation-based, and model-based approaches for identifying and analyzing various printing defects. Utilizes machine learning, computer vision, and mathematical modeling alongside diverse sensors (e.g., cameras, thermocouples, load cells) to enhance the accuracy and real-time detection of printing errors. Proposes a comprehensive framework that combines advanced error detection and correction techniques, aiming to improve the efficiency and yield of additive manufacturing processes. Emphasizes the necessity for ongoing advancements in error detection and correction methods to ensure high-quality, reliable, and precise 3D printed parts, laying a foundation for the future of additive manufacturing. © 2024 The Author(s). Published on behalf of The Electrochemical Society by IOP Publishing Limited.",3D printing; additive manufacturing; artificial intelligence; computer vision; error correction; error detection; process optimization,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85205710249
