Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Fonteles, J.H.; Cohn, C.; Ayalon, E.; Zhou, M.; Ashwin, A.; Davalos, E.; Li, Z.; Rayala, S.; Mereddy, D.; Coursey, A.; Jain, S.; Zhang, Y.; Enyedy, N.; Danish, J.; Biswas, G.","Fonteles, Joyce Horn (55918595100); Cohn, Clayton (57832256000); Ayalon, Efrat (59148240300); Zhou, Mengxi (57221926573); Ashwin, T. S. (56524494100); Davalos, Eduardo (57831440400); Li, Zhijian (58948047400); Rayala, Surya (59939752800); Mereddy, Divya (57190406792); Coursey, Austin (57271464200); Jain, Shruti (59939874000); Zhang, Yike (57762808700); Enyedy, Noel (11240402800); Danish, Joshua Adam (16027612700); Biswas, Gautam (57211726890)",55918595100; 57832256000; 59148240300; 57221926573; 56524494100; 57831440400; 58948047400; 59939752800; 57190406792; 57271464200; 59939874000; 57762808700; 11240402800; 16027612700; 57211726890,Analyzing embodied learning in classroom settings: A human-in-the-loop AI approach for multimodal learning analytics,2026,Learning and Instruction,103,,102274,,,0,10.1016/j.learninstruc.2025.102274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029102618&doi=10.1016%2Fj.learninstruc.2025.102274&partnerID=40&md5=3d4b1c91a0784f6761e5eda4691a6b92,"Background: Embodied learning enhances cognition and metacognition through physical activity, but analyzing students’ behaviors in dynamic classrooms from multimodal data is complex. Human-guided, AI-driven Multimodal Learning Analytics offers promise, yet demands labor-intensive coding. Using coding schemas to fine-tune deep learning for accurate interpretation of learner behaviors remains both challenging and computationally intensive. Aims: Develop a robust human-in-the-loop AI framework to analyze students’ self-regulated learning (SRL) and socially shared regulation of learning (SSRL) in embodied learning environments. The framework integrates multimodal data streams, deep learning algorithms, and a late-fusion Large Language Model (LLM) for deriving SRL and SSRL behaviors. Sample and Methods: A two-month study in a 4th-grade science classroom, focused on two class sessions and four fully consented students. A novel codebook mapped multimodal features to high-level SRL-SSRL behaviors. Our multimodal pipeline combined deep learning algorithms of students’ interactions with an LLM for late fusion to segment and classify behaviors. Learning scientists validated the results using an interactive timeline. Results: The LLM identified 470 segments across 40 min of video from two enactments of the photosynthesis scenario. Enacting (66.4%) and Interacting (15.5%) were most frequent. Human evaluation confirmed accuracy but noted challenges with overlapping behaviors. A case study of two students revealed distinct regulatory strategies across behaviors and durations. Conclusion: Integrating AI with human expertise enhances analysis of SRL and SSRL in embodied learning. Future work will refine behavioral definitions, improve data alignment, expand validation, and deploy the pipeline online to generate enactment summaries that support teachers and students. © 2025 Elsevier Ltd",Deep learning models for video analysis; Embodied learning; Human-in-the-loop AI; Large language models; Multimodal learning analytics; Self-regulated learning (SRL); Socially shared regulation of learning (SSRL),Article,Final,,Scopus,2-s2.0-105029102618
"Lee, M.L.; Vatral, C.; Cohn, C.; Davalos, E.; Jessee, M.A.; Biswas, G.; Levin, D.T.","Lee, Madison (58126855200); Vatral, Caleb (57539849000); Cohn, Clayton (57832256000); Davalos, Eduardo (57831440400); Jessee, Mary Ann (35573538100); Biswas, Gautam (57211726890); Levin, Daniel T. (7202969153)",58126855200; 57539849000; 57832256000; 57831440400; 35573538100; 57211726890; 7202969153,Eye movements as predictors of student experiences during nursing simulation learning events,2025,Cognitive Research: Principles and Implications,10,1,37,,,1,10.1186/s41235-025-00640-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009552587&doi=10.1186%2Fs41235-025-00640-7&partnerID=40&md5=b2cc6bf8e6267bbcb8ff497e1c295b8c,"Although the “eye-mind link” hypothesis posits that eye movements provide a direct window into cognitive processing, linking eye movements to specific cognitions in real-world settings remains challenging. This challenge may arise because gaze metrics such as fixation duration, pupil size, and saccade amplitude are often aggregated across timelines that include heterogeneous events. To address this, we tested whether aggregating gaze parameters across participant-defined events could support the hypothesis that increased focal processing, indicated by greater gaze duration and pupil diameter, and decreased scene exploration, indicated by smaller saccade amplitude, would predict effective task performance. Using head-mounted eye trackers, nursing students engaged in simulation learning and later segmented their simulation footage into meaningful events, categorizing their behaviors, task outcomes, and cognitive states at the event level. Increased fixation duration and pupil diameter predicted higher student-rated teamwork quality, while increased pupil diameter predicted judgments of effective communication. Additionally, increased saccade amplitude positively predicted students’ perceived self-efficacy. These relationships did not vary across event types, and gaze parameters did not differ significantly between the beginning, middle, and end of events. However, there was a significant increase in fixation duration during the first five seconds of an event compared to the last five seconds of the previous event, suggesting an initial encoding phase at an event boundary. In conclusion, event-level gaze parameters serve as valid indicators of focal processing and scene exploration in natural learning environments, generalizing across event types. © The Author(s) 2025.",Event cognition; Mobile eye-tracking; Simulation education,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105009552587
"Vatral, C.; Biswas, G.; Goldberg, B.","Vatral, Caleb (57539849000); Biswas, Gautam (57211726890); Goldberg, Benjamin (60189468900)",57539849000; 57211726890; 60189468900,A Theoretical Framework for Performance Analysis in Competency-Based Experiential Learning Environments,2025,AI and Gamification Technologies for Complex Work,,,,1,19,0,10.1201/9781032701639-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021452878&doi=10.1201%2F9781032701639-1&partnerID=40&md5=d422135fef2058cbc34abd66dbdee550,[No abstract available],,Book chapter,Final,,Scopus,2-s2.0-105021452878
"Snyder, C.; Cohn, C.; Fonteles, J.H.; Biswas, G.","Snyder, Caitlin (57209638472); Cohn, Clayton (57832256000); Fonteles, Joyce Horn (55918595100); Biswas, Gautam (57211726890)",57209638472; 57832256000; 55918595100; 57211726890,Using collaborative interactivity metrics to analyze students' problem-solving behaviors during STEM+C computational modeling tasks,2025,Learning and Individual Differences,121,,102724,,,1,10.1016/j.lindif.2025.102724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006945396&doi=10.1016%2Fj.lindif.2025.102724&partnerID=40&md5=364821cb1ab42248a1d0b5567badc040,"Recently, there has been a surge in developing curricula and tools that integrate computing (C) into Science, Technology, Engineering, and Math (STEM) programs. These environments foster authentic problem-solving while facilitating students' concurrent learning of STEM+C content. In our study, we analyzed students' behaviors as they worked in pairs to create computational kinematics models of object motion. We derived a domain-specific metric from students' collaborative dialogue that measured how they integrated science and computing concepts into their problem-solving tasks. Additionally, we computed social metrics such as equity and turn-taking based on the students' dialogue. We identified and characterized students' planning, enacting, monitoring, and reflecting behaviors as they worked together on their model construction tasks. This study investigates the impact of students' collaborative behaviors on their performance in STEM+C computational modeling tasks. By analyzing the relationships between group synergy, turn-taking, and equity measures with task performance, we provide insights into how these collaborative behaviors influence students' ability to construct accurate models. Our findings underscore the importance of synergistic discourse for overall task success, particularly during the enactment, monitoring, and reflection phases. Conversely, variations in equity and turn-taking have a minimal impact on segment-level task performance. Educational relevance and implications statement: The complexities of collaborative problem-solving for computational modeling in science provide a unique opportunity to explore individual and group learning. Specifically, in this manuscript, we examined differences in collaborative problem-solving behaviors, characterized by social and domain specific metrics, and their impact on groups' ability to complete computational modeling tasks in kinematics. We identified the impact of interactivity metrics, such as equity and turntaking, and the interweaving of science and computing concepts during collaborative discourse, on groups' performance. Finally, we analyzed differences between groups' planning, enacting, monitoring, and reflecting behaviors through interactivity metrics and students' segment-level performance. Our findings highlight key differences in students' problem-solving behaviors that will have implications in future work targeting adaptive support for problem-solving tasks. © 2025 Elsevier Inc.",Collaborative problem solving; Computational modeling; Multimodal learning analytics; Synergistic STEM+C learning,Article,Final,,Scopus,2-s2.0-105006945396
"Zhang, Z.; Zhang, Y.; Quiñones-Grueiro, M.; Barbour, W.; Biswas, G.; Work, D.","Zhang, Zhiyao (58107319800); Zhang, Yuhang (57963411600); Quiñones-Grueiro, Marcos (57188332100); Barbour, William W. (57202586397); Biswas, Gautam (57211726890); Work, Daniel B. (34874339000)",58107319800; 57963411600; 57188332100; 57202586397; 57211726890; 34874339000,1000DaySim: Open-Source Traffic Simulation With Real Data Over Long Time Horizons,2025,"Proceedings of the ACM/IEEE 16th International Conference on Cyber-Physical Systems, ICCPS 2025, held as part of the CPS-IoT Week 2025",,,44,,,0,10.1145/3716550.3725151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007308173&doi=10.1145%2F3716550.3725151&partnerID=40&md5=aec5fa00c5739c065084f7af52e844c8,[No abstract available],Cyber-physical systems; Traffic signal control; Traffic simulation,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105007308173
"Coursey, A.; Ji, J.; Zhang, Z.; Barbour, W.; Quiñones-Grueiro, M.; Derr, T.; Biswas, G.; Work, D.","Coursey, Austin (57271464200); Ji, Junyi (58090958500); Zhang, Zhiyao (58107319800); Barbour, William W. (57202586397); Quiñones-Grueiro, Marcos (57188332100); Derr, Tyler (57198886641); Biswas, Gautam (57211726890); Work, Daniel B. (34874339000)",57271464200; 58090958500; 58107319800; 57202586397; 57188332100; 57198886641; 57211726890; 34874339000,Real-Time Freeway Traffic Anomalous Event Detection System via Radar Detector Sensors,2025,"Proceedings of the ACM/IEEE 16th International Conference on Cyber-Physical Systems, ICCPS 2025, held as part of the CPS-IoT Week 2025",,,40,,,0,10.1145/3716550.3725156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007302490&doi=10.1145%2F3716550.3725156&partnerID=40&md5=8a3e3a420eb00ff6a3d06841ffdce1ac,"Undetected anomalous incidents on the freeway, such as crashes, can cause increased congestion and secondary crashes. To address this problem, we recently released a real freeway traffic anomalous event detection dataset. However, our evaluation was limited to a static week of traffic data. This demo presents a live anomaly detection dashboard, processing sensor data with a 1-minute delay. It has interactive components to adjust the anomaly detection performance, providing a realistic evaluation of graph anomaly detection methods for long-term analysis and method improvements. © 2025 Copyright held by the owner/author(s).",anomaly detection; freeway operation; incident detection; traffic monitoring; transportation cyber-physical systems,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105007302490
"Cohn, C.; Snyder, C.; Fonteles, J.H.; Ashwin, A.; Montenegro, J.; Biswas, G.","Cohn, Clayton (57832256000); Snyder, Caitlin (57209638472); Fonteles, Joyce Horn (55918595100); Ashwin, T. S. (56524494100); Montenegro, Justin (57189301686); Biswas, Gautam (57211726890)",57832256000; 57209638472; 55918595100; 56524494100; 57189301686; 57211726890,"A multimodal approach to support teacher, researcher and AI collaboration in STEM+C learning environments",2025,British Journal of Educational Technology,56,2,,595,620,22,10.1111/bjet.13518,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204455857&doi=10.1111%2Fbjet.13518&partnerID=40&md5=ff2db984a133db1544dee532959e0768,"Abstract: Recent advances in generative artificial intelligence (AI) and multimodal learning analytics (MMLA) have allowed for new and creative ways of leveraging AI to support K12 students' collaborative learning in STEM+C domains. To date, there is little evidence of AI methods supporting students' collaboration in complex, open-ended environments. AI systems are known to underperform humans in (1) interpreting students' emotions in learning contexts, (2) grasping the nuances of social interactions and (3) understanding domain-specific information that was not well-represented in the training data. As such, combined human and AI (ie, hybrid) approaches are needed to overcome the current limitations of AI systems. In this paper, we take a first step towards investigating how a human-AI collaboration between teachers and researchers using an AI-generated multimodal timeline can guide and support teachers' feedback while addressing students' STEM+C difficulties as they work collaboratively to build computational models and solve problems. In doing so, we present a framework characterizing the human component of our human-AI partnership as a collaboration between teachers and researchers. To evaluate our approach, we present our timeline to a high school teacher and discuss the key insights gleaned from our discussions. Our case study analysis reveals the effectiveness of an iterative approach to using human-AI collaboration to address students' STEM+C challenges: the teacher can use the AI-generated timeline to guide formative feedback for students, and the researchers can leverage the teacher's feedback to help improve the multimodal timeline. Additionally, we characterize our findings with respect to two events of interest to the teacher: (1) when the students cross a difficulty threshold, and (2) the point of intervention, that is, when the teacher (or system) should intervene to provide effective feedback. It is important to note that the teacher explained that there should be a lag between (1) and (2) to give students a chance to resolve their own difficulties. Typically, such a lag is not implemented in computer-based learning environments that provide feedback. Practitioner notes What is already known about this topic Collaborative, open-ended learning environments enhance students' STEM+C conceptual understanding and practice, but they introduce additional complexities when students learn concepts spanning multiple domains. Recent advances in generative AI and MMLA allow for integrating multiple datastreams to derive holistic views of students' states, which can support more informed feedback mechanisms to address students' difficulties in complex STEM+C environments. Hybrid human-AI approaches can help address collaborating students' STEM+C difficulties by combining the domain knowledge, emotional intelligence and social awareness of human experts with the general knowledge and efficiency of AI. What this paper adds We extend a previous human-AI collaboration framework using a hybrid intelligence approach to characterize the human component of the partnership as a researcher-teacher partnership and present our approach as a teacher-researcher-AI collaboration. We adapt an AI-generated multimodal timeline to actualize our human-AI collaboration by pairing the timeline with videos of students encountering difficulties, engaging in active discussions with a high school teacher while watching the videos to discern the timeline's utility in the classroom. From our discussions with the teacher, we define two types of inflection points to address students' STEM+C difficulties—the difficulty threshold and the intervention point—and discuss how the feedback latency interval separating them can inform educator interventions. We discuss two ways in which our teacher-researcher-AI collaboration can help teachers support students encountering STEM+C difficulties: (1) teachers using the multimodal timeline to guide feedback for students, and (2) researchers using teachers' input to iteratively refine the multimodal timeline. Implications for practice and/or policy Our case study suggests that timeline gaps (ie, disengaged behaviour identified by off-screen students, pauses in discourse and lulls in environment actions) are particularly important for identifying inflection points and formulating formative feedback. Human-AI collaboration exists on a dynamic spectrum and requires varying degrees of human control and AI automation depending on the context of the learning task and students' work in the environment. Our analysis of this human-AI collaboration using a multimodal timeline can be extended in the future to support students and teachers in additional ways, for example, designing pedagogical agents that interact directly with students, developing intervention and reflection tools for teachers, helping teachers craft daily lesson plans and aiding teachers and administrators in designing curricula. © 2024 The Author(s). British Journal of Educational Technology published by John Wiley & Sons Ltd on behalf of British Educational Research Association.",human-AI collaboration; K12 education; MMLA; multimodal learning analytics; STEM+C learning; teacher supports; timeline dashboard,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85204455857
"Naug, A.; Quiñones-Grueiro, M.; Biswas, G.","Naug, Avisek (57188968713); Quiñones-Grueiro, Marcos (57188332100); Biswas, Gautam (57211726890)",57188968713; 57188332100; 57211726890,An End-to-End Relearning Framework for Building Energy Optimization,2025,Energies,18,6,1408,,,0,10.3390/en18061408,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001108716&doi=10.3390%2Fen18061408&partnerID=40&md5=e0ee5c9ea77f6e65c542d1481c5a0523,"Building HVAC systems face significant challenges in energy optimization due to changing building characteristics and the need to balance multiple efficiency objectives. Current approaches are limited: physics-based models are expensive and inflexible, while data-driven methods require extensive data collection and ongoing maintenance. This paper introduces a systematic relearning framework for HVAC supervisory control that improves adaptability while reducing operational costs. Our approach features a Reinforcement Learning controller with self-monitoring and adaptation capabilities that responds effectively to changes in building operations and environmental conditions. We simplify the complex hyperparameter optimization process through a structured decomposition method and implement a relearning strategy to handle operational changes over time. We demonstrate our framework’s effectiveness through comprehensive testing on a building testbed, comparing performance against established control methods. © 2025 by the authors.",energy consumption; nonstationary systems; reinforcement learning; relearning,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105001108716
"Naseri, M.Y.; Snyder, C.; Pérez-Rivera, K.X.; Bhandari, S.; Workneh, H.A.; Aryal, N.; Biswas, G.; Henrick, E.C.; Hotchkiss, E.R.; Jha, M.K.; Jiang, S.; Kern, E.C.; Lohani, V.K.; Marston, L.T.; Vanags, C.P.; Xia, K.","Naseri, Md Yunus (57450541200); Snyder, Caitlin (57209638472); Pérez-Rivera, Katherine X. (58023084900); Bhandari, Sambridhi (57895801400); Workneh, Habtamu Alemu (59406425800); Aryal, Niroj (57196021275); Biswas, Gautam (57211726890); Henrick, Erin C. (56582209000); Hotchkiss, Erin R. (28067845000); Jha, Manoj Kumar (58806353700); Jiang, Steven (23013369700); Kern, Emily C. (58371458200); Lohani, Vinod K. (35518520400); Marston, Landon T. (56414585200); Vanags, C. P. (55972628300); Xia, Kang (7101891311)",57450541200; 57209638472; 58023084900; 57895801400; 59406425800; 57196021275; 57211726890; 56582209000; 28067845000; 58806353700; 23013369700; 58371458200; 35518520400; 56414585200; 55972628300; 7101891311,Integrating Data Science Into Undergraduate Science and Engineering Courses: Lessons Learned by Instructors in a Multiuniversity Research-Practice Partnership,2025,IEEE Transactions on Education,68,1,,1,12,2,10.1109/TE.2024.3436041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217717593&doi=10.1109%2FTE.2024.3436041&partnerID=40&md5=543b3b08d7905c6eb42c11c01942b36d,"Contribution: This article discusses a research-practice partnership (RPP) where instructors from six undergraduate courses in three universities developed data science modules tailored to the needs of their respective disciplines, academic levels, and pedagogies. Background: STEM disciplines at universities are incorporating data science topics to meet employer demands for data science-savvy graduates. Integrating these topics into regular course materials can benefit students and instructors. However, instructors encounter challenges in integrating data science instruction into their course schedules. Research Questions: How did instructors from multiple engineering and science disciplines working in an RPP integrate data science into their undergraduate courses? Methodology: A multiple case study approach, with each course as a unit of analysis, was used to identify data science topics and integration approaches. Findings: Instructors designed their modules to meet specific course needs, utilizing them as primary or supplementary learning tools based on their course structure and pedagogy. They selected a subset of discipline-agnostic data science topics, such as generating and interpreting visualizations and conducting basic statistical analyses. Although instructors faced challenges due to varying data science skills of their students, they valued the control they had in integrating data science content into their courses. They were uncertain about whether the modules could be adopted for use by other instructors, specifically by those outside of their discipline, but they all believed the approach for developing and integrating data science could be adapted to student needs in different situations. © 1963-2012 IEEE.",Data literacy; data science integration; modular approach; research-practice partnership (RPP); STEM,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85217717593
"Naseri, M.Y.; Lohani, V.K.; Jha, M.K.; Biswas, G.; Snyder, C.; Jiang, S.X.; Sear, C.B.","Naseri, Md Yunus (57450541200); Lohani, Vinod K. (35518520400); Jha, Manoj Kumar (55237892300); Biswas, Gautam (57211726890); Snyder, Caitlin (57209638472); Jiang, Steven X. (60368812400); Sear, Caroline Benson (60368812500)",57450541200; 35518520400; 55237892300; 57211726890; 57209638472; 60368812400; 60368812500,Integration of Data Science Modules Across Interdisciplinary Courses at Multiple Institutions: Analysis of Student and Faculty Perspectives,2025,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,,,0,10.18260/1-2--56860,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029216164&doi=10.18260%2F1-2--56860&partnerID=40&md5=714309e5eaadf48331d52fa3e5fb13a9,[No abstract available],,Conference paper,Final,,Scopus,2-s2.0-105029216164
