Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Tighe, E.E.; Liu, J.M.; Stefanucci, J.K.; Bodenheimer, B.; Creem-Regehr, S.H.","Tighe, Emily E. (57742830700); Liu, Jingjing (May) (60230495700); Stefanucci, Jeanine Kelly (6507336056); Bodenheimer, Bobby E. (56133948600); Creem-Regehr, Sarah H. (59157673800)",57742830700; 60230495700; 6507336056; 56133948600; 59157673800,"Examining differences in navigation strategy and performance in children, adolescents, and adults using the dual solution paradigm",2026,Neuropsychologia,222,,109342,,,0,10.1016/j.neuropsychologia.2025.109342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024330663&doi=10.1016%2Fj.neuropsychologia.2025.109342&partnerID=40&md5=e67f53d9318dd7645d6f41cf1e5d651c,"Individuals differ in both their navigation abilities and preferences. As children age, their spatial abilities develop, which allows for an increase in the use of survey knowledge to support navigation along novel routes or with shortcuts. Gender differences in navigation also emerge from preadolescence to adolescence, corresponding to changes in hormones and experience. The current study aimed to examine differences in navigation strategy in individuals aged 8–40. Participants completed the dual solution paradigm (DSP) where they learned a virtual environment with a layout of unique objects and were then tested on their ability to navigate back to those objects. We measured average time to complete trials, success, and strategies to take learned or novel routes to better understand the differences in spatial knowledge and strategy preference across a wide age range. We also grouped our child population (ages 8–12, 13–17) and performed additional analyses to examine the impact puberty has on these measures. The results showed that male participants navigated more efficiently and had higher rates of success than female participants, overall. For male participants, as age increased, average time to complete trials decreased. The categorical analyses showed gender differences in success and time in adolescents but not preadolescents. There were no age or gender differences in strategy usage. Our results suggest that certain spatial abilities develop at different ages depending on gender and that by adolescence children are performing at adult levels when tasked with navigating efficiently in a maze environment. These findings allow us to better understand how gender differences in navigation develop before and after the onset of puberty. © 2025 Elsevier Ltd",Development; Navigation; Spatial knowledge; Spatial memory,Article,Final,,Scopus,2-s2.0-105024330663
"Zhao, Y.; Gagnon, H.; Stefanucci, J.K.; Creem-Regehr, S.H.; Bodenheimer, B.","Zhao, Yu (57222365175); Gagnon, Holly C. (57204656801); Stefanucci, Jeanine Kelly (6507336056); Creem-Regehr, Sarah H. (59157673800); Bodenheimer, Bobby E. (56133948600)",57222365175; 57204656801; 6507336056; 59157673800; 56133948600,A Systematic Review of the Use of Augmented Reality in Pedestrian Navigation,2025,ACM Computing Surveys,58,5,122,,,1,10.1145/3770917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024981754&doi=10.1145%2F3770917&partnerID=40&md5=444d22a5bb6b536220e97e56041e2158,"Spatial computing in augmented reality (AR) overlays digital information into users’ view or immediate physical space, enhancing how we interact with our surroundings. It holds promise for pedestrian navigation, whether it is safety-critical or requires multi-tasking and real-time spatial information processing. Our systematic review of 79 articles delves into AR pedestrian navigation, covering device types, tracking methods, information taxonomy, and an evaluation of both technical and human factors. We highlight trends and future research directions, aiming to guide researchers and practitioners in identifying suitable techniques and designs that serve their applications and spurring innovation in adaptable systems and design concepts. © 2025 Copyright held by the owner/author(s).",Augmented reality; evaluation; information display; navigation,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105024981754
"Liu, Y.L.; Moretti, R.; Wang, Y.; Dong, H.; Yan, B.; Bodenheimer, B.; Derr, T.; Meiler, J.","Liu, Yunchao Lance (59896797200); Moretti, Rocco (16834023500); Wang, Yu (57225158329); Dong, Ha (59315632200); Yan, Bailu (57225119997); Bodenheimer, Bobby E. (56133948600); Derr, Tyler (57198886641); Meiler, Jens (7004961758)",59896797200; 16834023500; 57225158329; 59315632200; 57225119997; 56133948600; 57198886641; 7004961758,Advancements in Ligand-Based Virtual Screening through the Synergistic Integration of Graph Neural Networks and Expert-Crafted Descriptors,2025,Journal of Chemical Information and Modeling,65,10,,4898,4905,3,10.1021/acs.jcim.5c00822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005070251&doi=10.1021%2Facs.jcim.5c00822&partnerID=40&md5=4ccfe8a015f442a95a23336f5247a928,"The fusion of traditional chemical descriptors with graph neural networks (GNNs) offers a compelling strategy for enhancing ligand-based virtual screening methodologies. A comprehensive evaluation revealed that the benefits derived from this integrative strategy vary significantly among different GNNs. Specifically, while GCN and SchNet demonstrate pronounced improvements by incorporating descriptors, SphereNet exhibits only marginal enhancement. Intriguingly, despite SphereNet’s modest gain, all three models-GCN, SchNet, and SphereNet-achieve comparable performance levels when leveraging this combination strategy. This observation underscores a pivotal insight: sophisticated GNN architectures may be substituted with simpler counterparts without sacrificing efficacy, provided that they are augmented with descriptors. Furthermore, our analysis reveals a set of expert-crafted descriptors’ robustness in scaffold-split scenarios, frequently outperforming the combined GNN-descriptor models. Given the critical importance of scaffold splitting in accurately mimicking real-world drug discovery contexts, this finding accentuates an imperative for GNN researchers to innovate models that can adeptly navigate and predict within such frameworks. Our work not only validates the potential of integrating descriptors with GNNs in advancing ligand-based virtual screening but also illuminates pathways for future enhancements in model development and application. © 2025 The Authors. Published by American Chemical Society.",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105005070251
"Zhao, Y.; Bodenheimer, B.","Zhao, Yu (60243430800); Bodenheimer, Bobby E. (56133948600)",60243430800; 56133948600,How Spatial Ability Affects Response to Gaze-Adaptive Cueing in Mixed Reality Spatial Navigation,2025,"Proceedings - 2025 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2025",,,,1638,1648,0,10.1109/ISMAR67309.2025.00167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025035566&doi=10.1109%2FISMAR67309.2025.00167&partnerID=40&md5=9ddf09a8e5b9d054bcd5b532786f3642,"Gaze-adaptive interfaces are increasingly employed in mixed reality (MR) to support attention-aware interaction. However, it remains unclear how the usability and effectiveness of such interfaces are influenced by individual differences in spatial ability, cognition, or prior experience. This paper addresses this gap by focusing on user spatial navigation ability and its role in modulating user interaction with gaze-adaptive cues during spatial navigation. We compare gaze-adaptive cues to proximity-triggered cues in an MR navigation task, and leverage eye tracking to examine how users' gaze patterns relate to their spatial ability and spatial knowledge acquisition under each cue type. This enables us to explore contentindependent gaze measures as a potential subjective approach to assess spatial ability and learning outcomes in MR. Our findings show that gaze-adaptive cueing impacts users differently based on their spatial abilities. In particular, when adding gaze-adaptive cues, individuals with higher spatial ability seem to engaged with cues more and exhibited longer fixations. Furthermore, higher spatial ability and better learning outcomes were linked to more effective gaze patterns defined by longer fixation durations, larger saccadic amplitudes, and reduced gaze transition entropy, with effects varying by cue type. Our findings highlight the potential of gaze transition entropy for assessing spatial ability disparities in MR spatial tasks. © 2025 IEEE.",Adaptive interface; Eye tracking; Information display; Mixed/augmented reality; Spatial learning,Conference paper,Final,,Scopus,2-s2.0-105025035566
"Lyu, Y.; Chakraborty, S.; Lee, H.-S.; Gagnon, H.; Park, S.; Bodenheimer, B.","Lyu, Yuanhao (60242958300); Chakraborty, Soumyajit (57223655022); Lee, Hyeon-seung (57190622037); Gagnon, Holly C. (57204656801); Park, Sohee (7501834137); Bodenheimer, Bobby E. (56133948600)",60242958300; 57223655022; 57190622037; 57204656801; 7501834137; 56133948600,The Effect of Crowds on Peripersonal Space and Interpersonal Distance in Immersive Virtual Environments,2025,"Proceedings - 2025 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2025",,,,1365,1375,0,10.1109/ISMAR67309.2025.00141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025026866&doi=10.1109%2FISMAR67309.2025.00141&partnerID=40&md5=b0dc1dba7a464e5d4e52f20a606dcd6f,"Maintaining physical distance is a crucial aspect of social interactions in the real world. This paper investigates how people embodied in self-avatars, manage such spacing in immersive virtual environments. Specifically, we measured how interpersonal distance (IPD) and peripersonal space (PPS) were affected by a surrounding virtual crowd. We designed three crowd density conditions - no crowd, a medium crowd, and a dense crowd - where participants interacted with a virtual human. Additionally, based on the results of a questionnaire, participants were grouped into one of three groups depending on their self-reported comfort level with crowds: some found crowds relaxing, some were indifferent, and some found crowds stressful. Our findings revealed that IPD decreased as crowd density increased, regardless of the participants' groupings. However, PPS exhibited a more nuanced response, with those stressed by a crowd showing heightened sensitivity to crowd density, reflected by larger PPS boundaries, faster reaction times, and less confidence when estimating their PPS boundary. The study also identified significant interactions between crowd density and participants' comfort levels, particularly among the group stressed by a crowd, where heightened stress led to expanded personal space. These results show the critical role of social and environmental factors in shaping spatial perception and behavior in virtual environments. © 2025 IEEE.",Interpersonal Space; Peripersonal Space; Proxemics; Virtual Crowds; Virtual Human; Virtual Reality,Conference paper,Final,,Scopus,2-s2.0-105025026866
"Khatt, S.; Bodenheimer, B.","Khatt, Sreynit (59898731900); Bodenheimer, Bobby E. (56133948600)",59898731900; 56133948600,Preliminary Investigation of Real and Simulated Central Vision Loss on Visual Attention in Virtual Reality,2025,"Proceedings - 2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops, VRW 2025",,,,1188,1189,0,10.1109/VRW66409.2025.00240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005141432&doi=10.1109%2FVRW66409.2025.00240&partnerID=40&md5=8e5591f7dd78932d4986cfe311b2f24f,"Little is known about how individuals with low vision attend to 3D environments in a virtual environment (VE). This study investigates the visual attention of normal vision under a simulated vision loss and real central vision loss in a VE. We present a qualitative comparison of the saliency maps of visual attention generated from eye-tracking data of participants with normal vision under no loss and simulated low vision, saliency maps generated by a participant with low vision with and without corrective spectacles, and a saliency map generated by a computational prediction model. © 2025 IEEE.",central vision loss; saliency; simulated-vision loss; Visual attention,Conference paper,Final,,Scopus,2-s2.0-105005141432
"Bodenheimer, B.; Bruder, G.; Fox, D.; Olivier, A.-H.; Stefanucci, J.; Welch, G.; Zielasko, D.","Bodenheimer, Bobby E. (56133948600); Bruder, Gerd (23391698600); Fox, Dylan (59898324900); Olivier, Anne Hélène (15761037000); Stefanucci, Jeanine Kelly (6507336056); Welch, Greg F. (35572266400); Zielasko, Daniel (56780306500)",56133948600; 23391698600; 59898324900; 15761037000; 6507336056; 35572266400; 56780306500,The First Workshop on XR Accessibility,2025,"Proceedings - 2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops, VRW 2025",,,,1170,1171,0,10.1109/VRW66409.2025.00231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005139826&doi=10.1109%2FVRW66409.2025.00231&partnerID=40&md5=1c78822915c45977a5a00af86ee63094,"This workshop is the outgrowth of a Dagstuhl seminar (24371) held in September 2024 on Extended Reality Accessibility. The workshop brought together researchers, advocates, and other stakeholders to address concerns around accessibility in extended reality (XR). XR technologies are evolving rapidly, and have the potential to redefine communication and learning in the future. Ensuring that this evolution considers accessibility should be a primary design criterion for XR, as retroactive design is never as effective. © 2025 IEEE.",Accessibility; Extended Reality,Conference paper,Final,,Scopus,2-s2.0-105005139826
"McCracken, M.K.; Orthy, M.; Bodenheimer, B.; Stefanucci, J.; Creem-Regehr, S.H.","McCracken, Maggie K. (58960269600); Orthy, Maisha Tahsin (58243615300); Bodenheimer, Bobby E. (56133948600); Stefanucci, Jeanine Kelly (6507336056); Creem-Regehr, Sarah H. (59157673800)",58960269600; 58243615300; 56133948600; 6507336056; 59157673800,Simulating Central Vision Loss for Multisensory Navigation in Virtual Environments,2025,"Proceedings - 2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops, VRW 2025",,,,1176,1177,1,10.1109/VRW66409.2025.00234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005139322&doi=10.1109%2FVRW66409.2025.00234&partnerID=40&md5=833b62e063dc9becd981a5f2a0c68e48,"Low vision is a prevalent health issue that restricts individuals' accessibility to virtual reality technology due to reduced visual input. In this study, we developed a low vision simulation to model central vision loss, a symptom of eye conditions like macular degeneration. Participants completed a navigation task using both visual and self-motion cues under normal and simulated low vision conditions. Results indicate that simulated central vision loss alters sensory cue use in navigation. These preliminary findings highlight the potential of low vision simulations for future research, including simulating different types or amounts of vision loss and aligning simulations with the experiences of people living with low vision. © 2025 IEEE.",Low vision; multisensory integration; spatial navigation; virtual environments,Conference paper,Final,,Scopus,2-s2.0-105005139322
"Finney, H.; Gagnon, H.; Creem-Regehr, S.H.; Bodenheimer, B.; Stefanucci, J.","Finney, Hunter C. (57203970277); Gagnon, Holly C. (57204656801); Creem-Regehr, Sarah H. (59157673800); Bodenheimer, Bobby E. (56133948600); Stefanucci, Jeanine Kelly (6507336056)",57203970277; 57204656801; 59157673800; 56133948600; 6507336056,Children's Calibration of Reaching Estimates in Virtual Reality,2025,"Proceedings - 2025 IEEE Conference on Virtual Reality and 3D User Interfaces, VR 2025",,,,591,601,1,10.1109/VR59515.2025.00082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002722556&doi=10.1109%2FVR59515.2025.00082&partnerID=40&md5=2102c0f9257020e01226a8add1269aba,"How children perceive and interact in immersive virtual environments (IVEs) is an important and emerging topic as virtual reality devices proliferate among this age group. How children understand their opportunities for action in an IVE - the perceived affordances of the space - in comparison to adults has, in particular, been rarely studied. This paper addresses this gap by examining children and adults' reaching affordances in IVEs. We compared how children and adults judge their ability to reach up and out to targets at different distances in an IVE and how feedback from their actions may influence their accuracy. We found that both children and adults tend to overestimate their reaching capabilities, particularly when reaching out. However, by allowing them to actually reach up or out to the targets (action-outcome feedback), both groups significantly re-calibrated their judgments to align their estimates more closely with their actual capabilities. Notably, children exhibited greater initial overestimation than adults but recalibrated at a similar rate. These findings provide novel insights into how children interact with IVEs and suggest that well-designed feedback mechanisms can enhance their accuracy in action-based tasks. This work has implications for the design of IVEs for children, particularly in educational and training contexts, where ensuring accurate perception of capabilities is critical for learning and safety. By investigating both horizontal and vertical reach, this paper contributes to the understanding of affordance perception across age groups in IVEs, marking an essential step in adapting virtual reality technology to younger users. © 2025 IEEE.",Applied computing - Psychology; Human-centered computing; Human-centered computing - Empirical studies in HCI; Human-centered computing - Virtual reality,Conference paper,Final,,Scopus,2-s2.0-105002722556
"Lee, H.-S.; Sangimino, M.; Baxter, T.; Buck, L.; Bodenheimer, B.; Park, S.","Lee, Hyeon-seung (57190622037); Sangimino, Michael (59124237000); Baxter, Tatiana M. (57220042834); Buck, Lauren E. (57203887338); Bodenheimer, Bobby E. (56133948600); Park, Sohee (7501834137)",57190622037; 59124237000; 57220042834; 57203887338; 56133948600; 7501834137,Self-other boundary under social threat in schizophrenia,2024,Schizophrenia Research,274,,,182,188,4,10.1016/j.schres.2024.09.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204911220&doi=10.1016%2Fj.schres.2024.09.018&partnerID=40&md5=6f280d1edda06bab8f73df54538b2e77,"Spatial representation of the self plays a vital role constructing our sense of bodily self-boundary that distinguishes the self from others. This perceptual border, known as the peripersonal space (PPS), has been suggested to be altered in individuals with schizophrenia (SZ). PPS represents a protective defensive zone that triggers alarm signals upon threat detection; thus disrupted PPS could lead to social interactional difficulties. However, very little is known about the impact of threat on PPS. To address this gap, a visual-tactile response-time (RT) experiment was conducted in immersive virtual reality (VR) for SZ and matched controls (CO). Participants were asked to detect a tactile vibration on their hand while an avatar (either threatening or neutral) approached them. Avatars were presented at different distance from the participants. PPS size and slope were estimated by identifying significant RT drop at the hypothesized self-other boundary. We also examined the relationship between PPS parameters, clinical symptoms and social disconnection. There was no overall group difference in PPS size. Perceived social threat posed in the avatars sharpened the self-boundary in CO but not in SZ. In SZ, shallower PPS slope was associated with delusion, persecution, negative symptoms and loneliness but not in CO. These results show that the regulation of self-other boundary in response to impending social threat may be maladaptive in SZ. Further research is needed on the causal mechanisms between self-disturbance and social impairments. © 2024 The Authors",Multisensory processing; Peripersonal space; Schizophrenia; Self-disturbance; Self-other distinction; Social threat,Review,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85204911220
