Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Myers, C.T.; Kumar, R.D.; Pilgram, L.; Bonomi, L.; Thomas, M.; Griffith, O.L.; Fullerton, S.M.; Gibbs, R.A.","Myers, Candace T. (59508567400); Kumar, Runjun D. D. (35332364200); Pilgram, Lisa (57219961934); Bonomi, Luca (55522738500); Thomas, Mara (58456704500); Griffith, Obi Lee (7102837839); Fullerton, Stephanie Malia (7005413233); Gibbs, Richard A. (58189912700)",59508567400; 35332364200; 57219961934; 55522738500; 58456704500; 7102837839; 7005413233; 58189912700,Genomic Data and Privacy,2025,Clinical chemistry,71,1,,10,17,1,10.1093/clinchem/hvae184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214589571&doi=10.1093%2Fclinchem%2Fhvae184&partnerID=40&md5=70bcf8b6b525719cc1b16d8cf5e82223,[No abstract available],,Article,Final,,Scopus,2-s2.0-85214589571
"Fan, L.; Bonomi, L.","Fan, Liyue (57094441400); Bonomi, Luca (55522738500)",57094441400; 55522738500,Quality and Robustness of Generative Watermarking on Biomedical Data,2025,Proceedings of the International Joint Conference on Neural Networks,,,,,,0,10.1109/IJCNN64981.2025.11228416,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023987133&doi=10.1109%2FIJCNN64981.2025.11228416&partnerID=40&md5=8aa3bb1fb802f5ff4232546258094acc,"Sharing biomedical data for research can advance methodology development and improve patient care. However, data ownership, integrity, and authenticity are among the key concerns for broad biomedical data sharing. Data watermarking, a technique that embeds a message in the data, has been applied in medical imaging to address those concerns. Specifically, the majority of medical image watermarking methods embed watermarks in the frequency domains to achieve minimal data distortions. However, such methods exhibit low robustness, where perturbing the watermarked data may challenge watermark detection. In this work, we study the state-of-the-art watermarking methods based on generative models and examine their applicability to biomedical data. Those methods aim to embed watermarks in the latent space of generative models for improved robustness. We evaluate the quality of watermarked data and adopt a wide range of image perturbations to quantify the robustness of watermark detection. Our results with two real biomedical data sets show that generative watermarking is more robust than the classic approach. While pre-trained generative models may be adopted to watermark biomedical data, there might be a gap in data quality and future work could conduct comprehensive, task-specific evaluations. © 2025 IEEE.",Biomedical data; generative models; robustness; watermarking,Conference paper,Final,,Scopus,2-s2.0-105023987133
"Fan, L.; Bang, A.; Bonomi, L.","Fan, Liyue (57094441400); Bang, Ashley (57980105600); Bonomi, Luca (55522738500)",57094441400; 57980105600; 55522738500,Evaluating Generative Models in Medical Imaging,2024,"Proceedings - 2024 IEEE 12th International Conference on Healthcare Informatics, ICHI 2024",,,,553,555,2,10.1109/ICHI61247.2024.00084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203678558&doi=10.1109%2FICHI61247.2024.00084&partnerID=40&md5=e352ae25120cc9c485decf893e51cb93,"Data synthesis can address important data availability challenges in biomedical informatics. Quantitative evaluation of generative models may help understand their applications to synthesizing biomedical data. This poster paper examines state-of-the-art generative models used in medical imaging, such as StyleGAN and DDPM models, and evaluates their performance in learning data manifolds and in the visible features of generated samples. Results show that existing generative models have much to improve based on the studied measures. © 2024 IEEE.",data syn-thesis; generative models; Medical imaging,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85203678558
"Fan, L.; Bonomi, L.","Fan, Liyue (57094441400); Bonomi, Luca (55522738500)",57094441400; 55522738500,Hide Your Distance: Privacy Risks and Protection in Spatial Accessibility Analysis,2023,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,,,106,,,0,10.1145/3589132.3625656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182505737&doi=10.1145%2F3589132.3625656&partnerID=40&md5=73fe8985e56252276bd7fa5a14f34d4f,"Measuring spatial accessibility to healthcare resources and facilities has long been an important problem in public health. For example, during disease outbreaks, sharing spatial accessibility data such as individual travel distances to health facilities is vital to policy making and designing effective interventions. However, sharing these data may raise privacy concerns, as information about individual data contributors (e.g., health status and residential address) may be disclosed. In this work, we investigate those unintended information leakage in spatial accessibility analysis. Specifically, we are interested in understanding whether sharing data for spatial accessibility computations may disclose individual participation (i.e., membership inference) and personal identifiable information (i.e., address inference). Furthermore, we propose two provably private algorithms that mitigate those privacy risks. The evaluation is conducted with real population and healthcare facilities data from Mecklenburg county, NC and Nashville, TN. Compared to state-of-the-art privacy practices, our methods effectively reduce the risks of membership and address disclosure, while providing useful data for spatial accessibility analysis. © 2023 ACM.",health informatics; privacy; spatial accessibility,Conference paper,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85182505737
"Bonomi, L.; Gousheh, S.; Fan, L.","Bonomi, Luca (55522738500); Gousheh, Sepand (58728378600); Fan, Liyue (57094441400)",55522738500; 58728378600; 57094441400,Enabling Health Data Sharing with Fine-Grained Privacy,2023,"International Conference on Information and Knowledge Management, Proceedings",,,,131,141,6,10.1145/3583780.3614864,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178088348&doi=10.1145%2F3583780.3614864&partnerID=40&md5=ff5237859eca3e8a0ad9152808bcc7a9,"Sharing health data is vital in advancing medical research and transforming knowledge into clinical practice. Meanwhile, protecting the privacy of data contributors is of paramount importance. To that end, several privacy approaches have been proposed to protect individual data contributors in data sharing, including data anonymization and data synthesis techniques. These approaches have shown promising results in providing privacy protection at the dataset level. In this work, we study the privacy challenges in enabling fine-grained privacy in health data sharing. Our work is motivated by recent research findings, in which patients and healthcare providers may have different privacy preferences and policies that need to be addressed. Specifically, we propose a novel and effective privacy solution that enables data curators (e.g., healthcare providers) to protect sensitive data elements while preserving data usefulness. Our solution builds on randomized techniques to provide rigorous privacy protection for sensitive elements and leverages graphical models to mitigate privacy leakage due to dependent elements. To enhance the usefulness of the shared data, our randomized mechanism incorporates domain knowledge to preserve semantic similarity and adopts a block-structured design to minimize utility loss. Evaluations with real-world health data demonstrate the effectiveness of our approach and the usefulness of the shared data for health applications. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Data Privacy; Data Sharing; Health Data,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85178088348
"Bonomi, L.; Lionts, M.; Fan, L.","Bonomi, Luca (55522738500); Lionts, Marilyn (58886284600); Fan, Liyue (57094441400)",55522738500; 58886284600; 57094441400,Private Continuous Survival Analysis with Distributed Multi-Site Data,2023,"Proceedings - 2023 IEEE International Conference on Big Data, BigData 2023",,,,5444,5453,2,10.1109/BigData59044.2023.10386571,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184979298&doi=10.1109%2FBigData59044.2023.10386571&partnerID=40&md5=ede8f969d086638a4e36e12cd25d1497,"Effective disease surveillance systems require large-scale epidemiological data to improve health outcomes and quality of care for the general population. As data may be limited within a single site, multi-site data (e.g., from a number of local/regional health systems) need to be considered. Leveraging distributed data across multiple sites for epidemiological analysis poses significant challenges. Due to the sensitive nature of epidemiological data, it is imperative to design distributed solutions that provide strong privacy protections. Current privacy solutions often assume a central site, which is responsible for aggregating the distributed data and applying privacy protection before sharing the results (e.g., aggregation via secure primitives and differential privacy for sharing aggregate results). However, identifying such a central site may be difficult in practice and relying on a central site may introduce potential vulnerabilities (e.g., single point of failure). Furthermore, to support clinical interventions and inform policy decisions in a timely manner, epidemiological analysis need to reflect dynamic changes in the data. Yet, existing distributed privacy-protecting approaches were largely designed for static data (e.g., one-time data sharing) and cannot fulfill dynamic data requirements. In this work, we propose a privacy-protecting approach that supports the sharing of dynamic epidemiological analysis and provides strong privacy protection in a decentralized manner. We apply our solution in continuous survival analysis using the Kaplan-Meier estimation model while providing differential privacy protection. Our evaluations on a real dataset containing COVID-19 cases show that our method provides highly usable results. © 2023 IEEE.",Data Privacy; Distributed Data; Survival Analysis,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85184979298
"Fan, L.; Bonomi, L.","Fan, Liyue (57094441400); Bonomi, Luca (55522738500)",57094441400; 55522738500,Mitigating Membership Inference in Deep Survival Analyses with Differential Privacy,2023,"Proceedings - 2023 IEEE 11th International Conference on Healthcare Informatics, ICHI 2023",,,,81,90,3,10.1109/ICHI57859.2023.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181579797&doi=10.1109%2FICHI57859.2023.00022&partnerID=40&md5=8ca7a35fbb600c54699948960a5cb8b3,"Deep neural networks have been increasingly integrated in healthcare applications to enable accurate predicative analyses. Sharing trained deep models not only facilitates knowledge integration in collaborative research efforts but also enables equitable access to computational intelligence. However, recent studies have shown that an adversary may leverage a shared model to learn the participation of a target individual in the training set. In this work, we investigate privacy-protecting model sharing for survival studies. Specifically, we pose three research questions. (1) Do deep survival models leak membership information? (2) How effective is differential privacy in defending against membership inference in deep survival analyses? (3) Are there other effects of differential privacy on deep survival analyses? Our study assesses the membership leakage in emerging deep survival models and develops differentially private training procedures to provide rigorous privacy protection. The experimental results show that deep survival models leak membership information and our approach effectively reduces membership inference risks. The results also show that differential privacy introduces a limited performance loss, and may improve the model robustness in the presence of noisy data, compared to non-private models. © 2023 IEEE.",Data Privacy; Deep Learning; Membership Inference; Survival Analysis,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85181579797
"Bonomi, L.; Wu, Z.; Fan, L.","Bonomi, Luca (55522738500); Wu, Zeyun (57743150100); Fan, Liyue (57094441400)",55522738500; 57743150100; 57094441400,Sharing personal ECG time-series data privately,2022,Journal of the American Medical Informatics Association,29,7,,1152,1160,5,10.1093/jamia/ocac047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132049850&doi=10.1093%2Fjamia%2Focac047&partnerID=40&md5=217a33a1f6a1e325f80b9d7e0787f293,"Objective: Emerging technologies (eg, wearable devices) have made it possible to collect data directly from individuals (eg, time-series), providing new insights on the health and well-being of individual patients. Broadening the access to these data would facilitate the integration with existing data sources (eg, clinical and genomic data) and advance medical research. Compared to traditional health data, these data are collected directly from individuals, are highly unique and provide fine-grained information, posing new privacy challenges. In this work, we study the applicability of a novel privacy model to enable individual-level time-series data sharing while maintaining the usability for data analytics. Methods and materials: We propose a privacy-protecting method for sharing individual-level electrocardiography (ECG) time-series data, which leverages dimensional reduction technique and random sampling to achieve provable privacy protection. We show that our solution provides strong privacy protection against an informed adversarial model while enabling useful aggregate-level analysis. Results: We conduct our evaluations on 2 real-world ECG datasets. Our empirical results show that the privacy risk is significantly reduced after sanitization while the data usability is retained for a variety of clinical tasks (eg, predictive modeling and clustering). Discussion: Our study investigates the privacy risk in sharing individual-level ECG time-series data. We demonstrate that individual-level data can be highly unique, requiring new privacy solutions to protect data contributors. Conclusion: The results suggest our proposed privacy-protection method provides strong privacy protections while preserving the usefulness of the data. © 2022 The Author(s) 2022. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.",data privacy; data sharing; ECG data; predictive analytics; time-series,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85132049850
"Dai, W.; Jiang, X.; Bonomi, L.; Li, Y.; Xiong, H.; Ohno-Machado, L.","Dai, Wenrui (24723796900); Jiang, Xiaoqian (59051718600); Bonomi, Luca (55522738500); Li, Yong (56416867600); Xiong, Hongkai (55617584700); Ohno-Machado, Lucila (7005192335)",24723796900; 59051718600; 55522738500; 56416867600; 55617584700; 7005192335,VERTICOX: Vertically Distributed Cox Proportional Hazards Model Using the Alternating Direction Method of Multipliers,2022,IEEE Transactions on Knowledge and Data Engineering,34,2,,996,1010,14,10.1109/TKDE.2020.2989301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123628380&doi=10.1109%2FTKDE.2020.2989301&partnerID=40&md5=3aed67217a4a372d2d2f2f2ed0a09264,"The Cox proportional hazards model is a popular semi-parametric model for survival analysis. In this paper, we aim at developing a federated algorithm for the Cox proportional hazards model over vertically partitioned data (i.e., data from the same patient are stored at different institutions). We propose a novel algorithm, namely VERTICOX, to obtain the global model parameters in a distributed fashion based on the Alternating Direction Method of Multipliers (ADMM) framework. The proposed model computes intermediary statistics and exchanges them to calculate the global model without collecting individual patient-level data. We demonstrate that our algorithm achieves equivalent accuracy for the estimation of model parameters and statistics to that of its centralized realization. The proposed algorithm converges linearly under the ADMM framework. Its computational complexity and communication costs are polynomially and linearly associated with the number of subjects, respectively. Experimental results show that VERTICOX can achieve accurate model parameter estimation to support federated survival analysis over vertically distributed data by saving bandwidth and avoiding exchange of information about individual patients. The source code for VERTICOX is available at: https://github.com/daiwenrui/VERTICOX. © 1989-2012 IEEE.",alternating direction method of multipliers; cox proportional hazards model; Federated survival analysis; privacy protection; vertically partitioned data,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85123628380
"Zhang, C.; Bonomi, L.","Zhang, Chonghao (57224195667); Bonomi, Luca (55522738500)",57224195667; 55522738500,Mitigating Membership Inference in Deep Learning Applications with High Dimensional Genomic Data,2022,"Proceedings - 2022 IEEE 10th International Conference on Healthcare Informatics, ICHI 2022",,,,534,536,1,10.1109/ICHI54592.2022.00101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139084037&doi=10.1109%2FICHI54592.2022.00101&partnerID=40&md5=3959ae8d0be70e3ee2e3a1158ddfbd27,"The use of deep learning techniques in medical applications holds great promises for advancing health care. However, there are growing privacy concerns regarding what information about individual data contributors (i.e., patients in the training set) these deep models may reveal when shared with external users. In this work, we first investigate the membership privacy risks in sharing deep learning models for cancer genomics tasks, and then study the applicability of privacy-protecting strategies for mitigating these privacy risks. © 2022 IEEE.",Deep Learning; Genomic Data; Privacy,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85139084037
