Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Byeon, K.; Park, H.; Park, S.; Cluce, J.; Mehta, K.; Cieslak, M.; Cui, Z.; Hong, S.-J.; Chang, C.; Smallwood, J.; Satterthwaite, T.D.; Milham, M.P.; Xu, T.","Byeon, Kyoungseob (57206728110); Park, Hyunjin (56512679000); Park, Shinwon (57193682977); Cluce, Jon (59728793500); Mehta, Kahini P. (57857721000); Cieslak, Matthew C. (55279462800); Cui, Zaixu (55588486800); Hong, Seokjun (55901419800); Chang, Catie E. (56561973300); Smallwood, Jonathan M. (7005623257); Satterthwaite, Theodore Daniel (18537988600); Milham, Michael Peter (6701672014); Xu, Ting (35996035600)",57206728110; 56512679000; 57193682977; 59728793500; 57857721000; 55279462800; 55588486800; 55901419800; 56561973300; 7005623257; 18537988600; 6701672014; 35996035600,Developmental variations in recurrent spatiotemporal brain propagations from childhood to adulthood,2026,Nature Communications,17,1,1012,,,0,10.1038/s41467-025-67754-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028789463&doi=10.1038%2Fs41467-025-67754-w&partnerID=40&md5=e3f2dcab73758f94ec8b44f2b876a1c9,"The brain undergoes profound structural and functional development from childhood to adolescence. Convergent evidence suggests that neurodevelopment proceeds in a hierarchical manner, characterized by heterogeneous maturation patterns across brain regions and networks. However, the maturation of the intrinsic spatiotemporal propagations of brain activity remains largely unexplored. This study aims to bridge this gap by delineating spatiotemporal propagations from childhood to early adulthood. By leveraging a recently developed approach that captures time-lag dynamic propagations, we characterized intrinsic dynamic propagations along three axes: sensory-association (S-A), ‘task-positive’ to default networks (TP-D), and somatomotor-visual (SM-V) networks, which progress towards adult-like brain dynamics from childhood to early adulthood. Importantly, we demonstrated that as participants mature, there is a prolonged occurrence of the S-A and TP-D propagation states, indicating that they spend more time in these states. Conversely, the prevalence of SM-V propagation states declines during development. Notably, top-down propagations along the S-A axis exhibited an age-dependent increase in occurrence, serving as a superior predictor of cognitive scores compared to bottom-up S-A propagation. These findings were replicated across two independent cohorts (Human Connectome Project: Development and Nathan Kline Institute-Rockland Sample), emphasizing the robustness and generalizability of these findings. Our results provide new insights into the developmental progression of functional dynamics during youth and their role in supporting cognition. © The Author(s) 2026.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105028789463
"Wang, S.; Song, R.; Lochard, L.M.; Fan, J.; Li, Y.; Kundert-Obando, K.; Martin, C.; Goodale, S.E.; Pourmotabbed, H.; Harding, J.M.; Lee, T.; Li, C.; Zhang, S.; Bayrak, R.G.; Bolt, T.; Nomi, J.S.; Uddin, L.Q.; Chen, J.E.; Mather, M.; Chang, C.","Wang, Shiyu (58158341200); Song, Richard (59964688000); Lochard, Laurent M. (59700431700); Fan, Jiawen (59549282500); Li, Yamin (57214236515); Kundert-Obando, Kimberly (60389711700); Martin, Caroline G. (57288429700); Goodale, Sarah E. (57203140921); Pourmotabbed, Haatef (57214891270); Harding, Jeffrey Mason (59910446500); Lee, Terra (60056989600); Li, Chang (60389604300); Zhang, Shengchao (57219409125); Bayrak, Roza G. (57204806278); Bolt, Taylor S. (55583499400); Nomi, Jason S. (35322974900); Uddin, Lucina Q. (8547715200); Chen, Jingyuan E. (56467546500); Mather, Mara M. (35612038600); Chang, Catie E. (56561973300)",58158341200; 59964688000; 59700431700; 59549282500; 57214236515; 60389711700; 57288429700; 57203140921; 57214891270; 59910446500; 60056989600; 60389604300; 57219409125; 57204806278; 55583499400; 35322974900; 8547715200; 56467546500; 35612038600; 56561973300,Distributed fMRI Patterns Coupled to Low-Frequency Cardiorespiratory Dynamics Provide Markers of Aging,2026,The Journal of neuroscience : the official journal of the Society for Neuroscience,46,6,,,,0,10.1523/JNEUROSCI.1231-25.2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030085026&doi=10.1523%2FJNEUROSCI.1231-25.2026&partnerID=40&md5=c1917b3ed98da5f9cdf06aad2c362dc4,"How aging affects brain-body connections can be investigated through changes in the coupling between functional magnetic resonance imaging (fMRI) signals and bodily autonomic processes across the adult lifespan. Recent studies using univariate approaches have identified age-related changes in the association between fMRI signals from multiple individual brain regions and low-frequency respiratory and cardiac activity. Here, we investigate if whole-brain spatial fMRI patterns associated with low-frequency physiological processes (heart rate and respiratory volume fluctuations) present generalizable changes with age. Data from human participants of both sexes are included in the analysis. We find that chronological age can be predicted statistically beyond chance from patterns of low-frequency fMRI-physiological coupling, even after accounting for individual differences in physiological signal characteristics and brain anatomy. Notably, brain areas implicated in central autonomic regulation, including nodes within salience and ventral attention networks (e.g., insula and middle cingulate cortex), are among the strongest contributors to age prediction. Furthermore, we observe that after removing physiological effects from fMRI data, the residual blood oxygen level-dependent signal variability is still a reliable indicator of age. Together, these findings underscore the close integration between brain and body physiology and highlight this interaction as a potential biomarker of the aging process. © © 2026 the authors.",aging; brain–body interactions; fMRI variability; heart rate; respiratory variation; systemic physiology,Article,Final,,Scopus,2-s2.0-105030085026
"Kundert-Obando, K.; Lee, T.; Martin, C.; Kaur, K.; Lagándara, J.G.; Li, Y.; Harding, J.M.; Wang, S.; Song, R.; Yang, R.; Guntaka, R.; Goodale, S.E.; Bayrak, R.G.; Uddin, L.Q.; Walter, M.; Hogeveen, J.; Chang, C.","Kundert-Obando, Kimberly (60389711700); Lee, Terra (60056989600); Martin, Caroline G. (57288429700); Kaur, Kamalpreet (60056866700); Lagándara, Juan Gomez (57193548216); Li, Yamin (57214236515); Harding, Jeffrey Mason (59910446500); Wang, Shiyu (58158341200); Song, Richard (59964688000); Yang, Ruoqi (59964775500); Guntaka, Rithwik (60057021900); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Uddin, Lucina Q. (8547715200); Walter, Martin (35300798800); Hogeveen, Jeremy P. (36008494600); Chang, Catie E. (56561973300)",60389711700; 60056989600; 57288429700; 60056866700; 57193548216; 57214236515; 59910446500; 58158341200; 59964688000; 59964775500; 60057021900; 57203140921; 57204806278; 8547715200; 35300798800; 36008494600; 56561973300,Global cortical arousal effects in fMRI reveal brain markers of state and trait anxiety,2026,Cerebral Cortex,36,2,bhag008,,,0,10.1093/cercor/bhag008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030267384&doi=10.1093%2Fcercor%2Fbhag008&partnerID=40&md5=5a45882f4f59ca65398ba3d202704496,"To personalize the diagnosis and treatment of anxiety, there is a need to identify biological constructs that underlie self-reported symptoms. Notably, physiological responses and levels of arousal are constituents of anxiety, and have widespread (“global”) effects on functional magnetic resonance imaging (fMRI) signals that may provide novel brain markers of anxiety. Here, we modeled autonomic physiological and cortical arousal signatures in fMRI data and determined whether these global fMRI components relate to measures of state and trait anxiety. Additionally, we tested if these global effects impact relationships between brain network connectivity and anxiety levels. We found significant relationships between fMRI global components and state/trait anxiety scores, identifying brain regions in which the strength of the global mean fMRI signal and the cortical arousal-related fMRI signal were associated with both state and trait anxiety. Notably, the resulting patterns exhibited substantial overlap with established large-scale functional networks, including the default-mode network. These findings indicate that global effects in fMRI signals hold valuable information that may reveal how cortical arousal is expressed in anxiety, and may provide a source of information that has previously been treated as a confound. © The Author(s) 2026. Published by Oxford University Press.",fmri; global mean signal; state anxiety; trait anxiety,Article,Final,,Scopus,2-s2.0-105030267384
"Li, C.; Li, Y.; Pourmotabbed, H.; Zhang, S.; Salas, J.A.; Goodale, S.E.; Bayrak, R.G.; Chang, C.","Li, Chang (60126848100); Li, Yamin (57214236515); Pourmotabbed, Haatef (57214891270); Zhang, Shengchao (57219409125); Salas, Jorge Alberto (57219433500); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",60126848100; 57214236515; 57214891270; 57219409125; 57219433500; 57203140921; 57204806278; 56561973300,CBrain: Cross-Modal Learning for Brain Vigilance Detection in Resting-State fMRI,2026,Lecture Notes in Computer Science,15960 LNCS,,,109,119,0,10.1007/978-3-032-04927-8_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017849276&doi=10.1007%2F978-3-032-04927-8_11&partnerID=40&md5=53db3cdd0f41ad26e5400a942c0b21c5,"Detecting human vigilance states (e.g., natural shifts between alertness and drowsiness) from functional magnetic resonance imaging (fMRI) data can provide novel insight into the whole-brain patterns underlying these critical states. Moreover, as a person’s vigilance levels are closely tied to their behavior and brain activity, vigilance state can strongly influence the results of fMRI studies. Therefore, the ability to annotate fMRI scans with vigilance information can also enable clearer and more robust results in fMRI research. However, well-established vigilance indicators are derived from other modalities such as behavioral responses, electroencephalography (EEG), and pupillometry, which are not typically available in fMRI data collection. While previous works indicate the promise of distinguishing vigilance states from fMRI alone, EEG data can provide reliable vigilance indicators that complement and augment fMRI domain information. Here, we propose CBrain: Cross-modal learning for Brain vigilance detection in resting-state fMRI. Our model transfers EEG vigilance information into an fMRI latent space in training, and predicts human vigilance states using only fMRI data in testing, addressing the need for external vigilance indicators. Experimental results demonstrate CBrain’s ability to predict vigilance states across different individuals at a granularity of 10-fMRI-frames with an 81.07%mF1 score on a test set of unseen subjects. Additionally, our generalization experiments highlight the model’s potential to estimate vigilance in an unseen task and in resting-state fMRI scans collected with a different scanner at a different site. Source code: https://github.com/neurdylab/CBrain. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",brain patterns; cross-modal learning; EEG; fMRI,Conference paper,Final,,Scopus,2-s2.0-105017849276
"Reda, A.; Doss, D.J.; Makhoul, G.S.; Monroy Lerma, B.H.; Johnson, G.; Sainburg, L.E.; Cavender, A.C.; Sundrani, S.; Liao, E.; Roche, A.; Long, I.; Kang, H.; Dawant, B.; Chang, C.; Bick, S.K.; Nobis, W.P.; Morgan, V.; Englot, D.J.","Reda, Anas (59542253400); Doss, Derek J. (57194498541); Makhoul, Ghassan S. (57221761344); Monroy Lerma, Bruno Hidalgo (60193177200); Johnson, Graham W. (57216801905); Sainburg, Lucas E. (57218860730); Cavender, Addison C. (59542240900); Sundrani, Sameer (57203156475); Liao, Emily (59328433900); Roche, Alexandra (58960290600); Long, Isabel (59986736200); Kang, Hakmook (60136243500); Dawant, Benoît M. (7007025943); Chang, Catie E. (56561973300); Bick, Sarah Kathleen B. (57189843404); Nobis, William P. (7801682023); Morgan, Victoria L. (7004877594); Englot, Dario J. (23667065900)",59542253400; 57194498541; 57221761344; 60193177200; 57216801905; 57218860730; 59542240900; 57203156475; 59328433900; 58960290600; 59986736200; 60136243500; 7007025943; 56561973300; 57189843404; 7801682023; 7004877594; 23667065900,Altered Interictal Bed Nucleus of Stria Terminalis Connectivity in Patients With Temporal Lobe Epilepsy,2025,Neurology,105,11,,e214385,,0,10.1212/WNL.0000000000214385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021792764&doi=10.1212%2FWNL.0000000000214385&partnerID=40&md5=56273076196bdf566733ddea793e7179,"BACKGROUND AND OBJECTIVES: Temporal lobe epilepsy (TLE) is a highly prevalent neurologic disorder, with 30%-50% of patients developing drug-resistant epilepsy. Pharmacoresistant seizures remodel critical arousal and respiratory networks, impairing autonomic function and chemoreception and putting patients at increased risk of adverse respiratory events and sudden unexpected death (SUDEP). Given that the bed nucleus of stria terminalis (BNST) serves as a key relay between brainstem respiratory nuclei and cortical arousal networks, we characterized interictal BNST connectivity alterations in patients with TLE. METHODS: We conducted a case-control study of patients with drug-resistant TLE evaluated for epilepsy surgery at Vanderbilt University Medical Center, compared with healthy controls with no history of neurologic disease. Inclusion criteria for patients included clinical TLE diagnosis and age 18-65 years. Using resting-state fMRI (multiband factor = 3, repetition time [TR] = 1.3 seconds), we measured functional connectivity (FC) and effective connectivity through Granger causality (GC) between BNST and whole-brain cortical networks, and brainstem nuclei. Graph theoretical network metrics assessed BNST hub properties. Statistical analyses used multiple comparison corrections and age-corrected z-scores. RESULTS: Thirty-seven patients with TLE (mean age 42.5 ± 12.1 years, 43.2% female) and 33 healthy controls (mean age 36.2 ± 12.0 years, 54.5% female) were studied. Patients demonstrated bilateral reductions in BNST connectivity and causal influence with the whole brain (FC: -2.31 ± 2.87, p = 0.0032; GC: -0.18 ± 0.08, p = 0.0025). While FC showed preserved BNST-brainstem connectivity, GC revealed ipsilateral disruptions in BNST influence over ventral tegmental area (0.023 ± 0.026, p = 0.0067), median raphe (-0.009 ± 0.029, p = 0.0038), and cuneiform nuclei (0.012 ± 0.062, p = 0.0153). Critical respiratory circuits showed divergent reorganization: dorsal raphe-parabrachial complex pathways exhibited 57.2% efferent reduction (p = 0.0028), with 204.6% compensatory afferent increase (p = 0.0020), while dorsal raphe-locus coeruleus circuits showed bilateral deterioration (66.2% reduction in dorsal raphe-locus coeruleus [DR→LC], p = 0.0015; 56.4% reduction in LC→DR, p = 0.0189). Graph analyses confirmed compromised BNST network integration bilaterally (p < 0.05). DISCUSSION: Our findings reveal network reorganization in TLE that compromises autonomic and arousal circuit integrity, leading to failed respiratory-autonomic integration that may underlie respiratory vulnerability and increased SUDEP risk; however, we did not directly study SUDEP cases.",,Article,Final,,Scopus,2-s2.0-105021792764
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Fogo, A.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Fogo, Agnes B. (7102673654); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59442510500; 56561973300; 59315480700; 7102673654; 58952280800; 8638224800; 56830058500,Evaluating cell AI foundation models in kidney pathology with human-in-the-loop enrichment,2025,Communications Medicine,5,1,495,,,0,10.1038/s43856-025-01205-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022790247&doi=10.1038%2Fs43856-025-01205-x&partnerID=40&md5=9a563ea34e43e8c8b11432615ddcb1e3,"Background: Large-scale artificial intelligence foundation models have emerged as promising tools for addressing healthcare challenges, including digital pathology. While many have been developed for complex tasks such as disease diagnosis and tissue quantification using extensive and diverse datasets, their readiness for seemingly simpler tasks, such as nuclei segmentation within a single organ (for example, the kidney), remains unclear. This study answers two questions: How good are current cell foundation models? and How can we improve them? Methods: We curated a multi-center, multi-disease, and multi-species dataset sampled from 2542 kidney whole slide images. Three state-of-the-art cell foundation models—Cellpose, StarDist, and CellViT—were evaluated. To enhance performance, we developed a human-in-the-loop strategy that distilled multi-model predictions, improving data quality while reducing reliance on pixel-level annotation. Fine-tuning was performed using the enriched datasets, and segmentation performance was quantitatively assessed. Results: Here we show that cell nuclei segmentation in kidney pathology still requires improvement with more organ-targeted foundation models. Among the evaluated models, CellViT achieves the highest baseline performance, with an F1 score of 0.78. Fine-tuning with enriched data improves all three models, with StarDist achieving the highest F1 score of 0.82. The combination of the foundation model-generated pseudo-labels and a subset of pathologist-corrected “hard” patches yields consistent performance gains across all models. Conclusions: This study establishes a benchmark for the development and deployment of cell AI foundation models tailored to real-world data. The proposed framework, which leverages foundation models with reduced expert annotation, supports more efficient workflows in clinical pathology. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105022790247
"Chen, J.E.; Lewis, L.D.; Coursey, S.E.; Catana, C.; Polimeni, J.R.; Fan, J.; Droppa, K.S.; Patel, R.; Wey, H.-Y.; Chang, C.; Manoach, D.S.; Price, J.C.; Sander, C.Y.; Rosen, B.R.","Chen, Jingyuan E. (56467546500); Lewis, Laura D. (54380454200); Coursey, Sean E. (59463551700); Catana, Ciprian (14014150000); Polimeni, Jonathan R. (8287639500); Fan, Jiawen (59549282500); Droppa, Kyle S. (57195419423); Patel, Rudra (57488926100); Wey, Hsiaoying (36085405800); Chang, Catie E. (56561973300); Manoach, Dara S. (7003820011); Price, Julie C. (57218960944); Sander, Christin Y.M. (55578667600); Rosen, Bruce Robert (7202720912)",56467546500; 54380454200; 59463551700; 14014150000; 8287639500; 59549282500; 57195419423; 57488926100; 36085405800; 56561973300; 7003820011; 57218960944; 55578667600; 7202720912,Simultaneous EEG-PET-MRI identifies temporally coupled and spatially structured brain dynamics across wakefulness and NREM sleep,2025,Nature Communications,16,1,8887,,,1,10.1038/s41467-025-64414-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019510815&doi=10.1038%2Fs41467-025-64414-x&partnerID=40&md5=875200a45be548ccf8cd6ed3664ee3dc,"Sleep entails significant changes in cerebral hemodynamics and metabolism. Yet, the way these processes evolve throughout wakefulness and sleep and their spatiotemporal dependence remain largely unknown. Here, by integrating a functional PET technique with simultaneous EEG-fMRI, we reveal a tightly coupled temporal progression of global hemodynamics and metabolism during the descent into NREM sleep, with large hemodynamic fluctuations emerging as global glucose metabolism declines, both of which track EEG arousal dynamics. Furthermore, we identify two distinct network patterns that emerge during NREM sleep: a ~0.02-Hz oscillating, high-metabolism sensorimotor network remains active and dynamic, whereas hemodynamic and metabolic activity in the default-mode network is suppressed. These results elucidate how sleep diminishes awareness while preserving sensory responses, and uncover a complex, alternating balance of neuronal, hemodynamic, and metabolic dynamics in the sleeping brain. This work also demonstrates the potential of EEG-PET-MRI to explore neuro-metabolic-hemodynamic mechanisms underlying cognition and arousal in humans. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105019510815
"Fan, J.; Juttukonda, M.R.; Goodale, S.E.; Wang, S.; Orban, C.; Varadarajan, D.; Polimeni, J.R.; Chang, C.; Salat, D.H.; Chen, J.E.","Fan, Jiawen (59549282500); Juttukonda, Meher R. (55909926100); Goodale, Sarah E. (57203140921); Wang, Shiyu (58158341200); Orban, Csaba (56711106000); Varadarajan, Divya (55823357100); Polimeni, Jonathan R. (8287639500); Chang, Catie E. (56561973300); Salat, David H. (7003356639); Chen, Jingyuan E. (56467546500)",59549282500; 55909926100; 57203140921; 58158341200; 56711106000; 55823357100; 8287639500; 56561973300; 7003356639; 56467546500,Functional MRI signatures of autonomic physiology in aging,2025,Communications Biology,8,1,1287,,,0,10.1038/s42003-025-08703-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014163508&doi=10.1038%2Fs42003-025-08703-7&partnerID=40&md5=3494d2c086fbf1d9fe35f69b4db8c853,"While traditionally regarded as “noise”, blood-oxygenation-level-dependent (BOLD) functional Magnetic Resonance Imaging (fMRI) fluctuations coupled to systemic physiology—such as heart rate and respiratory changes—also hold valuable information about brain vascular properties and autonomic function. In this study, we leverage these physiological signals to characterize age-related changes in brain physiology, drawing on a large dataset from the Lifespan Human Connectome Project Aging study. Our findings reveal that aging is associated with globally slower respiratory fMRI responses, alongside faster cardiac fMRI responses and enhanced brain-cardiac signal coupling. Moreover, we show that the impact of age on physiological fMRI signals exhibits a notable turning point after age 60, suggesting a critical role of declining vascular health and autonomic function in aging. The potential impact of age-related changes in brain structure, tissue perfusion, and in-scan arousal states on the identified physiological fMRI patterns is also tested and discussed. Altogether, our results underscore significant age effects in the fMRI signatures of systemic physiology, emphasizing the pivotal role of altered vascular properties and autonomic function in aging. Methodologically, this study also demonstrates the utility of resting-state fMRI for extracting multi-parametric information about brain physiology, offering new biomarker opportunities that complement established functional connectivity metrics. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105014163508
"Schilling, K.G.; Newton, A.; Tax, C.M.W.; Chamberland, M.; Remedios, S.W.; Gao, Y.; Li, M.; Chang, C.; Rheault, F.; Sepherband, F.; Anderson, A.W.; Gore, J.C.; Landman, B.A.","Schilling, Kurt G. (56192036700); Newton, Allen T. (7201391829); Tax, Chantal M.W. (55364874700); Chamberland, Maxime (55808645900); Remedios, Samuel W. (57201854184); Gao, Yurui (56163925700); Li, Muwei (55668708600); Chang, Catie E. (56561973300); Rheault, François (57062832800); Sepherband, Farshid (59913389200); Anderson, Adam W. (7403369918); Gore, John C. (7202242633); Landman, Bennett Allan (16679175200)",56192036700; 7201391829; 55364874700; 55808645900; 57201854184; 56163925700; 55668708600; 56561973300; 57062832800; 59913389200; 7403369918; 7202242633; 16679175200,The relationship of white matter tract orientation to vascular geometry in the human brain,2025,Scientific Reports,15,1,18396,,,1,10.1038/s41598-025-99724-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006464880&doi=10.1038%2Fs41598-025-99724-z&partnerID=40&md5=b3c868abea93ab3b5de7c523deed9b93,"The white matter of the human brain exhibits highly ordered anisotropic structures of both axonal nerve fibers and cerebral vasculature. Separately, the anisotropic nature of white matter axons and white matter vasculature have been shown to cause an orientation dependence on various MRI contrasts used to study the structure and function of the brain; however, little is known of the relationship between axonal and vascular orientations. Thus, the aim of this study is to compare the orientation between nerve fibers and vasculature within the white matter. To do this, we use diffusion MRI and susceptibility weighted imaging acquired in the same healthy young adult volunteers and analyze the alignment between white matter fibers and blood vessels in different brain regions, and along different pathways, to determine the degree of alignment between these structures. We first describe vascular orientation throughout the brain and note several regions with consistent orientations across individuals. Next, we find that vasculature does not necessarily align with the dominant direction of white matter in many regions, but, due to the presence of crossing fiber populations, does align with at least some white matter within each MRI voxel. Even though the spatial patterns of blood vessels run in parallel to several white matter tracts, they do not do so along the entire pathway, nor for all pathways, suggesting that vasculature does not supply/drain blood in a tract-specific manner. Overall, these findings suggest that the vascular architecture within the white matter is closely related to, but not the same as, the organization of neural pathways. This study contributes to a better understanding of the microstructural arrangement of the brain and may have implications for interpreting neuroimaging data in health and disease. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-105006464880
"Bayrak, R.G.; Hansen, C.B.; Salas, J.A.; Ahmed, N.; Lyu, I.; Mather, M.; Huo, Y.; Chang, C.","Bayrak, Roza G. (57204806278); Hansen, Colin B. (57202756650); Salas, Jorge Alberto (57219433500); Ahmed, Nafis (57199979016); Lyu, Ilwoo (58290940200); Mather, Mara M. (35612038600); Huo, Yuankai (56830058500); Chang, Catie E. (56561973300)",57204806278; 57202756650; 57219433500; 57199979016; 58290940200; 35612038600; 56830058500; 56561973300,DeepPhysioRecon: Tracing peripheral physiology in low frequency fMRI dynamics,2025,Imaging Neuroscience,3,,IMAG.a.163,,,0,10.1162/IMAG.a.163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017923291&doi=10.1162%2FIMAG.a.163&partnerID=40&md5=3bb0151dc9adf2bcbdee0c559fc0be64,"Many studies of the human brain using functional magnetic resonance imaging (fMRI) lack physiological measurements, which substantially impacts the interpretation and richness of fMRI studies. Natural fluctuations in autonomic physiology, such as breathing and heart rate, provide windows into critical functions, including cognition, emotion, and health, and can heavily influence fMRI signals. Here, we developed DeepPhysioRecon, a Long-Short-Term-Memory (LSTM)-based network that decodes continuous variations in respiration amplitude and heart rate directly from whole-brain fMRI dynamics. Through systematic evaluations, we investigate the generalizability of this approach across datasets and experimental conditions. We also demonstrate the importance of including these measures in fMRI analyses. This work highlights the importance of studying brain-body interactions, proposes a tool that may enhance the efficacy of fMRI as a biomarker, and provides widely applicable open-source software. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",brain-body; fMRI; heart rate; respiration,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105017923291
