Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Fogo, A.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Fogo, Agnes B. (7102673654); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59442510500; 56561973300; 59315480700; 7102673654; 58952280800; 8638224800; 56830058500,Evaluating cell AI foundation models in kidney pathology with human-in-the-loop enrichment,2025,Communications Medicine,5,1,495,,,0,10.1038/s43856-025-01205-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022790247&doi=10.1038%2Fs43856-025-01205-x&partnerID=40&md5=9a563ea34e43e8c8b11432615ddcb1e3,"Background: Large-scale artificial intelligence foundation models have emerged as promising tools for addressing healthcare challenges, including digital pathology. While many have been developed for complex tasks such as disease diagnosis and tissue quantification using extensive and diverse datasets, their readiness for seemingly simpler tasks, such as nuclei segmentation within a single organ (for example, the kidney), remains unclear. This study answers two questions: How good are current cell foundation models? and How can we improve them? Methods: We curated a multi-center, multi-disease, and multi-species dataset sampled from 2542 kidney whole slide images. Three state-of-the-art cell foundation models—Cellpose, StarDist, and CellViT—were evaluated. To enhance performance, we developed a human-in-the-loop strategy that distilled multi-model predictions, improving data quality while reducing reliance on pixel-level annotation. Fine-tuning was performed using the enriched datasets, and segmentation performance was quantitatively assessed. Results: Here we show that cell nuclei segmentation in kidney pathology still requires improvement with more organ-targeted foundation models. Among the evaluated models, CellViT achieves the highest baseline performance, with an F1 score of 0.78. Fine-tuning with enriched data improves all three models, with StarDist achieving the highest F1 score of 0.82. The combination of the foundation model-generated pseudo-labels and a subset of pathologist-corrected “hard” patches yields consistent performance gains across all models. Conclusions: This study establishes a benchmark for the development and deployment of cell AI foundation models tailored to real-world data. The proposed framework, which leverages foundation models with reduced expert annotation, supports more efficient workflows in clinical pathology. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105022790247
"Yu, L.; Yin, M.; Deng, R.; Liu, Q.; Yao, T.; Cui, C.; Guo, J.; Wang, Y.; Wang, Y.; Zhao, S.; Yang, H.; Huo, Y.","Yu, Lining (58952319000); Yin, Mengmeng (58952280800); Deng, Ruining (57219448253); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Guo, Junlin (58170992800); Wang, Yu (55979182400); Wang, Yaohong (55734196100); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952319000; 58952280800; 57219448253; 57336485300; 57222525765; 57219469236; 58170992800; 55979182400; 55734196100; 59442510500; 8638224800; 56830058500,"Glo-In-One-v2: holistic identification of glomerular cells, tissues, and lesions in human and mouse histopathology",2025,Journal of Medical Imaging,12,6,061406,,,1,10.1117/1.JMI.12.6.061406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026346892&doi=10.1117%2F1.JMI.12.6.061406&partnerID=40&md5=2dcbfa9e77c503d0be772a6e2c4c32aa,"Purpose: Segmenting intraglomerular tissue and glomerular lesions traditionally depends on detailed morphological evaluations by expert nephropathologists, a labor-intensive process susceptible to interobserver variability. Our group previously developed the Glo-In-One toolkit for integrated glomerulus detection and segmentation. We leverage the Glo-In-One toolkit to version 2 (Glo-In-One-v2), which adds fine-grained segmentation capabilities. We curated 14 distinct labels spanning tissue regions, cells, and lesions across 23,529 annotated glomeruli from human and mouse histopathology data. To our knowledge, this dataset is among the largest of its kind to date. Approach: We present a single dynamic-head deep learning architecture for segmenting 14 classes within partially labeled images from human and mouse kidney pathology. The model was trained on data derived from 368 annotated kidney whole-slide images with five key intraglomerular tissue types and nine glomerular lesion types. Results: The glomerulus segmentation model achieved a decent performance compared with baselines and achieved a 76.5% average Dice similarity coefficient. In addition, transfer learning from rodent to human for the glomerular lesion segmentation model has enhanced the average segmentation accuracy across different types of lesions by more than 3%, as measured by Dice scores. Conclusions: We introduce a convolutional neural network for multiclass segmentation of intraglomerular tissue and lesions. The Glo-In-One-v2 model and pretrained weight are publicly available at https://github.com/hrlblab/Glo-In-One_v2. © The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.",glomerular lesion; glomerular segmentation; open-source; renal pathology; transfer learning; whole-slide image,Article,Final,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105026346892
"Li, X.; Cui, C.; Deng, R.; Tang, Y.; Liu, Q.; Yao, T.; Bao, S.; Chowdhury, N.; Yang, H.; Huo, Y.","Li, Xueyuan (58550351000); Cui, Can (57219469236); Deng, Ruining (57219448253); Tang, Yucheng (57212614566); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Bao, Shunxing (57189987093); Chowdhury, Naweed Iffat (56946350200); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58550351000; 57219469236; 57219448253; 57212614566; 57336485300; 57222525765; 57189987093; 56946350200; 8638224800; 56830058500,Fine-grained multiclass nuclei segmentation with molecular empowered all-in-SAM model,2025,Journal of Medical Imaging,12,5,057501,,,0,10.1117/1.JMI.12.5.057501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020572792&doi=10.1117%2F1.JMI.12.5.057501&partnerID=40&md5=c692c8f653292d30892d3f151eea6500,"Purpose: Recent developments in computational pathology have been driven by advances in vision foundation models (VFMs), particularly the Segment Anything Model (SAM). This model facilitates nuclei segmentation through two primary methods: prompt-based zero-shot segmentation and the use of cell-specific SAM models for direct segmentation. These approaches enable effective segmentation across a range of nuclei and cells. However, general VFMs often face challenges with fine-grained semantic segmentation, such as identifying specific nuclei subtypes or particular cells. Approach: In this paper, we propose the molecular empowered all-in-SAM model to advance computational pathology by leveraging the capabilities of VFMs. This model incorporates a full-stack approach, focusing on (1) annotation—engaging lay annotators through molecular empowered learning to reduce the need for detailed pixel-level annotations, (2) learning—adapting the SAM model to emphasize specific semantics, which utilizes its strong generalizability with SAM adapter, and (3) refinement—enhancing segmentation accuracy by integrating molecular oriented corrective learning. Results: Experimental results from both in-house and public datasets show that the all-in-SAM model significantly improves cell classification performance, even when faced with varying annotation quality. Conclusions: Our approach not only reduces the workload for annotators but also extends the accessibility of precise biomedical image analysis to resource-limited settings, thereby advancing medical diagnostics and automating pathology image analysis. © The Authors.",cell segmentation; deep learning; foundation model; image annotation; molecular empowered learning,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020572792
"Xiong, J.; Deng, R.; Yue, J.; Lu, S.; Guo, J.; Lionts, M.; Yao, T.; Cui, C.; Zhu, J.; Qu, C.; Yang, Y.; Yin, M.; Yang, H.; Huo, Y.","Xiong, Juming (58550762500); Deng, Ruining (57219448253); Yue, Jialin (58952307200); Lu, Siqi (59302144800); Guo, Junlin (58170992800); Lionts, Marilyn (58886284600); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58550762500; 57219448253; 58952307200; 59302144800; 58170992800; 58886284600; 57222525765; 57219469236; 59305966400; 59773197500; 59530872600; 58952280800; 8638224800; 56830058500,ZeroReg3D: A zero-shot registration pipeline for 3D consecutive histopathology image reconstruction,2025,Journal of Medical Imaging,12,4,044002,,,0,10.1117/1.JMI.12.4.044002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014736251&doi=10.1117%2F1.JMI.12.4.044002&partnerID=40&md5=8ced8cb4a7425e404041dc8dd6815e3d,"Purpose: Histological analysis plays a crucial role in understanding tissue struc ture and pathology. Although recent advancements in registration methods have improved 2D histological analysis, they often struggle to preserve critical 3D spa tial relationships, limiting their utility in both clinical and research applications. Specifically, constructing accurate 3D models from 2D slices remains challenging due to tissue deformation, sectioning artifacts, variability in imaging techniques, and inconsistent illumination. Deep learning-based registration methods have demon strated improved performance but suffer from limited generalizability and require large-scale training data. In contrast, non-deep-learning approaches offer better generalizability but often compromise on accuracy. Approach: We introduce ZeroReg3D, a zero-shot registration pipeline that integra tes zero-shot deep learning-based keypoint matching and non-deep-learning regis tration techniques to effectively mitigate deformation and sectioning artifacts without requiring extensive training data. Results: Comprehensive evaluations demonstrate that our pairwise 2D image registration method improves registration accuracy by ∼10% over baseline meth ods, outperforming existing strategies in both accuracy and robustness. High-fidelity 3D reconstructions further validate the effectiveness of our approach, establishing ZeroReg3D as a reliable framework for precise 3D reconstruction from consecutive 2D histological images. Conclusions: We introduced ZeroReg3D, a zero-shot registration pipeline tailored for accurate 3D reconstruction from serial histological sections. By combining zero shot deep learning-based keypoint matching with optimization-based affine and non-rigid registration techniques, ZeroReg3D effectively addresses critical chal lenges such as tissue deformation, sectioning artifacts, staining variability, and inconsistent illumination without requiring retraining or fine-tuning. © The Authors.",3D reconstruction; deep learning; histology; image registration; pathology,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105014736251
"Guo, J.; Zimmer-Dauphinee, J.R.; Nieusma, J.M.; Lu, S.; Liu, Q.; Deng, R.; Cui, C.; Yue, J.; Lin, Y.; Yao, T.; Xiong, J.; Zhu, J.; Qu, C.; Yang, Y.; Wilkes, M.; Wang, X.; VanValkenburgh, P.; Wernke, S.A.; Huo, Y.","Guo, Junlin (58170992800); Zimmer-Dauphinee, James R. (57386317800); Nieusma, Jordan M. (59302259900); Lu, Siqi (59302144800); Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yue, Jialin (58952307200); Lin, Yizhe (59315480600); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Wilkes, Mitchell (59315480700); Wang, Xiao (57221485766); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Huo, Yuankai (56830058500)",58170992800; 57386317800; 59302259900; 59302144800; 57336485300; 57219448253; 57219469236; 58952307200; 59315480600; 57222525765; 58550762500; 59305966400; 59773197500; 59530872600; 59315480700; 57221485766; 55909740200; 16069400900; 56830058500,DeepAndes: A Self-Supervised Vision Foundation Model for Multispectral Remote Sensing Imagery of the Andes,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,,,26983,26999,1,10.1109/JSTARS.2025.3619423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019239290&doi=10.1109%2FJSTARS.2025.3619423&partnerID=40&md5=f16e398adf80481013060ace8f4d2c91,"By mapping sites at large scales usingremotely sensed data, archaeologists can generate unique insights into long-term demographic trends, interregional social networks, and human adaptations in the past. Remote sensing surveys complement field-based approaches, and their reach can be especially great when combined with deep learning and computer vision techniques. However, conventional supervised deep learning methods face challenges in annotating fine-grained archaeological features at scale. In addition, while recent vision foundation models have shown remarkable success in learning large-scale remote sensing data with minimal annotations, most off-the-shelf solutions are designed for RGB images rather than multispectral satellite imagery, such as the eight-band data used in our study. In this article, we introduce DeepAndes, a transformer-based vision foundation model trained on three million multispectral satellite images, specifically tailored for Andean archaeology. DeepAndes incorporates a customized DINOv2 self-supervised learning algorithm optimized for eight-band multispectral imagery, marking the first foundation model designed explicitly for the Andes region. We evaluate its image understanding performance through imbalanced image classification, image instance retrieval, and pixel-level semantic segmentation tasks. Our experiments show that DeepAndes achieves superior F1 scores, mean average precision, and Dice scores in few-shot learning scenarios, significantly outperforming models trained from scratch or pretrained on smaller datasets. This underscores the effectiveness of large-scale self-supervised pretraining in archaeological remote sensing. © 2008-2012 IEEE.",Andean archaeology; DINOv2; foundation model (FM); multispectral imaging; remote sensing; self-supervised learning,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105019239290
"Li, M.; Cui, C.; Liu, Q.; Deng, R.; Yao, T.; Lionts, M.; Huo, Y.","Li, Muyang (59250828000); Cui, Can (57219469236); Liu, Quan (57336485300); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Lionts, Marilyn (58886284600); Huo, Yuankai (56830058500)",59250828000; 57219469236; 57336485300; 57219448253; 57222525765; 58886284600; 56830058500,Dataset Distillation in Medical Imaging: A Feasibility Study,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13409,,134090V,,,0,10.1117/12.3047345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004813122&doi=10.1117%2F12.3047345&partnerID=40&md5=b46d3b01b1058a9c780fb023e0d6d988,"Data sharing in the medical image analysis field has potential yet remains underappreciated. The aim is often to share datasets efficiently with other sites to train models effectively. One possible solution is to avoid transferring the entire dataset while still achieving similar model performance. Recent progress in data distillation within computer science offers promising prospects for sharing medical data efficiently without significantly compromising model effectiveness. However, it remains uncertain whether these methods would be applicable to medical imaging, since medical and natural images are distinct fields. Moreover, it is intriguing to consider what level of performance could be achieved with these methods. To answer these questions, we conduct investigations on a variety of leading data distillation methods, in different contexts of medical imaging. We evaluate the feasibility of these methods with extensive experiments in two aspects: 1) Assess the impact of data distillation across multiple datasets characterized by minor or great variations. 2) Explore the indicator to predict the distillation performance. Our extensive experiments across multiple medical datasets reveal that data distillation can significantly reduce dataset size while maintaining comparable model performance to that achieved with the full dataset, suggesting that a small, representative sample of images can serve as a reliable indicator of distillation success. This study demonstrates that data distillation is a viable method for efficient and secure medical data sharing, with the potential to facilitate enhanced collaborative research and clinical applications. © 2025 SPIE.",Dataset Distillation; Medical Data Sharing; Pattern Recognition,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004813122
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59636153400); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59636153400; 56561973300; 59315480700; 58952280800; 8638224800; 56830058500,Assessment of Cell Nuclei AI Foundation Models in Kidney Pathology,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13409,,134090G,,,1,10.1117/12.3047301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004806172&doi=10.1117%2F12.3047301&partnerID=40&md5=218a82eef67d298d55ba6527688745d9,"Cell nuclei instance segmentation is a crucial task in digital kidney pathology. Traditional automatic segmentation methods often lack generalizability when applied to unseen datasets. Recently, the success of foundation models (FMs) has provided a more generalizable solution, potentially enabling the segmentation of any cell type. In this study, we perform a large-scale evaluation of three widely used state-of-the-art (SOTA) cell nuclei foundation models-Cellpose, StarDist, and CellViT. Specifically, we created a highly diverse evaluation dataset consisting of 2,542 kidney whole slide images (WSIs) collected from both human and rodent sources, encompassing various tissue types, sizes, and staining methods. To our knowledge, this is the largest-scale evaluation of its kind to date. Our quantitative analysis of the prediction distribution reveals a persistent performance gap in kidney pathology. Among the evaluated models, CellViT demonstrated superior performance in segmenting nuclei in kidney pathology. However, none of the foundation models are perfect; a performance gap remains in general nuclei segmentation for kidney pathology. © 2025 SPIE.",Ensemble learning; Foundation model; Instance Segmentation; Kidney Pathology; Model Agreement; Nuclei,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004806172
"Yu, L.; Yin, M.; Deng, R.; Liu, Q.; Yao, T.; Cui, C.; Long, Y.; Wang, Y.; Wang, Y.; Zhao, S.; Yang, H.; Huo, Y.","Yu, Lining (58952319000); Yin, Mengmeng (58952280800); Deng, Ruining (57219448253); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Long, Yitian (59305800900); Wang, Yu (55979182400); Wang, Yaohong (55734196100); Zhao, Shilin (59636153400); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952319000; 58952280800; 57219448253; 57336485300; 57222525765; 57219469236; 59305800900; 55979182400; 55734196100; 59636153400; 8638224800; 56830058500,GLAM: Glomeruli Segmentation for Human Pathological Lesions using Adapted Mouse Model,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13413,,134130Z,,,0,10.1117/12.3046823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004789493&doi=10.1117%2F12.3046823&partnerID=40&md5=674794008a0435b7f3069c3905539f22,"Moving from animal models to human applications in preclinical research encompasses a broad spectrum of disciplines in medical science. A fundamental element in the development of new drugs, treatments, diagnostic methods, and in deepening our understanding of disease processes is the accurate measurement of kidney tissues. Past studies have demonstrated the viability of translating glomeruli segmentation techniques from mouse models to human applications. Yet, these investigations tend to neglect the complexities involved in segmenting pathological glomeruli affected by different lesions. Such lesions present a wider range of morphological variations compared to healthy glomerular tissue, which are arguably more valuable than normal glomeruli in clinical practice. Furthermore, data on lesions from animal models can be more readily scaled up from disease models and whole kidney biopsies. This brings up a question: “Can a pathological segmentation model trained on mouse models be effectively applied to human patients?” To answer this question, we introduced GLAM, a deep learning study for fine-grained segmentation of human kidney lesions using a mouse model, addressing mouse-to-human transfer learning, by evaluating different learning strategies for segmenting human pathological lesions using zero-shot transfer learning and hybrid learning by leveraging mouse samples. From the results, the hybrid learning model achieved superior performance. © 2025 SPIE.",glomerular lesion; glomerulus; segmentation; transfer learing; whole-slide image,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004789493
"Yao, T.; Archer, D.; Li, Z.; Cai, L.Y.; Kanakaraj, P.; Newlin, N.R.; Liu, Q.; Deng, R.; Cui, C.; Bao, S.; Schilling, K.G.; Landman, B.A.; Huo, Y.","Yao, Tianyuan (57222525765); Archer, Derek B. (55915833400); Li, Zhiyuan (59144471700); Cai, Leon Y. (57203145686); Kanakaraj, Praitayini (57217029207); Newlin, Nancy R. (58133978900); Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Bao, Shunxing (57189987093); Schilling, Kurt G. (56192036700); Landman, Bennett Allan (16679175200); Huo, Yuankai (56830058500)",57222525765; 55915833400; 59144471700; 57203145686; 57217029207; 58133978900; 57336485300; 57219448253; 57219469236; 57189987093; 56192036700; 16679175200; 56830058500,Ts-FWE: Token-Aware Single-Shell Free Water Estimation for Brain Diffusion MRI,2025,Lecture Notes in Computer Science,15171 LNCS,,,132,142,0,10.1007/978-3-031-86920-4_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003621668&doi=10.1007%2F978-3-031-86920-4_12&partnerID=40&md5=54e70ec1773894dea6e7eef79b320a34,"Recent advances in deep learning opened a new window for achieving precise free water estimation (FWE) through single-shell diffusion-weighted imaging (DWI) data. Compared with traditional approaches, those methods mitigated biases from free water contamination without relying on multi-shell data. However, current single-shell-based FWE methods still suffer from the “case-by-case” deep learning design, struggling to generalize across the diverse acquisition schemes in a more clinically useful plug-and-play fashion. In this paper, we propose a novel token-aware single-shell FWE (Ts-FWE) method towards a “one-for-all” design, so that a single model is able to train and test on different shell configurations, even for unseen data. Specifically, Ts-FWE integrates a token that encapsulates the shell configuration with a Vision Transformer (ViT) backbone architecture. Moreover, 3D patches are employed to enhance the performance compared with traditional voxel-based modeling. Both cross-validation and external validation are performed through HCP young adults, aging and MASIVar datasets. The results demonstrated that the proposed method achieved superior performance, demonstrating a promising step towards building a more generalizable deep learning scheme for DWI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Diffusion MRI; Free water elimination; Vision transformer,Conference paper,Final,,Scopus,2-s2.0-105003621668
"Liu, Q.; Deng, R.; Cui, C.; Yao, T.; Yang, Y.; Nath, V.; Li, B.; Chen, Y.; Tang, Y.; Huo, Y.","Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yao, Tianyuan (57222525765); Yang, Yuechen (59530872600); Nath, Vishwesh (57194026100); Li, Bingshan (23479764000); Chen, You (37039449900); Tang, Yucheng (57212614566); Huo, Yuankai (56830058500)",57336485300; 57219448253; 57219469236; 57222525765; 59530872600; 57194026100; 23479764000; 37039449900; 57212614566; 56830058500,mTREE: Multi-Level Text-Guided Representation End-to-End Learning for Whole Slide Image Analysis,2025,IS and T International Symposium on Electronic Imaging Science and Technology,37,12,HPCI-183,,,0,10.2352/EI.2025.37.12.HPCI-183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000833089&doi=10.2352%2FEI.2025.37.12.HPCI-183&partnerID=40&md5=1b2292465764a2b89aeb91ece6abf61a,"Multi-modal learning adeptly integrates visual and textual data, but its application to histopathology image and text analysis remains challenging, particularly with large, high-resolution images like gigapixel Whole Slide Images (WSIs). Current methods typically rely on manual region labeling or multi-stage learning to assemble local representations (e.g., patch-level) into global features (e.g., slide-level). However, there is no effective way to integrate multi-scale image representations with text data in a seamless end-to-end process. In this study, we introduce Multi-Level Text-Guided Representation End-to-End Learning (mTREE). This novel text-guided approach effectively captures multi-scale WSI representations by utilizing information from accompanying textual pathology information. mTREE innovatively combines – the localization of key areas (“global-to-local”) and the development of a WSI-level image-text representation (“local-to-global”) – into a unified, end-to-end learning framework. In this model, textual information serves a dual purpose: firstly, functioning as an attention map to accurately identify key areas, and secondly, acting as a conduit for integrating textual features into the comprehensive representation of the image. Our study demonstrates the effectiveness of mTREE through quantitative analyses in two image-related tasks: classification and survival prediction, showcasing its remarkable superiority over baselines. Code and trained models are made available at https://github.com/hrlblab/mTREE. © 2025 Society for Imaging Science and Technology.",,Conference paper,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000833089
