Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Crossley, S.; Choi, J.S.; Tang, K.; Cutting, L.","Crossley, Scott Andrew (15134987600); Choi, Joonsuh (57487777400); Tang, Kenny (60336899200); Cutting, Laurie E. (6603345531)",15134987600; 57487777400; 60336899200; 6603345531,The Tool for Automatic Analysis of Decoding Ambiguity (TAADA),2026,Behavior Research Methods,58,2,40,,,0,10.3758/s13428-025-02922-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027705175&doi=10.3758%2Fs13428-025-02922-w&partnerID=40&md5=cd396a4ca1c3301e5256ec7d7fdb5939,"This study documents and assesses the Tool for Automatic Analysis of Decoding Ambiguity (TAADA). TAADA calculates measures related to decoding, including metrics for grapheme and phoneme counts, neighborhood effects, rhymes, and conditional probabilities for sound–spelling relationships. These measures are assessed in two reading studies. The first study examined links between decoding variables and judgments of reading ease in a corpus of ~5000 reading excerpts, finding that variables related to word frequency, phonographic neighbors for words, word syllable length, and the reverse prior probability for consonants explained 34% of the variance in the reading scores. The second examined links between decoding variables and student reading miscues, finding that word frequency, phoneme counts, rhyme counts, and probability counts explained 3% of students’ reading miscues. © The Author(s) 2026.",Lexical processing; Natural language processing; Text decoding; Text readability,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105027705175
"McMaster, E.M.; Newlin, N.R.; Cho, C.; Rudravaram, G.; Saunders, A.M.; Krishnan, A.R.; Remedios, L.W.; Kim, M.E.; Xu, H.; Schilling, K.G.; Rheault, F.; Cutting, L.; Landman, B.A.","McMaster, Elyssa M. (59912653900); Newlin, Nancy R. (58133978900); Cho, Chloe (59230707700); Rudravaram, Gaurav (57442300300); Saunders, Adam M. (58325980600); Krishnan, Aravind R. (58195099100); Remedios, Lucas W. (57226830336); Kim, Michael E. (58290603100); Xu, Hanliang (58858912500); Schilling, Kurt G. (56192036700); Rheault, François (57062832800); Cutting, Laurie E. (6603345531); Landman, Bennett Allan (16679175200)",59912653900; 58133978900; 59230707700; 57442300300; 58325980600; 58195099100; 57226830336; 58290603100; 58858912500; 56192036700; 57062832800; 6603345531; 16679175200,Sensitivity of quantitative diffusion MRI tractography and microstructure to anisotropic spatial sampling,2025,Magnetic Resonance Imaging,124,,110539,,,0,10.1016/j.mri.2025.110539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017973101&doi=10.1016%2Fj.mri.2025.110539&partnerID=40&md5=391e18317db20f9c5ed51d82db0df9ce,"Purpose: Diffusion weighted MRI (dMRI) and its models of neural structure provide insight into human brain organization and variations in white matter. A recent study by McMaster, et al. showed that complex graph measures of the connectome, the graphical representation of a tractogram, vary with spatial sampling changes, but biases introduced by anisotropic voxels in the process have not been well characterized. This study uses microstructural measures (fractional anisotropy and mean diffusivity) and white matter bundle properties (bundle volume, length, and surface area) to further understand the effect of anisotropic voxels on microstructure and tractography. Methods: The statistical significance of the selected measures derived from dMRI data were assessed by comparing three white matter bundles at different spatial resolutions with 44 subjects from the Human Connectome Project – Young Adult dataset scan/rescan data using the Wilcoxon Signed-Rank test. The original isotropic resolution (1.25 mm isotropic) was explored with 6 anisotropic resolutions with 0.25 mm incremental steps in the z dimension. Then, all generated resolutions were upsampled to 1.25 mm isotropic and 1 mm isotropic. Results: There were statistically significant differences between at least one microstructural and one bundle measure at every resolution (p≤0.05, corrected for multiple comparisons). Cohen's d coefficient evaluated the effect size of anisotropic voxels on microstructure and tractography. Conclusion: Fractional anisotropy and mean diffusivity cannot be recovered with basic up-sampling from low quality data with gold-standard data with the methods selected for this study. However, the bundle measures across our selected regions of interest become more repeatable when voxels are resampled to 1 mm isotropic. © 2025 The Authors",Anisotropy; DTI; Tractography,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105017973101
"Martinez-Lincoln, A.; Leopold, D.R.; Groff, B.R.; Yeo, D.J.; Willcutt, E.G.; Cutting, L.; Banich, M.T.; Price, G.R.","Martinez-Lincoln, Amanda (56451023800); Leopold, Daniel R. (55194689600); Groff, Boman R. (57203172513); Yeo, Darren J. (56857282000); Willcutt, Erik G. (6601961663); Cutting, Laurie E. (6603345531); Banich, Marie T. (7004447465); Price, Gavin R. (23035819700)",56451023800; 55194689600; 57203172513; 56857282000; 6601961663; 6603345531; 7004447465; 23035819700,Individual differences in the activity of executive function brain regions during number comparison,2025,Behavioural Brain Research,494,,115740,,,0,10.1016/j.bbr.2025.115740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011510823&doi=10.1016%2Fj.bbr.2025.115740&partnerID=40&md5=cf6a7e4f3252143759164a5112424967,"Math skills require the integration of math-specific and domain-general skills, such as executive functions (EF). Neuroimaging studies consistently report intraparietal sulci activation during arithmetic tasks; however, activation of frontal brain regions associated with EF varies across studies. The discrepancies in brain regions associated with EF during math tasks may be due, in part, to variations amongst individuals and task demands. The current study examined neural activations associated with ratio effect in canonical math and EF regions in adolescents and subsequently examined how this activity was related to concurrently acquired behavioral measures of math ability and EF. Findings revealed differential relations between behavioral measures and neural ratio effects for symbolic (i.e., digits) vs. nonsymbolic (i.e., dot arrays) stimuli. The neural ratio effect during symbolic number comparison in the left inferior parietal lobe (IPL) and left inferior frontal junction (IFJ) correlated positively with an individual's calculation scores. Similarly, the neural ratio effect during nonsymbolic comparison in the right and left inferior parietal lobes correlated positively with an individual's math fluency. However, while a measure of an individual's inhibitory control positively correlated with the nonsymbolic neural ratio effect in the left IFJ, working memory positively correlated with the symbolic neural ratio effect in the left IPL, left IFJ, left precentral gyrus, and left posterior dorsolateral prefrontal cortex. These findings suggest that the format of numerical information influences the neural systems engaged and that engagement varies with individual differences in math abilities. © 2025 The Authors",Executive functions; Math; Nonsymbolic; Number comparison; Symbolic,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105011510823
"McMaster, E.M.; Newlin, N.R.; Rudravaram, G.; Saunders, A.M.; Krishnan, A.R.; Remedios, L.W.; Kim, M.E.; Xu, H.; Yoon, J.; Archer, D.B.; Schilling, K.G.; Rheault, F.; Cutting, L.; Landman, B.A.","McMaster, Elyssa M. (59912653900); Newlin, Nancy R. (58133978900); Rudravaram, Gaurav (57442300300); Saunders, Adam M. (58325980600); Krishnan, Aravind R. (58195099100); Remedios, Lucas W. (57226830336); Kim, Michael E. (58290603100); Xu, Hanliang (58858912500); Yoon, Jongyeon (59794313200); Archer, Derek B. (55915833400); Schilling, Kurt G. (56192036700); Rheault, François (57062832800); Cutting, Laurie E. (6603345531); Landman, Bennett Allan (16679175200)",59912653900; 58133978900; 57442300300; 58325980600; 58195099100; 57226830336; 58290603100; 58858912500; 59794313200; 55915833400; 56192036700; 57062832800; 6603345531; 16679175200,Harmonized connectome resampling for variance in voxel sizes,2025,Magnetic Resonance Imaging,121,,110424,,,1,10.1016/j.mri.2025.110424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006695456&doi=10.1016%2Fj.mri.2025.110424&partnerID=40&md5=a3ab64b94ed61e97eb6777a1c2ea6668,"Diffusion MRI (dMRI) fiber tractography presents exciting opportunities to deepen our knowledge of human brain connectivity and discover novel alterations in white matter. To date, there has been no comprehensive study characterizing the effect of dMRI voxel resolution on the resulting connectome for subject data. We assessed the statistical significance of graph measures derived from dMRI data by comparing connectomes from the same scans across different resolutions with 44 subjects (32 female) from the Human Connectome Project – Young Adult dataset (HCP-YA) with scan/rescan data (88 scans). We explored 15 isotropic and anisotropic resolutions, generated tractography and connectomes, and compared graph measures between each resolution and its nearest larger and smaller resolutions. Nearly all pairwise comparisons yielded statistically significant differences in graph measures (p ≤ 0.05, Wilcoxon Sign-Rank Test). Upon up sampling the 14 down sampled resolutions in 0.5 mm increments, we observed mitigation of the spatial sampling effect on both the tractography and the connectome's complex graph measures. To investigate translational impact, we resampled 22 subjects from HCP-YA to the resolutions of two major national studies and up-sampled this data back to 1 mm isotropic with different interpolation methods. Similarity in results improved with higher resolution, even after initial down-sampling. To ensure robust tractography and connectomes, resample data to 1 mm isotropic resolution. © 2025 The Authors",Connectomics; Diffusion MRI; Harmonization; Spatial sampling; Tractography,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105006695456
"Roy, E.; Harriott, E.M.; Nguyen, T.Q.; Richie-Halford, A.; Rokem, A.; Cutting, L.; Yeatman, J.D.","Roy, Ethan A. (57195352659); Harriott, Emily M. (57220895291); Nguyen, Tin Q. (57209166327); Richie-Halford, Adam C. (35788498800); Rokem, Ariel S. (6507945628); Cutting, Laurie E. (6603345531); Yeatman, Jason D. (35103808100)",57195352659; 57220895291; 57209166327; 35788498800; 6507945628; 6603345531; 35103808100,Development of the arcuate fasciculus is linked to learning gains in reading,2025,Imaging Neuroscience,3,,imag_a_00542,,,1,10.1162/imag_a_00542,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010279715&doi=10.1162%2Fimag_a_00542&partnerID=40&md5=88d3f25b85cb8449265968bec7a36800,"Past studies leveraging cross-sectional data have raised questions surrounding the relationship between diffusion properties of the white matter and academic skills. Some studies have suggested that white matter properties serve as static predictors of academic skills, whereas other studies have observed no such relationship. However, longitudinal studies have suggested that within-individual changes in the white matter are linked to learning gains over time. In the present study, we look to replicate and extend the previous longitudinal results linking longitudinal changes in the white matter properties of the left arcuate fasciculus to individual differences in reading development. To do so, we analyzed diffusion MRI data, along with reading and mathematics scores in a longitudinal sample of 340 students as they progressed from first grade into fourth grade. Longitudinal growth models revealed that year-to-year within-individual changes in reading scores, but not mathematics, were related to the development of the left arcuate fasciculus. These findings provide further evidence linking the dynamics of white matter development and learning in a unique sample and highlight the importance of longitudinal designs. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",diffusion MRI; longitudinal analysis; mathematics; reading; white matter,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105010279715
"Schilling, K.G.; Ramadass, K.; Sairanen, V.; Kim, M.E.; Rheault, F.; Newlin, N.R.; Nguyen, T.Q.; Barquero, L.; D'Archangel, M.; Gao, C.; Topolnjak, E.; Mohd Khairi, N.M.; Archer, D.B.; Beason-Held, L.; Resnick, S.M.; Hohman, T.J.; Cutting, L.; Schneider, J.A.; Barnes, L.L.; Bennett, D.A.; Arfanakis, K.; Vinci-Booher, S.; Albert, M.S.; Moyer, D.; Landman, B.A.","Schilling, Kurt G. (56192036700); Ramadass, Karthik (57221294056); Sairanen, Viljami (55980948400); Kim, Michael E. (58290603100); Rheault, François (57062832800); Newlin, Nancy R. (58133978900); Nguyen, Tin Q. (57209166327); Barquero, Laura A. (8614903000); D'Archangel, Micah (58831050800); Gao, Chenyu (57363597800); Topolnjak, Ema (59132415800); Mohd Khairi, Nazirah Mohd (57208887001); Archer, Derek B. (55915833400); Beason-Held, Lori L. (6602362913); Resnick, Susan M. (7102831381); Hohman, Timothy J. (57211697123); Cutting, Laurie E. (6603345531); Schneider, Julie A. (35391665200); Barnes, Lisa Laverne (57218357339); Bennett, David Alan (57651397600); Arfanakis, Konstantinos (6602716580); Vinci-Booher, Sophia A. (35249382800); Albert, Marilyn S. (7403276705); Moyer, Daniel C. (57117453900); Landman, Bennett Allan (16679175200)",56192036700; 57221294056; 55980948400; 58290603100; 57062832800; 58133978900; 57209166327; 8614903000; 58831050800; 57363597800; 59132415800; 57208887001; 55915833400; 6602362913; 7102831381; 57211697123; 6603345531; 35391665200; 57218357339; 57651397600; 6602716580; 35249382800; 7403276705; 57117453900; 16679175200,"Head Motion in Diffusion Magnetic Resonance Imaging: Quantification, Mitigation, and Structural Associations in Large, Cross-Sectional Datasets Across the Lifespan",2025,Human Brain Mapping,46,3,e70143,,,0,10.1002/hbm.70143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218830047&doi=10.1002%2Fhbm.70143&partnerID=40&md5=978738b43100c6cb1b857f161550f241,"Head motion during diffusion magnetic resonance imaging (MRI) scans can cause numerous artifacts and biases subsequent quantification. However, a thorough characterization of motion across multiple scans, cohorts, and consortiums has not been performed. To address this, we designed a study with three aims. First, we aimed to characterize subject motion across several large cohorts, utilizing 13 cohorts comprised of 16,995 imaging sessions (age 0.1–100 years, mean age = 63 years; 7220 females; 3175 cognitively impaired adults; 471 developmentally delayed children) to describe the magnitude and directions of subject movement. Second, we aimed to investigate whether state-of-the-art diffusion preprocessing pipelines mitigate biases in quantitative measures of microstructure and connectivity by taking advantage of datasets with scan-rescan acquisitions and ask whether there are detectable differences between the same subjects when scans and rescans have differing levels of motion. Third, we aimed to investigate whether there are structural connectivity differences between movers and non-movers. We found that (1) subjects typically move 1–2 mm/min with most motion as translation in the anterior–posterior direction and rotation around the right–left axis; (2) Modern preprocessing pipelines can effectively mitigate motion to the point where biases are not detectable with current analysis techniques; and (3) There are no apparent differences in microstructure or macrostructural connections in participants who exhibit high motion versus those that exhibit low motion. Overall, characterizing motion magnitude and directions, as well as motion correlates, informs and improves motion mitigation strategies and image processing pipelines. © 2025 The Author(s). Human Brain Mapping published by Wiley Periodicals LLC.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85218830047
"Pulliam, G.; Feldman, J.I.; Wallace, M.T.; Cutting, L.; Woynaroski, T.G.","Pulliam, Grace (57889650600); Feldman, Jacob I. (57203137428); Wallace, Mark T. (7401942866); Cutting, Laurie E. (6603345531); Woynaroski, Tiffany G. (55660838500)",57889650600; 57203137428; 7401942866; 6603345531; 55660838500,Associations Between Audiovisual Integration and Reading Comprehension in Autistic and Non-autistic School-Aged Children,2025,Journal of Autism and Developmental Disorders,,,,,,0,10.1007/s10803-025-06960-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011702105&doi=10.1007%2Fs10803-025-06960-3&partnerID=40&md5=c023c1672326874a931c666d8128d81f,"Although not considered a core feature of autism, autistic children often present with difficulties in reading comprehension, which is a multisensory process involving translation of print to speech sounds (i.e., decoding) and interpreting words in context (i.e., language comprehension). This study tested the hypothesis that audiovisual integration may explain individual differences in reading comprehension, through its relations with decoding and language comprehension, in autistic and non-autistic children. To test our hypothesis, we conducted a concurrent correlational study involving 50 autistic and 50 non-autistic school-aged children (8–17 years of age) matched at the group level on biological sex and chronological age. Participants completed a battery of tests probing their reading comprehension, decoding, and language comprehension, as well as a psychophysical task assessing audiovisual integration as indexed by susceptibility to the McGurk illusion. A series of regression analyses was carried out to test relations of interest. Audiovisual integration was significantly associated with reading comprehension, decoding, and language comprehension, with moderate-to-large effect sizes. Mediation analyses revealed that the relation between audiovisual integration and reading comprehension was completely mediated by decoding and language comprehension, with standardized indirect effects indicating significant mediation through both pathways. These associations did not vary according to diagnostic group. This work highlights the potential role of audiovisual integration in language and literacy development and underscores the potential for multisensory-based interventions to improve reading outcomes in autistic and non-autistic children. Future research should employ longitudinal designs and more diverse samples to replicate and extend these findings. © The Author(s) 2025.",Audiovisual Integration; Autism; Language; Literacy; Mechanisms; Reading,Article,aip,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105011702105
"Rowe, M.A.; Leopold, D.R.; Hegarty, A.K.; Cutting, L.; Petrill, S.A.; Thompson, L.A.; Willcutt, E.G.; Banich, M.T.","Rowe, Mikaela A. (57212140381); Leopold, Daniel R. (55194689600); Hegarty, Amy K. (57191526837); Cutting, Laurie E. (6603345531); Petrill, Stephen A. (7004295289); Thompson, Lee Anne (7403729523); Willcutt, Erik G. (6601961663); Banich, Marie T. (7004447465)",57212140381; 55194689600; 57191526837; 6603345531; 7004295289; 7403729523; 6601961663; 7004447465,Investigating the Shared and Divergent Neuroanatomical Features of Attentional Deficits in Adolescents,2025,Journal of the American Academy of Child and Adolescent Psychiatry,,,,,,0,10.1016/j.jaac.2025.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009936621&doi=10.1016%2Fj.jaac.2025.05.006&partnerID=40&md5=57042410715278d21da1773a526513ed,"Objective: Cognitive disengagement syndrome (CDS), formerly known as sluggish cognitive tempo, is characterized by hypoactivity or slowed behavior, mental fogginess or confusion, excessive sleepiness, and daydreaming. CDS and the predominantly inattentive (IN) presentation of attention-deficit/hyperactivity disorder (ADHD) are frequently co-occurring albeit separable constructs, each associated with unique constellations of functional impairments. The current study aims to identify their shared and divergent neurobiological correlates. Method: A total of 181 adolescents (mean age =13.9 years, SD = 2.2 years) were recruited from the Colorado Learning Disabilities Research Center twin study. Relationships between attentional symptom dimensions (CDS and IN) and brain volume were examined, controlling for age, sex, and average cortical volume. Procedures were repeated in an outside sample of 292 adolescents (mean age = 16.8 years, SD = 1.4 years) using a 2-item measure of CDS. Results: Higher levels of CDS symptoms were associated with reduced volume within the left ventral parietal, temporo-parietal, and temporal regions, regions that fall within the ventral attention network. CDS and IN symptoms were significantly associated with gray matter volume in portions of the dorsal attention and default mode networks in opposite directions. Higher levels of CDS symptoms were associated with reduced volume in the left superior and inferior parietal lobules and left frontal portions of the default mode network, whereas IN symptoms were positively correlated with volume in these areas. Several findings were consistent in the outside sample. Conclusion: Results from the current study provide novel insights into the neurobiological basis of CDS. They suggest that both CDS and IN symptoms are associated with alterations in brain systems that exert top-down attentional control, though likely for differing reasons. The current study enhances understanding of adolescent attentional deficits. © 2025 American Academy of Child and Adolescent Psychiatry",ADHD; attention; brain morphometry; CDS; SCT,Article,aip,,Scopus,2-s2.0-105009936621
"Hughes-Berheim, S.S.; Cheimariou, S.; Shelley-Tremblay, J.F.; Scofield, J.; Newman, S.D.; Cutting, L.; Morett, L.M.","Hughes-Berheim, Sarah S. (57219839485); Cheimariou, Spyridoula (40460943800); Shelley-Tremblay, John F. (6506445888); Scofield, Jason (22941905800); Newman, Sharlene D. (7402545812); Cutting, Laurie E. (6603345531); Morett, Laura M. (24773714900)",57219839485; 40460943800; 6506445888; 22941905800; 7402545812; 6603345531; 24773714900,Learning Words Orthographically Enhances Subsequent Word Processing During Sentence Reading: Extending the Visual Word Learning Advantage,2025,Scientific Studies of Reading,29,4,,412,431,1,10.1080/10888438.2025.2519109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009271020&doi=10.1080%2F10888438.2025.2519109&partnerID=40&md5=3ccc42cce4d8612769905896463d896c,"Purpose: Previous research indicates learning words visually, via orthographic information, compared to auditorily, via phonological information, aids subsequent word knowledge; however, no study to date investigates whether this visual word learning advantage extends to when learned words are read in sentences. The present study reports findings from a larger project that executed a novel word learning and sentence reading paradigm to investigate whether learning words visually, compared to auditorily, aids subsequent word processing during reading. Method: Twenty-six adult native English speakers (88% female; age M = 20.4, SD = 2.61) learned the definitions and pronunciations of 90 rare English words via either phonological or orthographic input before reading them in semantically congruent or semantically incongruent sentences. Additional factors that were expected to influence the relationship between word learning modality and subsequent word processing, like reading comprehension, phonological decoding and spelling abilities, were examined. Results: Results indicated word learning modality influences comprehension accuracy and speed. Further, spelling ability interacted with word learning modality to aid comprehension accuracy, while general reading comprehension skill interacted with word learning modality to affect comprehension speed. Conclusion: These results underscore the importance of creating strong lexical representations during word learning to aid subsequent word reading. They suggest that stronger lexical representations are created when adults learn words orthographically compared to phonologically, unless adults have strong spelling abilities which aid cross-modal trace generation. © 2025 The Author(s). Published with license by Taylor & Francis Group, LLC.",,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105009271020
"Ramadass, K.; Liu, Y.; Kim, M.E.; Gao, C.; Krishnan, A.R.; Mohd Khairi, N.M.; Zuo, L.; Nguyen, T.; D’Archangel, M.; Schilling, K.G.; Cutting, L.E.; Landman, B.A.","Ramadass, Karthik (57221294056); Liu, Yihao (57202381977); Kim, Michael E. (58290603100); Gao, Chenyu (57363597800); Krishnan, Aravind R. (58195099100); Mohd Khairi, Nazirah Mohd (57208887001); Zuo, Lianrui (57202855256); Nguyen, Tin Q. (57209166327); D’Archangel, Micah (57740676200); Schilling, Kurt G. (56192036700); Cutting, Laurie E. (6603345531); Landman, Bennett Allan (16679175200)",57221294056; 57202381977; 58290603100; 57363597800; 58195099100; 57208887001; 57202855256; 57209166327; 57740676200; 56192036700; 6603345531; 16679175200,Investigating effects of air quality and weather on brain volumes,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13410,,134100R,,,0,10.1117/12.3048929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004558518&doi=10.1117%2F12.3048929&partnerID=40&md5=0eba24c3bfbcc779171c56def22d9aab,"Understanding the environmental factors that influence brain health is crucial for public health and neuroscience research. Recent studies have separately investigated associations between weather, seasonality, and air quality on brain volumes and functional brain connectivity. However, air quality and weather are interrelated factors. Therefore, it is important that we investigate the effect of their combined interaction with human brain volumes. In this study, we aligned volumetric brain data from structural MRI scans acquired from kids aged between 5 and 10 to hourly air quality and weather data. We used multiple linear regression models with age, sex, date, hour, air quality, and weather to predict total brain volumes. The total brain volumes used to train and test our model were acquired from T1-weighted MRI using FreeSurfer. Select weather variables such as hourly dew point temperature and hourly relative humidity were positively associated with brain volume (p < 0.01). Although not statistically significant, hourly wet bulb temperature suggested a modest influence on brain volume. None of the air quality variables showed significant associations. These findings underscore the importance of considering a broad range of environmental factors in neuroimaging studies and suggest that air quality and seasonal influences can be confounds in studies investigating variations in structural brain volumes. © 2025 SPIE.",Brain volume; climate change; Linear regression; MRI,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004558518
