Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Reisenbüchler, D.; Deng, R.; Matek, C.; Feuerhake, F.; Merhof, D.","Reisenbüchler, Daniel (57712280100); Deng, Ruining (57219448253); Matek, Christian (55368586300); Feuerhake, Friedrich (6602506314); Merhof, Dorit (13103575700)",57712280100; 57219448253; 55368586300; 6602506314; 13103575700,Top-Down Attention-Based Multiple Instance Learning for Whole Slide Image Analysis,2026,Lecture Notes in Computer Science,15960 LNCS,,,651,660,1,10.1007/978-3-032-04927-8_62,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017861531&doi=10.1007%2F978-3-032-04927-8_62&partnerID=40&md5=1c37ecee4607ceec704a245724c1f741,"Multiple instance learning (MIL) has become the de facto standard approach for whole-slide image analysis in computational pathology (CPath). While instance-wise attention tends to miss correlations between instances, self-attention can capture these interactions, but remains agnostic to the particular task. To address this issue, we introduce Top-Down Attention-based Multiple Instance Learning (TDA-MIL), an architecture that first learns a general representation from the data via self-attention in an initial inference step, then identifies task-relevant instances through a feature selection module, and finally refines these representations by injecting the selected instances back into the attention mechanism for a second inference step. By focusing on task-specific signals, TDA-MIL effectively discerns subtle, yet significant, regions within each slide, leading to more precise classification. Extensive experiments on detecting lymph node metastasis in breast cancer, biomarker screening for microsatellite instability in different organs, and challenging molecular status prediction for HER2 in breast cancer show that TDA-MIL consistently surpasses other MIL baselines, underscoring the effectiveness of our proposed task-relevant refocusing and its broad applicability across CPath tasks. Our implementation is released at https://github.com/agentdr1/TDA_MIL. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Biomarker Screening; Computational Pathology; Metastasis Detection; Molecular Status Prediction; Multiple Instance Learning,Conference paper,Final,,Scopus,2-s2.0-105017861531
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Fogo, A.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Fogo, Agnes B. (7102673654); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59442510500; 56561973300; 59315480700; 7102673654; 58952280800; 8638224800; 56830058500,Evaluating cell AI foundation models in kidney pathology with human-in-the-loop enrichment,2025,Communications Medicine,5,1,495,,,0,10.1038/s43856-025-01205-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022790247&doi=10.1038%2Fs43856-025-01205-x&partnerID=40&md5=9a563ea34e43e8c8b11432615ddcb1e3,"Background: Large-scale artificial intelligence foundation models have emerged as promising tools for addressing healthcare challenges, including digital pathology. While many have been developed for complex tasks such as disease diagnosis and tissue quantification using extensive and diverse datasets, their readiness for seemingly simpler tasks, such as nuclei segmentation within a single organ (for example, the kidney), remains unclear. This study answers two questions: How good are current cell foundation models? and How can we improve them? Methods: We curated a multi-center, multi-disease, and multi-species dataset sampled from 2542 kidney whole slide images. Three state-of-the-art cell foundation models—Cellpose, StarDist, and CellViT—were evaluated. To enhance performance, we developed a human-in-the-loop strategy that distilled multi-model predictions, improving data quality while reducing reliance on pixel-level annotation. Fine-tuning was performed using the enriched datasets, and segmentation performance was quantitatively assessed. Results: Here we show that cell nuclei segmentation in kidney pathology still requires improvement with more organ-targeted foundation models. Among the evaluated models, CellViT achieves the highest baseline performance, with an F1 score of 0.78. Fine-tuning with enriched data improves all three models, with StarDist achieving the highest F1 score of 0.82. The combination of the foundation model-generated pseudo-labels and a subset of pathologist-corrected “hard” patches yields consistent performance gains across all models. Conclusions: This study establishes a benchmark for the development and deployment of cell AI foundation models tailored to real-world data. The proposed framework, which leverages foundation models with reduced expert annotation, supports more efficient workflows in clinical pathology. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105022790247
"Yu, L.; Yin, M.; Deng, R.; Liu, Q.; Yao, T.; Cui, C.; Guo, J.; Wang, Y.; Wang, Y.; Zhao, S.; Yang, H.; Huo, Y.","Yu, Lining (58952319000); Yin, Mengmeng (58952280800); Deng, Ruining (57219448253); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Guo, Junlin (58170992800); Wang, Yu (55979182400); Wang, Yaohong (55734196100); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952319000; 58952280800; 57219448253; 57336485300; 57222525765; 57219469236; 58170992800; 55979182400; 55734196100; 59442510500; 8638224800; 56830058500,"Glo-In-One-v2: holistic identification of glomerular cells, tissues, and lesions in human and mouse histopathology",2025,Journal of Medical Imaging,12,6,061406,,,1,10.1117/1.JMI.12.6.061406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026346892&doi=10.1117%2F1.JMI.12.6.061406&partnerID=40&md5=2dcbfa9e77c503d0be772a6e2c4c32aa,"Purpose: Segmenting intraglomerular tissue and glomerular lesions traditionally depends on detailed morphological evaluations by expert nephropathologists, a labor-intensive process susceptible to interobserver variability. Our group previously developed the Glo-In-One toolkit for integrated glomerulus detection and segmentation. We leverage the Glo-In-One toolkit to version 2 (Glo-In-One-v2), which adds fine-grained segmentation capabilities. We curated 14 distinct labels spanning tissue regions, cells, and lesions across 23,529 annotated glomeruli from human and mouse histopathology data. To our knowledge, this dataset is among the largest of its kind to date. Approach: We present a single dynamic-head deep learning architecture for segmenting 14 classes within partially labeled images from human and mouse kidney pathology. The model was trained on data derived from 368 annotated kidney whole-slide images with five key intraglomerular tissue types and nine glomerular lesion types. Results: The glomerulus segmentation model achieved a decent performance compared with baselines and achieved a 76.5% average Dice similarity coefficient. In addition, transfer learning from rodent to human for the glomerular lesion segmentation model has enhanced the average segmentation accuracy across different types of lesions by more than 3%, as measured by Dice scores. Conclusions: We introduce a convolutional neural network for multiclass segmentation of intraglomerular tissue and lesions. The Glo-In-One-v2 model and pretrained weight are publicly available at https://github.com/hrlblab/Glo-In-One_v2. © The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.",glomerular lesion; glomerular segmentation; open-source; renal pathology; transfer learning; whole-slide image,Article,Final,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105026346892
"Zhu, J.; Deng, R.; Guo, J.; Yao, T.; Xiong, J.; Qu, C.; Yin, M.; Wang, Y.; Zhao, S.; Yang, H.; Xu, D.; Tang, Y.; Huo, Y.","Zhu, Junchao (59305966400); Deng, Ruining (57219448253); Guo, Junlin (58170992800); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Qu, Chongyu (58311576300); Yin, Mengmeng (58952280800); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Xu, Daguang (57191707223); Tang, Yucheng (57212614566); Huo, Yuankai (56830058500)",59305966400; 57219448253; 58170992800; 57222525765; 58550762500; 58311576300; 58952280800; 55979182400; 59442510500; 8638224800; 57191707223; 57212614566; 56830058500,Img2ST-Net: efficient high-resolution spatial omics prediction from whole-slide histology images via fully convolutional image-to-image learning,2025,Journal of Medical Imaging,12,6,061410,,,1,10.1117/1.JMI.12.6.061410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026307026&doi=10.1117%2F1.JMI.12.6.061410&partnerID=40&md5=86856d2041e8990e5b260d303bbe3d4c,"Purpose: Recent advances in multimodal artificial intelligence (AI) have demonstrated promising potential for generating the currently expensive spatial transcriptomics (ST) data directly from routine histology images, offering a means to reduce the high cost and time-intensive nature of ST data acquisition. However, the increasing resolution of ST—particularly with platforms such as Visium HD achieving 8 μm or finer—introduces significant computational and modeling challenges. Conventional spot-by-spot sequential regression frameworks become inefficient and unstable at this scale, whereas the inherent extreme sparsity and low expression levels of high-resolution ST further complicate both prediction and evaluation. Approach: To address these limitations, we propose Img2ST-Net, a high-definition (HD) histology-to-ST generation framework for efficient and parallel high-resolution ST prediction. Unlike conventional spot-by-spot inference methods, Img2ST-Net employs a fully convolutional architecture to generate dense, HD gene expression maps in a parallelized manner. By modeling HD ST data as super-pixel representations, the task is reformulated from image-to-omics inference into a super-content image generation problem with hundreds or thousands of output channels. This design not only improves computational efficiency but also better preserves the spatial organization intrinsic to spatial omics data. To enhance robustness under sparse expression patterns, we further introduce SSIM-ST, a structural-similarity-based evaluation metric tailored for high-resolution ST analysis. Results: Evaluations on two public Visium HD datasets at 8 and 16 μm resolutions demonstrate that Img2ST-Net outperforms state-of-the-art methods in both accuracy and spatial coherence. On the Breast Cancer dataset at 16 μm, Img2STNet achieves a mean squared error (MSE) of 0.1657 and a structural similarity index of 0.0937, whereas on the Colorectal Cancer dataset, it reaches an MSE of 0.7981 and a mean absolute error of 0.5208. These results highlight its ability to capture fine-grained gene expression patterns. In addition, our region-wise modeling significantly reduces training time without sacrificing performance, achieving up to 28-fold acceleration over conventional spot-wise methods. Ablation studies further validate the contribution of contrastive learning in enhancing spatial fidelity. The source code has been made publicly available at https://github.com/hrlblab/Img2ST-Net. Conclusions: We present a scalable, biologically coherent framework for high-resolution ST prediction. Img2ST-Net offers a principled solution for efficient and accurate ST inference at scale. Our contributions lay the groundwork for next-generation ST modeling that is robust and resolution-aware. © The Authors.",computational pathology; spatial transcriptomics; Visium HD,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105026307026
"Li, X.; Cui, C.; Deng, R.; Tang, Y.; Liu, Q.; Yao, T.; Bao, S.; Chowdhury, N.; Yang, H.; Huo, Y.","Li, Xueyuan (58550351000); Cui, Can (57219469236); Deng, Ruining (57219448253); Tang, Yucheng (57212614566); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Bao, Shunxing (57189987093); Chowdhury, Naweed Iffat (56946350200); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58550351000; 57219469236; 57219448253; 57212614566; 57336485300; 57222525765; 57189987093; 56946350200; 8638224800; 56830058500,Fine-grained multiclass nuclei segmentation with molecular empowered all-in-SAM model,2025,Journal of Medical Imaging,12,5,057501,,,0,10.1117/1.JMI.12.5.057501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020572792&doi=10.1117%2F1.JMI.12.5.057501&partnerID=40&md5=c692c8f653292d30892d3f151eea6500,"Purpose: Recent developments in computational pathology have been driven by advances in vision foundation models (VFMs), particularly the Segment Anything Model (SAM). This model facilitates nuclei segmentation through two primary methods: prompt-based zero-shot segmentation and the use of cell-specific SAM models for direct segmentation. These approaches enable effective segmentation across a range of nuclei and cells. However, general VFMs often face challenges with fine-grained semantic segmentation, such as identifying specific nuclei subtypes or particular cells. Approach: In this paper, we propose the molecular empowered all-in-SAM model to advance computational pathology by leveraging the capabilities of VFMs. This model incorporates a full-stack approach, focusing on (1) annotation—engaging lay annotators through molecular empowered learning to reduce the need for detailed pixel-level annotations, (2) learning—adapting the SAM model to emphasize specific semantics, which utilizes its strong generalizability with SAM adapter, and (3) refinement—enhancing segmentation accuracy by integrating molecular oriented corrective learning. Results: Experimental results from both in-house and public datasets show that the all-in-SAM model significantly improves cell classification performance, even when faced with varying annotation quality. Conclusions: Our approach not only reduces the workload for annotators but also extends the accessibility of precise biomedical image analysis to resource-limited settings, thereby advancing medical diagnostics and automating pathology image analysis. © The Authors.",cell segmentation; deep learning; foundation model; image annotation; molecular empowered learning,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020572792
"Wang, Y.; Yang, H.; Deng, R.; Huo, Y.; Liu, Q.; Shyr, Y.; Zhao, S.","Wang, Yu (55979182400); Yang, Haichun (8638224800); Deng, Ruining (57219448253); Huo, Yuankai (56830058500); Liu, Qi (57071806700); Shyr, Yu (35431521800); Zhao, Shilin (59636153400)",55979182400; 8638224800; 57219448253; 56830058500; 57071806700; 35431521800; 59636153400,StImage: A versatile framework for optimizing spatial transcriptomic analysis through customizable deep histology and location informed integration,2025,Briefings in Bioinformatics,26,5,bbaf429,,,0,10.1093/bib/bbaf429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015222320&doi=10.1093%2Fbib%2Fbbaf429&partnerID=40&md5=d3dbc301b39feca76149777079bb31e7,"Spatial transcriptomics (ST) integrates gene expression data with the spatial organization of cells and their associated histology, offering unprecedented insights into tissue biology. While existing methods incorporate either location-based or histology-informed information, none fully synergize gene expression, histological features, and precise spatial coordinates within a unified framework. Moreover, these methods often exhibit inconsistent performance across diverse datasets and conditions. Here, we introduce stImage, an open-source R package that provides a comprehensive and flexible solution for ST analysis. By generating deep learning-derived histology features and offering 54 integrative strategies, stImage seamlessly combines transcriptional profiles, histology images, and spatial information. We demonstrate stImage's effectiveness across multiple datasets, underscoring its ability to guide users toward the most suitable integration strategy using diagnostic graph. Our results highlight how stImage can optimize ST, consistently improving biological insights and advancing our understanding of tissue architecture. stImage is freely available at https://github.com/YuWang-VUMC/stImage. © 2025 The Author(s). Published by Oxford University Press.",deep learning; histology images; integration; optimizing; spatial transcriptomics,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105015222320
"Xiong, J.; Deng, R.; Yue, J.; Lu, S.; Guo, J.; Lionts, M.; Yao, T.; Cui, C.; Zhu, J.; Qu, C.; Yang, Y.; Yin, M.; Yang, H.; Huo, Y.","Xiong, Juming (58550762500); Deng, Ruining (57219448253); Yue, Jialin (58952307200); Lu, Siqi (59302144800); Guo, Junlin (58170992800); Lionts, Marilyn (58886284600); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58550762500; 57219448253; 58952307200; 59302144800; 58170992800; 58886284600; 57222525765; 57219469236; 59305966400; 59773197500; 59530872600; 58952280800; 8638224800; 56830058500,ZeroReg3D: A zero-shot registration pipeline for 3D consecutive histopathology image reconstruction,2025,Journal of Medical Imaging,12,4,044002,,,0,10.1117/1.JMI.12.4.044002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014736251&doi=10.1117%2F1.JMI.12.4.044002&partnerID=40&md5=8ced8cb4a7425e404041dc8dd6815e3d,"Purpose: Histological analysis plays a crucial role in understanding tissue struc ture and pathology. Although recent advancements in registration methods have improved 2D histological analysis, they often struggle to preserve critical 3D spa tial relationships, limiting their utility in both clinical and research applications. Specifically, constructing accurate 3D models from 2D slices remains challenging due to tissue deformation, sectioning artifacts, variability in imaging techniques, and inconsistent illumination. Deep learning-based registration methods have demon strated improved performance but suffer from limited generalizability and require large-scale training data. In contrast, non-deep-learning approaches offer better generalizability but often compromise on accuracy. Approach: We introduce ZeroReg3D, a zero-shot registration pipeline that integra tes zero-shot deep learning-based keypoint matching and non-deep-learning regis tration techniques to effectively mitigate deformation and sectioning artifacts without requiring extensive training data. Results: Comprehensive evaluations demonstrate that our pairwise 2D image registration method improves registration accuracy by ∼10% over baseline meth ods, outperforming existing strategies in both accuracy and robustness. High-fidelity 3D reconstructions further validate the effectiveness of our approach, establishing ZeroReg3D as a reliable framework for precise 3D reconstruction from consecutive 2D histological images. Conclusions: We introduced ZeroReg3D, a zero-shot registration pipeline tailored for accurate 3D reconstruction from serial histological sections. By combining zero shot deep learning-based keypoint matching with optimization-based affine and non-rigid registration techniques, ZeroReg3D effectively addresses critical chal lenges such as tissue deformation, sectioning artifacts, staining variability, and inconsistent illumination without requiring retraining or fine-tuning. © The Authors.",3D reconstruction; deep learning; histology; image registration; pathology,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105014736251
"Yue, J.; Yao, T.; Deng, R.; Lu, S.; Guo, J.; Liu, Q.; Xiong, J.; Yin, M.; Yang, H.; Huo, Y.","Yue, Jialin (58952307200); Yao, Tianyuan (57222525765); Deng, Ruining (57219448253); Lu, Siqi (59302144800); Guo, Junlin (58170992800); Liu, Quan (57336485300); Xiong, Juming (58550762500); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952307200; 57222525765; 57219448253; 59302144800; 58170992800; 57336485300; 58550762500; 58952280800; 8638224800; 56830058500,"GloFinder: AI-empowered QuPath plugin for WSI-level glomerular detection, visualization, and curation",2025,Journal of Pathology Informatics,17,,100433,,,2,10.1016/j.jpi.2025.100433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000069400&doi=10.1016%2Fj.jpi.2025.100433&partnerID=40&md5=8a3421e53edf160f82ad46d64ec670b1,"Artificial intelligence (AI) has demonstrated significant success in automating the detection of glomeruli—key functional units of the kidney—from whole slide images (WSIs) in kidney pathology. However, existing open-source tools are often distributed as source code or Docker containers, requiring advanced programming skills that hinder accessibility for non-programmers, such as clinicians. Additionally, current models are typically trained on a single dataset and lack flexibility in adjusting confidence levels for predictions. To overcome these challenges, we introduce GloFinder, a QuPath plugin designed for single-click automated glomerular detection across entire WSIs with online editing through the graphical user interface. GloFinder employs CircleNet, an anchor-free detection framework utilizing circle representations for precise object localization, with models trained on approximately 160,000 manually annotated glomeruli. To further enhance accuracy, the plugin incorporates weighted circle fusion—an ensemble method that combines confidence scores from multiple CircleNet models to produce refined predictions, achieving superior performance in glomerular detection. GloFinder enables direct visualization and editing of results in QuPath, facilitating seamless interaction for clinicians and providing a powerful tool for nephropathology research and clinical practice. © 2025 The Authors",Automated glomerular detection; CircleNet; Medical image analysis; QuPath plugin; Renal pathology; Weighted circle fusion; Whole slide images,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000069400
"Guo, J.; Zimmer-Dauphinee, J.R.; Nieusma, J.M.; Lu, S.; Liu, Q.; Deng, R.; Cui, C.; Yue, J.; Lin, Y.; Yao, T.; Xiong, J.; Zhu, J.; Qu, C.; Yang, Y.; Wilkes, M.; Wang, X.; VanValkenburgh, P.; Wernke, S.A.; Huo, Y.","Guo, Junlin (58170992800); Zimmer-Dauphinee, James R. (57386317800); Nieusma, Jordan M. (59302259900); Lu, Siqi (59302144800); Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yue, Jialin (58952307200); Lin, Yizhe (59315480600); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Wilkes, Mitchell (59315480700); Wang, Xiao (57221485766); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Huo, Yuankai (56830058500)",58170992800; 57386317800; 59302259900; 59302144800; 57336485300; 57219448253; 57219469236; 58952307200; 59315480600; 57222525765; 58550762500; 59305966400; 59773197500; 59530872600; 59315480700; 57221485766; 55909740200; 16069400900; 56830058500,DeepAndes: A Self-Supervised Vision Foundation Model for Multispectral Remote Sensing Imagery of the Andes,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,,,26983,26999,1,10.1109/JSTARS.2025.3619423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019239290&doi=10.1109%2FJSTARS.2025.3619423&partnerID=40&md5=f16e398adf80481013060ace8f4d2c91,"By mapping sites at large scales usingremotely sensed data, archaeologists can generate unique insights into long-term demographic trends, interregional social networks, and human adaptations in the past. Remote sensing surveys complement field-based approaches, and their reach can be especially great when combined with deep learning and computer vision techniques. However, conventional supervised deep learning methods face challenges in annotating fine-grained archaeological features at scale. In addition, while recent vision foundation models have shown remarkable success in learning large-scale remote sensing data with minimal annotations, most off-the-shelf solutions are designed for RGB images rather than multispectral satellite imagery, such as the eight-band data used in our study. In this article, we introduce DeepAndes, a transformer-based vision foundation model trained on three million multispectral satellite images, specifically tailored for Andean archaeology. DeepAndes incorporates a customized DINOv2 self-supervised learning algorithm optimized for eight-band multispectral imagery, marking the first foundation model designed explicitly for the Andes region. We evaluate its image understanding performance through imbalanced image classification, image instance retrieval, and pixel-level semantic segmentation tasks. Our experiments show that DeepAndes achieves superior F1 scores, mean average precision, and Dice scores in few-shot learning scenarios, significantly outperforming models trained from scratch or pretrained on smaller datasets. This underscores the effectiveness of large-scale self-supervised pretraining in archaeological remote sensing. © 2008-2012 IEEE.",Andean archaeology; DINOv2; foundation model (FM); multispectral imaging; remote sensing; self-supervised learning,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105019239290
"Xiong, J.; Li, M.; Deng, R.; Yao, T.; Bao, S.; Tyree, R.; Hiremath, G.; Huo, Y.","Xiong, Juming (58550762500); Li, Muyang (59250828000); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Bao, Shunxing (57189987093); Tyree, Regina N. (57210803860); Hiremath, Girish S. (12798054500); Huo, Yuankai (56830058500)",58550762500; 59250828000; 57219448253; 57222525765; 57189987093; 57210803860; 12798054500; 56830058500,Enhanced Feature-based Image Stitching for Endoscopic Videos in Pediatric Eosinophilic Esophagitis,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13408,,134080F,,,0,10.1117/12.3047514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005954430&doi=10.1117%2F12.3047514&partnerID=40&md5=1488b7f556192287da9b88fa330afbde,"Video endoscopy represents a major advance in the investigation of gastrointestinal diseases. Reviewing endoscopy videos often involves frequent adjustments and reorientations to reconstruct a comprehensive view of the examined area, a process that is not only time-consuming but also prone to errors. Image stitching techniques offer a solution by enabling a continuous and complete visualization of the examined area. However, endoscopic images, particularly those of the esophagus, present unique challenges. The smooth surface, lack of distinct feature points, and non-horizontal orientation complicate the stitching process, rendering traditional feature-based methods often ineffective for these types of images. To solve this problem, we propose a novel preprocessing pipeline designed to enhance endoscopic image stitching through advanced computational techniques. Our approach converts endoscopic video data into continuous 2D images by following four key steps: (1) keyframe selection, (2) image rotation adjustment to correct distortions, (3) surface unwrapping using polar coordinate transformation to generate a flat image, and (4) feature point matching enhanced by Adaptive Histogram Equalization for improved feature detection. We evaluate stitching quality through the assessment of valid feature point match pairs. Experiments conducted on 20 pediatric endoscopy videos demonstrate that our method significantly improves image alignment and stitching quality compared to traditional techniques, laying a robust foundation for more effective panoramic image creation. © 2025 SPIE",Endoscopy; Eosinophilic esophagitis; Image stitching,Conference paper,Final,,Scopus,2-s2.0-105005954430
