Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Du, Y.; Gu, J.; Duan, S.; Trueb, J.; Tzavelis, A.; Shin, H.-S.; Arafa, H.; Li, X.; Huang, Y.; Carr, A.N.; Davies, C.R.; Rogers, J.A.","Du, Yayun (57217196426); Gu, Jianyu (58108637200); Duan, Shiyuan (59941726700); Trueb, Jacob (58198312700); Tzavelis, Andreas (57211944714); Shin, Hee-sup (56544905700); Arafa, Hany M. (56470570900); Li, Xiuyuan (56346088600); Huang, Younggang Young (7501569901); Carr, Andrew N. (7402236860); Davies, Charles R. (7402409311); Rogers, John A. (56755517500)",57217196426; 58108637200; 59941726700; 58198312700; 57211944714; 56544905700; 56470570900; 56346088600; 7501569901; 7402236860; 7402409311; 56755517500,A skin-interfaced wireless wearable device and data analytics approach for sleep-stage and disorder detection,2025,Proceedings of the National Academy of Sciences of the United States of America,122,23,e2501220122,,,6,10.1073/pnas.2501220122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007936303&doi=10.1073%2Fpnas.2501220122&partnerID=40&md5=06c316c4c6ee93545f0b6f3b92991b9d,"Accurate identification of sleep stages and disorders is crucial for maintaining health, preventing chronic conditions, and improving diagnosis and treatment. Direct respiratory measurements, as key biomarkers, are missing in traditional wrist- or finger-worn wearables, which thus limit their precision in detection of sleep stages and sleep disorders. By contrast, this work introduces a simple, multimodal, skin-integrated, energy-efficient mechanoacoustic sensor capable of synchronized cardiac and respiratory measurements. The mechanical design enhances sensitivity and durability, enabling continuous, wireless monitoring of essential vital signs (respiration rate, heart rate and corresponding variability, temperature) and various physical activities. Systematic physiology-based analytics involving explainable machine learning allows both precise sleep characterization and transparent tracking of each factor’s contribution, demonstrating the dominance of respiration, as validated through a diverse range of human subjects, both healthy and with sleep disorders. This methodology enables cost-effective, clinical-quality sleep tracking with minimal user effort, suitable for home and clinical use. © © 2025 the Author(s).",machine learning; sleep; wearable technologies,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105007936303
"Bansal, K.; Du, Y.; Palan, E.; Quadir, M.; Jawed, M.","Bansal, Karan (57214333865); Du, Yayun (57217196426); Palan, Eric (58140005600); Quadir, Mohiuddin Abdul (35491692000); Jawed, Mohammad K. (56383707600)",57214333865; 57217196426; 58140005600; 35491692000; 56383707600,Robotic painting: mimicking human applicators,2023,Journal of Coatings Technology and Research,20,4,,1369,1381,2,10.1007/s11998-022-00750-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149922637&doi=10.1007%2Fs11998-022-00750-7&partnerID=40&md5=1388e40e78c9436a456161f9b90ea720,"Robotically assisted painting is widely used for spray and dip applications. However, use of robots for coating substrates using a roller applicator has not been systematically investigated. We showed for the first time, a generic robot arm-supported approach to painting engineering substrates using a roller with a constant force at an accurate joint step, while retaining compliance and thus safety. We optimized the robot design such that it is able to coat the substrate using a roller with a performance equivalent to that of a human applicator. To achieve this, we optimized the force, frequency of adjustment, and position control parameters of robotic design. A framework for autonomous coating is available at https://github.com/duyayun/Vision-and-force-control-automonous-painting-with-rollers; users are only required to provide the boundary coordinates of surfaces to be coated. We found that robotically- and human-painted panels showed similar trends in dry film thickness, coating hardness, flexibility, impact resistance, and microscopic properties. Color profile analysis of the coated panels showed non-significant difference in color scheme and is acceptable for architectural paints. Overall, this work shows the potential of robot-assisted coating strategy using roller applicator. This could be a viable option for hazardous area coating, high-altitude architectural paints, germs sanitization, and accelerated household applications. © 2023, The Author(s).",Coating; Collaborative robotics; Painting; Robots,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85149922637
"Du, Y.; Saha, S.S.; Sandha, S.S.; Lovekin, A.; Wu, J.; Siddharth, S.; Chowdhary, M.; Jawed, M.; Srivastava, M.","Du, Yayun (57217196426); Saha, Swapnil Sayan (57193735951); Sandha, Sandeep Singh (57189040794); Lovekin, Arthur (58547470000); Wu, Jason (58093738600); Siddharth, S. (59430142500); Chowdhary, Mahesh (6603294819); Jawed, Mohammad K. (56383707600); Srivastava, Mani B. (35599699800)",57217196426; 57193735951; 57189040794; 58547470000; 58093738600; 59430142500; 6603294819; 56383707600; 35599699800,Neural-Kalman GNSS/INS Navigation for Precision Agriculture,2023,Proceedings - IEEE International Conference on Robotics and Automation,2023-May,,,9622,9629,24,10.1109/ICRA48891.2023.10161351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162872275&doi=10.1109%2FICRA48891.2023.10161351&partnerID=40&md5=b398d1c3659357bc41c59a40666f0d1c,"Precision agricultural robots require high-resolution navigation solutions. In this paper, we introduce a robust neural-inertial sequence learning approach to track such robots with ultra-intermittent GNSS updates. First, we propose an ultra-lightweight neural-Kalman filter that can track agricultural robots within 1.4 m (1.4-5.8× better than competing techniques), while tracking within 2.75 m with 20 mins of GPS outage. Second, we introduce a user-friendly video-processing toolbox to generate high-resolution (±5 cm) position data for fine-tuning pre-trained neural-inertial models in the field. Third, we introduce the first and largest (6.5 hours, 4.5 km, 3 phases) public neural-inertial navigation dataset for precision agricultural robots. The dataset, toolbox, and code are available at: https://github.com/nesl/agrobot. © 2023 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85162872275
"Saha, S.S.; Du, Y.; Sandha, S.S.; Garcia, L.A.; Jawed, M.; Srivastava, M.","Saha, Swapnil Sayan (57193735951); Du, Yayun (57217196426); Sandha, Sandeep Singh (57189040794); Garcia, Luis Antonio (57199817928); Jawed, Mohammad K. (56383707600); Srivastava, Mani B. (35599699800)",57193735951; 57217196426; 57189040794; 57199817928; 56383707600; 35599699800,"Inertial Navigation on Extremely Resource-Constrained Platforms: Methods, Opportunities and Challenges",2023,"2023 IEEE/ION Position, Location and Navigation Symposium, PLANS 2023",,,,708,723,6,10.1109/PLANS53410.2023.10139997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162869043&doi=10.1109%2FPLANS53410.2023.10139997&partnerID=40&md5=8f1ada6a908a70386c1cd3ab80f1e497,"Inertial navigation provides a small footprint, low-power, and low-cost pathway for localization in GPS-denied environments on extremely resource-constrained Internet-of-Things (IoT) platforms. Traditionally, application-specific heuristics and physics-based kinematic models are used to mitigate the curse of drift in inertial odometry. These techniques, albeit lightweight, fail to handle domain shifts and environmental non-linearities. Recently, deep neural-inertial sequence learning has shown superior odometric resolution in capturing non-linear motion dynamics without human knowledge over heuristic-based methods. These AI-based techniques are data-hungry, suffer from excessive resource usage, and cannot guarantee following the underlying system physics. This paper highlights the unique methods, opportunities, and challenges in porting real-time AI-enhanced inertial navigation algorithms onto IoT platforms. First, we discuss how platform-aware neural architecture search coupled with ultra-lightweight model backbones can yield neural-inertial odometry models that are 31-134 x smaller yet achieve or exceed the localization resolution of state-of-the-art AI-enhanced techniques. The framework can generate models suitable for locating humans, animals, underwater sensors, aerial vehicles, and precision robots. Next, we showcase how techniques from neurosymbolic AI can yield physics-informed and interpretable neural-inertial navigation models. Afterward, we present opportunities for fine-tuning pre-trained odometry models in a new domain with as little as 1 minute of labeled data, while discussing inexpensive data collection and labeling techniques. Finally, we identify several open research challenges that demand careful consideration moving forward. © 2023 IEEE.",Bayesian; dead-reckoning; inertial; kalman filtering; neural architecture search; neural networks; neurosym-bolic; odometry; platform-aware; sequence learning; TinyML,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85162869043
"Lim, S.; Du, Y.; Lee, Y.; Panda, S.K.; Tong, D.; Jawed, M.","Lim, Sangmin (57820545500); Du, Yayun (57217196426); Lee, Yongkyu (58027305700); Panda, Shivam Kumar (57217635205); Tong, Dezhong (57224476950); Jawed, Mohammad K. (56383707600)",57820545500; 57217196426; 58027305700; 57217635205; 57224476950; 56383707600,"Fabrication, control, and modeling of robots inspired by flagella and cilia",2023,Bioinspiration and Biomimetics,18,1,011003,,,10,10.1088/1748-3190/aca63d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144585645&doi=10.1088%2F1748-3190%2Faca63d&partnerID=40&md5=b09b5f515641009009c7d92f3f472422,"Flagella and cilia are slender structures that serve important functionalities in the microscopic world through their locomotion induced by fluid and structure interaction. With recent developments in microscopy, fabrication, biology, and modeling capability, robots inspired by the locomotion of these organelles in low Reynolds number flow have been manufactured and tested on the micro-and macro-scale, ranging from medical in vivo microbots, microfluidics to macro prototypes. We present a collection of modeling theories, control principles, and fabrication methods for flagellated and ciliary robots. © 2022 IOP Publishing Ltd.",cilia; control; flagella; modeling; robotics,Review,Final,,Scopus,2-s2.0-85144585645
"Du, Y.; Lam, J.; Sachanandani, K.; Jawed, M.","Du, Yayun (57217196426); Lam, Jacqueline (57222421784); Sachanandani, Karunesh (57222421501); Jawed, Mohammad K. (56383707600)",57217196426; 57222421784; 57222421501; 56383707600,Modeling the Locomotion of Articulated Soft Robots in Granular Medium,2022,IEEE Robotics and Automation Letters,7,3,,6495,6502,10,10.1109/LRA.2022.3173036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131345685&doi=10.1109%2FLRA.2022.3173036&partnerID=40&md5=7bab905c1252a9d5492f311b1a1885dd,"We introduce a numerical tool for modeling articulated soft robots that couples discrete differential geometry-based simulation of elastic rods, our model for the articulated structure, and other external forces. Parallel to simulations, we build an untethered robot testbed, in the granular medium, comprised of multiple flexible flagella that are rotated about an axis by a motor. Drag from the granules causes the flagella to deform and the deformed shape generates a net forward propulsion. External drag depends on the flagellar shape, while the change in flagellar shape is the result of the competition between the external loading and elastic forces. We find reasonable quantitative agreement between experiments and simulations. Owing to a rod-based kinematic representation of the robot, the simulation can run faster than real-time in some cases, and, therefore, we can use it as a design tool for this class of soft robots. We find that there is an optimal rotational speed at which maximum efficiency is achieved. Moreover, both experiments and simulations show that increasing the number of flagella from two to three decreases the speed of the robot. This indicates that our simulator is potentially applicable for unknown physics exploration. We also gain insight into the mechanics of granular medium - while resistive force theory can successfully describe the propulsion at low number of flagella, it fails when more flagella are added to the robot. © 2016 IEEE.",bacteria; Biomimetics; design and modeling; discrete elastic rod; flagella; granular medium; locomotion; resistive force theory; soft robotics,Article,Final,,Scopus,2-s2.0-85131345685
"Du, Y.; Zhang, G.; Tsang, D.; Jawed, M.","Du, Yayun (57217196426); Zhang, Guofeng (57392552200); Tsang, Darren (57392523100); Jawed, Mohammad K. (56383707600)",57217196426; 57392552200; 57392523100; 56383707600,Deep-CNN based Robotic Multi-Class Under-Canopy Weed Control in Precision Farming,2022,Proceedings - IEEE International Conference on Robotics and Automation,2022-January,,,2273,2279,29,10.1109/ICRA46639.2022.9812240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136328995&doi=10.1109%2FICRA46639.2022.9812240&partnerID=40&md5=d5a0f148648eba192faaf32e9075c033,"Smart weeding systems to perform plant-specific operations can contribute to the sustainability of agriculture and the environment. Despite monumental advances in autonomous robotic technologies for precision weed management in recent years, work on under-canopy weeding in fields is yet to be realized. A prerequisite of such systems is reliable detection and classification of weeds to avoid mistakenly spraying and, thus, damaging the surrounding plants. Real-time multi-class weed identification enables species-specific treatment of weeds and significantly reduces the amount of herbicide use. Here, our first contribution is the first adequately large realistic image dataset AIWeeds (one/multiple kinds of weeds in one image), a library of about 10,000 annotated images of flax and the 14 most common weeds in fields and gardens taken from 20 different locations in North Dakota, California, and Central China. Second, we provide a full pipeline from model training with maximum efficiency to deploying the TensorRT-optimized model onto a single board computer. Based on AIWeeds and the pipeline, we present a baseline for classification performance using five benchmark CNN models. Among them, MobileNetV2, with both the shortest inference time and lowest memory consumption, is the qualified candidate for real-time applications. Finally, we deploy MobileNetV2 onto our own compact autonomous robot SAMBot for real-time weed detection. The 90% test accuracy realized in previously unseen scenes in flax fields (with a row spacing of 0.2-0.3 m), with crops and weeds, distortion, blur, and shadows, is a milestone towards precision weed control in the real world. We have publicly released the dataset and code to generate the results at https://github.com/StructuresComp/Multi-class-Weed-Classification. © 2022 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85136328995
"Du, Y.; Miller, A.; Jawed, M.K.","Du, Yayun (57217196426); Miller, Andrew (57222756571); Jawed, Mohammad K. (56383707600)",57217196426; 57222756571; 56383707600,Simple flagellated soft robot for locomotion near air-fluid interface,2021,"2021 IEEE 4th International Conference on Soft Robotics, RoboSoft 2021",,,9479198,472,478,4,10.1109/RoboSoft51838.2021.9479198,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114196742&doi=10.1109%2FRoboSoft51838.2021.9479198&partnerID=40&md5=46de8b7e00909545cf53abe94b078bae,"A wide range of microorganisms, e.g. bacteria, propel themselves by rotation of soft helical tails, also known as flagella. Due to the small size of these organisms, viscous forces overwhelm inertial effects and the flow is at low Reynolds number. In this fluid-structure problem, a competition between elastic forces and hydrodynamic (viscous) forces leads to a net propulsive force forward. A thorough understanding of this highly coupled fluid-structure interaction problem can not only help us better understand biological propulsion but also help us design bio-inspired functional robots with applications in oil spill cleanup, water quality monitoring, and infrastructure inspection. Here, we introduce arguably the simplest soft robot with a single binary control signal, which is capable of moving along an arbitrary 2D trajectory near air-fluid interface and at the interface between two fluids. The robot exploits the variation in viscosity to move along the prescribed trajectory. Our analysis of this newly introduced soft robot consists of three main components. First, we fabricate this simple robot and use it as an experimental testbed. Second, a discrete differential geometry-based modeling framework is used for simulation of the robot. Upon validation of the simulation tool, the third part of this study employs the simulations to develop a control scheme with a single binary input to make the robot follow any prescribed path. © 2021 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85114196742
"Du, Y.; Mallajosyula, B.; Sun, D.; Chen, J.; Zhao, Z.; Rahman, M.; Quadir, M.; Jawed, M.K.","Du, Yayun (57217196426); Mallajosyula, Bhrugu (57375280900); Sun, Deming (57374536400); Chen, Jingyi (57374638900); Zhao, Zihang (58156083300); Rahman, Md Mukhlesur (57211537153); Quadir, Mohiuddin Abdul (35491692000); Jawed, Mohammad K. (56383707600)",57217196426; 57375280900; 57374536400; 57374638900; 58156083300; 57211537153; 35491692000; 56383707600,A Low-cost Robot with Autonomous Recharge and Navigation for Weed Control in Fields with Narrow Row Spacing,2021,IEEE International Conference on Intelligent Robots and Systems,,,,3263,3270,21,10.1109/IROS51168.2021.9636267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124349348&doi=10.1109%2FIROS51168.2021.9636267&partnerID=40&md5=6379975430c9c3d7823c01e9d7e48ae2,"Modern herbicide application in agricultural set-tings typically relies on either large scale sprayers that dispense herbicide over crops and weeds alike or portable sprayers that require labor intensive manual operation. The former method results in overuse of herbicide and reduction in crop yield while the latter is often untenable in large scale operations. This paper presents the first fully autonomous robot for weed management for row crops capable of computer vision based navigation, weed detection, complete field coverage, and automatic recharge for under 400. The target application is autonomous inter-row weed control in crop fields, e.g. flax and canola, where the spacing between croplines is as small as one foot. The proposed robot is small enough to pass between croplines at all stages of plant growth while detecting weeds and spraying herbicide. A recharging system incorporates newly designed robotic hardware, a ramp, a robotic charging arm, and a mobile charging station. An integrated vision algorithm is employed to assist with charger alignment effectively. Combined, they enable the robot to work continuously in the field without access to electricity. In addition, a color-based contour algorithm combined with preprocessing techniques is applied for robust navigation relying on the input from the onboard monocular camera. Incorporating such compact robots into farms could help automate weed control, even during late stages of growth, and reduce herbicide use by targeting weeds with precision. The robotic platform is field-tested in the flaxseed fields of North Dakota. © 2021 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85124349348
"Qin, L.; Huang, W.; Du, Y.; Zheng, L.; Jawed, M.K.","Qin, Longhui (56486706500); Huang, Weicheng (57209210002); Du, Yayun (57217196426); Zheng, Luocheng (59443425900); Jawed, Mohammad K. (56383707600)",56486706500; 57209210002; 57217196426; 59443425900; 56383707600,"Correction to: genetic algorithm-based inverse design of elastic gridshells (Structural and Multidisciplinary Optimization, (2020), 62, 5, (2691-2707), 10.1007/s00158-020-02639-8)",2020,Structural and Multidisciplinary Optimization,62,5,,2709,2710,1,10.1007/s00158-020-02711-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089502636&doi=10.1007%2Fs00158-020-02711-3&partnerID=40&md5=b72e599b3633b811fbdaca84f94693ec,"The original version of Fig. 10 is a repetition of Fig. 13 by mistake. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",,Erratum,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85089502636
