Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Fang, Z.; Wallace, R.; Karas, Z.; Li, T.; McMillan, C.; Huang, Y.","Fang, Zihan (58778449900); Wallace, Robert (57219644662); Karas, Zachary (57222342984); Li, Toby Jia Jun (57193573228); McMillan, Collin (35094348900); Huang, Yu (57188585234)",58778449900; 57219644662; 57222342984; 57193573228; 35094348900; 57188585234,Investigating the Feasibility of Conducting Webcam-Based Eye-Tracking Studies in Code Comprehension,2026,IEEE Transactions on Software Engineering,,,,,,0,10.1109/TSE.2026.3651615,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027754471&doi=10.1109%2FTSE.2026.3651615&partnerID=40&md5=e06c63f32cff969b5623f15103b1f693,"Researchers in Software Engineering (SE) often use onsite screen-mounted eye-tracking experiments to investigate programmers' visual attention patterns in various programming activities. The pandemic and the difficulty of recruiting many participants, especially those with special expertise in SE, have hastened the shift towards conducting eye-tracking studies offsite, which use integrated webcams to track participants' gaze in natural settings. This study compares the efficacy of a webcam-based eye tracker to a research-focused screen-mounted eye tracker in code comprehension tasks. We conducted onsite experiments with 49 participants, each using both types of eye trackers simultaneously to assess the webcam-based eye tracker's capability to capture visual patterns at general, semantic, and token levels and detect individual differences. Additionally, we conducted offsite experiments with 10 participants to supplement the findings. Our findings indicate that while the webcam-based eye tracker effectively captures programmers' semantic comprehension, but faces challenges in accurately identifying cognitive patterns at a more detailed token level in onsite settings. Furthermore, the elevated noise observed in real-world offsite conditions significantly limits the tracker's reliability for drawing accurate conclusions. Participants also encountered challenges with calibration and task initiation, highlighting areas for improvement in conducting webcam-based eye-tracking studies offsite in the future. This study investigates the feasibility of webcam-based eye-tracking studies in SE, offers insights to enhance the accuracy of webcam-based eye-tracking in programming potentially, and provides guidelines for future webcam-based eye-tracking study designs. © 1976-2012 IEEE.",Code Comprehension; Webcam-Based Eye Tracking,Article,aip,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105027754471
"Su, C.-Y.; Bansal, A.; Huang, Y.; Li, T.; McMillan, C.","Su, Chiayi (58317707200); Bansal, Aakash (57219685752); Huang, Yu (57188585234); Li, Toby Jia Jun (57193573228); McMillan, Collin (35094348900)",58317707200; 57219685752; 57188585234; 57193573228; 35094348900,Context-aware code summary generation,2026,Journal of Systems and Software,231,,112580,,,1,10.1016/j.jss.2025.112580,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012740279&doi=10.1016%2Fj.jss.2025.112580&partnerID=40&md5=9e727f587da639a9b2d055a362cc42c7,"Recent advances in Large Language Models (LLMs) have helped make automatic code summarization a reality. However, the summaries these approaches write tend to focus on a narrow area of code. The results are summaries that explain what that function does internally, but lack a description of its purpose in the broader context of the program. In this paper, we present an approach for including this context in recent LLM-based code summarization. The input to our approach is a Java method and the summary of the caller methods. The output is a succinct English description of purpose of the method. The advantage of this approach is that we reduce 81% of the tokens in smaller models. We train the model in two steps. First we distill knowledge for code summarization from a large model. Then, we fine-tune the model using data from a study of human programmers who were asked to write code summaries. We evaluate our method and analyze the rationale behind the decision in the tournament style human study. We find in our human study that human programmers prefer the summary from our approach rather than GPT-4 on this task and accuracy is the most common reason a summary is better than others. In terms of the automatic metrics, we also observed 10% improvement in USE score. © 2025 Elsevier Inc.",Code summarization; Large Language Model; Natural language processing,Article,Final,,Scopus,2-s2.0-105012740279
"Zhang, Y.; Huang, C.; Karas, Z.; Nguyen, D.T.; Leach, K.; Huang, Y.","Zhang, Yifan (59665747400); Huang, Chen (58417968300); Karas, Zachary (57222342984); Nguyen, Thuy Dung (57324186400); Leach, Kevin (55843963300); Huang, Yu (57188585234)",59665747400; 58417968300; 57222342984; 57324186400; 55843963300; 57188585234,Enhancing Code LLM Training with Programmer Attention,2025,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,616,620,0,10.1145/3696630.3728510,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013966120&doi=10.1145%2F3696630.3728510&partnerID=40&md5=7ccb4cc7ec151d48faa10d880883e878,"Human attention provides valuable yet underexploited signals for code LLM training, offering a perspective beyond purely machine-driven attention. Despite the complexity and cost of collecting eye-tracking data, there has also been limited progress in systematically using these signals for code llm training. To address both issues, we propose a cohesive pipeline spanning augmentation and reward-based fine-tuning. Specifically, we introduce (1) an eye-tracking path augmentation method to expand programmer attention datasets, (2) a pattern abstraction step that refines raw fixations into learnable attention motifs, and (3) a reward-guided strategy for integrating these insights directly into a CodeT5 supervised fine-tuning process. Our experiments yield +7.16 in CodeBLEU on the CodeXGlue benchmark for code summarization, underscoring how uniting human and machine attention can boost code intelligence. We hope this work encourages broader exploration of human-centric methods in next-generation AI4SE. © 2025 Copyright held by the owner/author(s).",Code Comprehension; Eye Tracking; Large Language Models,Conference paper,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105013966120
"Fang, Z.; Li, J.; Liang, A.; Bai, G.R.; Huang, Y.","Fang, Zihan (58778449900); Li, Jiliang (58913157200); Liang, Anda (58620198100); Bai, Gina R. (57208225604); Huang, Yu (57188585234)",58778449900; 58913157200; 58620198100; 57208225604; 57188585234,A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education,2025,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,871,882,1,10.1145/3696630.3727244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013963570&doi=10.1145%2F3696630.3727244&partnerID=40&md5=f5bd5db090d75c292a514baaffb9a0ea,"Testing is widely practiced in software engineering, and many tools have been developed to support students in learning testing. Prior research suggests that a lightweight testing checklist improves learning outcomes but doesn’t address students’ challenges in writing test code that matches their intentions or design. Meanwhile, generative AI tools (e.g., ChatGPT) bring new promise as another form of software assistance tool. In this study, we examined the impact of various support tools (checklist, ChatGPT, or both) on unit testing among 42 students. Our results indicated that using these tools individually or in combination produced a comparable effect on student performance in unit testing. Students preferred using the checklist but acknowledged ChatGPT’s effectiveness in accelerating task completion and addressing programming language challenges. While ChatGPT demonstrated potential benefits for testing education, it did not overcome the implementation challenges identified in the previous study. Moreover, reliance on ChatGPT may hinder students’ deeper engagement with new concepts, which is crucial for comprehensive learning, as they often interact superficially with AI-generated responses without employing the critical thinking necessary to evaluate the information provided. Therefore, we proposed recommendations for both students and instructors on adapting to learning and teaching in the AI era and offer insights into the evolving role of AI in education. © 2025 Copyright held by the owner/author(s).",ChatGPT; Checklist; Testing Education; Unit Testing,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105013963570
"Zhang, Y.; Huang, C.; Zhang, Y.; Shao, H.; Leach, K.; Huang, Y.","Zhang, Yifan (59665747400); Huang, Chen (58417968300); Zhang, Yueke (57852620000); Shao, Huajie (59983956600); Leach, Kevin (55843963300); Huang, Yu (57188585234)",59665747400; 58417968300; 57852620000; 59983956600; 55843963300; 57188585234,Pre-Training Representations of Binary Code Using Contrastive Learning,2025,Transactions on Machine Learning Research,October-2025,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020758962&partnerID=40&md5=75eed03a7b70b50978d963512ed60e89,"Binary code analysis and comprehension is critical to applications in reverse engineering and computer security tasks where source code is not available. Unfortunately, unlike source code, binary code lacks semantics and is more difficult for human engineers to understand and analyze. In this paper, we present ContraBin, a contrastive learning technique that integrates source code and comment information along with binaries to create an embedding capable of aiding binary analysis and comprehension tasks. Specifically, we present three components in ContraBin: (1) a primary contrastive learning method for initial pre-training, (2) a simplex interpolation method to integrate source code, comments, and binary code, and (3) an intermediate representation learning algorithm to train a binary code embedding. We further analyze the impact of human-written and synthetic comments on binary code comprehension tasks, revealing a significant performance disparity. While synthetic comments provide substantial benefits, human-written comments are found to introduce noise, even resulting in performance drops compared to using no comments. These findings reshape the narrative around the role of comment types in binary code analysis. We evaluate the effectiveness of ContraBin through four indicative downstream tasks related to binary code: algorithmic functionality classification, function name recovery, code summarization, and reverse engineering. The results show that ContraBin considerably improves performance on all four tasks, measured by accuracy, mean of average precision, and BLEU scores as appropriate. ContraBin is the first language representation model to incorporate source code, binary code, and comments into contrastive code representation learning and is intended to contribute to the field of binary code analysis. The dataset used in this study is available for further research. © 2025, Transactions on Machine Learning Research. All rights reserved.",,Article,Final,,Scopus,2-s2.0-105020758962
"Li, J.; Zhang, Y.; Huang, Y.; Leach, K.","Li, Jiliang (58913157200); Zhang, Yifan (59665747400); Huang, Yu (57188585234); Leach, Kevin (55843963300)",58913157200; 59665747400; 57188585234; 55843963300,MalMixer: Few-Shot Malware Classification with Retrieval-Augmented Semi-Supervised Learning,2025,"Proceedings - IEEE 10th European Symposium on Security and Privacy, Euro S and P 2025",,,,268,288,1,10.1109/EuroSP63326.2025.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016127825&doi=10.1109%2FEuroSP63326.2025.00024&partnerID=40&md5=9131d854cccb4be3b4a3c2e8922f8d55,"Recent growth and proliferation of malware have tested practitioners' ability to promptly classify new samples according to malware families. In contrast to labor-intensive reverse engineering efforts, machine learning approaches have demonstrated increased speed and accuracy. However, most existing deep-learning malware family classifiers must be calibrated using a large number of samples that are painstakingly manually analyzed before training. Furthermore, as novel malware samples arise that are beyond the scope of the training set, additional reverse engineering effort must be employed to update the training set. The sheer volume of new samples found in the wild creates substantial pressure on practitioners' ability to reverse engineer enough malware to adequately train modern classifiers.In this paper, we present MALMIXER, a malware family classifier using semi-supervised learning that achieves high accuracy with sparse training data. We present a domain-knowledge-aware data augmentation technique for malware feature representations, enhancing few-shot performance of semi-supervised malware family classification. We show that MALMIXER achieves state-of-the-art performance in few-shot malware family classification settings. Our research confirms the feasibility and effectiveness of lightweight, domain-knowledge-aware data augmentation methods for malware features and shows the capabilities of similar semi-supervised classifiers in addressing malware classification issues. © 2025 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-105016127825
"Zhang, Y.; Liang, A.; Wang, X.; Wisniewski, P.; Zhang, F.; Leach, K.; Huang, Y.","Zhang, Yueke (57852620000); Liang, Anda (58620198100); Wang, Xiaohan (59930443000); Wisniewski, Pamela Karr (57293685900); Zhang, Fengwei (55495440200); Leach, Kevin (55843963300); Huang, Yu (57188585234)",57852620000; 58620198100; 59930443000; 57293685900; 55495440200; 55843963300; 57188585234,Who's Pushing the Code? An Exploration of GitHub Impersonation,2025,Proceedings - International Conference on Software Engineering,,,,704,716,0,10.1109/ICSE55347.2025.00065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010344416&doi=10.1109%2FICSE55347.2025.00065&partnerID=40&md5=300f2da3f89a43fb3b7a947cc1756f8b,"GitHub is one of the largest open-source software (OSS) communities for software development and collaboration. Impersonation in the OSS communities refers to the malicious act of assuming another user's identity, often aiming to gain unauthorized access to code, manipulate project outcomes, or spread misinformation. With several recent real-world attacks resulting from impersonation, this issue is becoming more and more concerning within the OSS community. We present the first exploration of the impact of impersonation in GitHub. Specifically, we conduct structured interviews with 17 real-world OSS contributors about their perception of impersonation and corresponding mitigations. Our study reveals that, in general, GitHub users lack awareness of impersonation and underestimate the severity of its implications. After witnessing a demo of impersonation, they show significant concern for the OSS community. Meanwhile, we also demonstrate that the current best practices (i.e., commit signing) that might mitigate impersonation must be improved to encourage use and adoption. We also present and discuss participant perceptions of potential ways to mitigate GitHub impersonation. We collect a dataset comprising 12.5 million commits to investigate the current status of impersonation. Interestingly, we find out that currently impersonation cannot be easily detected. We observe that existing commit histories treat impersonation behavior identically to pull request events, resulting in a lack of detection methods for impersonation. © 2025 IEEE.",Impersonation; Open-Source Software,Conference paper,Final,,Scopus,2-s2.0-105010344416
"Karas, Z.; Gold, B.P.; Zhou, V.; Reardon, N.; Polk, T.; Chang, C.; Huang, Y.","Karas, Zachary (57222342984); Gold, Benjamin Paul (55877546200); Zhou, Violet (59985552600); Reardon, Noah (59985697800); Polk, Thad A. (7003672702); Chang, Catie E. (56561973300); Huang, Yu (57188585234)",57222342984; 55877546200; 59985552600; 59985697800; 7003672702; 56561973300; 57188585234,Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,2025,Proceedings - International Conference on Software Engineering,,,,2380,2392,0,10.1109/ICSE55347.2025.00164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010329938&doi=10.1109%2FICSE55347.2025.00164&partnerID=40&md5=a4e94b244b9cac8ce167d117e32fae09,"Expert programmers are more effective at coding activities, but the reasons for this remain elusive. Accordingly, recent research has used neuroimaging such as fMRI to analyze how expert programmers might think as they perform coding activities. Those experiments have all involved specific program-ming tasks (i.e., comprehension), but have been unable to detect systematic differences based on coding experience. By using tasks, however, those studies may limit the number and type of brain networks involved. In Cognitive Neuroscience, researchers commonly analyze resting-state data, in which participants' brain activity is recorded as they lay idle in the scanner. The brain's functional organization is plastic, and can change with experience. These changes can be measured at rest, making this a suitable data type for studying how programming activities affect neural organization over time. In this paper, we analyzed the resting state scans from 150 participants, 96 of whom were programmers. We found increased connectivity in programmers between brain regions involved in language, math, and the tempo-ral attention. Non-programmers demonstrated more connectivity with regions involved in social and emotional cognition. We found that as years of programming experience increases, connectivity decreases between two regions associated with visual processing during reading and articulation, respectively. © 2025 IEEE.",fMRI; Programming Expertise; Resting State,Conference paper,Final,,Scopus,2-s2.0-105010329938
"Acharya, M.; Zhang, Y.; Leach, K.; Huang, Y.","Acharya, Manish (59301154200); Zhang, Yifan (59665747400); Leach, Kevin (55843963300); Huang, Yu (57188585234)",59301154200; 59665747400; 55843963300; 57188585234,Optimizing Code Runtime Performance Through Context-Aware Retrieval-Augmented Generation,2025,IEEE International Conference on Program Comprehension,,,,199,203,0,10.1109/ICPC66645.2025.00028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009125913&doi=10.1109%2FICPC66645.2025.00028&partnerID=40&md5=a961c1b0c4162167c5558bd0cf106feb,"Optimizing software performance through automated code refinement offers a promising avenue for enhancing execution speed and efficiency. Despite recent advancements in LLMs, a significant gap remains in their ability to perform indepth program analysis. This study introduces AutoPatch, an in-context learning approach designed to bridge this gap by enabling LLMs to automatically generate optimized code. Inspired by how programmers learn and apply knowledge to optimize software, AutoPatch incorporates three key components: (1) an analogy-driven framework to align LLM optimization with human cognitive processes, (2) a unified approach that integrates historical code examples and CFG analysis for context-aware learning, and (3) an automated pipeline for generating optimized code through in-context prompting. Experimental results demonstrate that AutoPatch achieves a 7.3% improvement in execution efficiency over GPT-4o across common generated executable code, highlighting its potential to advance automated program runtime optimization. © 2025 IEEE.",In-Context Learning; Large Language Models; Program Optimization,Conference paper,Final,,Scopus,2-s2.0-105009125913
"Wallace, R.; Bansal, A.; Karas, Z.; Tang, N.; Huang, Y.; Li, T.; McMillan, C.","Wallace, Robert (57219644662); Bansal, Aakash (57219685752); Karas, Zachary (57222342984); Tang, Ningzhi (57604908900); Huang, Yu (57188585234); Li, Toby Jia Jun (57193573228); McMillan, Collin (35094348900)",57219644662; 57219685752; 57222342984; 57604908900; 57188585234; 57193573228; 35094348900,Programmer Visual Attention During Context-Aware Code Summarization,2025,IEEE Transactions on Software Engineering,51,5,,1524,1537,1,10.1109/TSE.2025.3554990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001531839&doi=10.1109%2FTSE.2025.3554990&partnerID=40&md5=71c095943181dac66533098b8c309326,"Programmer attention represents the visual focus of programmers on parts of the source code in pursuit of programming tasks. The focus of current research in modeling this programmer attention has been on using mouse cursors, keystrokes, or eye tracking equipment to map areas in a snippet of code. These approaches have traditionally only mapped attention for a single method. However, there is a knowledge gap in the literature because programming tasks such as source code summarization require programmers to use contextual knowledge that can only be found in other parts of the project, not only in a single method. To address this knowledge gap, we conducted an in-depth human study with 10 Java programmers, where each programmer generated summaries for 40 methods from five large Java projects over five one-hour sessions. We used eye tracking equipment to map the visual attention of programmers while they wrote the summaries. We also rate the quality of each summary. We found eye-gaze patterns and metrics that define common behaviors between programmer attention during context-aware code summarization. Specifically, we found that programmers need to read up to 35% fewer words (p < 0.01) over the whole session, and revisit 13% fewer words (p < 0.03) as they summarize each method during a session, while maintaining the quality of summaries. We also found that the amount of source code a participant looks at correlates with a higher quality summary, but this trend follows a bell-shaped curve, such that after a threshold reading more source code leads to a significant decrease (p < 0.01) in the quality of summaries. We also gathered insight into the type of methods in the project that provide the most contextual information for code summarization based on programmer attention. Specifically, we observed that programmers spent a majority of their time looking at methods inside the same class as the target method to be summarized. Surprisingly, we found that programmers spent significantly less time looking at methods in the call graph of the target method.We discuss how our empirical observations may aid future studies towards modeling programmer attention and improving context-aware automatic source code summarization. © 1976-2012 IEEE.",Automatic documentation generation; context-aware models; neural networks; source code summarization,Article,Final,,Scopus,2-s2.0-105001531839
