Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Li, Z.; Gao, C.; Kanakaraj, P.; Bao, S.; Zuo, L.; Kim, M.E.; Newlin, N.R.; Rudravaram, G.; Mohd Khairi, N.M.; Huo, Y.; Schilling, K.G.; Kukull, W.A.; Toga, A.W.; Archer, D.B.; Hohman, T.J.; Landman, B.A.","Li, Zhiyuan (59144471700); Gao, Chenyu (57363597800); Kanakaraj, Praitayini (57217029207); Bao, Shunxing (57189987093); Zuo, Lianrui (57202855256); Kim, Michael E. (58290603100); Newlin, Nancy R. (58133978900); Rudravaram, Gaurav (57442300300); Mohd Khairi, Nazirah Mohd (57208887001); Huo, Yuankai (56830058500); Schilling, Kurt G. (56192036700); Kukull, W. A. (35351525000); Toga, Arthur W. (35412870200); Archer, Derek B. (55915833400); Hohman, Timothy J. (57211697123); Landman, Bennett Allan (16679175200)",59144471700; 57363597800; 57217029207; 57189987093; 57202855256; 58290603100; 58133978900; 57442300300; 57208887001; 56830058500; 56192036700; 35351525000; 35412870200; 55915833400; 57211697123; 16679175200,Multi-modality conditioned variational U-net for field-of-view extension in brain diffusion MRI,2026,Magnetic Resonance Imaging,129,,110617,,,0,10.1016/j.mri.2026.110617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029550655&doi=10.1016%2Fj.mri.2026.110617&partnerID=40&md5=0a7cd962e65c2322927d59ef343c4d55,"An incomplete field-of-view (FOV) in diffusion magnetic resonance imaging (dMRI) can severely hinder the volumetric and bundle analyses of whole-brain white matter connectivity. Although existing works have investigated imputing the missing regions using deep generative models, it remains unclear how to specifically utilize additional information from paired multi-modality data and whether this can enhance the imputation quality and be useful for downstream tractography. To fill this gap, we propose a novel framework for imputing dMRI scans in the incomplete part of the FOV by integrating the learned diffusion features in the acquired part of the FOV to the complete brain anatomical structure. We hypothesize that by this design the proposed framework can enhance the imputation performance of the dMRI scans and therefore be useful for repairing whole-brain tractography in corrupted dMRI scans with incomplete FOV. We tested our framework on two cohorts from different sites with a total of 96 subjects and compared it with a baseline imputation method that treats the information from T1w and dMRI scans equally. The proposed framework achieved significant improvements in imputation performance, as demonstrated by angular correlation coefficient (p < 1E-5), and in downstream tractography accuracy, as demonstrated by Dice score (p < 0.01). Results suggest that the proposed framework improved imputation performance in dMRI scans by specifically utilizing additional information from paired multi-modality data, compared with the baseline method. The imputation achieved by the proposed framework enhances whole brain tractography, and therefore reduces the uncertainty when analyzing bundles associated with neurodegenerative. © 2026 The Authors.",Diffusion MRI; Generative model; Imputation; Medical image synthesis,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105029550655
"Singh, Y.; Unal, O.; Ali, F.; Salehi, S.; Kuanar, S.; Elhanashi, A.; Hathaway, Q.A.; Chaudhary, A.; Huo, Y.; Younis, K.; Gu, Q.; Keishing, V.; Wei, Y.; Zhang, L.; Erickson, B.J.","Singh, Yashbir (57214304083); Unal, Orhan (35967114400); Ali, Farzana (59785676900); Salehi, Sara (59511767200); Kuanar, Shiba (57203988150); Elhanashi, Abdussalam (57219848645); Hathaway, Quincy A. (57192838539); Chaudhary, Ashok (58850315700); Huo, Yuankai (56830058500); Younis, Khaled (58071028100); Gu, Quincy (60339913200); Keishing, Varekan (60075663800); Wei, Yujia (57314907600); Zhang, Lili (60340094100); Erickson, Bradley James M.D. (7201472755)",57214304083; 35967114400; 59785676900; 59511767200; 57203988150; 57219848645; 57192838539; 58850315700; 56830058500; 58071028100; 60339913200; 60075663800; 57314907600; 60340094100; 7201472755,"Large-Scale Foundation Models for Radiological Image Analysis: Clinical Applications, Technical Challenges, and Future Directions",2026,Journal of Imaging Informatics in Medicine,,,,,,0,10.1007/s10278-025-01823-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027924859&doi=10.1007%2Fs10278-025-01823-w&partnerID=40&md5=0e193f06f6dde305ef47479fa227c778,"Foundation models represent a transformative paradigm in radiological image analysis, offering large-scale, versatile systems that move beyond traditional task-specific AI approaches. While prior surveys have summarized their capabilities in medical imaging, a critical gap remains—the translation from research innovation to sustainable clinical radiology practice. This review directly addresses the implementation gap by presenting subspecialty-specific deployment strategies, real-world performance benchmarks from clinical settings, and practical PACS/RIS integration protocols informed by deployments across 15 healthcare systems. Rather than cataloging model architectures or theoretical advances, we focus on how radiology departments can effectively and successfully implement foundation models in practice, providing actionable, evidence-based guidance for clinical teams responsible for making adoption and deployment decisions. We explore architectures ranging from Vision Transformers to multimodal systems, their pre-training strategies, and adaptation techniques for medical imaging tasks. Clinical applications across multiple imaging modalities have demonstrated significant advances in lesion detection, disease classification, and automated reporting. Despite this progress, challenges remain in achieving robust clinical validation, navigating regulatory approval, and addressing ethical implementation. In this review, we evaluate key performance metrics and examine integration challenges, with particular attention to issues of data heterogeneity, interpretability, and computational efficiency. This review uniquely integrates an imaging informatics perspective, framing foundation models within the full lifecycle of medical imaging data from acquisition to clinical integration. We also highlight emerging solutions and outline future directions, including next-generation architectures, applications in personalized medicine, and strategies to expand accessibility in resource-constrained settings. We further highlight practical solutions for computational efficiency and accessibility, such as edge computing and model compression, vital for broader institutional adoption. This review provides clinical teams—radiologists, administrators, and imaging informatics specialists—with actionable guidance on foundation model implementation, while also serving as a reference for researchers exploring applied AI translation in radiology. © The Author(s) under exclusive licence to Society for Imaging Informatics in Medicine 2026.",Deep learning; Diagnostic imaging; Foundation models; Multi-modal learning; Radiology; Vision transformers,Review,aip,,Scopus,2-s2.0-105027924859
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Fogo, A.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Fogo, Agnes B. (7102673654); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59442510500; 56561973300; 59315480700; 7102673654; 58952280800; 8638224800; 56830058500,Evaluating cell AI foundation models in kidney pathology with human-in-the-loop enrichment,2025,Communications Medicine,5,1,495,,,0,10.1038/s43856-025-01205-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022790247&doi=10.1038%2Fs43856-025-01205-x&partnerID=40&md5=9a563ea34e43e8c8b11432615ddcb1e3,"Background: Large-scale artificial intelligence foundation models have emerged as promising tools for addressing healthcare challenges, including digital pathology. While many have been developed for complex tasks such as disease diagnosis and tissue quantification using extensive and diverse datasets, their readiness for seemingly simpler tasks, such as nuclei segmentation within a single organ (for example, the kidney), remains unclear. This study answers two questions: How good are current cell foundation models? and How can we improve them? Methods: We curated a multi-center, multi-disease, and multi-species dataset sampled from 2542 kidney whole slide images. Three state-of-the-art cell foundation models—Cellpose, StarDist, and CellViT—were evaluated. To enhance performance, we developed a human-in-the-loop strategy that distilled multi-model predictions, improving data quality while reducing reliance on pixel-level annotation. Fine-tuning was performed using the enriched datasets, and segmentation performance was quantitatively assessed. Results: Here we show that cell nuclei segmentation in kidney pathology still requires improvement with more organ-targeted foundation models. Among the evaluated models, CellViT achieves the highest baseline performance, with an F1 score of 0.78. Fine-tuning with enriched data improves all three models, with StarDist achieving the highest F1 score of 0.82. The combination of the foundation model-generated pseudo-labels and a subset of pathologist-corrected “hard” patches yields consistent performance gains across all models. Conclusions: This study establishes a benchmark for the development and deployment of cell AI foundation models tailored to real-world data. The proposed framework, which leverages foundation models with reduced expert annotation, supports more efficient workflows in clinical pathology. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105022790247
"Lu, Z.; Liang, H.; Lu, M.; Martin, D.; Hardy, B.M.; Dawant, B.; Wang, X.; Yan, X.; Huo, Y.","Lu, Zhengyi (59330275800); Liang, Hao (59258975700); Lu, Ming (57215082356); Martin, Dann C. (56603517700); Hardy, Benjamin M. (57211951776); Dawant, Benoît M. (7007025943); Wang, Xiao (57221485766); Yan, Xinqiang (56079070000); Huo, Yuankai (56830058500)",59330275800; 59258975700; 57215082356; 56603517700; 57211951776; 7007025943; 57221485766; 56079070000; 56830058500,PHASE: Personalized Head-based Automatic Simulation for Electromagnetic properties in 7T MRI,2025,Magnetic Resonance Imaging,124,,110532,,,0,10.1016/j.mri.2025.110532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017283213&doi=10.1016%2Fj.mri.2025.110532&partnerID=40&md5=4700b370bb2b5714f136634a16713044,"Accurate and individualized human head models are becoming increasingly important for electromagnetic (EM) simulations. These simulations depend on precise anatomical representations to realistically model electric and magnetic field distributions, particularly when evaluating Specific Absorption Rate (SAR) within safety guidelines. State of the art simulations use the Virtual Population due to limited public resources and the impracticality of manually annotating patient data at scale. This paper introduces Personalized Head-based Automatic Simulation for EM properties (PHASE), an automated open-source toolbox that generates high-resolution, patient-specific head models for EM simulations using paired T1-weighted (T1w) magnetic resonance imaging (MRI) and computed tomography (CT) scans with 14 tissue labels. To evaluate the performance of PHASE models, we conduct semi-automated segmentation and EM simulations on 15 real human patients, serving as the gold standard reference. The PHASE model achieved comparable global SAR and localized SAR averaged over 10 grams of tissue (SAR-10g), demonstrating its potential as a promising tool for generating large-scale human model datasets in the future. The code and models of PHASE toolbox have been made publicly available: https://github.com/hrlblab/PHASE. © 2025",Deep learning; EM simulation; Human head model; SAR,Article,Final,,Scopus,2-s2.0-105017283213
"Fei, B.; Nafi Gurcan, M.; Huo, Y.; Sarder, P.; Ward, A.","Fei, Baowei (7005499116); Nafi Gurcan, Metin (59543194100); Huo, Yuankai (56830058500); Sarder, Pinaki (13407502800); Ward, Aaron (60263895300)",7005499116; 59543194100; 56830058500; 13407502800; 60263895300,Introduction to the JMI Special Section on Computational Pathology,2025,Journal of Medical Imaging,12,6,061401,,,0,10.1117/1.JMI.12.6.061401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026411436&doi=10.1117%2F1.JMI.12.6.061401&partnerID=40&md5=329af665062136e4b699b5f2706a933b,[No abstract available],,Editorial,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105026411436
"Yu, L.; Yin, M.; Deng, R.; Liu, Q.; Yao, T.; Cui, C.; Guo, J.; Wang, Y.; Wang, Y.; Zhao, S.; Yang, H.; Huo, Y.","Yu, Lining (58952319000); Yin, Mengmeng (58952280800); Deng, Ruining (57219448253); Liu, Quan (57336485300); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Guo, Junlin (58170992800); Wang, Yu (55979182400); Wang, Yaohong (55734196100); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952319000; 58952280800; 57219448253; 57336485300; 57222525765; 57219469236; 58170992800; 55979182400; 55734196100; 59442510500; 8638224800; 56830058500,"Glo-In-One-v2: holistic identification of glomerular cells, tissues, and lesions in human and mouse histopathology",2025,Journal of Medical Imaging,12,6,061406,,,1,10.1117/1.JMI.12.6.061406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026346892&doi=10.1117%2F1.JMI.12.6.061406&partnerID=40&md5=2dcbfa9e77c503d0be772a6e2c4c32aa,"Purpose: Segmenting intraglomerular tissue and glomerular lesions traditionally depends on detailed morphological evaluations by expert nephropathologists, a labor-intensive process susceptible to interobserver variability. Our group previously developed the Glo-In-One toolkit for integrated glomerulus detection and segmentation. We leverage the Glo-In-One toolkit to version 2 (Glo-In-One-v2), which adds fine-grained segmentation capabilities. We curated 14 distinct labels spanning tissue regions, cells, and lesions across 23,529 annotated glomeruli from human and mouse histopathology data. To our knowledge, this dataset is among the largest of its kind to date. Approach: We present a single dynamic-head deep learning architecture for segmenting 14 classes within partially labeled images from human and mouse kidney pathology. The model was trained on data derived from 368 annotated kidney whole-slide images with five key intraglomerular tissue types and nine glomerular lesion types. Results: The glomerulus segmentation model achieved a decent performance compared with baselines and achieved a 76.5% average Dice similarity coefficient. In addition, transfer learning from rodent to human for the glomerular lesion segmentation model has enhanced the average segmentation accuracy across different types of lesions by more than 3%, as measured by Dice scores. Conclusions: We introduce a convolutional neural network for multiclass segmentation of intraglomerular tissue and lesions. The Glo-In-One-v2 model and pretrained weight are publicly available at https://github.com/hrlblab/Glo-In-One_v2. © The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.",glomerular lesion; glomerular segmentation; open-source; renal pathology; transfer learning; whole-slide image,Article,Final,All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105026346892
"Zhu, J.; Deng, R.; Guo, J.; Yao, T.; Xiong, J.; Qu, C.; Yin, M.; Wang, Y.; Zhao, S.; Yang, H.; Xu, D.; Tang, Y.; Huo, Y.","Zhu, Junchao (59305966400); Deng, Ruining (57219448253); Guo, Junlin (58170992800); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Qu, Chongyu (58311576300); Yin, Mengmeng (58952280800); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Xu, Daguang (57191707223); Tang, Yucheng (57212614566); Huo, Yuankai (56830058500)",59305966400; 57219448253; 58170992800; 57222525765; 58550762500; 58311576300; 58952280800; 55979182400; 59442510500; 8638224800; 57191707223; 57212614566; 56830058500,Img2ST-Net: efficient high-resolution spatial omics prediction from whole-slide histology images via fully convolutional image-to-image learning,2025,Journal of Medical Imaging,12,6,061410,,,1,10.1117/1.JMI.12.6.061410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026307026&doi=10.1117%2F1.JMI.12.6.061410&partnerID=40&md5=86856d2041e8990e5b260d303bbe3d4c,"Purpose: Recent advances in multimodal artificial intelligence (AI) have demonstrated promising potential for generating the currently expensive spatial transcriptomics (ST) data directly from routine histology images, offering a means to reduce the high cost and time-intensive nature of ST data acquisition. However, the increasing resolution of ST—particularly with platforms such as Visium HD achieving 8 μm or finer—introduces significant computational and modeling challenges. Conventional spot-by-spot sequential regression frameworks become inefficient and unstable at this scale, whereas the inherent extreme sparsity and low expression levels of high-resolution ST further complicate both prediction and evaluation. Approach: To address these limitations, we propose Img2ST-Net, a high-definition (HD) histology-to-ST generation framework for efficient and parallel high-resolution ST prediction. Unlike conventional spot-by-spot inference methods, Img2ST-Net employs a fully convolutional architecture to generate dense, HD gene expression maps in a parallelized manner. By modeling HD ST data as super-pixel representations, the task is reformulated from image-to-omics inference into a super-content image generation problem with hundreds or thousands of output channels. This design not only improves computational efficiency but also better preserves the spatial organization intrinsic to spatial omics data. To enhance robustness under sparse expression patterns, we further introduce SSIM-ST, a structural-similarity-based evaluation metric tailored for high-resolution ST analysis. Results: Evaluations on two public Visium HD datasets at 8 and 16 μm resolutions demonstrate that Img2ST-Net outperforms state-of-the-art methods in both accuracy and spatial coherence. On the Breast Cancer dataset at 16 μm, Img2STNet achieves a mean squared error (MSE) of 0.1657 and a structural similarity index of 0.0937, whereas on the Colorectal Cancer dataset, it reaches an MSE of 0.7981 and a mean absolute error of 0.5208. These results highlight its ability to capture fine-grained gene expression patterns. In addition, our region-wise modeling significantly reduces training time without sacrificing performance, achieving up to 28-fold acceleration over conventional spot-wise methods. Ablation studies further validate the contribution of contrastive learning in enhancing spatial fidelity. The source code has been made publicly available at https://github.com/hrlblab/Img2ST-Net. Conclusions: We present a scalable, biologically coherent framework for high-resolution ST prediction. Img2ST-Net offers a principled solution for efficient and accurate ST inference at scale. Our contributions lay the groundwork for next-generation ST modeling that is robust and resolution-aware. © The Authors.",computational pathology; spatial transcriptomics; Visium HD,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105026307026
"Krishnan, A.R.; Li, T.Z.; Remedios, L.W.; Kim, M.E.; Gao, C.; Rudravaram, G.; McMaster, E.M.; Saunders, A.M.; Bao, S.; Xu, K.; Zuo, L.; Sandler, K.L.; Maldonado, F.; Huo, Y.; Landman, B.A.","Krishnan, Aravind R. (58195099100); Li, Thomas Z. (57557667700); Remedios, Lucas W. (57226830336); Kim, Michael E. (58290603100); Gao, Chenyu (57363597800); Rudravaram, Gaurav (57442300300); McMaster, Elyssa M. (59912653900); Saunders, Adam M. (58325980600); Bao, Shunxing (57189987093); Xu, Kaiwen (57218363938); Zuo, Lianrui (57202855256); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",58195099100; 57557667700; 57226830336; 58290603100; 57363597800; 57442300300; 59912653900; 58325980600; 57189987093; 57218363938; 57202855256; 57188931283; 23012782200; 56830058500; 16679175200,Multipath cycleGAN for harmonization of paired and unpaired low-dose lung computed tomography reconstruction kernels,2025,Medical Physics,52,11,e70120,,,0,10.1002/mp.70120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021200286&doi=10.1002%2Fmp.70120&partnerID=40&md5=82ee28c9a5aab0a36d89be052cfab36b,"Background: Reconstruction kernels in computed tomography (CT) introduce variability in spatial resolution and noise distribution, creating systematic differences in quantitative imaging measurements, that icl, emphysema characterization in lung imaging. While harmonization across images reconstructed using different kernels from the same manufacturer is feasible, this can be challenging in multi-centre or longitudinal studies where images are acquired using kernels from different manufacturers. This variability results in heterogeneous quantitative measurements that are difficult to compare. Therefore, it is necessary to standardize all images to a common reference kernel. Purpose: We explore training a harmonization model using paired reconstruction kernels (obtained from the same manufacturer for a given subject) and unpaired reconstruction kernels (obtained across different manufacturers for different subjects) in a low dose lung cancer screening cohort, validating our approach through quantitative CT measurements. Our overall goal is to use both sets of data to construct a shared latent space while recognizing the ability of different types of data to contribute through different classes of loss functions. Methods: We develop a multipath cycleGAN that enables multi-domain kernel harmonization through a shared latent space, domain specific encoder-decoder architectures, and discriminators trained in an unsupervised manner using a mixture of paired and unpaired data. We train our model using 100 scans each from seven representative kernels (Siemens B50f, Siemens B30f, GE BONE, GE STANDARD, GE LUNG, Philips C, and Philips D) from the National Lung Screening Trial (NLST) dataset, enabling harmonization across 42 different kernel combinations. Using 240 withheld scans from each kernel, we evaluate our approach on paired kernels using percent emphysema. For unpaired kernels, we harmonize all scans to the style of a reference soft kernel (Siemens B30f) and evaluate our model using percent emphysema, followed by a general linear model analysis that investigates the impact of age, sex, smoking status, and kernel on emphysema. Additionally, we harmonize all soft kernels to a reference hard kernel (Siemens B50f), quantifying percent emphysema. We assess anatomical consistency in unpaired kernels harmonized to a reference soft kernel by comparing segmentations of lung vessels, muscle, and subcutaneous adipose tissue derived from TotalSegmentator between the non-harmonized and harmonized images. We compare the performance of our model to the standard cycleGAN and a switchable cycleGAN model. Results: For paired kernels, the proposed multipath approach reduced differences in percent emphysema as seen from the Bland Altman analysis (p < 0.05), achieving the best performance on one kernel pair over the standard cycleGAN and on two pairs over the switchable cycleGAN.For unpaired kernels where all source kernels were harmonized to a reference soft kernel, our method mitigated differences in three of six kernels, comparable to the switchable cycleGAN, while the standard cycleGAN mitigated differences in four of six kernels. When harmonizing all soft kernels to a reference hard kernel, our approach outperformed the switchable cycleGAN and was comparable to the standard cycleGAN. Our proposed approach maintains anatomical consistency in muscle, adipose tissue across all unpaired kernels and showed reasonable overlap on three kernels for lung vessels when compared to the cycleGAN; however, performance was lower when compared to the switchable cycleGAN. Conclusions: Paired and unpaired kernel harmonization with a shared latent space multipath cycleGAN mitigates errors in emphysema quantification and maintains anatomical consistency after harmonization. © 2025 The Author(s). Medical Physics published by Wiley Periodicals LLC on behalf of American Association of Physicists in Medicine.",multipath cycleGAN; percent emphysema; reconstruction kernel; shared latent space,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105021200286
"Long, M.; Kar, P.; Forkert, N.D.; Landman, B.A.; Giesbrecht, G.F.; Dewey, D.; Gibbard, W.B.; Tortorelli, C.; Mcmorris, C.A.; Huo, Y.; Lebel, C.","Long, Madison (57215011549); Kar, Preeti (57205606072); Forkert, Nils Daniel (16549854100); Landman, Bennett Allan (16679175200); Giesbrecht, Gerald F. (57202566714); Dewey, Deborah Margret (7006236207); Gibbard, William Benton (24757851700); Tortorelli, Christina (57205606348); Mcmorris, Carly A. (25928611900); Huo, Yuankai (56830058500); Lebel, Catherine A. (36896932900)",57215011549; 57205606072; 16549854100; 16679175200; 57202566714; 7006236207; 24757851700; 57205606348; 25928611900; 56830058500; 36896932900,Sex-specific relationships between gray matter volume and executive function in young children with and without prenatal alcohol exposure,2025,Developmental Cognitive Neuroscience,75,,101608,,,0,10.1016/j.dcn.2025.101608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014803228&doi=10.1016%2Fj.dcn.2025.101608&partnerID=40&md5=c03a0424e5ee065f9b98eaa56d2b722d,"Sex differences in brain volume are well established across ages however, limited research has investigated if sex differences in brain structure associate with early cognitive outcomes. Moreover, associations among sex, brain structure, and cognition in individuals with prenatal alcohol exposure (PAE), the most common known cause of developmental delay in North America, are unclear. Here, we investigated associations between executive function (measured by the BRIEF or BRIEF-P Global Executive Composite (GEC) and the Statue subtest of the NEPSY-II) and volumes of 36 gray matter regions in a longitudinal MRI sample of 169 young children (N<inf>PAE</inf>=37; 534 total scans) aged 2–8 years. We found significant three-way interactions between sex, alcohol exposure, and executive function in 22 regions for GEC and 6 regions for Statue. Unexposed males showed negative executive function-volume associations, whereas males with PAE showed opposite associations. Unexposed females showed strong positive executive function-volume associations whereas females with PAE showed weak positive associations. We also evaluated reduced models in regions without significant 3-way interactions and found significant two-way interactions of sex and executive function for the GEC in three regions, and for the Statue in 22 regions. Males showed a negative executive function-volume relationship whereas females showed a positive relationship, regardless of exposure status. Our results suggest that males with PAE and unexposed females show relatively more mature volume-executive function relationships than females with PAE and unexposed males. This study highlights the importance of considering sex in investigations of brain and cognition, especially in populations with PAE. © 2025",Executive function; Gray matter volume; Longitudinal; Prenatal alcohol exposure; Structural MRI,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105014803228
"Bayrak, R.G.; Hansen, C.B.; Salas, J.A.; Ahmed, N.; Lyu, I.; Mather, M.; Huo, Y.; Chang, C.","Bayrak, Roza G. (57204806278); Hansen, Colin B. (57202756650); Salas, Jorge Alberto (57219433500); Ahmed, Nafis (57199979016); Lyu, Ilwoo (58290940200); Mather, Mara M. (35612038600); Huo, Yuankai (56830058500); Chang, Catie E. (56561973300)",57204806278; 57202756650; 57219433500; 57199979016; 58290940200; 35612038600; 56830058500; 56561973300,DeepPhysioRecon: Tracing peripheral physiology in low frequency fMRI dynamics,2025,Imaging Neuroscience,3,,IMAG.a.163,,,0,10.1162/IMAG.a.163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017923291&doi=10.1162%2FIMAG.a.163&partnerID=40&md5=3bb0151dc9adf2bcbdee0c559fc0be64,"Many studies of the human brain using functional magnetic resonance imaging (fMRI) lack physiological measurements, which substantially impacts the interpretation and richness of fMRI studies. Natural fluctuations in autonomic physiology, such as breathing and heart rate, provide windows into critical functions, including cognition, emotion, and health, and can heavily influence fMRI signals. Here, we developed DeepPhysioRecon, a Long-Short-Term-Memory (LSTM)-based network that decodes continuous variations in respiration amplitude and heart rate directly from whole-brain fMRI dynamics. Through systematic evaluations, we investigate the generalizability of this approach across datasets and experimental conditions. We also demonstrate the importance of including these measures in fMRI analyses. This work highlights the importance of studying brain-body interactions, proposes a tool that may enhance the efficacy of fMRI as a biomarker, and provides widely applicable open-source software. © 2025 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY 4.0) license.",brain-body; fMRI; heart rate; respiration,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105017923291
