Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Sengupta, A.; Kosier, S.L.; Ball, D.R.; Islam, S.; Sternberg, A.L.; Hutson, J.M.; Osheroff, J.M.; Galloway, K.F.; Schrimpf, R.D.; Witulski, A.F.","Sengupta, Arijit (57818731400); Kosier, Steven L. (6604060910); Ball, Dennis R. (7202703808); Islam, Sajal (58279591300); Sternberg, Andrew L. (7102143220); Hutson, John M. (7202643297); Osheroff, Jason M. (57221602233); Galloway, Kenneth F. (7007008594); Schrimpf, Ronaldd D. (57120518000); Witulski, Arthur F. (7003366565)",57818731400; 6604060910; 7202703808; 58279591300; 7102143220; 7202643297; 57221602233; 7007008594; 57120518000; 7003366565,Physical Models for Epitaxial Doping Dependence of Single-Event Leakage Current in SiC Power Devices,2025,IEEE Transactions on Nuclear Science,,,,,,0,10.1109/TNS.2025.3630040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021264826&doi=10.1109%2FTNS.2025.3630040&partnerID=40&md5=29082cf80eb1ee68087ae5a8c742e723,"An analytical model for predicting normal incidence single-event leakage current (SELC) threshold voltage in SiC power devices is presented. The onset of low linear energy transfer (LET), normal incidence SELC in SiC diodes and MOSFETs is shown to depend only on the LET of the respective heavy-ion during irradiation. The concept of critical energy stored in the depletion region and released by the passing ion is re-introduced and used to derive an expression for high LET, normal incidence SELC threshold voltage that depends only on epitaxial layer doping. The model is validated by experimental data with devices ranging from 1200 to 6500 V ratings. Low LET SEB response is shown to be consistent between diodes and MOSFETs with critical power models. The relative independence of high LET, normal incidence SELC, and epitaxial layer thickness is demonstrated experimentally and is supported by the model. Implications for SELC-optimized SiC power devices are described. © 1963-2012 IEEE.",critical power; degradation; heavy ion; metal–oxide–semiconductor field-effect transistor (MOSFET); physical model; Silicon carbide (SiC); single-event effects (SEEs); single-event leakage current (SELC),Article,aip,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105021264826
"Islam, S.; Senarath, A.S.; Farzana, E.; Ball, D.R.; Sengupta, A.; Sternberg, A.L.; Reed, R.A.; Pantelides, S.T.; Witulski, A.F.; Speck, J.S.; Fleetwood, D.M.; Schrimpf, R.D.","Islam, Sajal (58279591300); Senarath, Aditha S. (58088411100); Farzana, Esmat (36805456200); Ball, Dennis R. (7202703808); Sengupta, Arijit (57818731400); Sternberg, Andrew L. (7102143220); Reed, Robert A. (34571892700); Pantelides, Sokrates T. (7006665560); Witulski, Arthur F. (7003366565); Speck, James S. (7102645896); Fleetwood, Danielm M. (35242182300); Schrimpf, Ronaldd D. (57120518000)",58279591300; 58088411100; 36805456200; 7202703808; 57818731400; 7102143220; 34571892700; 7006665560; 7003366565; 7102645896; 35242182300; 57120518000,Effects of Epitaxial Layer Thickness on Heavy Ion-Induced Single-Event Burnout in Vertical β-Ga2O3 Schottky Barrier Diodes,2025,IEEE Transactions on Nuclear Science,72,8,,2435,2442,4,10.1109/TNS.2025.3576034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007293348&doi=10.1109%2FTNS.2025.3576034&partnerID=40&md5=4db8787078ebf0e22b33a25e7d19a75b,"Vertical beta-gallium oxide (β-Ga<inf>2</inf>O<inf>3</inf>) Schottky barrier diodes (SBDs) with field plates (FPs) and edge termination structures are irradiated with heavy ions, O+, Ar+, and Pr+ having linear energy transfer (LET) of 5.5–46 MeV·cm2/mg and californium-252 (Cf-252), which emits heavy ions and alpha particles. Devices that have the same structure and similar doping concentrations, but thicker (10 µm) epitaxial layers, show higher single event burnout (SEB) voltage thresholds than devices with thinner (4 µm) epitaxial layers. Ions that stop near the middle of the active region and those that pass through the entire region each cause catastrophic failure in these devices in contrast to previous results on silicon carbide (SiC) SBDs with similar epitaxial layer thicknesses. Cf-252 provides a low-LET, quick screening source for space applications of β-Ga<inf>2</inf>O<inf>3</inf> SBDs. However, significantly lower SEB voltage thresholds are observed during high-LET, longer range, Pr heavy-ion testing. The edge region is found to be most vulnerable to SEB for these β-Ga<inf>2</inf>O<inf>3</inf> SBDs. © 1963-2012 IEEE.",Beta-gallium oxide (β-Ga2O3); dielectric material; diodes; field plate (FP); heavy ions; power devices; single-event burnout (SEB),Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105007293348
"Kosier, S.L.; Sengupta, A.; Ball, D.R.; Hutson, J.M.; Sternberg, A.L.; Islam, S.; Witulski, A.F.; Schrimpf, R.D.; Galloway, K.F.; Alles, M.L.; Osheroff, J.M.","Kosier, Steven L. (6604060910); Sengupta, Arijit (57818731400); Ball, Dennis R. (7202703808); Hutson, John M. (7202643297); Sternberg, Andrew L. (7102143220); Islam, Sajal (58279591300); Witulski, Arthur F. (7003366565); Schrimpf, Ronaldd D. (57120518000); Galloway, Kenneth F. (7007008594); Alles, Michael L. (7003427657); Osheroff, Jason M. (57221602233)",6604060910; 57818731400; 7202703808; 7202643297; 7102143220; 58279591300; 7003366565; 57120518000; 7007008594; 7003427657; 57221602233,Physical Model for SiC Power Device Heavy-Ion Burnout Based on Pre-Strike Depletion Capacitance Energy Storage,2025,IEEE Transactions on Nuclear Science,72,4,,1418,1424,8,10.1109/TNS.2025.3546892,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003758555&doi=10.1109%2FTNS.2025.3546892&partnerID=40&md5=f8ea959917a362d39a8a9441bc83c550,"An analytical model for predicting high-linear energy transfer (LET), normal incidence single-event burnout (SEB) voltage in SiC power devices is presented. The concept of critical energy stored in the drain-body depletion region and released by the passing ion is introduced and used to derive an expression for high-LET, normal incidence (worst case) SEB voltage that depends only on epitaxial layer doping. The model is validated by experimental data ranging from 1200 to 4500 V. The relative independence of high-LET, normal incidence SEB, and epitaxial layer thickness is demonstrated experimentally and is supported by the model. The 900 V SEB voltage devices are experimentally demonstrated. The derating factor for SiC devices as a function of voltage is explained with the model. A lumped RC model is used to gain insights into SEB for both low- and high-LET ions. Low-LET SEB response appears consistent with power-density models and thermal spike effects. High-LET SEB response is qualitatively similar to single-event gate rupture (SEGR), with the depletion capacitance as the energy storage element. Implications for SEB-optimized SiC power devices are described. © 1963-2012 IEEE.",Power metal-oxide–semiconductor field-effect transistors (MOSFETs); Schottky diodes; silicon carbide; single-event burnout (SEB); single-event effects; vertical MOSFET,Article,Final,,Scopus,2-s2.0-105003758555
"Sengupta, A.; Martinella, C.; Ball, D.R.; Niskanen, K.; Senarath, A.S.; Islam, S.; Harris, P.M.; Hutson, J.M.; Osheroff, J.M.; Sternberg, A.L.; Kettunen, H.; Kosier, S.L.; Grossner, U.; Javanainen, A.; Galloway, K.F.; Schrimpf, R.D.; Witulski, A.F.","Sengupta, Arijit (57818731400); Martinella, Corinna (57197871841); Ball, Dennis R. (7202703808); Niskanen, Kimmo (57218343043); Senarath, Aditha S. (58088411100); Islam, Sajal (58279591300); Harris, Phoenix M. (59476143700); Hutson, John M. (7202643297); Osheroff, Jason M. (57221602233); Sternberg, Andrew L. (7102143220); Kettunen, Heikki (7006637037); Kosier, Steven L. (6604060910); Grossner, U. (6603883808); Javanainen, Arto (24476317300); Galloway, Kenneth F. (7007008594); Schrimpf, Ronaldd D. (57120518000); Witulski, Arthur F. (7003366565)",57818731400; 57197871841; 7202703808; 57218343043; 58088411100; 58279591300; 59476143700; 7202643297; 57221602233; 7102143220; 7006637037; 6604060910; 6603883808; 24476317300; 7007008594; 57120518000; 7003366565,Effects of Incident Angle on Single-Event Leakage Current Degradation in Heavy-Ion Irradiated 1800- and 4500-V SiC Power MOSFETs,2025,IEEE Transactions on Nuclear Science,72,8,,2386,2394,3,10.1109/TNS.2025.3563110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003394048&doi=10.1109%2FTNS.2025.3563110&partnerID=40&md5=1f26bd4ea856870d14e7ae7e4be002b5,"Experimental heavy-ion responses of two variants of silicon carbide (SiC) power metaloxidesemiconductor field-effect transistors (MOSFETs) are evaluated. The devices have similar epitaxial thickness but different dopings. The higher doping in the epitaxial region results in lower breakdown voltage and typically leads to a lower threshold drain voltage at which single-event leakage current (SELC) occurs. Furthermore, the heavy-ion-induced SELC degradation in the drain and gate currents of the SiC MOSFETs exhibits a strong dependence on the heavy-ion’s angle of incidence. The devices’ behavior significantly alters when irradiated with heavy-ions at different incident angles under the same fixed bias and total fluence, as also confirmed by 3-D technology computer aided design (TCAD) simulations. © 1963-2012 IEEE.",Degradation; gate oxide; heavy ion; incidence angle; metal–oxide–semiconductor field-effect transistor (MOSFET); silicon carbide (SiC); single-event effects (SEEs); single-event leakage current (SELC),Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105003394048
"Senarath, A.S.; Islam, S.; McBride, J.R.; Meilander, O.; Sengupta, A.; Pandey, H.; Anderson, T.; Jacobs, A.; Kaplar, R.; McCurdy, M.W.; Reed, R.A.; Pantelides, S.T.; Ebrish, M.A.; Fleetwood, D.M.; Caldwell, J.D.; Schrimpf, R.D.","Senarath, Aditha S. (58088411100); Islam, Sajal (58279591300); McBride, James R. (7202910314); Meilander, Owen R. (59720350000); Sengupta, Arijit (57818731400); Pandey, H. (59736250400); Anderson, Travis J. (35184762100); Jacobs, Alan G. (56198025200); Kaplar, Robert J. (6603384879); McCurdy, Michael W. (24780004200); Reed, Robert A. (34571892700); Pantelides, Sokrates T. (7006665560); Ebrish, Mona A. (55188522000); Fleetwood, Danielm M. (35242182300); Caldwell, Joshua David (14028139500); Schrimpf, Ronaldd D. (57120518000)",58088411100; 58279591300; 7202910314; 59720350000; 57818731400; 59736250400; 35184762100; 56198025200; 6603384879; 24780004200; 34571892700; 7006665560; 55188522000; 35242182300; 14028139500; 57120518000,Heavy Ion-Induced Single-Event Leakage Current and Burnout in Homojunction GaN p-i-n Diodes,2025,IEEE Transactions on Nuclear Science,72,8,,2377,2385,7,10.1109/TNS.2025.3556730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002594677&doi=10.1109%2FTNS.2025.3556730&partnerID=40&md5=2e461f4aa5adc2d51164594240639b6b,"The impact of edge termination design on heavy-ion induced single-event leakage current (SELC) and single-event burnout (SEB) is investigated in homojunction gallium nitride (GaN) vertical p-i-n diodes. The implementation of hybrid edge termination (HET) improves electric field management at the anode edge, thereby increasing the breakdown voltage and enhancing resilience to heavy-ion exposure. Cf-252 fission-fragment irradiation leads to SELC steps and catastrophic SEB. A heavy ion strike from a Cf-252 fission fragment forms a highly conductive region due to the generation of an electron-hole plasma along the ion path. Joule heating due to the high current through this region aids the generation of nitrogen vacancies that permanently enhance leakage current, leading to SELC steps. At elevated voltages, similar mechanisms can trigger SEB. The high current along the transient plasma wire can lead to bond breaking and mass transport along the ion path. The released electrical energy initiates a microexplosion in regions of high mechanical stress, causing GaN decomposition and further nitrogen vacancy formation in the epilayer and the substrate. The chains of N vacancies and metallic Ga produced by GaN decomposition create a high-conductivity pathway and lead to catastrophic failure. © IEEE. 1963-2012 IEEE.",Gallium nitride (GaN); heavy ion; p-i-n diode; single-event burnout (SEB); single-event leakage current (SELC),Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105002594677
"Islam, S.; Senarath, A.S.; Farzana, E.; Ball, D.R.; Sengupta, A.; Hendricks, N.S.; Bhattacharyya, A.; Reed, R.A.; Zhang, E.X.; Speck, J.S.; Fleetwood, D.M.; Schrimpf, R.D.","Islam, Sajal (58279591300); Senarath, Aditha S. (58088411100); Farzana, Esmat (36805456200); Ball, Dennis R. (7202703808); Sengupta, Arijit (57818731400); Hendricks, Nolan S. (57199176577); Bhattacharyya, Arkka (57210643511); Reed, Robert A. (34571892700); Zhang, Enxia (7102686858); Speck, James S. (7102645896); Fleetwood, Danielm M. (35242182300); Schrimpf, Ronaldd D. (57120518000)",58279591300; 58088411100; 36805456200; 7202703808; 57818731400; 57199176577; 57210643511; 34571892700; 7102686858; 7102645896; 35242182300; 57120518000,Single-Event Burnout in Vertical β-GaO Diodes with Pt/PtO Schottky Contacts and High-k Field-Plate Dielectrics,2024,IEEE Transactions on Nuclear Science,71,4,,515,521,29,10.1109/TNS.2024.3370190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186992053&doi=10.1109%2FTNS.2024.3370190&partnerID=40&md5=537193f4867c84285fe2e349d6365a61,"Single-event burnout (SEB) is experimentally observed in structurally improved vertical Beta-gallium oxide (β -Ga<inf>2</inf>O<inf>3</inf>) Schottky barrier diodes (SBDs) with Pt/PtOx Schottky contacts and high-k field-plate (FP) dielectrics. These SBDs are resistant to alpha particle strikes up to the in-air reverse bias voltage of 475 V, but SEB-induced catastrophic failure is observed during Californium-252 (Cf-252) fission fragment exposure at 400 ± 20 V reverse bias. The SEB threshold in Cf-252 testing is improved in PtOx-contact SBDs with 4-μ m epitaxial layers and high-k FP dielectrics by 30%, compared to previously reported results for Pt-contact SBDs with 10-μ m epitaxial layers. TCAD simulations show that ion-induced electric fields increase less in devices with FPs than in those without FPs. © 1963-2012 IEEE.",Degradation; dielectric material; diode; field plate (FP); Ga2O3; gallium oxide; heavy ion; power; single-event burnout (SEB),Article,Final,,Scopus,2-s2.0-85186992053
"Sengupta, A.; Ball, D.R.; Sternberg, A.L.; Islam, S.; Senarath, A.S.; Reed, R.A.; McCurdy, M.W.; Zhang, E.X.; Hutson, J.M.; Alles, M.L.; Osheroff, J.M.; Jacob, B.; Hitchcock, C.W.; Goswami, S.; Schrimpf, R.D.; Galloway, K.F.; Witulski, A.F.","Sengupta, Arijit (57818731400); Ball, Dennis R. (7202703808); Sternberg, Andrew L. (7102143220); Islam, Sajal (58279591300); Senarath, Aditha S. (58088411100); Reed, Robert A. (34571892700); McCurdy, Michael W. (24780004200); Zhang, Enxia (7102686858); Hutson, John M. (7202643297); Alles, Michael L. (7003427657); Osheroff, Jason M. (57221602233); Jacob, Biju (57813908800); Hitchcock, Collin W. (7005736524); Goswami, Shubhodeep (57212377290); Schrimpf, Ronaldd D. (57120518000); Galloway, Kenneth F. (7007008594); Witulski, Arthur F. (7003366565)",57818731400; 7202703808; 7102143220; 58279591300; 58088411100; 34571892700; 24780004200; 7102686858; 7202643297; 7003427657; 57221602233; 57813908800; 7005736524; 57212377290; 57120518000; 7007008594; 7003366565,LET and Voltage Dependence of Single-Event Burnout and Single-Event Leakage Current in High-Voltage SiC Power Devices,2024,IEEE Transactions on Nuclear Science,71,4,,809,815,30,10.1109/TNS.2024.3357129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183945871&doi=10.1109%2FTNS.2024.3357129&partnerID=40&md5=1ba66401ec1b095276b1f5d18c53b90f,"Single-event burnout (SEB) and single-event leakage current (SELC) behavior of 1200 and 3300 V silicon carbide (SiC) power devices are analyzed based on heavy-ion irradiation tests. Both SEB and SELC degradation thresholds are improved in the 3300 V devices by at least 300 V compared to the 1200 V devices. Additionally, it was demonstrated that the measured SEB threshold is a strong function of the device bias and irradiation history and that bias and irradiation steps at intermediate voltages between the charge collection region and SEB region can result in parametric failure from accumulated leakage current rather than catastrophic failure by burnout. © 1963-2012 IEEE.",Heavy ion; metal-oxide-semiconductor field-effect transistor (MOSFET); positive-intrinsic-negative (p-i-n) diodes; power diodes; silicon carbide (SiC); single-event burnout (SEB); single-event effects; single-event leakage current (SELC),Article,Final,,Scopus,2-s2.0-85183945871
"Senarath, A.S.; Islam, S.; Sengupta, A.; McCurdy, M.W.; Anderson, T.; Jacobs, A.; Kaplar, R.; Ball, D.R.; Zhang, E.X.; Pantelides, S.T.; Reed, R.A.; Ebrish, M.A.; Fleetwood, D.M.; Caldwell, J.D.; Schrimpf, R.D.","Senarath, Aditha S. (58088411100); Islam, Sajal (58279591300); Sengupta, Arijit (57818731400); McCurdy, Michael W. (24780004200); Anderson, Travis J. (35184762100); Jacobs, Alan G. (56198025200); Kaplar, Robert J. (6603384879); Ball, Dennis R. (7202703808); Zhang, Enxia (7102686858); Pantelides, Sokrates T. (7006665560); Reed, Robert A. (34571892700); Ebrish, Mona A. (55188522000); Fleetwood, Danielm M. (35242182300); Caldwell, Joshua David (14028139500); Schrimpf, Ronaldd D. (57120518000)",58088411100; 58279591300; 57818731400; 24780004200; 35184762100; 56198025200; 6603384879; 7202703808; 7102686858; 7006665560; 34571892700; 55188522000; 35242182300; 14028139500; 57120518000,Single-event burnout in homojunction GaN vertical PiN diodes with hybrid edge termination design,2024,Applied Physics Letters,124,13,132101,,,14,10.1063/5.0189744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189079954&doi=10.1063%2F5.0189744&partnerID=40&md5=6f42eb733567d36fb116545753eb9aba,"GaN devices play a major role in modern electronics, providing high-power handling, efficient high-frequency operation, and resilience in harsh environments. However, electric field crowding at the edge of the anode often limits its full potential, leading to single-event effects (SEEs) at lower bias voltages under heavy ion radiation. Here, we report on the performance of homojunction GaN vertical PiN diodes with a hybrid edge termination design under heavy ion irradiation, specifically, oxygen ions, chlorine ions, Cf-252 fission fragments, and alpha particles from an Am-241 source. The unique hybrid edge termination (HET) design provides better electric field management, preventing breakdown from occurring at the edge of the anode at lower voltages. The results of this study reveal that these devices exhibit excellent tolerance to 12-MeV oxygen and 16-MeV chlorine ions, owing to their low linear energy transfer (LET) and range in GaN. However, single-event burnout (SEB) is observed during the Cf-252 exposure at about 50% of the diodes' electrical breakdown voltage due to the presence of higher LET and longer-range ions. Optical and scanning electron microscopy (SEM) reveal that the damage that caused by SEB lies close to the center of these devices rather than the anode edge. Devices with junction termination extension (JTE) instead of HET edge termination also show similar SEB when irradiated with Cf-252 fission fragments. Physical damage due to SEB occurs at the edge of the anode for these devices. These comparative results show the benefits of HET for enhancing the resistance of GaN-based PiN diodes to heavy ion irradiation. © 2024 Author(s).",,Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85189079954
"Sengupta, A.; Ball, D.R.; Islam, S.; Senarath, A.S.; Sternberg, A.L.; Zhang, E.X.; Alles, M.L.; Osheroff, J.M.; Ghandi, R.; Jacob, B.; Goswami, S.; Hitchcock, C.W.; Hutson, J.M.; Reed, R.A.; Galloway, K.F.; Schrimpf, R.D.; Witulski, A.F.","Sengupta, Arijit (57818731400); Ball, Dennis R. (7202703808); Islam, Sajal (58279591300); Senarath, Aditha S. (58088411100); Sternberg, Andrew L. (7102143220); Zhang, Enxia (7102686858); Alles, Michael L. (7003427657); Osheroff, Jason M. (57221602233); Ghandi, Reza (16232976200); Jacob, Biju (57813908800); Goswami, Shubhodeep (57212377290); Hitchcock, Collin W. (7005736524); Hutson, John M. (7202643297); Reed, Robert A. (34571892700); Galloway, Kenneth F. (7007008594); Schrimpf, Ronaldd D. (57120518000); Witulski, Arthur F. (7003366565)",57818731400; 7202703808; 58279591300; 58088411100; 7102143220; 7102686858; 7003427657; 57221602233; 16232976200; 57813908800; 57212377290; 7005736524; 7202643297; 34571892700; 7007008594; 57120518000; 7003366565,Single-Event Effects in Heavy-Ion Irradiated 3-kV SiC Charge-Balanced Power Devices,2024,IEEE Transactions on Nuclear Science,71,8,,1447,1454,10,10.1109/TNS.2024.3381964,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189287525&doi=10.1109%2FTNS.2024.3381964&partnerID=40&md5=0d00b2ac8526e7fa7a0a5b1ac06d2461,"Experimental heavy-ion responses of 3-kV charge-balanced (CB) SiC power devices are compared with those of 3.3-kV planar SiC devices. The devices are similar, except the epitaxial region of the CB devices is heavily doped compared with the planar devices. The higher doping in the epitaxial region results in loweron-resistance, but typically leads to a lower threshold drain voltage at which single-event burnout (SEB) occurs. The experimental results demonstrate, however, that the CB devices have a similar SEB threshold to the planar devices due to the improved electric field distribution. © 2024 IEEE.",Charge-balanced (CB) power devices; degradation; heavy ion; junction-barrier Schottky (JBS) diodes; metal-oxide-semiconductor field-effect transistor (MOSFET); silicon carbide (SiC); single-event burnout (SEB); single-event effects (SEEs); single-event leakage current (SELC); superjunction devices,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85189287525
"Cadena, R.M.; Ball, D.R.; Zhang, E.X.; Islam, S.; Senarath, A.S.; McCurdy, M.W.; Farzana, E.; Speck, J.S.; Karom, N.; O'Hara, A.; Tuttle, B.R.; Pantelides, S.T.; Witulski, A.F.; Galloway, K.F.; Alles, M.L.; Reed, R.A.; Fleetwood, D.M.; Schrimpf, R.D.","Cadena, Rick M. (58088822200); Ball, Dennis R. (7202703808); Zhang, Enxia (7102686858); Islam, Sajal (58279591300); Senarath, Aditha S. (58088411100); McCurdy, Michael W. (24780004200); Farzana, Esmat (36805456200); Speck, James S. (7102645896); Karom, Nathaniel J. (58043474200); O'Hara, Andrew (55872207700); Tuttle, Blair R. (56262850800); Pantelides, Sokrates T. (7006665560); Witulski, Arthur F. (7003366565); Galloway, Kenneth F. (7007008594); Alles, Michael L. (7003427657); Reed, Robert A. (34571892700); Fleetwood, Danielm M. (35242182300); Schrimpf, Ronaldd D. (57120518000)",58088822200; 7202703808; 7102686858; 58279591300; 58088411100; 24780004200; 36805456200; 7102645896; 58043474200; 55872207700; 56262850800; 7006665560; 7003366565; 7007008594; 7003427657; 34571892700; 35242182300; 57120518000,Low-Energy Ion-Induced Single-Event Burnout in Gallium Oxide Schottky Diodes,2023,IEEE Transactions on Nuclear Science,70,4,,363,369,46,10.1109/TNS.2023.3237979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147307881&doi=10.1109%2FTNS.2023.3237979&partnerID=40&md5=d6354886fc7c204cbae86335226919b3,"Low-energy ion-induced breakdown and single-event burnout (SEB) are experimentally observed in beta-gallium oxide ( β -Ga2O3) Schottky diodes with voltages well below those of expected electrical breakdown. Fundamentally different responses were observed among alpha particle, Cf-252, and heavy-ion irradiation. Technology computer-aided design (TCAD) simulations suggest that ion-induced burnout can be triggered at high voltages as a result of a single ion strike, leading to impact ionization, voltage-induced charge separation accentuated by the low intrinsic hole mobility in β -Ga2O3, and breakdown. At significantly lower voltages, the cumulative buildup of displacement-damage-induced defects in β -Ga2O3 during high-fluence ion irradiation can lead to defect-driven breakdown due to the generation and motion of negatively charged Ga vacancies and O interstitials. First-principles calculations show that defect clusters can be formed, which are much less resistive than the surrounding material. These clusters can be driven deeply into the device by the reverse bias, ultimately forming conduction paths that can facilitate the destruction of the device at reduced voltages. © 1963-2012 IEEE.",Degradation; diode; gallium oxide (Ga2O3); heavy ion; power; single-event burnout (SEB),Article,Final,,Scopus,2-s2.0-85147307881
