Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Fang, L.; Yu, X.; Cai, J.; Chen, Y.; Wu, S.; Liu, Z.; Yang, Z.; Lu, H.; Gong, X.; Liu, Y.; Ma, T.; Ruan, W.; Abbasi, A.; Zhang, J.; Wang, T.; Latif, E.; Liu, W.; Zhang, W.; Kolouri, S.; Zhai, X.; Zhu, D.; Zhong, W.; Liu, T.; Ma, P.","Fang, Luyang (58678775900); Yu, Xiaowei (57225120009); Cai, Jiazhang (59230075100); Chen, Yongkai (60203322300); Wu, Shushan (57422175500); Liu, Zhengliang (57713032100); Yang, Zhenyuan (59325539900); Lu, Haoran (59004734900); Gong, Xilin (59452563000); Liu, Yufang (59004123900); Ma, Terry T. (58764310000); Ruan, Wei (59358065600); Abbasi, Ali (58956470600); Zhang, Jing (60121285200); Wang, Tao (59531005400); Latif, Ehsan (57409847300); Liu, Wei (27170498800); Zhang, Wei (56903413300); Kolouri, Soheil (55497793500); Zhai, Xiaoming (57192683367); Zhu, Dajiang (36162659100); Zhong, Wenxuan (9336034900); Liu, Tianming (57203377182); Ma, Ping (59872921000)",58678775900; 57225120009; 59230075100; 60203322300; 57422175500; 57713032100; 59325539900; 59004734900; 59452563000; 59004123900; 58764310000; 59358065600; 58956470600; 60121285200; 59531005400; 57409847300; 27170498800; 56903413300; 55497793500; 57192683367; 36162659100; 9336034900; 57203377182; 59872921000,"Knowledge distillation and dataset distillation of large language models: emerging trends, challenges, and future directions",2026,Artificial Intelligence Review,59,1,17,,,0,10.1007/s10462-025-11423-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022594722&doi=10.1007%2Fs10462-025-11423-3&partnerID=40&md5=265347217c5c507ddf5e47c85da899bc,"The exponential growth of Large Language Models (LLMs) continues to highlight the need for efficient strategies to meet ever-expanding computational and data demands. This survey provides a comprehensive analysis of two complementary paradigms: Knowledge Distillation (KD) and Dataset Distillation (DD), both aimed at compressing LLMs while preserving their advanced reasoning capabilities and linguistic diversity. We first examine key methodologies in KD, such as task-specific alignment, rationale-based training, and multi-teacher frameworks, alongside DD techniques that synthesize compact, high-impact datasets through optimization-based gradient matching, latent space regularization, and generative synthesis. Building on these foundations, we explore how integrating KD and DD can produce more effective and scalable compression strategies. Together, these approaches address persistent challenges in model scalability, architectural heterogeneity, and the preservation of emergent LLM abilities. We further highlight applications across domains such as healthcare and education, where distillation enables efficient deployment without sacrificing performance. Despite substantial progress, open challenges remain in preserving emergent reasoning and linguistic diversity, enabling efficient adaptation to continually evolving teacher models and datasets, and establishing comprehensive evaluation protocols. By synthesizing methodological innovations, theoretical foundations, and practical insights, our survey charts a path toward sustainable, resource-efficient LLMs through the tighter integration of KD and DD principles. © The Author(s) 2025.",Dataset distillation; Efficiency; Knowledge distillation; Large language models; Model compression; Survey,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105022594722
"Bai, Y.; Tran, H.; Damelin, S.B.; Kolouri, S.","Bai, Yiku (59667600800); Tran, Huy (58336166800); Damelin, Steven B. (7004140098); Kolouri, Soheil (55497793500)",59667600800; 58336166800; 7004140098; 55497793500,Partial transport for point-cloud registration,2025,"Sampling Theory, Signal Processing, and Data Analysis",23,1,4,,,3,10.1007/s43670-025-00097-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219719956&doi=10.1007%2Fs43670-025-00097-1&partnerID=40&md5=38b6bb0c79f8be995221d3d4d8937bd7,"Point cloud registration is an important task in fields like robotics, computer graphics, and medical imaging, involving the determination of spatial relationships between point sets in 3D space. Real-world challenges, such as non-rigid movements and partial visibility, including occlusions and sensor noise, make non-rigid registration particularly difficult. Traditional methods are often computationally intensive, exhibit unstable performance, and lack strong theoretical guarantees. Recently, the optimal transport problem, including its unbalanced variations like the optimal partial transport problem, has emerged as a powerful tool for point-cloud registration. These methods treat point clouds as empirical measures and provide a mathematically rigorous framework to quantify the correspondence between transformed source and target points. In this paper, we address the non-rigid registration problem using optimal transport theory and introduce a set of non-rigid registration methods based on the optimal partial transportation problem. Additionally, by leveraging efficient solutions to the one-dimensional optimal partial transport problem and extending them via slicing, we achieve significant computational efficiency, resulting in fast and robust registration algorithms. We validate our methods by comparing baselines on various 3D and 2D non-rigid registration problems with noisy point clouds. © The Author(s) 2025.",Non-rigid registration; Optimal transport; Point cloud registration; Unbalanced optimal transport,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85219719956
"Gao, Y.; Duddu, R.; Kolouri, S.; Gupta, A.; Prabhakar, P.","Gao, Yuxiang (58148919200); Duddu, Ravindra (24168487200); Kolouri, Soheil (55497793500); Gupta, Abhinav (59602292800); Prabhakar, Pavana (57204340945)",58148919200; 24168487200; 55497793500; 59602292800; 57204340945,An inverse design framework for optimizing tensile strength of composite materials based on a CNN surrogate for the phase field fracture model,2025,Composites Part A: Applied Science and Manufacturing,192,,108758,,,7,10.1016/j.compositesa.2025.108758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217973269&doi=10.1016%2Fj.compositesa.2025.108758&partnerID=40&md5=67d9a60911aac45cea1f9dbced29d286,"This paper introduces a novel inverse design framework that combines a convolutional neural network (CNN) surrogate for the phase field fracture model with a differentiable simulator to optimize two-phase composite microstructures. The CNN surrogate accurately predicts the damage-influenced stress fields from the composite microstructure images, whereas the simulator generates these images given the composite material design parameters, preserving crucial gradient information. This integration enables efficient optimization of microstructure designs through gradient descent-based methods. We demonstrate that our framework can significantly enhance the uniaxial tensile strength of microstructures beyond the limits of the training set. Interestingly, the optimized fiber arrangements for unidirectional and bidirectional strength match with common human-designed (hexagonal and diamond) arrangements. The application of the framework to microstructures with a pre-existing crack highlights its practical viability for targeted material design, where a small amount of second-phase material can be included for significant gains in tensile strength. © 2025",Convolutional neural network; Deep learning surrogate; Inverse design; Microstructure; Phase-field fracture model,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85217973269
"Rao, M.; Qin, Y.; Kolouri, S.; Wu, J.Y.; Moyer, D.","Rao, Mingxing (59585150600); Qin, Yinhong (58999829200); Kolouri, Soheil (55497793500); Wu, Jieying (57207823155); Moyer, Daniel C. (57117453900)",59585150600; 58999829200; 55497793500; 57207823155; 57117453900,Zero-shot prompt-based video encoder for surgical gesture recognition,2025,International Journal of Computer Assisted Radiology and Surgery,20,2,102611,311,321,2,10.1007/s11548-024-03257-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204303070&doi=10.1007%2Fs11548-024-03257-1&partnerID=40&md5=7ad983ab12205c1ba293523c836348ff,"Purpose: In order to produce a surgical gesture recognition system that can support a wide variety of procedures, either a very large annotated dataset must be acquired, or fitted models must generalize to new labels (so-called zero-shot capability). In this paper we investigate the feasibility of latter option. Methods: Leveraging the bridge-prompt framework, we prompt-tune a pre-trained vision-text model (CLIP) for gesture recognition in surgical videos. This can utilize extensive outside video data such as text, but also make use of label meta-data and weakly supervised contrastive losses. Results: Our experiments show that prompt-based video encoder outperforms standard encoders in surgical gesture recognition tasks. Notably, it displays strong performance in zero-shot scenarios, where gestures/tasks that were not provided during the encoder training phase are included in the prediction phase. Additionally, we measure the benefit of inclusion text descriptions in the feature extractor training schema. Conclusion: Bridge-prompt and similar pre-trained + prompt-tuned video encoder models present significant visual representation for surgical robotics, especially in gesture recognition tasks. Given the diverse range of surgical tasks (gestures), the ability of these models to zero-shot transfer without the need for any task (gesture) specific retraining makes them invaluable. © The Author(s) 2024.",Cross-task learning; Prompt engineering; Surgical gesture recognition; Zero-shot learning,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85204303070
"Liu, X.; Bai, Y.; Lu, Y.; Soltoggio, A.; Kolouri, S.","Liu, Xinran (57383255300); Bai, Yikun (57218847504); Lu, Yuzhe (57219452992); Soltoggio, Andrea (15046088100); Kolouri, Soheil (55497793500)",57383255300; 57218847504; 57219452992; 15046088100; 55497793500,Wasserstein task embedding for measuring task similarities,2025,Neural Networks,181,,106796,,,11,10.1016/j.neunet.2024.106796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207030249&doi=10.1016%2Fj.neunet.2024.106796&partnerID=40&md5=c901c27ea393194a959e698bcf586d62,"Measuring similarities between different tasks is critical in a broad spectrum of machine learning problems, including transfer, multi-task, continual, and meta-learning. Most current approaches to measuring task similarities are architecture-dependent: (1) relying on pre-trained models, or (2) training networks on tasks and using forward transfer as a proxy for task similarity. In this paper, we leverage the optimal transport theory and define a novel task embedding for supervised classification that is model-agnostic, training-free, and capable of handling (partially) disjoint label sets. In short, given a dataset with ground-truth labels, we perform a label embedding through multi-dimensional scaling and concatenate dataset samples with their corresponding label embeddings. Then, we define the distance between two datasets as the 2-Wasserstein distance between their updated samples. Lastly, we leverage the 2-Wasserstein embedding framework to embed tasks into a vector space in which the Euclidean distance between the embedded points approximates the proposed 2-Wasserstein distance between tasks. We show that the proposed embedding leads to a significantly faster comparison of tasks compared to related approaches like the Optimal Transport Dataset Distance (OTDD). Furthermore, we demonstrate the effectiveness of our embedding through various numerical experiments and show statistically significant correlations between our proposed distance and the forward and backward transfer among tasks on a wide variety of image recognition datasets. © 2024 The Authors",Continual learning; Dataset similarity; Optimal transport; Task embedding; Transfer learning,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85207030249
"Shahbazi, A.; Akbari, E.; Salehi, D.; Liu, X.; NaderiAlizadeh, N.; Kolouri, S.","Shahbazi, Ashkan (58485449800); Akbari, Elaheh (58762320700); Salehi, Darian (59636750900); Liu, Xinran (57383255300); NaderiAlizadeh, Navid (55965281600); Kolouri, Soheil (55497793500)",58485449800; 58762320700; 59636750900; 57383255300; 55965281600; 55497793500,ESPFormer: Doubly-Stochastic Attention with Expected Sliced Transport Plans,2025,Proceedings of Machine Learning Research,267,,,54186,54202,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023487890&partnerID=40&md5=3abbc33204a82cf12783da5b532fcd30,"While self-attention has been instrumental in the success of Transformers, it can lead to overconcentration on a few tokens during training, resulting in suboptimal information flow. Enforcing doubly-stochastic constraints in attention matrices has been shown to improve structure and balance in attention distributions. However, existing methods rely on iterative Sinkhorn normalization, which is computationally costly. In this paper, we introduce a novel, fully parallelizable doublystochastic attention mechanism based on sliced optimal transport, leveraging Expected Sliced Transport Plans (ESP). Unlike prior approaches, our method enforces doubly stochasticity without iterative Sinkhorn normalization, significantly enhancing efficiency. To ensure differentiability, we incorporate a temperature-based soft sorting technique, enabling seamless integration into deep learning models. Experiments across multiple benchmark datasets, including image classification, point cloud classification, sentiment analysis, and neural machine translation, demonstrate that our enhanced attention regularization consistently improves performance across diverse applications. Our implementation code can be found at https://github.com/dariansal/ESPFormer. © 2025 by the author(s).",,Conference paper,Final,,Scopus,2-s2.0-105023487890
"Thrash, C.; Abbasi, A.; Andreas, R.; Nooralinejad, P.; Koohpayegani, S.A.; Pirsiavash, H.; Kolouri, S.","Thrash, Chayne (58762320600); Abbasi, Ali (58956470600); Andreas, Reed (59904620700); Nooralinejad, Parsa (57221153575); Koohpayegani, Soroush Abbasi (57221317984); Pirsiavash, Hamed (22235347900); Kolouri, Soheil (55497793500)",58762320600; 58956470600; 59904620700; 57221153575; 57221317984; 22235347900; 55497793500,MCNC: MANIFOLD-CONSTRAINED REPARAMETERIZATION FOR NEURAL COMPRESSION,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,89397,89416,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010276840&partnerID=40&md5=0397bf58f5a4269d74efaf50ec21241a,"The outstanding performance of large foundational models across diverse tasks, from computer vision to speech and natural language processing, has significantly increased their demand. However, storing and transmitting these models poses significant challenges due to their massive size (e.g., 750GB for Llama 3.1 405B). Recent literature has focused on compressing the original weights or reducing the number of parameters required for fine-tuning these models. These compression methods generally constrain the parameter space, for example, through low-rank reparametrization (e.g., LoRA), pruning, or quantization (e.g., QLoRA) during or after the model training. In this paper, we present a novel model compression method, which we term Manifold-Constrained Neural Compression (MCNC). This method constrains the parameter space to low-dimensional pre-defined and frozen nonlinear manifolds, which effectively cover this space. Given the prevalence of good solutions in over-parameterized deep neural networks, we show that by constraining the parameter space to our proposed manifold, we can identify high-quality solutions while achieving unprecedented compression rates across a wide variety of tasks and architectures. Through extensive experiments in computer vision and natural language processing tasks, we demonstrate that our method significantly outperforms state-of-the-art baselines in terms of compression, accuracy, and/or model reconstruction time. Our code is publicly available at https://github.com/mint-vu/MCNC. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010276840
"Bai, Y.; Kothapalli, A.; Du, H.; Díaz Martín, R.D.; Kolouri, S.","Bai, Yikun (57218847504); Kothapalli, Abihith (57221531209); Du, Hengrong (59839724400); Díaz Martín, Rocío (57196392331); Kolouri, Soheil (55497793500)",57218847504; 57221531209; 59839724400; 57196392331; 55497793500,LINEAR PARTIAL GROMOV-WASSERSTEIN EMBEDDING,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,21443,21496,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010218149&partnerID=40&md5=c3123d7f7ed0f1049569a1a63287e23b,"The Gromov-Wasserstein (GW) problem, a variant of the classical optimal transport (OT) problem, has attracted growing interest in the machine learning and data science communities due to its ability to quantify similarity between measures in different metric spaces. However, like the classical OT problem, GW imposes an equal mass constraint between measures, which restricts its application in many machine learning tasks. To address this limitation, the partial Gromov-Wasserstein (PGW) problem has been introduced. It relaxes the equal mass constraint, allowing the comparison of general positive Radon measures. Despite this, both GW and PGW face significant computational challenges due to their non-convex nature. To overcome these challenges, we propose the linear partial Gromov-Wasserstein (LPGW) embedding, a linearized embedding technique for the PGW problem. For K different metric measure spaces, the pairwise computation of the PGW distance requires solving the PGW problem O(K2) times. In contrast, the proposed linearization technique reduces this to O(K) times. Similar to the linearization technique for the classical OT problem, we prove that LPGW defines a valid metric for metric measure spaces. Finally, we demonstrate the effectiveness of LPGW in practical applications such as shape retrieval and learning with transport-based embeddings, showing that LPGW preserves the advantages of PGW in partial matching while significantly enhancing computational efficiency. The code is available at https://github.com/mint-vu/Linearized_Partial_Gromov_Wasserstein. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010218149
"Liu, X.; Díaz, R.M.; Bai, Y.; Shahbazi, A.; Thorpe, M.; Aldroubi, A.; Kolouri, S.","Liu, Xinran (57383255300); Díaz, Rocío Martín (59390551500); Bai, Yikun (57218847504); Shahbazi, Ashkan (58485449800); Thorpe, Matthew (57189599436); Aldroubi, Akram (7003512606); Kolouri, Soheil (55497793500)",57383255300; 59390551500; 57218847504; 58485449800; 57189599436; 7003512606; 55497793500,EXPECTED SLICED TRANSPORT PLANS,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,67024,67047,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010212073&partnerID=40&md5=ac15c49ff933cec568bbe92f817c907e,"The optimal transport (OT) problem has gained significant traction in modern machine learning for its ability to: (1) provide versatile metrics, such as Wasserstein distances and their variants, and (2) determine optimal couplings between probability measures. To reduce the computational complexity of OT solvers, methods like entropic regularization and sliced optimal transport have been proposed. The sliced OT framework improves efficiency by comparing one-dimensional projections (slices) of high-dimensional distributions. However, despite their computational efficiency, sliced-Wasserstein approaches lack a transport plan between the input measures, limiting their use in scenarios requiring explicit coupling. In this paper, we address two key questions: Can a transport plan be constructed between two probability measures using the sliced transport framework? If so, can this plan be used to define a metric between the measures? We propose a 'lifting' operation to extend one-dimensional optimal transport plans back to the original space of the measures. By computing the expectation of these lifted plans, we derive a new transport plan, termed expected sliced transport (EST) plans. We further prove that using the EST plan to weight the sum of the individual Euclidean costs ∥x−y∥p for moving from x to y results in a valid metric between the input discrete probability measures. Finally, we demonstrate the connection between our approach and the recently proposed min-SWGG, along with illustrative numerical examples that support our theoretical findings. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010212073
"Liu, X.; Bai, Y.; Díaz Martín, R.D.; Shi, K.; Shahbazi, A.; Landman, B.A.; Chang, C.; Kolouri, S.","Liu, Xinran (57383255300); Bai, Yikun (57218847504); Díaz Martín, Rocío (57196392331); Shi, Kaiwen (59469149900); Shahbazi, Ashkan (58485449800); Landman, Bennett Allan (16679175200); Chang, Catie (59984632500); Kolouri, Soheil (55497793500)",57383255300; 57218847504; 57196392331; 59469149900; 58485449800; 16679175200; 59984632500; 55497793500,LINEAR SPHERICAL SLICED OPTIMAL TRANSPORT: A FAST METRIC FOR COMPARING SPHERICAL DATA,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,35195,35237,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010199807&partnerID=40&md5=f3f2bee357d7b409708570f9b85fe9b0,"Efficient comparison of spherical probability distributions becomes important in fields such as computer vision, geosciences, and medicine. Sliced optimal transport distances, such as spherical and stereographic spherical sliced Wasserstein distances, have recently been developed to address this need. These methods reduce the computational burden of optimal transport by slicing hyperspheres into one-dimensional projections, i.e., lines or circles. Concurrently, linear optimal transport has been proposed to embed distributions into L2 spaces, where the L2 distance approximates the optimal transport distance, thereby simplifying comparisons across multiple distributions. In this work, we introduce the Linear Spherical Sliced Optimal Transport (LSSOT) framework, which utilizes slicing to embed spherical distributions into L2 spaces while preserving their intrinsic geometry, offering a computationally efficient metric for spherical probability measures. We establish the metricity of LSSOT and demonstrate its superior computational efficiency in applications such as cortical surface registration, 3D point cloud interpolation via gradient flow, and shape embedding. Our results demonstrate the significant computational benefits and high accuracy of LSSOT in these applications. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010199807
