Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Chen, Z.; Song, W.; Li, Q.; Li, C.; Wen, W.; Huyghe, J.R.; Law, P.J.; Fernandez-Rozadilla, C.; Timofeeva, M.N.; Thomas, M.; Schmit, S.L.; Martín, V.; Devall, M.; Dampier, C.; Moratalla-Navarro, F.; Cai, Q.; Wang, J.; Shi, J.; Kweon, S.-S.; Tanikawa, C.; Jia, W.-H.; Shu, X.; Long, J.; Gao, J.; Kim, J.; Shin, A.; Matsuo, K.; Jee, S.H.; Jung, K.J.; Wang, N.; Kim, D.-H.; Ping, J.; Yang, G.; Shin, M.-H.; Ren, Z.; Oh, J.H.; Oze, I.; Ahn, Y.-O.; Gao, Y.-T.; Pan, Z.-Z.; Kamatani, Y.; van Kaer, L.; Wu, L.; Li, B.; Matsuda, K.; Shu, X.-O.; Hsu, L.; Dunlop, M.G.; Gruber, S.B.; Houlston, R.; Tomlinson, I.; Li, L.; Lau, K.S.; Moreno, V.; Casey, G.; Peters, U.; Zheng, W.; Guo, X.","Chen, Zhishan (57210391600); Song, Wenqiang (55335383700); Li, Qing (56283012200); Li, Chao (60245288200); Wen, Wanqing (7102171018); Huyghe, Jeroen R. (23009108400); Law, Philip J. (57155941900); Fernandez-Rozadilla, Ceres (57221975436); Timofeeva, M. N. (24340280000); Thomas, Minta (57215815132); Schmit, Stephanie L. (56716433600); Martín, Vicente (57627092300); Devall, Matthew A.M. (57213823382); Dampier, Christopher Heaton (57218483381); Moratalla-Navarro, Ferran (57209968825); Cai, Qiuyin (7201853606); Wang, Jifeng (56222929300); Shi, Jiajun (55491830200); Kweon, Sun-seog (59664078300); Tanikawa, Chizu (15926350300); Jia, Weihua (26422262500); Shu, Xiang (57207373628); Long, Jirong (7403446542); Gao, Jing (57189369526); Kim, Jeongseon (56183164600); Shin, Aesun (8517000800); Matsuo, Keitaro (57213117864); Jee, Sun-ha (59953894500); Jung, Keum-ji (59738905100); Wang, Nan (56428244600); Kim, Dong-hyun (60163681800); Ping, Jie (26032266400); Yang, Gong (7405755505); Shin, Minho (7401537616); Ren, Zefang (16305021500); Oh, Jae-hwan (59772294100); Oze, Isao (25958341500); Ahn, Yoon-ok (7202402907); Gao, Yutang (34770682500); Pan, Zhizhong (8731226900); Kamatani, Yoichiro (59097553400); van Kaer, Luc (7006402578); Wu, Lan (7404903181); Li, Bingshan (23479764000); Matsuda, Koichi (59999617700); Shu, Xiaoou (55630916600); Hsu, Li (57200496758); Dunlop, Malcolm G. (7101629955); Gruber, Stephen Bernard (7101800850); Houlston, Richard S. (34569730700); Tomlinson, Ian P.M. (7103338177); Li, Li (60372473800); Lau, Ken S. (7401560116); Moreno, Victor R. (7103038363); Casey, Graham R. (7103102611); Peters, Ulrike (55568520917); Zheng, Wei (57226660173); Guo, Xingyi (56505867000)",57210391600; 55335383700; 56283012200; 60245288200; 7102171018; 23009108400; 57155941900; 57221975436; 24340280000; 57215815132; 56716433600; 57627092300; 57213823382; 57218483381; 57209968825; 7201853606; 56222929300; 55491830200; 59664078300; 15926350300; 26422262500; 57207373628; 7403446542; 57189369526; 56183164600; 8517000800; 57213117864; 59953894500; 59738905100; 56428244600; 60163681800; 26032266400; 7405755505; 7401537616; 16305021500; 59772294100; 25958341500; 7202402907; 34770682500; 8731226900; 59097553400; 7006402578; 7404903181; 23479764000; 59999617700; 55630916600; 57200496758; 7101629955; 7101800850; 34569730700; 7103338177; 60372473800; 7401560116; 7103038363; 7103102611; 55568520917; 57226660173; 56505867000,Mixed-model and transcriptome-wide association analyses identify transcription factors and genes associated with colorectal cancer susceptibility,2026,Nature Communications,17,1,1377,,,0,10.1038/s41467-025-68127-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029441953&doi=10.1038%2Fs41467-025-68127-z&partnerID=40&md5=315428935768496ade2f52ea61953e23,"Susceptibility transcription factors (TF) whose DNA bindings are altered by genetic variants regulating colorectal cancer (CRC) risk genes remain poorly defined. Using generalized linear mixed models, we analyze 218 TF ChIP-Seq datasets alongside GWAS data from 100,204 CRC cases and 154,587 controls of East Asian and European ancestries. We identify 51 TFs and TF-cofactor interactions, including VDR-cofactors, as key regulators of CRC risk. Integrating these TF insights with transcriptome-wide association studies (TWAS), we further evaluate associations between genetically predicted gene expression, alternative splicing, and alternative polyadenylation with CRC risk, using RNA-seq data from 364 Asian-ancestry and 707 European-ancestry individuals. Multi-ancestry TWAS identify 222 risk genes, including 95 novel genes and 48 potentially druggable targets. Single-cell analysis provides additional functional evidence supporting ~45% of these genes, and experimental validation confirms oncogenic roles for RHPN2, IRS2, and TXN. Our findings elucidate key TF–gene regulatory networks and uncover novel CRC risk genes. © The Author(s) 2026.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105029441953
"Hu, R.; Wang, Y.; Yagan, M.; Xu, Y.; Simmons, A.J.; Lau, K.S.; Liu, Q.; Gu, G.","Hu, Ruiying (56875101900); Wang, Yu (55979182400); Yagan, Mahircan (58980242900); Xu, Yanwen (57198775716); Simmons, Alan Joey (56714969600); Lau, Ken S. (7401560116); Liu, Qi (57071806700); Gu, Guoqiang (7203055698)",56875101900; 55979182400; 58980242900; 57198775716; 56714969600; 7401560116; 57071806700; 7203055698,Deregulated translation of the transcription factor Myt3 predisposes islet β cells to dysfunction under obesity-induced metabolic stress,2026,Journal of Biological Chemistry,302,3,111164,,,0,10.1016/j.jbc.2026.111164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029051127&doi=10.1016%2Fj.jbc.2026.111164&partnerID=40&md5=c557dea398211d1497f27c58cbb4de2a,"In response to obesity-related metabolic stress, islet β cells adapt (or compensate) by increasing their secretory function and mass. Yet, for unknown reasons, this compensation is reversed in some individuals at some point to induce β-cell failure and overt type 2 diabetes. We have previously shown that transcription factor Myt3 (St18) and its paralogs, Myt1 and Myt2 (Myt1l), prevent β-cell failure. Myt3 was induced at post-transcriptional levels by obesity-related stress in both mouse and human β cells. Its downregulation, at both protein and transcript levels, accompanied human β-cell dysfunction during type 2 diabetes development. Single-nucleotide polymorphisms in MYT3 were associated with an increased risk of human diabetes. We now show that disrupting an upstream ORF that overlaps with the main Myt3 ORF can enhance Myt3 translation without metabolic stress but decreases it under high-fat diet challenges in islet β cells. Consequently, this deregulation results in β-cell dysfunction and glucose intolerance in mice, accompanied by compromised expression of several β-cell function genes under high-fat diet challenge. These findings suggest that stress-induced Myt3 translation is a part of the compensation mechanism that prevents β-cell failure in mice. © 2026 The Authors",diabetes; glucose; insulin; insulin secretion; stress response; translation; uORF,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105029051127
"Srinivasan, J.; Moore, C.R.; Calindi, A.; Helm, B.R.; Yang, Y.; Moore, J.F.; Selden, H.J.; Heiser, C.N.; Liu, Q.; Lau, K.S.; Ehrlich, L.I.R.","Srinivasan, Jayashree (57208796951); Moore, Colin R. (58823023900); Calindi, Aparna (57204714621); Helm, Bryan R. (54402720500); Yang, Yilin (57984150800); Moore, John F. (58824684700); Selden, Hilary J. (56385722000); Heiser, Cody N. (57216317403); Liu, Qi (59910659300); Lau, Ken S. (7401560116); Ehrlich, Lauren I.Richie (7005849509)",57208796951; 58823023900; 57204714621; 54402720500; 57984150800; 58824684700; 56385722000; 57216317403; 59910659300; 7401560116; 7005849509,The differentiation and function of heterogeneous thymic dendritic cell subsets require signals provided by distinct thymocyte cell types,2026,Nature Immunology,27,2,,265,280,0,10.1038/s41590-025-02371-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027248420&doi=10.1038%2Fs41590-025-02371-9&partnerID=40&md5=6b401a24fe76689947b13a88251b1201,"Dendritic cells are essential for establishing thymic central tolerance; however, mechanisms supporting their homeostasis and activation remain unresolved. Through single-cell transcriptomics and functional assays, we identify seven thymic conventional dendritic cell (cDC) subsets and discriminate their abilities to present self-antigens and induce regulatory T cells. Mice blocked at different stages of T cell development revealed that CD4+ single-positive (CD4SP) and CD8SP thymocytes differentially support homeostasis and activation of type 1 cDCs (cDC1s) versus cDC2s/plasmacytoid DCs (pDCs), respectively. CD8SP thymocytes indirectly support pDC survival and cDC2 thymic migration, and they induce interferon signaling in cDCs, partly by promoting type 3 interferon expression by medullary thymic epithelial cells. By contrast, CD4SP thymocytes undergo cognate interactions with cDCs, inducing CD40 signaling required for activation of cDC1s. Activated cDC1s make nonredundant contributions to central tolerance. Together, this study comprehensively identifies distinct thymic DC subsets and elucidates requirements for cross-talk with thymocyte subsets that support their homeostasis, activation and function. © The Author(s), under exclusive licence to Springer Nature America, Inc. 2026.",,Article,Final,,Scopus,2-s2.0-105027248420
"Liu, Q.; Wang, Y.; Hsu, C.-Y.; Wanjalla, C.N.; Lau, K.S.; Shyr, Y.","Liu, Qi (57071806700); Wang, Yu (55979182400); Hsu, Chihyuan (57217130472); Wanjalla, Celestine N. (6507258009); Lau, Ken S. (7401560116); Shyr, Yu (35431521800)",57071806700; 55979182400; 57217130472; 6507258009; 7401560116; 35431521800,Microenvironment-aware spatial modeling for accurate inference of cell identity,2026,Nucleic Acids Research,54,1,gkaf1477,,,0,10.1093/nar/gkaf1477,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026840796&doi=10.1093%2Fnar%2Fgkaf1477&partnerID=40&md5=d52459d3c542f7ba0a8399169404680e,"Spatial omics technologies enable the simultaneous measurement of molecular features within their spatial context, providing unprecedented insights into cellular organization and tissue architecture. The advent of single-cell resolution platforms has further enhanced our ability to uncover microenvironment-dependent cell states. While numerous computational methods have been developed for spatial omics analysis, most focus on spatial domain detection rather than on resolving cell identities. Traditional single-cell clustering methods rely solely on intrinsic molecular features to determine cell identities, missing the impact of the local microenvironment on cell states. To address this gap, we present MEcell, a parameter-free method that explicitly incorporates spatial context and automatically adjusts its contribution to improve cell identity modeling. Applied to 90 simulated and 7 real datasets spanning multiple spatial transcriptomics platforms and tissue types, including MERFISH/Vizgen, Xenium, CosMx, Visium HD, Slide-seqV2, and open-ST, MEcell consistently outperformed existing methods in accurately inferring cell identities. These results highlight the critical role of microenvironment in defining cell identity and demonstrate the power of MEcell for capturing spatially informed cellular heterogeneity. © The Author(s) 2026. Published by Oxford University Press.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105026840796
"Hoi, X.P.; Stangis, M.M.; Glass, S.E.; Kim, J.-H.; Kang, S.W.; Brennen, W.N.; Li, Z.; Grady, W.M.; Yegnasubramanian, S.; Kuhn, P.; Lyssiotis, C.A.; Sagara, A.; Shrubsole, M.J.; Kadara, H.; Yuan, Y.; Coffey, R.J.; Lau, K.S.; de Marzo, A.M.; Maitra, A.; Min, J.; Yu, M.; Chan, K.S.","Hoi, Xen Ping (57204844401); Stangis, Mary M. (57953378700); Glass, Sarah E. (57369559400); Kim, Jin-hee (60172270600); Kang, Seung-woo (59671678500); Brennen, William Nathaniel (57236713800); Li, Ziyi (57194763493); Grady, William Mallory (35285636500); Yegnasubramanian, Srinivasan (8765489200); Kuhn, Peter (7101989514); Lyssiotis, Costas A. (57206039592); Sagara, Akiko (60172270700); Shrubsole, Martha J. (57210180050); Kadara, Humam N. (15044674000); Yuan, Ying (55176601200); Coffey, Robert J.C. (7101691651); Lau, Ken S. (7401560116); de Marzo, Angelo M. (35350753500); Maitra, Anirban (35390791500); Min, Jimin (60172000200); Yu, Ming (56984886100); Chan, Keith Syson (60253761600)",57204844401; 57953378700; 57369559400; 60172270600; 59671678500; 57236713800; 57194763493; 35285636500; 8765489200; 7101989514; 57206039592; 60172270700; 57210180050; 15044674000; 55176601200; 7101691651; 7401560116; 35350753500; 35390791500; 60172000200; 56984886100; 60253761600,Cellular senescence in precancer lesions and early-stage cancers,2026,Cancer Cell,44,1,,6,11,1,10.1016/j.ccell.2025.10.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021043278&doi=10.1016%2Fj.ccell.2025.10.006&partnerID=40&md5=2089212ff5be36d6378b966c7287ab9f,"Cellular senescence plays dual roles in precancer lesions: initially serving as a tumor-suppressive barrier within the epithelial compartment and later contributing to a pro-tumoral precancer tissue microenvironment (PreTME) via a sustained, paracrine secretome known as senescent-associated secretory phenotype (SASP). This commentary highlights the role of senescence across various PreTME cell types, explores emerging pharmacologic and lifestyle interception strategies, and outlines current challenges for advancing biomarkers and clinical translation. © 2025 Elsevier Inc.",,Note,Final,,Scopus,2-s2.0-105021043278
"Loberg, M.A.; G.J.; Chen, S.-C.; Chen, H.-C.; Wahoski, C.C.; Caroland, K.P.; Tigue, M.L.; Hartmann, H.A.; Gallant, J.-N.; Phifer, C.J.; Ocampo, A.A.; Wang, D.K.; Fankhauser, R.G.; Karunakaran, K.A.; Wu, C.-C.; Tarabichi, M.; Shaddy, S.M.; Netterville, J.L.; Rohde, S.L.; Solórzano, C.C.; Bischoff, L.A.; Baregamian, N.; Murphy, B.A.; Choe, J.H.; Wang, J.R.; Huang, E.C.; Sheng, Q.; Kagohara, L.T.; Jaffee, E.M.; Belcher, R.H.; Lau, K.S.; Ye, F.; Lee, E.; Weiss, V.L.","Loberg, Matthew A. (57205612855); Chen, Sheauchiann (56642164600); Chen, Huachang (56652824000); Wahoski, Claudia C. (58528433000); Caroland, Kailey P. (58489623200); Tigue, Megan L. (58182429600); Hartmann, Heather A. (57211538447); Gallant, Jean Nicolas (48761294400); Phifer, Courtney J. (57218398222); Ocampo, Andres A. (59667265200); Wang, Dayle K. (57438415900); Fankhauser, Reilly G. (57205120512); Karunakaran, Kirti A. (57225009736); Wu, Chiachin (7501669144); Tarabichi, Maxime (37462110400); Shaddy, Sophia M. (56966599400); Netterville, James L. (7005459986); Rohde, Sarah L. (50061735500); Solórzano, Carmen C. (7003938563); Bischoff, Lindsay A. (12776617200); Baregamian, Naira (15043598600); Murphy, Barbara A. (35208882300); Choe, Jennifer Hsing (59125927400); Wang, Jennifer Rui (57923529300); Huang, Eric C. (17135008300); Sheng, Quanhu (60167296000); Kagohara, Luciane Tsukamoto (42861780800); Jaffee, Elizabeth M. (7005183283); Belcher, Ryan H. (55540249200); Lau, Ken S. (7401560116); Ye, Fei (57208880740); Lee, Ethan (56984497100); Weiss, Vivian L. (55990569000)",57205612855; 60266428900; 56642164600; 56652824000; 58528433000; 58489623200; 58182429600; 57211538447; 48761294400; 57218398222; 59667265200; 57438415900; 57205120512; 57225009736; 7501669144; 37462110400; 56966599400; 7005459986; 50061735500; 7003938563; 12776617200; 15043598600; 35208882300; 59125927400; 57923529300; 17135008300; 60167296000; 42861780800; 7005183283; 55540249200; 7401560116; 57208880740; 56984497100; 55990569000,An integrated single-cell and spatial transcriptomic atlas of thyroid cancer progression identifies prognostic fibroblast subpopulations,2026,JCI insight,11,1,,,,0,10.1172/jci.insight.191990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026520087&doi=10.1172%2Fjci.insight.191990&partnerID=40&md5=a8c0bcdec29b026b6944c882b4e7adb8,"Although well-differentiated thyroid carcinoma (WDTC) is characterized by a robust treatment response, aggressive subtypes, such as anaplastic thyroid carcinoma (ATC), remain highly lethal. To understand thyroid cancer evolution in both children and adults, we analyzed single-cell transcriptomes of 423,733 cells from 81 samples and spatially resolved key tumor and microenvironment populations across 28 tumors with spatial transcriptomics, including rare and unique composite WDTC/ATC tumors and pediatric diffuse sclerosing thyroid carcinomas. Additionally, we identified gene signatures of stromal cell populations in 5 large thyroid cancer bulk RNA-sequencing cohorts. Through this multi-institutional effort, we defined a population of POSTN+ myofibroblast cancer-associated fibroblasts (myCAFs) that are intimately associated with invasive tumor cells and correlate with poor prognosis, lymph node metastasis, and disease progression in thyroid carcinoma. We also revealed a population of inflammatory CAFs that are distant to tumor cells and are found in the inflammatory stromal microenvironment of autoimmune thyroiditis. Together, our study provides spatial profiling of thyroid cancer evolution in samples with mixed WDTC/ATC histopathology and identifies a prognostic myCAF subtype with potential clinical utility in predicting aggressive disease in both children and adults.",Cancer; Genetics; Head and neck cancer; Oncology; Thyroid disease,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105026520087
"Li, Q.; Song, Q.; Chen, Z.; Choi, J.; Moreno, V.; Ping, J.; Wen, W.; Li, C.; Shu, X.; Yan, J.; Shu, X.-O.; Cai, Q.; Long, J.; Huyghe, J.R.; Pai, R.; Gruber, S.B.; Yang, Y.; Casey, G.; Wang, X.; Toriola, A.T.; Li, L.; Singh, B.; Lau, K.S.; Zhou, L.; Zhang, Z.; Wu, C.; Peters, U.; Zheng, W.; Long, Q.; Yin, Z.; Guo, X.","Li, Qing (56283012200); Song, Qingyuan (58631086400); Chen, Zhishan (57210391600); Choi, Jung-yoon (57061142100); Moreno, Victor R. (7103038363); Ping, Jie (26032266400); Wen, Wanqing (7102171018); Li, Chao (60245288200); Shu, Xiang (57207373628); Yan, Jun (55578679500); Shu, Xiaoou (55630916600); Cai, Qiuyin (7201853606); Long, Jirong (7403446542); Huyghe, Jeroen R. (23009108400); Pai, Rish K. (18133904900); Gruber, Stephen Bernard (7101800850); Yang, Yaohua (57205022132); Casey, Graham R. (7103102611); Wang, Xusheng (55736881700); Toriola, Adetunji T. (23490812800); Li, Li (60245609600); Singh, Bhuminder (55480050800); Lau, Ken S. (7401560116); Zhou, Li (56518549100); Zhang, Zichen (57409842500); Wu, Chong (56323605100); Peters, Ulrike (55568520917); Zheng, Wei (57226660173); Long, Quan (55573791400); Yin, Zhijun (56714518200); Guo, Xingyi (56505867000)",56283012200; 58631086400; 57210391600; 57061142100; 7103038363; 26032266400; 7102171018; 60245288200; 57207373628; 55578679500; 55630916600; 7201853606; 7403446542; 23009108400; 18133904900; 7101800850; 57205022132; 7103102611; 55736881700; 23490812800; 60245609600; 55480050800; 7401560116; 56518549100; 57409842500; 56323605100; 55568520917; 57226660173; 55573791400; 56714518200; 56505867000,Large-scale integration of omics and electronic health records to identify potential risk protein biomarkers and therapeutic drugs for cancer prevention,2026,American Journal of Human Genetics,113,1,,41,56,0,10.1016/j.ajhg.2025.11.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025166194&doi=10.1016%2Fj.ajhg.2025.11.008&partnerID=40&md5=23171215053f45f89bcb3e060b252a65,"Identifying risk protein targets and their therapeutic drugs is crucial for effective cancer prevention. Here, we conduct integrative and fine-mapping analyses of large genome-wide association studies data for breast, colorectal, lung, ovarian, pancreatic, and prostate cancers and characterize 710 lead variants independently associated with cancer risk. Through mapping protein quantitative trait loci (pQTLs) for these variants using plasma proteomics data from over 75,000 participants, we identify 365 proteins associated with cancer risk. Subsequent colocalization analysis identifies 101 proteins, including 74 not reported in previous studies. We further characterize 36 potential druggable proteins for cancers or other disease indications. Analyzing >3.5 million electronic health records, we conducted analyses of emulated trials for 11 drugs across 290 comparisons and identified three drugs significantly associated with reduced colorectal cancer risk: caffeine vs. paroxetine (hazard ratio [HR], 0.51; 95% confidence interval [CI], 0.41–0.64), haloperidol vs. prochlorperazine (HR, 0.47; 95% CI, 0.33–0.68), and trazodone hydrochloride vs. paroxetine (HR, 0.49; 95% CI, 0.38–0.63). Conversely, caffeine was associated with increased cancer risk in comparison with finasteride (colorectal cancer) and fluoxetine (breast cancer). Meta-analysis identified six drugs significantly associated with cancer risk, including acetazolamide, which was associated with reduced colorectal cancer risk (HR, 0.79; 95% CI, 0.72–0.87). This study identifies previously unreported protein biomarkers and candidate drug targets across six major cancer types and highlights several approved drugs with potential chemopreventive effects. © 2025 American Society of Human Genetics.",acetazolamide; caffeine; drug trial emulation; EHR; GWAS; human cancers; pQTL; proteomics; risk variants; therapeutic drug,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105025166194
"Srinivasan, J.; Moore, C.R.; Calindi, A.; Helm, B.R.; Yang, Y.; Moore, J.F.; Selden, H.J.; Heiser, C.N.; Liu, Q.; Lau, K.S.; Ehrlich, L.I.R.","Srinivasan, Jayashree (57208796951); Moore, Colin R. (58823023900); Calindi, Aparna (57204714621); Helm, Bryan R. (54402720500); Yang, Yilin (57984150800); Moore, John F. (58824684700); Selden, Hilary J. (56385722000); Heiser, Cody N. (57216317403); Liu, Qi (59910659300); Lau, Ken S. (7401560116); Ehrlich, Lauren I.Richie (7005849509)",57208796951; 58823023900; 57204714621; 54402720500; 57984150800; 58824684700; 56385722000; 57216317403; 59910659300; 7401560116; 7005849509,"Publisher Correction: The differentiation and function of heterogeneous thymic dendritic cell subsets require signals provided by distinct thymocyte cell types (Nature Immunology, (2026), 27, 2, (265-280), 10.1038/s41590-025-02371-9)",2026,Nature Immunology,,,,,,0,10.1038/s41590-026-02449-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029844010&doi=10.1038%2Fs41590-026-02449-y&partnerID=40&md5=a2fb51fd7bf8629515e7235cb157f85a,"Correction to: Nature Immunologyhttps://doi.org/10.1038/s41590-025-02371-9, published online 8 January 2026. In the version of this article initially published, there was a labelling error in the Fig. 7f color key, where the label for the gray box, now reading “WT donor DCs > B2m−/− thymus,” appeared originally as “B2m−/− donor DCs > WT thymus.” The label is now amended in the HTML and PDF versions of the article. © The Author(s), under exclusive licence to Springer Nature America, Inc. 2026.",,Erratum,aip,All Open Access; Bronze Open Access,Scopus,2-s2.0-105029844010
"Vasudev, A.; Moore, C.R.; Calindi, A.; Kang, S.W.; Helm, B.R.; Srinivasan, J.; Shah, S.; E.; Zong, R.; Singarapu, N.; Casey, S.; Macintyre, A.N.; Lau, K.S.; Hale, L.P.; Liu, Q.; Manley, N.R.; Ehrlich, L.I.R.; Richie, E.R.","Vasudev, Anusha (55156674500); Moore, Colin R. (58823023900); Calindi, Aparna (57204714621); Kang, Seung-woo (57605116000); Helm, Bryan R. (54402720500); Srinivasan, Jayashree (57208796951); Shah, Siddhartha (59910629000); Zong, Ruiting (43761727900); Singarapu, Nandini (24367164600); Casey, Scott (59910634200); Macintyre, Andrew N. (36666971900); Lau, Ken S. (7401560116); Hale, Laura P. (16165882000); Liu, Qi (59910659300); Manley, Nancy Ruth (7004685243); Ehrlich, Lauren I.Richie (7005849509); Richie, Ellen Rothman (7005768263)",55156674500; 58823023900; 57204714621; 57605116000; 54402720500; 57208796951; 59910629000; 60264644100; 43761727900; 24367164600; 59910634200; 36666971900; 7401560116; 16165882000; 59910659300; 7004685243; 7005849509; 7005768263,Coordinated changes in stromal and hematopoietic cells that define the perinatal to juvenile transition in the mouse thymus,2025,Cell reports,44,12,,116677,,0,10.1016/j.celrep.2025.116677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026366360&doi=10.1016%2Fj.celrep.2025.116677&partnerID=40&md5=3ca91901684357e7d4cbf825600e8ba4,"Perinatal T cells have distinctive phenotypes and functions that may be due in part to age-associated features of stromal cells in the perinatal thymus. We identify age-associated changes in mouse thymic epithelial cells, mesenchyme, endothelium, and hematopoietic antigen-presenting cells from birth to one month of age using single-cell transcriptional profiling, flow cytometry, and imaging. Coordinated cellular and molecular changes occur at 7-14 days of age, designated ""transitional ages,"" as thymus growth switches to homeostasis. E2F target gene expression declines, and the expression of type I interferon response genes increases across diverse cell types at transitional ages. Alterations in thymic stromal cells coincide with elevated markers of thymocyte self-reactivity and enhanced Treg suppressive phenotypes and function. The integrated results reveal coordinated remodeling of multiple stromal cell types during the perinatal to juvenile transition, which likely impacts T cell differentiation. These datasets provide a resource for the investigation of the perinatal thymus environment. Published by Elsevier Inc.",CP: Developmental biology; CP: Immunology; E2F; IGF2; interferon I/III; neonatal thymus; perinatal thymocytes; retinoblastoma protein; thymic dendritic cells; thymic epithelial cells; thymic mesenchyme; thymus atlas,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105026366360
"Quoc-Huy Trinh, V.; Ankenbauer, K.E.; Torbit, S.M.; Taranto, C.P.; Liu, J.; Batardière, M.; Kumar, B.; Carlo Maurer, H.C.; Revetta, F.; Chen, Z.; Kruse, A.R.S.; Judd, A.M.; Copeland, C.; Wong, J.; Ben-Levy, O.; Jarvis, B.; Brown, M.; Brown, J.W.; Das, K.; Makino, Y.; Spraggins, J.M.; Lau, K.S.; Azadi, P.; Maitra, A.; Tan, M.C.B.; DelGiorno, K.E.","Quoc-Huy Trinh, Vincent (57936338800); Ankenbauer, Katherine E. (57211260046); Torbit, Sabrina M. (58567014200); Taranto, Christopher P. (60253358700); Liu, Jiayue (59663840600); Batardière, Maelle (59776097900); Kumar, Bhoj (57685027800); Carlo Maurer, Hans (57200073802); Revetta, Frank L. (6506873327); Chen, Zhengyi (57704021600); Kruse, Angela R.S. (57102793300); Judd, Audra M. (56073628300); Copeland, Celina (58966907500); Wong, Jahg (57209210564); Ben-Levy, Olivia (57223966128); Jarvis, Brenda (54401292500); Brown, Monica E. (57218286341); Brown, Jeffrey W. (7409456030); Das, Koushik K. (57199706482); Makino, Yuki (57997562000); Spraggins, Jeffrey M. (6507478607); Lau, Ken S. (7401560116); Azadi, Parastoo (56758820600); Maitra, Anirban (35390791500); Tan, Marcus Chuan Beng (14008918900); DelGiorno, Kathleen E. (35795334600)",57936338800; 57211260046; 58567014200; 60253358700; 59663840600; 59776097900; 57685027800; 57200073802; 6506873327; 57704021600; 57102793300; 56073628300; 58966907500; 57209210564; 57223966128; 54401292500; 57218286341; 7409456030; 57199706482; 57997562000; 6507478607; 7401560116; 56758820600; 35390791500; 14008918900; 35795334600,Mutant GNAS drives a pyloric metaplasia with tumor suppressive glycans in intraductal papillary mucinous neoplasia,2025,Cell Reports,44,12,116684,,,0,10.1016/j.celrep.2025.116684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025659119&doi=10.1016%2Fj.celrep.2025.116684&partnerID=40&md5=0888bcf3f7d0188603f87ec4a939ab4c,"Intraductal papillary mucinous neoplasms (IPMNs) are cystic lesions and bona fide precursors of pancreatic ductal adenocarcinoma (PDAC), one of the deadliest solid tumors. Although ∼90% of IPMNs are detected before PDAC forms, markers distinguishing benign from malignant disease are lacking, resulting in an abundance of unnecessary, invasive surgeries. Recent studies show that pancreatic precancer assumes a pyloric phenotype. To identify the regulators of this plasticity, cell lines, organoids, tumors from mouse models of IPMNs, and patient samples underwent multiplex immunostaining, RNA sequencing, glycosylation profiling, and computational analysis. These data revealed that GNASR201Cdrives an indolent phenotype in IPMNs by amplifying a differentiated, pyloric phenotype through SPDEF/CREB3L1, which is characterized by distinct glycans. Acting as a glycan rheostat, GNASR201Celevates LacdiNAcs at the expense of pro-tumorigenic acidic Lewis epitopes, inhibiting cancer cell invasion and disease progression. LacdiNAcs and 3′-sulfo-LeA/Care mutually exclusive and may serve as markers to risk stratify IPMN patients for surgery. © 2025 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/",CP: cancer; CREB3L1; glycans; GNAS; intraductal papillary mucinous neoplasm; pancreatic cancer; pyloric metaplasia; SPDEF,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105025659119
