Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Krishnan, A.R.; Li, T.Z.; Remedios, L.W.; Kim, M.E.; Gao, C.; Rudravaram, G.; McMaster, E.M.; Saunders, A.M.; Bao, S.; Xu, K.; Zuo, L.; Sandler, K.L.; Maldonado, F.; Huo, Y.; Landman, B.A.","Krishnan, Aravind R. (58195099100); Li, Thomas Z. (57557667700); Remedios, Lucas W. (57226830336); Kim, Michael E. (58290603100); Gao, Chenyu (57363597800); Rudravaram, Gaurav (57442300300); McMaster, Elyssa M. (59912653900); Saunders, Adam M. (58325980600); Bao, Shunxing (57189987093); Xu, Kaiwen (57218363938); Zuo, Lianrui (57202855256); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",58195099100; 57557667700; 57226830336; 58290603100; 57363597800; 57442300300; 59912653900; 58325980600; 57189987093; 57218363938; 57202855256; 57188931283; 23012782200; 56830058500; 16679175200,Multipath cycleGAN for harmonization of paired and unpaired low-dose lung computed tomography reconstruction kernels,2025,Medical Physics,52,11,e70120,,,0,10.1002/mp.70120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021200286&doi=10.1002%2Fmp.70120&partnerID=40&md5=82ee28c9a5aab0a36d89be052cfab36b,"Background: Reconstruction kernels in computed tomography (CT) introduce variability in spatial resolution and noise distribution, creating systematic differences in quantitative imaging measurements, that icl, emphysema characterization in lung imaging. While harmonization across images reconstructed using different kernels from the same manufacturer is feasible, this can be challenging in multi-centre or longitudinal studies where images are acquired using kernels from different manufacturers. This variability results in heterogeneous quantitative measurements that are difficult to compare. Therefore, it is necessary to standardize all images to a common reference kernel. Purpose: We explore training a harmonization model using paired reconstruction kernels (obtained from the same manufacturer for a given subject) and unpaired reconstruction kernels (obtained across different manufacturers for different subjects) in a low dose lung cancer screening cohort, validating our approach through quantitative CT measurements. Our overall goal is to use both sets of data to construct a shared latent space while recognizing the ability of different types of data to contribute through different classes of loss functions. Methods: We develop a multipath cycleGAN that enables multi-domain kernel harmonization through a shared latent space, domain specific encoder-decoder architectures, and discriminators trained in an unsupervised manner using a mixture of paired and unpaired data. We train our model using 100 scans each from seven representative kernels (Siemens B50f, Siemens B30f, GE BONE, GE STANDARD, GE LUNG, Philips C, and Philips D) from the National Lung Screening Trial (NLST) dataset, enabling harmonization across 42 different kernel combinations. Using 240 withheld scans from each kernel, we evaluate our approach on paired kernels using percent emphysema. For unpaired kernels, we harmonize all scans to the style of a reference soft kernel (Siemens B30f) and evaluate our model using percent emphysema, followed by a general linear model analysis that investigates the impact of age, sex, smoking status, and kernel on emphysema. Additionally, we harmonize all soft kernels to a reference hard kernel (Siemens B50f), quantifying percent emphysema. We assess anatomical consistency in unpaired kernels harmonized to a reference soft kernel by comparing segmentations of lung vessels, muscle, and subcutaneous adipose tissue derived from TotalSegmentator between the non-harmonized and harmonized images. We compare the performance of our model to the standard cycleGAN and a switchable cycleGAN model. Results: For paired kernels, the proposed multipath approach reduced differences in percent emphysema as seen from the Bland Altman analysis (p < 0.05), achieving the best performance on one kernel pair over the standard cycleGAN and on two pairs over the switchable cycleGAN.For unpaired kernels where all source kernels were harmonized to a reference soft kernel, our method mitigated differences in three of six kernels, comparable to the switchable cycleGAN, while the standard cycleGAN mitigated differences in four of six kernels. When harmonizing all soft kernels to a reference hard kernel, our approach outperformed the switchable cycleGAN and was comparable to the standard cycleGAN. Our proposed approach maintains anatomical consistency in muscle, adipose tissue across all unpaired kernels and showed reasonable overlap on three kernels for lung vessels when compared to the cycleGAN; however, performance was lower when compared to the switchable cycleGAN. Conclusions: Paired and unpaired kernel harmonization with a shared latent space multipath cycleGAN mitigates errors in emphysema quantification and maintains anatomical consistency after harmonization. © 2025 The Author(s). Medical Physics published by Wiley Periodicals LLC on behalf of American Association of Physicists in Medicine.",multipath cycleGAN; percent emphysema; reconstruction kernel; shared latent space,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105021200286
"Lasko, T.A.; Stead, W.W.; Still, J.M.; Li, T.Z.; Kammer, M.N.; Barbero-Mota, M.; Strobl, E.V.; Landman, B.A.; Maldonado, F.","Lasko, Thomas A. (6507484673); Stead, William W. (7102435401); Still, John M. (58195052700); Li, Thomas Z. (57557667700); Kammer, Michael N. (55252947000); Barbero-Mota, Marco (59768157400); Strobl, Eric Von (57205091692); Landman, Bennett Allan (16679175200); Maldonado, Fabien (23012782200)",6507484673; 7102435401; 58195052700; 57557667700; 55252947000; 59768157400; 57205091692; 16679175200; 23012782200,Unsupervised discovery of clinical disease signatures using probabilistic independence,2025,Journal of Biomedical Informatics,166,,104837,,,0,10.1016/j.jbi.2025.104837,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004214459&doi=10.1016%2Fj.jbi.2025.104837&partnerID=40&md5=ce4ee1bd1fbba0acbf9c3dc909aa7122,"Objective: This study uses probabilistic independence to disentangle patient-specific sources of disease and their signatures in Electronic Health Record (EHR) data. Materials and Methods: We model a disease source as an unobserved root node in the causal graph of observed EHR variables (laboratory test results, medication exposures, billing codes, and demographics), and a signature as the set of downstream effects that a given source has on those observed variables. We used probabilistic independence to infer 2000 sources and their signatures from 9195 variables in 630,000 cross-sectional training instances sampled at random times from 269,099 longitudinal patient records. We evaluated the learned sources by using them to infer and explain the causes of benign vs. malignant pulmonary nodules in 13,252 records, comparing the inferred causes to an external reference list and other medical literature. We compared models trained by three different algorithms and used corresponding models trained directly from the observed variables as baselines. Results: The model recovered 92% of malignant and 30% of benign causes in the reference standard. Of the top 20 inferred causes of malignancy, 14 were not listed in the reference standard, but had supporting evidence in the literature, as did 11 of the top 20 inferred causes of benign nodules. The model decomposed listed malignant causes by an average factor of 5.5 and benign causes by 4.1, with most stratifying by disease course or treatment regimen. Predictive accuracy of causal predictive models trained on source expressions (Random Forest AUC 0.788) was similar to (p = 0.058) their associational baselines (0.738). Discussion: Most of the unrecovered causes were due to the rarity of the condition or lack of sufficient detail in the input data. Surprisingly, the causal model found many patients with apparently undiagnosed cancer as the source of the malignant nodules. Causal model AUC also suggests that some sources remained undiscovered in this cohort. Conclusion: These promising results demonstrate the potential of using probabilistic independence to disentangle complex clinical signatures from noisy, asynchronous, and incomplete EHR data that represent the confluence of multiple simultaneous conditions, and to identify patient-specific causes that support precise treatment decisions. © 2025 The Author(s)",Causal inference; Electronic health records; Indeterminate pulmonary nodule; Lung cancer; Machine learning; Phenotype discovery,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105004214459
"Li, T.Z.; Xu, K.; Krishnan, A.R.; Gao, R.; Kammer, M.N.; Antic, S.; Xiao, D.; Knight, M.; Martinez, Y.; Paez, R.; Lentz, R.J.; Deppen, S.A.; Grogan, E.L.; Lasko, T.A.; Sandler, K.L.; Maldonado, F.; Landman, B.A.","Li, Thomas Z. (57557667700); Xu, Kaiwen (57218363938); Krishnan, Aravind R. (58195099100); Gao, Riqiang (57209643243); Kammer, Michael N. (55252947000); Antic, Sanja L. (57189995337); Xiao, David (58073555300); Knight, Michael A. (58183959900); Martinez, Yency (59156818100); Paez, Rafael (57224334341); Lentz, Robert James (57190001804); Deppen, Stephen A. (6507852802); Grogan, Eric L. (7004219440); Lasko, Thomas A. (6507484673); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200)",57557667700; 57218363938; 58195099100; 57209643243; 55252947000; 57189995337; 58073555300; 58183959900; 59156818100; 57224334341; 57190001804; 6507852802; 7004219440; 6507484673; 57188931283; 23012782200; 16679175200,"Performance of Lung Cancer Prediction Models for Screening-detected, Incidental, and Biopsied Pulmonary Nodules",2025,Radiology: Artificial Intelligence,7,2,e230506,,,4,10.1148/ryai.230506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002061288&doi=10.1148%2Fryai.230506&partnerID=40&md5=4cd20d572cdd358b2c80a7a7e84a19ca,"Purpose: To evaluate the performance of eight lung cancer prediction models on patient cohorts with screening-detected, incidentally detected, and bron-choscopically biopsied pulmonary nodules. Materials and Methods: This study retrospectively evaluated promising predictive models for lung cancer prediction in three clinical settings: lung cancer screening with low-dose CT, incidentally detected pulmonary nodules, and nodules deemed suspicious enough to warrant a biopsy. The area under the receiver operating characteristic curve of eight validated models, including logistic regressions on clinical variables and radiologist nodule characterizations, artificial intelligence (AI) on chest CT scans, longitudinal imaging AI, and multimodal approaches for prediction of lung cancer risk was assessed in nine cohorts (n = 898, 896, 882, 219, 364, 117, 131, 115, 373) from multiple institutions. Each model was implemented from their published literature, and each cohort was curated from primary data sources collected over periods from 2002 to 2021. Results: No single predictive model emerged as the highest-performing model across all cohorts, but certain models performed better in specific clinical contexts. Single-time-point chest CT AI performed well for screening-detected nodules but did not generalize well to other clinical settings. Longitudinal imaging and multimodal models demonstrated comparatively good performance on incidentally detected nodules. When applied to biopsied nodules, all models showed low performance. Conclusion: Eight lung cancer prediction models failed to generalize well across clinical settings and sites outside of their training distributions. © RSNA, 2025.",Application Domain; Classification; Diagnosis; Lung,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105002061288
"Li, T.Z.; Xu, K.; Chada, N.C.; Chen, H.; Knight, M.; Antic, S.; Sandler, K.L.; Maldonado, F.; Landman, B.A.; Lasko, T.A.","Li, Thomas Z. (57557667700); Xu, Kaiwen (57218363938); Chada, Neil C. (57203042670); Chen, Heidi C. (8524329800); Knight, Michael A. (58183959900); Antic, Sanja L. (57189995337); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200); Lasko, Thomas A. (6507484673)",57557667700; 57218363938; 57203042670; 8524329800; 58183959900; 57189995337; 57188931283; 23012782200; 16679175200; 6507484673,Curating retrospective multimodal and longitudinal data for community cohorts at risk for lung cancer,2025,Cancer biomarkers : section A of Disease markers,42,1,,CBM230340,,1,10.3233/CBM-230340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008293108&doi=10.3233%2FCBM-230340&partnerID=40&md5=48395f6892fbcee3d27f9d33938a9d98,"BackgroundLarge community cohorts are useful for lung cancer research, allowing for the analysis of risk factors and development of predictive models.ObjectiveA robust methodology for (1) identifying lung cancer and pulmonary nodules diagnoses as well as (2) associating multimodal longitudinal data with these events from electronic health record (EHRs) is needed to optimally curate cohorts at scale.MethodsIn this study, we leveraged (1) SNOMED concepts to develop ICD-based decision rules for building a cohort that captured lung cancer and pulmonary nodules and (2) clinical knowledge to define time windows for collecting longitudinal imaging and clinical concepts. We curated three cohorts with clinical data and repeated imaging for subjects with pulmonary nodules from our Vanderbilt University Medical Center.ResultsOur approach achieved an estimated sensitivity 0.930 (95% CI: [0.879, 0.969]), specificity of 0.996 (95% CI: [0.989, 1.00]), positive predictive value of 0.979 (95% CI: [0.959, 1.000]), and negative predictive value of 0.987 (95% CI: [0.976, 0.994]) for distinguishing lung cancer from subjects with SPNs.ConclusionsThis work represents a general strategy for high-throughput curation of multi-modal longitudinal cohorts at risk for lung cancer from routinely collected EHRs.",EHR mining; lung cancer; multimodal longitudinal cohorts; Pulmonary nodules,Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105008293108
"Su, D.; van Schaik, K.D.; Remedios, L.W.; Li, T.; Maldonado, F.; Sandler, K.L.; Dawant, B.M.; Landman, B.A.","Su, Dingjie (57226243757); van Schaik, Katherine D. (36519777200); Remedios, Lucas W. (57226830336); Li, Thomas Z. (57557667700); Maldonado, Fabien (23012782200); Sandler, Kim Lori (57188931283); Dawant, Benoît M. (7007025943); Landman, Bennett Allan (16679175200)",57226243757; 36519777200; 57226830336; 57557667700; 23012782200; 57188931283; 7007025943; 16679175200,CT Contrast Phase Identification by Predicting the Temporal Angle Using Circular Regression,2025,Proceedings - International Symposium on Biomedical Imaging,,,,,,0,10.1109/ISBI60581.2025.10980877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005826535&doi=10.1109%2FISBI60581.2025.10980877&partnerID=40&md5=2b031e3ece75adb5ca06707a8dd2b2ae,"Contrast enhancement is widely used in computed tomogra-phy (CT) scans, where radiocontrast agents circulate through the bloodstream and accumulate in the vasculature, creating visual contrast between blood vessels and surrounding tissues. This work introduces a technique to predict the timing of contrast in a CT scan, a key factor influencing the contrast effect, using circular regression models. Specifically, we represent the contrast timing as unit vectors on a circle and employ 2D convolutional neural networks to predict it based on predefined anchor time points. Unlike previous methods that treat contrast timing as discrete phases, our approach is the first method that views it as a continuous variable, of-fering a more fine-grained understanding of contrast differences, particularly in relation to patient-specific vascular effects. We train the model on 877 CT scans and test it on 112 scans from different subjects, achieving a classification accuracy of 93.8%, which is similar to state-of-the-art results re-ported in the literature. We compare our method to other 2D and 3D classification-based approaches, demonstrating that our regression model have overall better performance than the classification models. Additionally, we explore the relation-ship between contrast timing and the anatomical positions of CT slices, aiming to leverage positional information to improve the prediction accuracy, which is a promising direction that has not been studied. © 2025 IEEE.",body part regression; computed tomography; contrast enhancement; deep regression model,Conference paper,Final,,Scopus,2-s2.0-105005826535
"Su, D.; Li, T.; Zuo, L.; Tang, Y.; Dawant, B.M.; Landman, B.A.","Su, Dingjie (57226243757); Li, Thomas Z. (57557667700); Zuo, Lianrui (57202855256); Tang, Yucheng (57212614566); Dawant, Benoît M. (7007025943); Landman, Bennett Allan (16679175200)",57226243757; 57557667700; 57202855256; 57212614566; 7007025943; 16679175200,Calibrating CT Slice Location and Body Part in Body Part Regression,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134062C,,,1,10.1117/12.3047265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004577735&doi=10.1117%2F12.3047265&partnerID=40&md5=3ad7affc6faa54c63ec0d12456e49e98,"Body part regression is a promising technique for content navigation in computed tomography (CT) images of the human body. This approach involves predicting a position score (scalar value) for each axial slice in a body CT image. These scores establish a one-dimensional universal coordinate system that can localize content-of-interest across different images. Current techniques for body part regression mostly rely on self-supervised learning by assuming that the scores change linearly with the slice indices. One important issue with these techniques is that the predicted scores cannot provide accurate slice localization because they are not calibrated across different images. This work attempts to (1) quantify the theoretically optimal slice localization error using regression scores under linear assumption (regression on ground-truth scores), and (2) improve the slice localization accuracy by incorporating supervised learning using annotations of several key slices in a small dataset. We propose an innovative data augmentation strategy using selective mix-up, and we compare three common ways of adding supervision: (a) supervised training from scratch; (b) fine-tuning the self-supervised model; (c) semi-supervised training. Our results show that the fine-tuned model with the selective mix-up augmentation achieves slice localization error (7.4±6.9 mm) close to the theoretically optimal slice localization error under linear assumption (6.1±6.5 mm), outperforming all other self-supervised and semi-supervised counterparts (>10 mm). Thus, the proposed model is a good candidate of accurate content navigation tool for body CT images. © 2025 SPIE.",body CT; body part regression; CT slice localization; self-supervised learning,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004577735
"Zuo, L.; Xu, K.; Su, D.; Yu, X.; Krishnan, A.R.; Liu, Y.; Bao, S.; Li, T.; Sandler, K.L.; Maldonado, F.; Landman, B.A.","Zuo, Lianrui (57202855256); Xu, Kaiwen (57218363938); Su, Dingjie (57226243757); Yu, Xin (57309160700); Krishnan, Aravind R. (58195099100); Liu, Yihao (57202381977); Bao, Shunxing (57189987093); Li, Thomas Z. (57557667700); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200)",57202855256; 57218363938; 57226243757; 57309160700; 58195099100; 57202381977; 57189987093; 57557667700; 57188931283; 23012782200; 16679175200,Beyond the Lungs: Extending the Field of View in Chest CT with Latent Diffusion Models,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060J,,,0,10.1117/12.3047271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004575595&doi=10.1117%2F12.3047271&partnerID=40&md5=edcd47909b1d61b3900b197584f88831,"The interconnection between the human lungs and other organs, such as the liver and kidneys, is crucial for understanding the underlying risks and effects of lung diseases and improving patient care. However, most research chest CT imaging is focused solely on the lungs due to considerations of cost and radiation dose. This restricted field of view (FOV) in the acquired images poses challenges to comprehensive analysis and hinders the ability to gain insights into the impact of lung diseases on other organs. To address this, we propose SCOPE (Spatial Coverage Optimization with Prior Encoding), a novel approach to capture the inter-organ relationships from CT images and extend the FOV of chest CT images. Our approach first trains a variational autoencoder (VAE) to encode 2D axial CT slices individually, then stacks the latent representations of the VAE to form a 3D context for training a latent diffusion model. Once trained, our approach extends the FOV of CT images in the z-direction by generating new axial slices in a zero-shot manner. We evaluated our approach on the National Lung Screening Trial (NLST) dataset, and results suggest that it effectively extends the FOV to include the liver and kidneys, which are not completely covered in the original NLST data acquisition. Quantitative results on a held-out whole-body dataset demonstrate that the generated slices exhibit high fidelity with acquired data, achieving an SSIM of 0.81. © 2025 SPIE.",CT; Image synthesis; Latent diffusion; Lung,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004575595
"Remedios, L.W.; Bao, S.; Remedios, S.W.; Lee, H.H.; Cai, L.Y.; Li, T.; Deng, R.; Newlin, N.R.; Saunders, A.M.; Cui, C.; Li, J.; Liu, Q.; Lau, K.S.; Roland, J.T.; Washington, M.K.; Coburn, L.A.; Wilson, K.T.; Huo, Y.; Landman, B.A.","Remedios, Lucas W. (57226830336); Bao, Shunxing (57189987093); Remedios, Samuel W. (57201854184); Lee, Hohin (57219409783); Cai, Leon Y. (57203145686); Li, Thomas Z. (57557667700); Deng, Ruining (57219448253); Newlin, Nancy R. (58133978900); Saunders, Adam M. (58325980600); Cui, Can (57219469236); Li, Jia (57223877581); Liu, Qi (57071806700); Lau, Ken S. (7401560116); Roland, Joseph T. (8094809800); Washington, Mary Kay (7007171283); Coburn, Lori A. (6603410655); Wilson, Keith Tucker (57202597534); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",57226830336; 57189987093; 57201854184; 57219409783; 57203145686; 57557667700; 57219448253; 58133978900; 58325980600; 57219469236; 57223877581; 57071806700; 7401560116; 8094809800; 7007171283; 6603410655; 57202597534; 56830058500; 16679175200,Data-driven nucleus subclassification on colon hematoxylin and eosin using style-transferred digital pathology,2024,Journal of Medical Imaging,11,6,067501,,,1,10.1117/1.JMI.11.6.067501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214106183&doi=10.1117%2F1.JMI.11.6.067501&partnerID=40&md5=595087f42cf1afaae0208342b6543268,"Purpose: Cells are building blocks for human physiology; consequently, understanding the way cells communicate, co-locate, and interrelate is essential to furthering our understanding of how the body functions in both health and disease. Hematoxylin and eosin (H&E) is the standard stain used in histological analysis of tissues in both clinical and research settings. Although H&E is ubiquitous and reveals tissue microanatomy, the classification and mapping of cell subtypes often require the use of specialized stains. The recent CoNIC Challenge focused on artificial intelligence classification of six types of cells on colon H&E but was unable to classify epithelial subtypes (progenitor, enteroendocrine, goblet), lymphocyte subtypes (B, helper T, cytotoxic T), and connective subtypes (fibroblasts). We propose to use inter-modality learning to label previously un-labelable cell types on H&E. Approach: We took advantage of the cell classification information inherent in multiplexed immunofluorescence (MxIF) histology to create cell-level annotations for 14 subclasses. Then, we performed style transfer on the MxIF to synthesize realistic virtual H&E. We assessed the efficacy of a supervised learning scheme using the virtual H&E and 14 subclass labels. We evaluated our model on virtual H&E and real H&E. Results: On virtual H&E, we were able to classify helper T cells and epithelial progenitors with positive predictive values of 0.34 ± 0.15 (prevalence 0.03 ± 0.01) and 0.47 ± 0.1 (prevalence 0.07 ± 0.02), respectively, when using ground truth centroid information. On real H&E, we needed to compute bounded metrics instead of direct metrics because our fine-grained virtual H&E predicted classes had to be matched to the closest available parent classes in the coarser labels from the real H&E dataset. For the real H&E, we could classify bounded metrics for the helper T cells and epithelial progenitors with upper bound positive predictive values of 0.43 ± 0.03 (parent class prevalence 0.21) and 0.94 ± 0.02 (parent class prevalence 0.49) when using ground truth centroid information. Conclusions: This is the first work to provide cell type classification for helper T and epithelial progenitor nuclei on H&E. © 2024 SPIE. All rights reserved.",cell classification; domain shift; hematoxylin and eosin; multiplexed immunofluorescence; virtual hematoxylin and eosin; virtual staining,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85214106183
"Krishnan, A.R.; Xu, K.; Li, T.; Remedios, L.W.; Sandler, K.L.; Maldonado, F.; Landman, B.A.","Krishnan, Aravind R. (58195099100); Xu, Kaiwen (57218363938); Li, Thomas Z. (57557667700); Remedios, Lucas W. (57226830336); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200)",58195099100; 57218363938; 57557667700; 57226830336; 57188931283; 23012782200; 16679175200,Lung CT harmonization of paired reconstruction kernel images using generative adversarial networks,2024,Medical Physics,51,8,,5510,5523,6,10.1002/mp.17028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189520015&doi=10.1002%2Fmp.17028&partnerID=40&md5=0efe9d2f4ee741a13702c06141cd9549,"Background: The kernel used in CT image reconstruction is an important factor that determines the texture of the CT image. Consistency of reconstruction kernel choice is important for quantitative CT-based assessment as kernel differences can lead to substantial shifts in measurements unrelated to underlying anatomical structures. Purpose: In this study, we investigate kernel harmonization in a multi-vendor low-dose CT lung cancer screening cohort and evaluate our approach's validity in quantitative CT-based assessments. Methods: Using the National Lung Screening Trial, we identified CT scan pairs of the same sessions with one reconstructed from a soft tissue kernel and one from a hard kernel. In total, 1000 pairs of five different paired kernel types (200 each) were identified. We adopt the pix2pix architecture to train models for kernel conversion. Each model was trained on 100 pairs and evaluated on 100 withheld pairs. A total of 10 models were implemented. We evaluated the efficacy of kernel conversion based on image similarity metrics including root mean squared error (RMSE), peak signal-to-noise ratio (PSNR), and structural similarity index measure (SSIM) as well as the capability of the models to reduce measurement shifts in quantitative emphysema and body composition measurements. Additionally, we study the reproducibility of standard radiomic features for all kernel pairs before and after harmonization. Results: Our approach effectively converts CT images from one kernel to another in all paired kernel types, as indicated by the reduction in RMSE (p < 0.05) and an increase in the PSNR (p < 0.05) and SSIM (p < 0.05) for both directions of conversion for all pair types. In addition, there is an increase in the agreement for percent emphysema, skeletal muscle area, and subcutaneous adipose tissue (SAT) area for both directions of conversion. Furthermore, radiomic features were reproducible when compared with the ground truth features. Conclusions: Kernel conversion using deep learning reduces measurement variation in percent emphysema, muscle area, and SAT area. © 2024 The Authors. Medical Physics published by Wiley Periodicals LLC on behalf of American Association of Physicists in Medicine.",CT kernel harmonization; deep learning; generative adversarial networks; lung cancer,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85189520015
"Heideman, B.E.; Kammer, M.; Paez, R.; Swanson, T.; Godfrey, C.M.; Low, S.-W.; Xiao, D.; Li, T.; Richardson, J.; Knight, M.A.; Shojaee, S.; Deppen, S.A.; Lentz, R.J.; Grogan, E.L.; Maldonado, F.","Heideman, Brent E. (57207203509); Kammer, Michael N. (55252947000); Paez, Rafael (57224334341); Swanson, Terra (59415612300); Godfrey, Caroline M. (57211627732); Low, See Wei (56623996700); Xiao, David (58073555300); Li, Thomas Z. (57557667700); Richardson, Jacob R. (59416326200); Knight, Michael A. (58183959900); Shojaee, Samira (55999293600); Deppen, Stephen A. (6507852802); Lentz, Robert James (57190001804); Grogan, Eric L. (7004219440); Maldonado, Fabien (23012782200)",57207203509; 55252947000; 57224334341; 59415612300; 57211627732; 56623996700; 58073555300; 57557667700; 59416326200; 58183959900; 55999293600; 6507852802; 57190001804; 7004219440; 23012782200,The Lung Cancer Prediction Model “Stress Test”: Assessment of Models’ Performance in a High-Risk Prospective Pulmonary Nodule Cohort,2024,CHEST Pulmonary,2,1,100033,,,4,10.1016/j.chpulm.2023.100033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209579633&doi=10.1016%2Fj.chpulm.2023.100033&partnerID=40&md5=616903f81ea7b5bd407459b12b76bddf,"Background: Pulmonary nodules represent a growing health care burden because of delayed diagnosis of malignant lesions and overtesting for benign processes. Clinical prediction models were developed to inform physician assessment of pretest probability of nodule malignancy but have not been validated in a high-risk cohort of nodules for which biopsy was ultimately performed. Research Question: Do guideline-recommended prediction models sufficiently discriminate between benign and malignant nodules when applied to cases referred for biopsy by navigational bronchoscopy? Study Design and Methods: We assembled a prospective cohort of 322 indeterminate pulmonary nodules in 282 patients referred to a tertiary medical center for diagnostic navigational bronchoscopy between 2017 and 2019. We calculated the probability of malignancy for each nodule using the Brock model, Mayo Clinic model, and Veterans Affairs (VA) model. On a subset of 168 patients who also had PET-CT scans before biopsy, we also calculated the probability of malignancy using the Herder model. The performance of the models was evaluated by calculating the area under the receiver operating characteristic curves (AUCs) for each model. Results: The study cohort contained 185 malignant and 137 benign nodules (57% prevalence of malignancy). The malignant and benign cohorts were similar in terms of size, with a median longest diameter for benign and malignant nodules of 15 and 16 mm, respectively. The Brock model, Mayo Clinic model, and VA model showed similar performance in the entire cohort (Brock AUC, 0.70; 95% CI, 0.64-0.76; Mayo Clinic AUC, 0.70; 95% CI, 0.64-0.76; VA AUC, 0.67; 95% CI, 0.62-0.74). For 168 nodules with available PET-CT scans, the Herder model had an AUC of 0.77 (95% CI, 0.68-0.85). Interpretation: Currently available clinical models provide insufficient discrimination between benign and malignant nodules in the common clinical scenario in which a patient is being referred for biopsy, especially when PET-CT scan information is not available. © 2024 The Authors",indeterminate pulmonary nodule; lung cancer; navigational bronchoscopy; prediction models; risk assessment,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85209579633
