Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Wang, S.; Song, R.; Lochard, L.M.; Fan, J.; Li, Y.; Kundert-Obando, K.; Martin, C.; Goodale, S.E.; Pourmotabbed, H.; Harding, J.M.; Lee, T.; Li, C.; Zhang, S.; Bayrak, R.G.; Bolt, T.; Nomi, J.S.; Uddin, L.Q.; Chen, J.E.; Mather, M.; Chang, C.","Wang, Shiyu (58158341200); Song, Richard (59964688000); Lochard, Laurent M. (59700431700); Fan, Jiawen (59549282500); Li, Yamin (57214236515); Kundert-Obando, Kimberly (60389711700); Martin, Caroline G. (57288429700); Goodale, Sarah E. (57203140921); Pourmotabbed, Haatef (57214891270); Harding, Jeffrey Mason (59910446500); Lee, Terra (60056989600); Li, Chang (60389604300); Zhang, Shengchao (57219409125); Bayrak, Roza G. (57204806278); Bolt, Taylor S. (55583499400); Nomi, Jason S. (35322974900); Uddin, Lucina Q. (8547715200); Chen, Jingyuan E. (56467546500); Mather, Mara M. (35612038600); Chang, Catie E. (56561973300)",58158341200; 59964688000; 59700431700; 59549282500; 57214236515; 60389711700; 57288429700; 57203140921; 57214891270; 59910446500; 60056989600; 60389604300; 57219409125; 57204806278; 55583499400; 35322974900; 8547715200; 56467546500; 35612038600; 56561973300,Distributed fMRI Patterns Coupled to Low-Frequency Cardiorespiratory Dynamics Provide Markers of Aging,2026,The Journal of neuroscience : the official journal of the Society for Neuroscience,46,6,,,,0,10.1523/JNEUROSCI.1231-25.2026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030085026&doi=10.1523%2FJNEUROSCI.1231-25.2026&partnerID=40&md5=c1917b3ed98da5f9cdf06aad2c362dc4,"How aging affects brain-body connections can be investigated through changes in the coupling between functional magnetic resonance imaging (fMRI) signals and bodily autonomic processes across the adult lifespan. Recent studies using univariate approaches have identified age-related changes in the association between fMRI signals from multiple individual brain regions and low-frequency respiratory and cardiac activity. Here, we investigate if whole-brain spatial fMRI patterns associated with low-frequency physiological processes (heart rate and respiratory volume fluctuations) present generalizable changes with age. Data from human participants of both sexes are included in the analysis. We find that chronological age can be predicted statistically beyond chance from patterns of low-frequency fMRI-physiological coupling, even after accounting for individual differences in physiological signal characteristics and brain anatomy. Notably, brain areas implicated in central autonomic regulation, including nodes within salience and ventral attention networks (e.g., insula and middle cingulate cortex), are among the strongest contributors to age prediction. Furthermore, we observe that after removing physiological effects from fMRI data, the residual blood oxygen level-dependent signal variability is still a reliable indicator of age. Together, these findings underscore the close integration between brain and body physiology and highlight this interaction as a potential biomarker of the aging process. © © 2026 the authors.",aging; brain–body interactions; fMRI variability; heart rate; respiratory variation; systemic physiology,Article,Final,,Scopus,2-s2.0-105030085026
"Kundert-Obando, K.; Lee, T.; Martin, C.; Kaur, K.; Lagándara, J.G.; Li, Y.; Harding, J.M.; Wang, S.; Song, R.; Yang, R.; Guntaka, R.; Goodale, S.E.; Bayrak, R.G.; Uddin, L.Q.; Walter, M.; Hogeveen, J.; Chang, C.","Kundert-Obando, Kimberly (60389711700); Lee, Terra (60056989600); Martin, Caroline G. (57288429700); Kaur, Kamalpreet (60056866700); Lagándara, Juan Gomez (57193548216); Li, Yamin (57214236515); Harding, Jeffrey Mason (59910446500); Wang, Shiyu (58158341200); Song, Richard (59964688000); Yang, Ruoqi (59964775500); Guntaka, Rithwik (60057021900); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Uddin, Lucina Q. (8547715200); Walter, Martin (35300798800); Hogeveen, Jeremy P. (36008494600); Chang, Catie E. (56561973300)",60389711700; 60056989600; 57288429700; 60056866700; 57193548216; 57214236515; 59910446500; 58158341200; 59964688000; 59964775500; 60057021900; 57203140921; 57204806278; 8547715200; 35300798800; 36008494600; 56561973300,Global cortical arousal effects in fMRI reveal brain markers of state and trait anxiety,2026,Cerebral Cortex,36,2,bhag008,,,0,10.1093/cercor/bhag008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030267384&doi=10.1093%2Fcercor%2Fbhag008&partnerID=40&md5=5a45882f4f59ca65398ba3d202704496,"To personalize the diagnosis and treatment of anxiety, there is a need to identify biological constructs that underlie self-reported symptoms. Notably, physiological responses and levels of arousal are constituents of anxiety, and have widespread (“global”) effects on functional magnetic resonance imaging (fMRI) signals that may provide novel brain markers of anxiety. Here, we modeled autonomic physiological and cortical arousal signatures in fMRI data and determined whether these global fMRI components relate to measures of state and trait anxiety. Additionally, we tested if these global effects impact relationships between brain network connectivity and anxiety levels. We found significant relationships between fMRI global components and state/trait anxiety scores, identifying brain regions in which the strength of the global mean fMRI signal and the cortical arousal-related fMRI signal were associated with both state and trait anxiety. Notably, the resulting patterns exhibited substantial overlap with established large-scale functional networks, including the default-mode network. These findings indicate that global effects in fMRI signals hold valuable information that may reveal how cortical arousal is expressed in anxiety, and may provide a source of information that has previously been treated as a confound. © The Author(s) 2026. Published by Oxford University Press.",fmri; global mean signal; state anxiety; trait anxiety,Article,Final,,Scopus,2-s2.0-105030267384
"Xu, J.; Li, Y.; Su, R.; Wu, S.; Wu, C.; Wang, H.; Zhu, Q.; Fang, Y.; Jiang, F.; Tong, S.; Zhang, Y.; Guo, X.","Xu, Jiayang (58146751200); Li, Yamin (57214236515); Su, Ruxin (58309063400); Wu, Saishuang (57405016100); Wu, Chengcheng (59399293200); Wang, Haiwa (58107783600); Zhu, Qi (57192160317); Fang, Yue (58037856800); Jiang, Fan (57217604500); Tong, Shanbao (7201486740); Zhang, Yunting (8225832600); Guo, Xiaoli (57406729800)",58146751200; 57214236515; 58309063400; 57405016100; 59399293200; 58107783600; 57192160317; 58037856800; 57217604500; 7201486740; 8225832600; 57406729800,Dynamic Theta-Alpha Inter-Brain Model during Mother-Preschooler Cooperation,2026,IEEE Journal of Biomedical and Health Informatics,30,2,,1060,1072,1,10.1109/JBHI.2025.3603544,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014518299&doi=10.1109%2FJBHI.2025.3603544&partnerID=40&md5=4dac9c1e9a54861ed5dee2ede738f882,"The interaction between mothers and young children is a highly dynamic process neurally characterized by inter-brain synchrony (IBS) at θ and/or α rhythms. However, their establishment, dynamic changes, and roles in mother-child interactions remain unknown. In this study, through a simultaneous dynamic analysis of inter-brain EEG synchrony, intra-brain EEG power, and interactive behaviors from 40 mother-preschooler dyads during turn-taking cooperation, we constructed a dynamic inter-brain model that θ-IBS and α-IBS alternated with interactive behaviors, with EEG frequency-shift as a prerequisite for IBS transitions. When mothers attempt to track their children's attention and/or predict their intentions, they will adjust their EEG frequencies to align with their children's θ oscillations, leading to a higher occurrence of the θ-IBS state. Conversely, the α-IBS state, accompanied by the EEG frequency-shift to the α range, is more prominent during mother-led interactions. Further exploratory analysis reveals greater presence and stability of the θ-IBS state during cooperative than non-cooperative conditions, particularly in dyads with stronger emotional attachments and more frequent interactions in their daily lives. Our findings shed light on the neural oscillatory substrates underlying the IBS dynamics during mother-preschooler interactions. © 2013 IEEE.",brain rhythms; dynamic inter-brain model; EEG hyperscanning; Mother-preschooler interaction,Article,Final,,Scopus,2-s2.0-105014518299
"Li, C.; Li, Y.; Pourmotabbed, H.; Zhang, S.; Salas, J.A.; Goodale, S.E.; Bayrak, R.G.; Chang, C.","Li, Chang (60126848100); Li, Yamin (57214236515); Pourmotabbed, Haatef (57214891270); Zhang, Shengchao (57219409125); Salas, Jorge Alberto (57219433500); Goodale, Sarah E. (57203140921); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",60126848100; 57214236515; 57214891270; 57219409125; 57219433500; 57203140921; 57204806278; 56561973300,CBrain: Cross-Modal Learning for Brain Vigilance Detection in Resting-State fMRI,2026,Lecture Notes in Computer Science,15960 LNCS,,,109,119,0,10.1007/978-3-032-04927-8_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017849276&doi=10.1007%2F978-3-032-04927-8_11&partnerID=40&md5=53db3cdd0f41ad26e5400a942c0b21c5,"Detecting human vigilance states (e.g., natural shifts between alertness and drowsiness) from functional magnetic resonance imaging (fMRI) data can provide novel insight into the whole-brain patterns underlying these critical states. Moreover, as a person’s vigilance levels are closely tied to their behavior and brain activity, vigilance state can strongly influence the results of fMRI studies. Therefore, the ability to annotate fMRI scans with vigilance information can also enable clearer and more robust results in fMRI research. However, well-established vigilance indicators are derived from other modalities such as behavioral responses, electroencephalography (EEG), and pupillometry, which are not typically available in fMRI data collection. While previous works indicate the promise of distinguishing vigilance states from fMRI alone, EEG data can provide reliable vigilance indicators that complement and augment fMRI domain information. Here, we propose CBrain: Cross-modal learning for Brain vigilance detection in resting-state fMRI. Our model transfers EEG vigilance information into an fMRI latent space in training, and predicts human vigilance states using only fMRI data in testing, addressing the need for external vigilance indicators. Experimental results demonstrate CBrain’s ability to predict vigilance states across different individuals at a granularity of 10-fMRI-frames with an 81.07%mF1 score on a test set of unseen subjects. Additionally, our generalization experiments highlight the model’s potential to estimate vigilance in an unseen task and in resting-state fMRI scans collected with a different scanner at a different site. Source code: https://github.com/neurdylab/CBrain. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",brain patterns; cross-modal learning; EEG; fMRI,Conference paper,Final,,Scopus,2-s2.0-105017849276
"Lou, A.; Li, Y.; Zhang, Y.; Noble, J.","Lou, Ange (57219733410); Li, Yamin (57214236515); Zhang, Yike (57762808700); Noble, Jack H. (22635393500)",57219733410; 57214236515; 57762808700; 22635393500,Surgical Depth Anything: Depth Estimation for Surgical Scenes using Foundation Models,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13408,,134080C,,,2,10.1117/12.3048979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005944155&doi=10.1117%2F12.3048979&partnerID=40&md5=f1dbe67539c06ba2864c2c6639821c88,"Monocular depth estimation is crucial for tracking and reconstruction algorithms, particularly in the context of surgical videos. However, the inherent challenges in directly obtaining ground truth depth maps during surgery render supervised learning approaches impractical. While many self-supervised methods based on Structure from Motion (SfM) have shown promising results, they rely heavily on high-quality camera motion and require optimization on a per-patient basis. These limitations can be mitigated by leveraging the current state-of-the-art foundational model for depth estimation, Depth Anything. However, when directly applied to surgical scenes, Depth Anything struggles with issues such as blurring, bleeding, and reflections, resulting in suboptimal performance. This paper presents a fine-tuning of the Depth Anything model specifically for the surgical domain, aiming to deliver more accurate pixel-wise depth maps tailored to the unique requirements and challenges of surgical environments. Our fine-tuning approach significantly improves the model's performance in surgical scenes, reducing errors related to blurring and reflections, and achieving a more reliable and precise depth estimation. © 2025 SPIE",Depth Anything; Foundation Model; Zero Shot Depth Estimation,Conference paper,Final,,Scopus,2-s2.0-105005944155
"Harding, J.M.; Pourmotabbed, H.; Li, Y.; Rogge-Obando, K.; Wang, K.; Goodale, S.E.; Wang, S.; Bibro, C.; Allee, B.; Martin, C.; Morgan, V.L.; Englot, D.J.; Chang, C.","Harding, Jeffrey Mason (59910446500); Pourmotabbed, Haatef (57214891270); Li, Yamin (57214236515); Rogge-Obando, Kimberly K. (57223911349); Wang, Kate (59910288900); Goodale, Sarah E. (57203140921); Wang, Shiyu (58158341200); Bibro, Camden E. (59236642300); Allee, Bergen (59909506200); Martin, Caroline (59910446600); Morgan, Victoria L. (7004877594); Englot, Dario J. (23667065900); Chang, Catie E. (56561973300)",59910446500; 57214891270; 57214236515; 57223911349; 59910288900; 57203140921; 58158341200; 59236642300; 59909506200; 59910446600; 7004877594; 23667065900; 56561973300,Joint Source Decomposition of Concurrent EEG-FMRI Data in Epilepsy and Control Groups,2025,Proceedings - International Symposium on Biomedical Imaging,,,,,,0,10.1109/ISBI60581.2025.10981013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005833850&doi=10.1109%2FISBI60581.2025.10981013&partnerID=40&md5=3e74440b0e348a0dc1de59840fb650d8,"EEG and fMRI are complementary, noninvasive technologies for investigating human brain function. These modalities have been used to uncover large-scale functional networks and their disruptions in clinical populations. Given the high temporal resolution of EEG and high spatial resolution of fMRI, integrating these modalities can provide a more holistic understanding of brain activity. This work explores a multimodal source decomposition technique for extracting shared modes of temporal variation between fMRI BOLD signals and EEG spectral power fluctuations in the resting state. The resulting components are then compared between patients with focal epilepsy and controls, revealing multimodal network differences between groups. © 2025 IEEE.",EEG; fMRI; functional connectivity; ICA; neuroimaging,Conference paper,Final,,Scopus,2-s2.0-105005833850
"Wang, S.; Xu, Z.; Lochard, L.M.; Li, Y.; Fan, J.; Chen, J.E.; Huo, Y.; Mather, M.; Bayrak, R.G.; Chang, C.","Wang, Shiyu (58158341200); Xu, Ziyuan (58897297000); Lochard, Laurent M. (59700431700); Li, Yamin (57214236515); Fan, Jiawen (59549282500); Chen, Jingyuan E. (56467546500); Huo, Yuankai (56830058500); Mather, Mara M. (35612038600); Bayrak, Roza G. (57204806278); Chang, Catie E. (56561973300)",58158341200; 58897297000; 59700431700; 57214236515; 59549282500; 56467546500; 56830058500; 35612038600; 57204806278; 56561973300,Reconstructing physiological signals from fMRI across the adult lifespan,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060M,,,0,10.1117/12.3046980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004584006&doi=10.1117%2F12.3046980&partnerID=40&md5=17a3c606ebf8b483f5002ecdb012ca32,"Interactions between the brain and body are of fundamental importance for human behavior and health. Functional magnetic resonance imaging (fMRI) captures whole-brain activity noninvasively, and modeling how fMRI signals interact with physiological dynamics of the body can provide new insight into brain function and offer potential biomarkers of disease. However, physiological recordings are not always possible to acquire since they require extra equipment and setup, and even when they are, the recorded physiological signals may contain substantial artifacts. To overcome this limitation, machine learning models have been proposed to directly extract features of respiratory and cardiac activity from resting-state fMRI signals. To date, such work has been carried out only in healthy young adults and in a pediatric population, leaving open questions about the efficacy of these approaches on older adults. Here, we propose a novel framework that leverages Transformer-based architectures for reconstructing two key physiological signals - low-frequency respiratory volume (RV) and heart rate (HR) fluctuations - from fMRI data, and test these models on a dataset of individuals aged 36-89 years old. Our framework outperforms previously proposed approaches (attaining median correlations between predicted and measured signals of r ~.698 for RV and r ~.618 for HR), indicating the potential of leveraging attention mechanisms to model fMRI-physiological signal relationships. We also evaluate several model training and fine-tuning strategies, and find that incorporating young-adult data during training improves the performance when predicting physiological signals in the aging cohort. Overall, our approach successfully infers key physiological variables directly from fMRI data from individuals across a wide range of the adult lifespan. © 2025 SPIE.",aging; cardiac activity; deep learning; physiology; respiration; Resting-state fMRI,Conference paper,Final,,Scopus,2-s2.0-105004584006
"Lou, A.; Li, Y.; Zhang, Y.; Labadie, R.F.; Noble, J.","Lou, Ange (57219733410); Li, Yamin (57214236515); Zhang, Yike (57762808700); Labadie, Robert Frederick (7005333771); Noble, Jack H. (22635393500)",57219733410; 57214236515; 57762808700; 7005333771; 22635393500,Zero-Shot Surgical Tool Segmentation in Monocular Video Using Segment Anything Model 2,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134062V,,,3,10.1117/12.3047479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004582563&doi=10.1117%2F12.3047479&partnerID=40&md5=41826e241059e7c395637e89bbb0fa31,"The Segment Anything Model 2 (SAM 2) is the latest generation foundation model for image and video segmentation. Trained on the expansive Segment Anything Video (SA-V) dataset, which comprises 35.5 million masks across 50.9K videos, SAM 2 advances its predecessor's capabilities by supporting zero-shot segmentation through various prompts (e.g., points, boxes, and masks). Its robust zero-shot performance and efficient memory usage make SAM 2 particularly appealing for surgical tool segmentation in videos, especially given the scarcity of labeled data and the diversity of surgical procedures. In this study, we evaluate the zero-shot video segmentation performance of the SAM 2 model across different types of surgeries, including endoscopy and microscopy. We also assess its performance on videos featuring single and multiple tools of varying lengths to demonstrate SAM 2's applicability and effectiveness in the surgical domain. We found that: 1) SAM 2 demonstrates a strong capability for segmenting various surgical videos; 2) When new tools enter the scene, additional prompts are necessary to maintain segmentation accuracy; and 3) Specific challenges inherent to surgical videos can impact the robustness of SAM 2. © 2025 SPIE.",Segment Anything Model 2; Surgical Video; Zero Shot Segmentation,Conference paper,Final,,Scopus,2-s2.0-105004582563
"Li, Y.; Wu, S.; Xu, J.; Wang, H.; Zhu, Q.; Shi, W.; Fang, Y.; Jiang, F.; Tong, S.; Zhang, Y.; Guo, X.","Li, Yamin (57214236515); Wu, Saishuang (57405016100); Xu, Jiayang (58146751200); Wang, Haiwa (58107783600); Zhu, Qi (57192160317); Shi, Wen (57221255315); Fang, Yue (58037856800); Jiang, Fan (57217604500); Tong, Shanbao (7201486740); Zhang, Yunting (8225832600); Guo, Xiaoli (57406729800)",57214236515; 57405016100; 58146751200; 58107783600; 57192160317; 57221255315; 58037856800; 57217604500; 7201486740; 8225832600; 57406729800,Interbrain substrates of role switching during mother–child interaction,2024,Human Brain Mapping,45,5,e26672,,,7,10.1002/hbm.26672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189162334&doi=10.1002%2Fhbm.26672&partnerID=40&md5=15e480794f6c6cbcc887c2dc2ea2ed03,"Mother–child interaction is highly dynamic and reciprocal. Switching roles in these back-and-forth interactions serves as a crucial feature of reciprocal behaviors while the underlying neural entrainment is still not well-studied. Here, we designed a role-controlled cooperative task with dual EEG recording to explore how differently two brains interact when mothers and children hold different roles. When children were actors and mothers were observers, mother–child interbrain synchrony emerged primarily within the theta oscillations and the frontal lobe, which highly correlated with children's attachment to their mothers (self-reported by mothers). When their roles were reversed, this synchrony was shifted to the alpha oscillations and the central area and associated with mothers' perception of their relationship with their children. The results suggested an observer-actor neural alignment within the actor's oscillations, which was related to the actor-toward-observer emotional bonding. Our findings contribute to the understanding of how interbrain synchrony is established and dynamically changed during mother–child reciprocal interaction. © 2024 The Authors. Human Brain Mapping published by Wiley Periodicals LLC.",EEG hyperscanning; interbrain synchrony; mother–child cooperation; role,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85189162334
"Lou, A.; Planche, B.; Gao, Z.; Li, Y.; Luan, T.; Ding, H.; Chen, T.; Noble, J.; Wu, Z.","Lou, Ange (57219733410); Planche, Benjamin (57200629211); Gao, Zhongpai (56337870900); Li, Yamin (57214236515); Luan, Tianyu (57222864590); Ding, Hao (57219752981); Chen, Terrence (35207990900); Noble, Jack H. (22635393500); Wu, Ziyan (55500641100)",57219733410; 57200629211; 56337870900; 57214236515; 57222864590; 57219752981; 35207990900; 22635393500; 55500641100,DaReNeRF: Direction-aware Representation for Dynamic Scenes,2024,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,5031,5042,7,10.1109/CVPR52733.2024.00481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200222608&doi=10.1109%2FCVPR52733.2024.00481&partnerID=40&md5=79d40f4edbc34a5e8ef874ea5abf853f,"Addressing the intricate challenge of modeling and re-rendering dynamic scenes, most recent approaches have sought to simplify these complexities using plane-based explicit representations, overcoming the slow training time issues associated with methods like Neural Radiance Fields (NeRF) and implicit representations. However, the straight-forward decomposition of 4D dynamic scenes into multiple 2D plane-based representations proves insufficient for re-rendering high-fidelity scenes with complex motions. In response, we present a novel direction-aware representation (DaRe) approach that captures scene dynamics from six different directions. This learned representation under-goes an inverse dual-tree complex wavelet transformation (DTCWT) to recover plane-based information. DaReNeRF computes features for each space-time point by fusing vectors from these recovered planes. Combining DaReNeRF with a tiny MLP for color regression and leveraging volume rendering in training yield state-of-the-art performance in novel view synthesis for complex dynamic scenes. Notably, to address redundancy introduced by the six real and six imag-inary direction-aware wavelet coefficients, we introduce a trainable masking approach, mitigating storage issues without significant performance decline. Moreover, DaReNeRF maintains a 2 × reduction in training time compared to prior art while delivering superior performance. © 2024 IEEE.",dynamic scene modeling; neural radiance field; wavelet transformation,Conference paper,Final,,Scopus,2-s2.0-85200222608
