Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Liu, X.; Bai, Y.; Lu, Y.; Soltoggio, A.; Kolouri, S.","Liu, Xinran (57383255300); Bai, Yikun (57218847504); Lu, Yuzhe (57219452992); Soltoggio, Andrea (15046088100); Kolouri, Soheil (55497793500)",57383255300; 57218847504; 57219452992; 15046088100; 55497793500,Wasserstein task embedding for measuring task similarities,2025,Neural Networks,181,,106796,,,11,10.1016/j.neunet.2024.106796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207030249&doi=10.1016%2Fj.neunet.2024.106796&partnerID=40&md5=c901c27ea393194a959e698bcf586d62,"Measuring similarities between different tasks is critical in a broad spectrum of machine learning problems, including transfer, multi-task, continual, and meta-learning. Most current approaches to measuring task similarities are architecture-dependent: (1) relying on pre-trained models, or (2) training networks on tasks and using forward transfer as a proxy for task similarity. In this paper, we leverage the optimal transport theory and define a novel task embedding for supervised classification that is model-agnostic, training-free, and capable of handling (partially) disjoint label sets. In short, given a dataset with ground-truth labels, we perform a label embedding through multi-dimensional scaling and concatenate dataset samples with their corresponding label embeddings. Then, we define the distance between two datasets as the 2-Wasserstein distance between their updated samples. Lastly, we leverage the 2-Wasserstein embedding framework to embed tasks into a vector space in which the Euclidean distance between the embedded points approximates the proposed 2-Wasserstein distance between tasks. We show that the proposed embedding leads to a significantly faster comparison of tasks compared to related approaches like the Optimal Transport Dataset Distance (OTDD). Furthermore, we demonstrate the effectiveness of our embedding through various numerical experiments and show statistically significant correlations between our proposed distance and the forward and backward transfer among tasks on a wide variety of image recognition datasets. © 2024 The Authors",Continual learning; Dataset similarity; Optimal transport; Task embedding; Transfer learning,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85207030249
"Shahbazi, A.; Akbari, E.; Salehi, D.; Liu, X.; NaderiAlizadeh, N.; Kolouri, S.","Shahbazi, Ashkan (58485449800); Akbari, Elaheh (58762320700); Salehi, Darian (59636750900); Liu, Xinran (57383255300); NaderiAlizadeh, Navid (55965281600); Kolouri, Soheil (55497793500)",58485449800; 58762320700; 59636750900; 57383255300; 55965281600; 55497793500,ESPFormer: Doubly-Stochastic Attention with Expected Sliced Transport Plans,2025,Proceedings of Machine Learning Research,267,,,54186,54202,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023487890&partnerID=40&md5=3abbc33204a82cf12783da5b532fcd30,"While self-attention has been instrumental in the success of Transformers, it can lead to overconcentration on a few tokens during training, resulting in suboptimal information flow. Enforcing doubly-stochastic constraints in attention matrices has been shown to improve structure and balance in attention distributions. However, existing methods rely on iterative Sinkhorn normalization, which is computationally costly. In this paper, we introduce a novel, fully parallelizable doublystochastic attention mechanism based on sliced optimal transport, leveraging Expected Sliced Transport Plans (ESP). Unlike prior approaches, our method enforces doubly stochasticity without iterative Sinkhorn normalization, significantly enhancing efficiency. To ensure differentiability, we incorporate a temperature-based soft sorting technique, enabling seamless integration into deep learning models. Experiments across multiple benchmark datasets, including image classification, point cloud classification, sentiment analysis, and neural machine translation, demonstrate that our enhanced attention regularization consistently improves performance across diverse applications. Our implementation code can be found at https://github.com/dariansal/ESPFormer. © 2025 by the author(s).",,Conference paper,Final,,Scopus,2-s2.0-105023487890
"Liu, X.; Díaz, R.M.; Bai, Y.; Shahbazi, A.; Thorpe, M.; Aldroubi, A.; Kolouri, S.","Liu, Xinran (57383255300); Díaz, Rocío Martín (59390551500); Bai, Yikun (57218847504); Shahbazi, Ashkan (58485449800); Thorpe, Matthew (57189599436); Aldroubi, Akram (7003512606); Kolouri, Soheil (55497793500)",57383255300; 59390551500; 57218847504; 58485449800; 57189599436; 7003512606; 55497793500,EXPECTED SLICED TRANSPORT PLANS,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,67024,67047,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010212073&partnerID=40&md5=ac15c49ff933cec568bbe92f817c907e,"The optimal transport (OT) problem has gained significant traction in modern machine learning for its ability to: (1) provide versatile metrics, such as Wasserstein distances and their variants, and (2) determine optimal couplings between probability measures. To reduce the computational complexity of OT solvers, methods like entropic regularization and sliced optimal transport have been proposed. The sliced OT framework improves efficiency by comparing one-dimensional projections (slices) of high-dimensional distributions. However, despite their computational efficiency, sliced-Wasserstein approaches lack a transport plan between the input measures, limiting their use in scenarios requiring explicit coupling. In this paper, we address two key questions: Can a transport plan be constructed between two probability measures using the sliced transport framework? If so, can this plan be used to define a metric between the measures? We propose a 'lifting' operation to extend one-dimensional optimal transport plans back to the original space of the measures. By computing the expectation of these lifted plans, we derive a new transport plan, termed expected sliced transport (EST) plans. We further prove that using the EST plan to weight the sum of the individual Euclidean costs ∥x−y∥p for moving from x to y results in a valid metric between the input discrete probability measures. Finally, we demonstrate the connection between our approach and the recently proposed min-SWGG, along with illustrative numerical examples that support our theoretical findings. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010212073
"Liu, X.; Bai, Y.; Díaz Martín, R.D.; Shi, K.; Shahbazi, A.; Landman, B.A.; Chang, C.; Kolouri, S.","Liu, Xinran (57383255300); Bai, Yikun (57218847504); Díaz Martín, Rocío (57196392331); Shi, Kaiwen (59469149900); Shahbazi, Ashkan (58485449800); Landman, Bennett Allan (16679175200); Chang, Catie (59984632500); Kolouri, Soheil (55497793500)",57383255300; 57218847504; 57196392331; 59469149900; 58485449800; 16679175200; 59984632500; 55497793500,LINEAR SPHERICAL SLICED OPTIMAL TRANSPORT: A FAST METRIC FOR COMPARING SPHERICAL DATA,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,35195,35237,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010199807&partnerID=40&md5=f3f2bee357d7b409708570f9b85fe9b0,"Efficient comparison of spherical probability distributions becomes important in fields such as computer vision, geosciences, and medicine. Sliced optimal transport distances, such as spherical and stereographic spherical sliced Wasserstein distances, have recently been developed to address this need. These methods reduce the computational burden of optimal transport by slicing hyperspheres into one-dimensional projections, i.e., lines or circles. Concurrently, linear optimal transport has been proposed to embed distributions into L2 spaces, where the L2 distance approximates the optimal transport distance, thereby simplifying comparisons across multiple distributions. In this work, we introduce the Linear Spherical Sliced Optimal Transport (LSSOT) framework, which utilizes slicing to embed spherical distributions into L2 spaces while preserving their intrinsic geometry, offering a computationally efficient metric for spherical probability measures. We establish the metricity of LSSOT and demonstrate its superior computational efficiency in applications such as cortical surface registration, 3D point cloud interpolation via gradient flow, and shape embedding. Our results demonstrate the significant computational benefits and high accuracy of LSSOT in these applications. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010199807
"Bai, Y.; Díaz Martín, R.D.; Kothapalli, A.; Du, H.; Liu, X.; Kolouri, S.","Bai, Yikun (57218847504); Díaz Martín, Rocío (57196392331); Kothapalli, Abihith (57221531209); Du, Hengrong (59839724400); Liu, Xinran (57383255300); Kolouri, Soheil (55497793500)",57218847504; 57196392331; 57221531209; 59839724400; 57383255300; 55497793500,Partial Gromov-Wasserstein Metric,2025,"13th International Conference on Learning Representations, ICLR 2025",,,,76820,76880,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010185122&partnerID=40&md5=e512c9b51a0236ce518c146e0ee22010,"The Gromov-Wasserstein (GW) distance has gained increasing interest in the machine learning community in recent years, as it allows for the comparison of measures in different metric spaces. To overcome the limitations imposed by the equal mass requirements of the classical GW problem, researchers have begun exploring its application in unbalanced settings. However, Unbalanced GW (UGW) can only be regarded as a discrepancy rather than a rigorous metric/distance between two metric measure spaces (mm-spaces). In this paper, we propose a particular case of the UGW problem, termed Partial Gromov-Wasserstein (PGW). We establish that PGW is a well-defined metric between mm-spaces and discuss its theoretical properties, including the existence of a minimizer for the PGW problem and the relationship between PGW and GW, among others. We then propose two variants of the Frank-Wolfe algorithm for solving the PGW problem and show that they are mathematically and computationally equivalent. Moreover, based on our PGW metric, we introduce the analogous concept of barycenters for mm-spaces. Finally, we validate the effectiveness of our PGW metric and related solvers in applications such as shape matching, shape retrieval, and shape interpolation, comparing them against existing baselines. Our code is available at https://github.com/mint-vu/PGW_Metric. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.",,Conference paper,Final,,Scopus,2-s2.0-105010185122
"Soltoggio, A.; Ben-Iwhiwhu, E.; Braverman, V.; Eaton, E.; Epstein, B.; Ge, Y.; Halperin, L.; How, J.; Itti, L.; Jacobs, M.A.; Kantharaju, P.; Le, L.; Lee, S.; Liu, X.; Monteiro, S.T.; Musliner, D.; Nath, S.; Panda, P.; Peridis, C.; Pirsiavash, H.; Parekh, V.; Roy, K.; Shperberg, S.; Siegelmann, H.T.; Stone, P.; Vedder, K.; Wu, J.; Yang, L.; Zheng, G.; Kolouri, S.","Soltoggio, Andrea (15046088100); Ben-Iwhiwhu, Eseoghene (57219223298); Braverman, Vladimir Ya (14009539900); Eaton, Eric (12445029500); Epstein, Benjamin R. (57188653903); Ge, Yunhao (57674581900); Halperin, Lucy (57224184532); How, Jonathan P. (7006512768); Itti, Laurent (7003911079); Jacobs, Michael A. (57219322298); Kantharaju, Pavan (57192187523); Le, Long (57937547500); Lee, Steven (58683703800); Liu, Xinran (57383255300); Monteiro, Sildomar T. (7005373503); Musliner, David J. (6701497010); Nath, Saptarshi (58037560700); Panda, Priyadarshini (56970812900); Peridis, Christos (58119686900); Pirsiavash, Hamed (22235347900); Parekh, Vishwa S. (56198676700); Roy, Kaushik (57000621800); Shperberg, Shahaf S. (57194398290); Siegelmann, Hava Tova (57189345629); Stone, Peter (7203001213); Vedder, Kyle (57212560376); Wu, Jingfeng (57219797771); Yang, Lin F. (55795985300); Zheng, Guangyao (58127157400); Kolouri, Soheil (55497793500)",15046088100; 57219223298; 14009539900; 12445029500; 57188653903; 57674581900; 57224184532; 7006512768; 7003911079; 57219322298; 57192187523; 57937547500; 58683703800; 57383255300; 7005373503; 6701497010; 58037560700; 56970812900; 58119686900; 22235347900; 56198676700; 57000621800; 57194398290; 57189345629; 7203001213; 57212560376; 57219797771; 55795985300; 58127157400; 55497793500,A collective AI via lifelong learning and sharing at the edge,2024,Nature Machine Intelligence,6,3,,251,264,36,10.1038/s42256-024-00800-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188545268&doi=10.1038%2Fs42256-024-00800-2&partnerID=40&md5=d5138a0af107b8280c065e722bef118c,"One vision of a future artificial intelligence (AI) is where many separate units can learn independently over a lifetime and share their knowledge with each other. The synergy between lifelong learning and sharing has the potential to create a society of AI systems, as each individual unit can contribute to and benefit from the collective knowledge. Essential to this vision are the abilities to learn multiple skills incrementally during a lifetime, to exchange knowledge among units via a common language, to use both local data and communication to learn, and to rely on edge devices to host the necessary decentralized computation and data. The result is a network of agents that can quickly respond to and learn new tasks, that collectively hold more knowledge than a single agent and that can extend current knowledge in more diverse ways than a single agent. Open research questions include when and what knowledge should be shared to maximize both the rate of learning and the long-term learning performance. Here we review recent machine learning advances converging towards creating a collective machine-learned intelligence. We propose that the convergence of such scientific and technological advances will lead to the emergence of new types of scalable, resilient and sustainable AI systems. © Springer Nature Limited 2024.",,Article,Final,,Scopus,2-s2.0-85188545268
"Lu, Y.; Liu, X.; Soltoggio, A.; Kolouri, S.","Lu, Yuzhe (57219452992); Liu, Xinran (57383255300); Soltoggio, Andrea (15046088100); Kolouri, Soheil (55497793500)",57219452992; 57383255300; 15046088100; 55497793500,SLoSH: Set Locality Sensitive Hashing via Sliced-Wasserstein Embeddings,2024,"Proceedings - 2024 IEEE Winter Conference on Applications of Computer Vision, WACV 2024",,,,2554,2564,6,10.1109/WACV57701.2024.00255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188966979&doi=10.1109%2FWACV57701.2024.00255&partnerID=40&md5=50f9f35cabe0021c4b8d6331a430db97,"Learning from set-structured data is an essential problem with many applications in machine learning and computer vision. This paper focuses on a non-parametric, data-independent, and efficient learning algorithm from setstructured data using optimal transport and approximate nearest neighbor (ANN) solutions, particularly localitysensitive hashing. We consider the problem of set retrieval from an input set query. This retrieval problem requires 1) an efficient mechanism to calculate the distances/dissimilarities between sets and 2) an appropriate data structure for a fast nearest-neighbor search. To that end, we propose to use Sliced-Wasserstein embedding as a computationally efficient ""set-2-vector""operator that enables downstream ANN with theoretical guarantees. The set elements are treated as samples from an unknown underlying distribution, and the Sliced-Wasserstein distance is used to compare sets. We demonstrate the effectiveness of our algorithm, denoted as Set Locality Sensitive Hashing (SLoSH), on various set retrieval datasets and compare our proposed embedding with standard set embedding approaches, including Generalized Mean (GeM) embedding/pooling, Featurewise Sort Pooling (FSPool), Covariance Pooling, and Wasserstein embedding and show consistent improvement in retrieval results, both in terms of accuracy and computational efficiency. © 2024 IEEE.",Algorithms; and algorithms; formulations; Machine learning architectures,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85188966979
"Kothapalli, A.; Shahbazi, A.; Liu, X.; Sheng, R.; Kolouri, S.","Kothapalli, Abihith (57221531209); Shahbazi, Ashkan (58485449800); Liu, Xinran (57383255300); Sheng, Robert (58485449900); Kolouri, Soheil (55497793500)",57221531209; 58485449800; 57383255300; 58485449900; 55497793500,Equivariant vs. Invariant Layers: A Comparison of Backbone and Pooling for Point Cloud Classification,2024,Proceedings of Machine Learning Research,251,,,364,380,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216671670&partnerID=40&md5=3686feecdec044667200ba4856f29efe,"Learning from set-structured data, such as point clouds, has gained significant attention from the machine learning community. Geometric deep learning provides a blueprint for designing effective set neural networks that preserve the permutation symmetry of set-structured data. Of our interest are permutation invariant networks, which are composed of a permutation equivariant backbone, permutation invariant global pooling, and regression/classification head. While existing literature has focused on improving equivariant backbones, the impact of the pooling layer is often overlooked. In this paper, we examine the interplay between permutation equivariant backbones and permutation invariant global pooling on three benchmark point cloud classification datasets. Our findings reveal that: 1) complex pooling methods, such as transport-based or attention-based poolings, can significantly boost the performance of simple backbones, but the benefits diminish for more complex backbones, 2) even complex backbones can benefit from pooling layers in low data scenarios, 3) surprisingly, the choice of pooling layers can have a more significant impact on the model’s performance than adjusting the width and depth of the backbone, and 4) pairwise combination of pooling layers can significantly improve the performance of a fixed backbone. Our comprehensive study provides insights for practitioners to design better permutation invariant set neural networks. Our code is available at https://github.com/mint-vu/backbone_vs_pooling. © 2024 by the author(s).",,Conference paper,Final,,Scopus,2-s2.0-85216671670
"Tran, H.; Bai, Y.; Kothapalli, A.; Shahbazi, A.; Liu, X.; Díaz Martín, R.D.; Kolouri, S.","Tran, Huy (58336166800); Bai, Yikun (57218847504); Kothapalli, Abihith (57221531209); Shahbazi, Ashkan (58485449800); Liu, Xinran (57383255300); Díaz Martín, Rocío (57196392331); Kolouri, Soheil (55497793500)",58336166800; 57218847504; 57221531209; 58485449800; 57383255300; 57196392331; 55497793500,Stereographic Spherical Sliced Wasserstein Distances,2024,Proceedings of Machine Learning Research,235,,,48494,48564,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203791714&partnerID=40&md5=d41c548e5d5069836665a5cf3a6b067c,"Comparing spherical probability distributions is of great interest in various fields, including geology, medical domains, computer vision, and deep representation learning. The utility of optimal transport-based distances, such as the Wasserstein distance, for comparing probability measures has spurred active research in developing computationally efficient variations of these distances for spherical probability measures. This paper introduces a high-speed and highly parallelizable distance for comparing spherical measures using the stereographic projection and the generalized Radon transform, which we refer to as the Stereographic Spherical Sliced Wasserstein (S3W) distance. We carefully address the distance distortion caused by the stereographic projection and provide an extensive theoretical analysis of our proposed metric and its rotationally invariant variation. Finally, we evaluate the performance of the proposed metrics and compare them with recent baselines in terms of both speed and accuracy through a wide range of numerical studies, including gradient flows and self-supervised learning. Our code is available at https://github.com/mint-vu/s3wd. © 2024 by the author(s)",,Conference paper,Final,,Scopus,2-s2.0-85203791714
"Liu, X.; Lu, Y.; Abbasi, A.; Li, M.; Mohammadi, J.; Kolouri, S.","Liu, Xinran (57383255300); Lu, Yuzhe (57219452992); Abbasi, Ali (58956470600); Li, Meiyi (57203988909); Mohammadi, Javad (57200861377); Kolouri, Soheil (55497793500)",57383255300; 57219452992; 58956470600; 57203988909; 57200861377; 55497793500,Teaching Networks to Solve Optimization Problems,2024,IEEE Access,12,,,17102,17113,6,10.1109/ACCESS.2024.3358724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184013604&doi=10.1109%2FACCESS.2024.3358724&partnerID=40&md5=bd82be2167a917f7ba6d141ac90033eb,"Leveraging machine learning to facilitate the optimization process is an emerging field that holds the promise to bypass the fundamental computational bottleneck caused by classic iterative solvers in critical applications requiring near-real-time optimization. The majority of existing approaches focus on learning data-driven optimizers that lead to fewer iterations in solving an optimization. In this paper, we take a different approach and propose to replace the iterative solvers altogether with a trainable parametric set function, that outputs the optimal arguments/parameters of an optimization problem in a single feed forward. We denote our method as Learning to Optimize the Optimization Process (LOOP). We show the feasibility of learning such parametric (set) functions to solve various classic optimization problems including linear/nonlinear regression, principal component analysis, transport-based coreset, and quadratic programming in supply management applications. In addition, we propose two alternative approaches for learning such parametric functions, with and without a solver in the LOOP. Finally, through various numerical experiments, we show that the trained solvers could be orders of magnitude faster than the classic iterative solvers while providing near optimal solutions. © 2013 IEEE.",deep set learning; Machine learning for optimization,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85184013604
