Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhang, J.; Zuo, L.; Dewey, B.E.; Remedios, S.W.; Liu, Y.; Hays, S.P.; Pham, D.L.; Mowry, E.M.; Newsome, S.D.; Calabresi, P.A.; Saidha, S.; Carass, A.; Prince, J.L.","Zhang, Jinwei (24385918800); Zuo, Lianrui (57202855256); Dewey, Blake E. (56963777300); Remedios, Samuel W. (57201854184); Liu, Yihao (57202381977); Hays, Savannah P. (57741313500); Pham, Dzung L. (7203009692); Mowry, Ellen M. (16177709800); Newsome, Scott Douglas (16643020300); Calabresi, Peter Arthur (35290391600); Saidha, Shiv (26428499000); Carass, Aaron (15061054500); Prince, Jerry L. (56600943200)",24385918800; 57202855256; 56963777300; 57201854184; 57202381977; 57741313500; 7203009692; 16177709800; 16643020300; 35290391600; 26428499000; 15061054500; 56600943200,UNISELF: A unified network with instance normalization and self-ensembled lesion fusion for multiple sclerosis lesion segmentation,2026,Medical Image Analysis,109,,103954,,,0,10.1016/j.media.2026.103954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028088787&doi=10.1016%2Fj.media.2026.103954&partnerID=40&md5=a81c6ca17f106aebaaadec4a4d7b10f0,"Automated segmentation of multiple sclerosis (MS) lesions using multicontrast magnetic resonance (MR) images improves efficiency and reproducibility compared to manual delineation, with deep learning (DL) methods achieving state-of-the-art performance. However, these DL-based methods have yet to simultaneously optimize in-domain accuracy and out-of-domain generalization when trained on a single source with limited data, or their performance has been unsatisfactory. To fill this gap, we propose a method called UNISELF, which achieves high accuracy within a single training domain while demonstrating strong generalizability across multiple out-of-domain test datasets. UNISELF employs a novel test-time self-ensembled lesion fusion to improve segmentation accuracy, and leverages test-time instance normalization (TTIN) of latent features to address domain shifts and missing input contrasts. Trained on the ISBI 2015 longitudinal MS segmentation challenge training dataset, UNISELF ranks among the best-performing methods on the challenge test dataset. Additionally, UNISELF outperforms all benchmark methods trained on the same ISBI training data across diverse out-of-domain test datasets with domain shifts and missing contrasts, including the public MICCAI 2016 and UMCL datasets, as well as a private multisite dataset. These test datasets exhibit domain shifts and/or missing contrasts caused by variations in acquisition protocols, scanner types, and imaging artifacts arising from imperfect acquisition. Our code is available at https://github.com/Jinwei1209/UNISELF . © 2026 The Authors.",Domain generalization; Instance normalization; Lesion segmentation; Multiple sclerosis; Self-ensemble,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105028088787
"Chen, J.; Wei, S.; Liu, Y.; Bian, Z.; He, Y.; Carass, A.; Bai, H.; Du, Y.","Chen, Junyu (57197845594); Wei, Shuwen (57202730567); Liu, Yihao (57202381977); Bian, Zhangxing (57216702985); He, Yufan (57195739376); Carass, Aaron (15061054500); Bai, Harrison X. (56417072300); Du, Yong (8680350400)",57197845594; 57202730567; 57202381977; 57216702985; 57195739376; 15061054500; 56417072300; 8680350400,Unsupervised learning of spatially varying regularization for diffeomorphic image registration,2026,Medical Image Analysis,108,,103887,,,0,10.1016/j.media.2025.103887,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023495486&doi=10.1016%2Fj.media.2025.103887&partnerID=40&md5=89cda7c97c4fa171deeeabbf73eedb0b,"Spatially varying regularization accommodates the deformation variations that may be necessary for different anatomical regions during deformable image registration. Historically, optimization-based registration models have harnessed spatially varying regularization to address anatomical subtleties. However, most modern deep learning-based models tend to gravitate towards spatially invariant regularization, wherein a homogenous regularization strength is applied across the entire image, potentially disregarding localized variations. In this paper, we propose a hierarchical probabilistic model that integrates a prior distribution on the deformation regularization strength, enabling the end-to-end learning of a spatially varying deformation regularizer directly from the data. The proposed method is straightforward to implement and easily integrates with various registration network architectures. Additionally, automatic tuning of hyperparameters is achieved through Bayesian optimization, allowing efficient identification of optimal hyperparameters for any given registration task. Comprehensive evaluations on publicly available datasets demonstrate that the proposed method significantly improves registration performance and enhances the interpretability of deep learning-based registration, all while maintaining smooth deformations. Our code is freely available at http://bit.ly/3BrXGxz . © 2025 Elsevier B.V.",Deep neural networks; Deformable image registration; Spatially varying regularization,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105023495486
"Wei, S.; Remedios, S.W.; Bian, Z.; Wang, S.; Chen, J.; Liu, Y.; Jedynak, B.; Liu, T.Y.A.; Saidha, S.; Calabresi, P.A.; Prince, J.L.; Carass, A.","Wei, Shuwen (57202730567); Remedios, Samuel W. (57201854184); Bian, Zhangxing (57216702985); Wang, Shimeng (59793198300); Chen, Junyu (57197845594); Liu, Yihao (57202381977); Jedynak, Bruno M. (9133301100); Liu, TinyA (60127232500); Saidha, Shiv (26428499000); Calabresi, Peter Arthur (35290391600); Prince, Jerry L. (56600943200); Carass, Aaron (15061054500)",57202730567; 57201854184; 57216702985; 59793198300; 57197845594; 57202381977; 9133301100; 60127232500; 26428499000; 35290391600; 56600943200; 15061054500,Unsupervised OCT Image Interpolation Using Deformable Registration and generative models,2026,Lecture Notes in Computer Science,15963 LNCS,,,661,671,0,10.1007/978-3-032-04965-0_62,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017852236&doi=10.1007%2F978-3-032-04965-0_62&partnerID=40&md5=cbde031a345bb5fc33ae5fc2daf64a39,"Optical coherence tomography (OCT) images are often acquired as highly anisotropic volumes, where the scanning step is dense along the fast axis but sparse along the slow axis. This affects image analysis, such as image registration for longitudinal alignment. To create more isotropic volumes, bicubic interpolation can be used along the slow axis, but it generally produces blurry features. Registration-based interpolation can reduce blurriness, but often fails to generate realistic OCT images. Deep generative models can sample realistic images, but lack the structural consistency constraints required for interpolation. In this paper, we propose an unsupervised image interpolation method that combines registration-based interpolation with a deep generative model to overcome their individual limitations and improve the structural accuracy and realism of interpolated OCT images. We compare the proposed method with both bicubic and registration-based interpolation on real OCT datasets, and show that it achieves the best interpolation performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Deformable registration; Generative model; Image interpolation; Optical coherence tomography; Unsupervised learning,Conference paper,Final,,Scopus,2-s2.0-105017852236
"Jiang, B.; McNeil, A.J.; Liu, Y.; House, D.W.; Mbala-Kingebeni, P.; Mbaya, O.T.; Silaphet, T.; Dodd, L.E.; Cowen, E.W.; Nussenblatt, V.; Bonnett, T.; Chen, Z.; Saknite, I.; Dawant, B.; Tkaczyk, E.R.","Jiang, Bohan (58799415600); McNeil, Andrew J. (36669143300); Liu, Yihao (57202381977); House, David W. (57992233400); Mbala-Kingebeni, Placide (54796862000); Mbaya, Olivier Tshiani (57142552600); Silaphet, Tyra (58799473900); Dodd, Lori Elizabeth (57192255018); Cowen, Edward West (7004972507); Nussenblatt, Veronique R. (6506908007); Bonnett, Tyler A. (57212590937); Chen, Ziche (57991986700); Saknite, Inga (36816398400); Dawant, Benoît M. (7007025943); Tkaczyk, Eric Robert (13104961300)",58799415600; 36669143300; 57202381977; 57992233400; 54796862000; 57142552600; 58799473900; 57192255018; 7004972507; 6506908007; 57212590937; 57991986700; 36816398400; 7007025943; 13104961300,Mpox lesion counting with semantic and instance segmentation methods,2025,Journal of Medical Imaging,12,3,034506,,,0,10.1117/1.JMI.12.3.034506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009948991&doi=10.1117%2F1.JMI.12.3.034506&partnerID=40&md5=11b7a6a9a49b5ac69599cb5a7a661124,"Purpose: Mpox is a viral illness with symptoms similar to smallpox. A key clinical metric to monitor disease progression is the number of skin lesions. Manually counting mpox skin lesions is labor-intensive and susceptible to human error. Approach: We previously developed an mpox lesion counting method based on the UNet segmentation model using 66 photographs from 18 patients. We have compared four additional methods: the instance segmentation methods Mask R-CNN, YOLOv8, and E2EC, in addition to a UNet++ model. We designed a patient-level leave-one-out experiment, assessing their performance using F 1 score and lesion count metrics. Finally, we tested whether an ensemble of the networks outperformed any single model. Results: Mask R-CNN model achieved an F 1 score of 0.75, YOLOv8 a score of 0.75, E2EC a score of 0.70, UNet++ a score of 0.81, and baseline UNet a score of 0.79. Bland-Altman analysis of lesion count performance showed a limit of agreement (LoA) width of 62.2 for Mask R-CNN, 91.3 for YOLOv8, 94.2 for E2EC, and 62.1 for UNet++, with the baseline UNet model achieving 69.1. The ensemble showed an F 1 score performance of 0.78 and LoA width of 67.4. Conclusions: Instance segmentation methods and UNet-based semantic segmentation methods performed equally well in lesion counting. Furthermore, the ensemble of the trained models showed no performance increase over the best-performing model UNet, likely because errors are frequently shared across models. Performance is likely limited by the availability of high-quality photographs for this complex problem, rather than the methodologies used. © The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.",comparative study; deep learning; dermatology; ensemble methods; lesion counting; mpox,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105009948991
"Chen, J.; Liu, Y.; Wei, S.; Bian, Z.; Subramanian, S.; Carass, A.; Prince, J.L.; Du, Y.","Chen, Junyu (57197845594); Liu, Yihao (57202381977); Wei, Shuwen (57202730567); Bian, Zhangxing (57216702985); Subramanian, Shalini (57785672700); Carass, Aaron (15061054500); Prince, Jerry L. (56600943200); Du, Yong (8680350400)",57197845594; 57202381977; 57202730567; 57216702985; 57785672700; 15061054500; 56600943200; 8680350400,"A survey on deep learning in medical image registration: New technologies, uncertainty, evaluation metrics, and beyond",2025,Medical Image Analysis,100,,103385,,,71,10.1016/j.media.2024.103385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210308036&doi=10.1016%2Fj.media.2024.103385&partnerID=40&md5=844c0488aee23898d5854934f97b4ac6,"Deep learning technologies have dramatically reshaped the field of medical image registration over the past decade. The initial developments, such as regression-based and U-Net-based networks, established the foundation for deep learning in image registration. Subsequent progress has been made in various aspects of deep learning-based registration, including similarity measures, deformation regularizations, network architectures, and uncertainty estimation. These advancements have not only enriched the field of image registration but have also facilitated its application in a wide range of tasks, including atlas construction, multi-atlas segmentation, motion estimation, and 2D–3D registration. In this paper, we present a comprehensive overview of the most recent advancements in deep learning-based image registration. We begin with a concise introduction to the core concepts of deep learning-based image registration. Then, we delve into innovative network architectures, loss functions specific to registration, and methods for estimating registration uncertainty. Additionally, this paper explores appropriate evaluation metrics for assessing the performance of deep learning models in registration tasks. Finally, we highlight the practical applications of these novel techniques in medical imaging and discuss the future prospects of deep learning-based image registration. © 2024 Elsevier B.V.",Deep neural networks; Image registration; Medical imaging,Review,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85210308036
"Mu, T.; Liu, Y.; Armand, M.","Mu, Tong (59723909600); Liu, Yihao (57202381977); Armand, Mehran (35236429300)",59723909600; 57202381977; 35236429300,Look Before You Leap: Using Serialized State Machine for Language Conditioned Robotic Manipulation,2025,IEEE International Conference on Intelligent Robots and Systems,,,,8096,8102,0,10.1109/IROS60139.2025.11245926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029925161&doi=10.1109%2FIROS60139.2025.11245926&partnerID=40&md5=d94c35c0343fe850ff0b9ac24ce24e54,"Imitation learning frameworks for robotic manipulation have drawn attention in the recent development of language model grounded robotics. However, the success of the frameworks largely depends on the coverage of the demonstration cases: When the demonstration set does not include examples of how to act in all possible situations, the action may fail and can result in cascading errors. To solve this problem, we propose a framework that uses serialized Finite State Machine (FSM) to generate demonstrations and improve the success rate in manipulation tasks requiring a long sequence of precise interactions. To validate its effectiveness, we use environmentally evolving and long-horizon puzzles that require long sequential actions. Experimental results show that our approach achieves a success rate of up to 98% in these tasks, compared to the controlled condition using existing approaches, which only had a success rate of up to 60%, and, in some tasks, almost failed completely. The source code for this project can be accessed at https://imitate.finite-state.com/. © 2025 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-105029925161
"Liu, Y.; Ku, Y.-C.; Zhang, J.; Ding, H.; Kazanzides, P.; Armand, M.","Liu, Yihao (57202381977); Ku, Yuchun (59399502600); Zhang, Jiaming (55720394800); Ding, Hao (57219752981); Kazanzides, Peter (6603602878); Armand, Mehran (35236429300)",57202381977; 59399502600; 55720394800; 57219752981; 6603602878; 35236429300,DARt Vinci: Egocentric Data Collection for Surgical Robot Learning at Scale,2025,IEEE International Conference on Intelligent Robots and Systems,,,,3978,3985,0,10.1109/IROS60139.2025.11247229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029921677&doi=10.1109%2FIROS60139.2025.11247229&partnerID=40&md5=852f5e4221b64e4e0b23d6042362a716,"Data scarcity has long been an issue in the robot learning community. Particularly, in safety-critical domains like surgical applications, obtaining high-quality data can be especially difficult. It poses challenges to researchers seeking to exploit recent advancements in reinforcement learning and imitation learning, which have greatly improved generalizability and enabled robots to conduct tasks autonomously. We introduce dARt Vinci, a scalable data collection platform for robot learning in surgical settings. The system uses Augmented Reality (AR) hand tracking and a high-fidelity physics engine to capture subtle maneuvers in primitive surgical tasks: By eliminating the need for a physical robot setup and providing flexibility in terms of time, space, and hardware resources-such as multiview sensors and actuators-specialized simulation is a viable alternative. At the same time, AR allows the robot data collection to be more egocentric, supported by its body tracking and content overlaying capabilities. Our user study confirms the proposed system's efficiency and usability, where we use widely-used primitive tasks for training teleoperation with da Vinci surgical robots. Data throughput improves across all tasks compared to real robot settings by 41% on average. The total experiment time is reduced by an average of 10%. The temporal demand in the task load survey is improved. These gains are statistically significant. Additionally, the collected data is over 400 times smaller in size, requiring far less storage while achieving double the frequency. The source code for this project can be accessed at https://dartvinci.finite-state.com/. © 2025 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-105029921677
"Jiang, B.; McNeil, A.; Liu, Y.; Rudravaram, G.; Saknite, I.; Mbala-Kingebeni, P.; Mbaya, O.T.; Silaphet, T.; Weiss, R.; Dodd, L.E.; Nussenblatt, V.; Moyer, D.; Landman, B.A.; Dawant, B.M.; Tkaczyk, E.R.","Jiang, Bohan (58799415600); McNeil, Andrew J. (36669143300); Liu, Yihao (57202381977); Rudravaram, Gaurav (57442300300); Saknite, Inga (36816398400); Mbala-Kingebeni, Placide (54796862000); Mbaya, Olivier Tshiani (57142552600); Silaphet, Tyra (58799473900); Weiss, Rachel (59405236200); Dodd, Lori Elizabeth (57192255018); Nussenblatt, Veronique R. (6506908007); Moyer, Daniel C. (57117453900); Landman, Bennett Allan (16679175200); Dawant, Benoît M. (7007025943); Tkaczyk, Eric Robert (13104961300)",58799415600; 36669143300; 57202381977; 57442300300; 36816398400; 54796862000; 57142552600; 58799473900; 59405236200; 57192255018; 6506908007; 57117453900; 16679175200; 7007025943; 13104961300,Deep Automatic Alignment of Mpox Dermatological Hand Photography,2025,Proceedings - International Symposium on Biomedical Imaging,,,,,,0,10.1109/ISBI60581.2025.10981147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005826232&doi=10.1109%2FISBI60581.2025.10981147&partnerID=40&md5=a5e0dcfa71062e0ae518f5b0497ee508,"Mpox is a viral illness with heavy cutaneous involvement. Automatic tracking of mpox lesion progression is critical in determining the resolution of evolving lesions. This work introduces a novel application of deep learning for lesion monitoring through alignment of dermatological hand photographs. By adapting the VoxelMorph framework for 2D photographic data, we explore key point alignment across serial images. We trained our neural network model on a unique dataset of 1,658 hand images and evaluated its performance on a test set of 254 images. Additionally, we validated the method's generalizability with a supplementary set of 500 images, which included extensive Mpox infection. Our findings indicate modest yet significant improvements in key points and lesion center registration across different regularization strengths. Although promising, the complexity of hand structure presents challenges, requiring cautious application and further refinement, especially in regions with intense spatial discontinuities, such as interdigital areas. © 2025 IEEE.",Deep Learning; Dermatological Photography; Image Registration; Mpox; VoxelMorph,Conference paper,Final,,Scopus,2-s2.0-105005826232
"Zhang, J.; Zuo, L.; Liu, Y.; Remedios, S.W.; Landman, B.A.; Prince, J.L.; Carass, A.","Zhang, Jinwei (24385918800); Zuo, Lianrui (57202855256); Liu, Yihao (57202381977); Remedios, Samuel W. (57201854184); Landman, Bennett Allan (16679175200); Prince, Jerry L. (56600943200); Carass, Aaron (15061054500)",24385918800; 57202855256; 57202381977; 57201854184; 16679175200; 56600943200; 15061054500,Bi-Directional MS Lesion Filling and Synthesis Using Denoising Diffusion Implicit Model-based Lesion Repainting,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060W,,,2,10.1117/12.3047407,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004580323&doi=10.1117%2F12.3047407&partnerID=40&md5=56c8f0cabb96e2e0e19cbe6e38bf56a1,"Automatic magnetic resonance (MR) image processing pipelines are widely used to study people with multiple sclerosis (PwMS), encompassing tasks such as lesion segmentation and brain parcellation. However, the presence of lesion often complicates these analyses, particularly in brain parcellation. Lesion filling is commonly used to mitigate this issue, but existing lesion filling algorithms often fall short in accurately reconstructing realistic lesion-free images, which are vital for consistent downstream analysis. Additionally, the performance of lesion segmentation algorithms is often limited by insufficient data with lesion delineations as the training labels. In this paper, we propose a novel approach leveraging Denoising Diffusion Implicit Models (DDIMs) for both MS lesion filling and synthesis based on image inpainting. Our modified DDIM architecture, once trained, enables both MS lesion filing and synthesis of lesioned tissues. Specifically, it can generate lesion-free T1-weighted or FLAIR images from those containing lesions; Or it can add lesions to T1-weighted or FLAIR images of healthy subjects. The former is essential for downstream analyses that require lesion-free images, while the latter is valuable for augmenting training datasets for lesion segmentation tasks. We validate our approach through initial experiments in this paper and demonstrate promising results in both lesion filling and synthesis, paving the way for future work. © 2025 SPIE.",Diffusion models; image inpainting; lesion filling; lesion synthesis; multiple sclerosis,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004580323
"Zuo, L.; Xu, K.; Su, D.; Yu, X.; Krishnan, A.R.; Liu, Y.; Bao, S.; Li, T.; Sandler, K.L.; Maldonado, F.; Landman, B.A.","Zuo, Lianrui (57202855256); Xu, Kaiwen (57218363938); Su, Dingjie (57226243757); Yu, Xin (57309160700); Krishnan, Aravind R. (58195099100); Liu, Yihao (57202381977); Bao, Shunxing (57189987093); Li, Thomas Z. (57557667700); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200)",57202855256; 57218363938; 57226243757; 57309160700; 58195099100; 57202381977; 57189987093; 57557667700; 57188931283; 23012782200; 16679175200,Beyond the Lungs: Extending the Field of View in Chest CT with Latent Diffusion Models,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060J,,,0,10.1117/12.3047271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004575595&doi=10.1117%2F12.3047271&partnerID=40&md5=edcd47909b1d61b3900b197584f88831,"The interconnection between the human lungs and other organs, such as the liver and kidneys, is crucial for understanding the underlying risks and effects of lung diseases and improving patient care. However, most research chest CT imaging is focused solely on the lungs due to considerations of cost and radiation dose. This restricted field of view (FOV) in the acquired images poses challenges to comprehensive analysis and hinders the ability to gain insights into the impact of lung diseases on other organs. To address this, we propose SCOPE (Spatial Coverage Optimization with Prior Encoding), a novel approach to capture the inter-organ relationships from CT images and extend the FOV of chest CT images. Our approach first trains a variational autoencoder (VAE) to encode 2D axial CT slices individually, then stacks the latent representations of the VAE to form a 3D context for training a latent diffusion model. Once trained, our approach extends the FOV of CT images in the z-direction by generating new axial slices in a zero-shot manner. We evaluated our approach on the National Lung Screening Trial (NLST) dataset, and results suggest that it effectively extends the FOV to include the liver and kidneys, which are not completely covered in the original NLST data acquisition. Quantitative results on a held-out whole-body dataset demonstrate that the generated slices exhibit high fidelity with acquired data, achieving an SSIM of 0.81. © 2025 SPIE.",CT; Image synthesis; Latent diffusion; Lung,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004575595
