Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ge, R.; Wang, Y.; Negron, C.; Fan, H.; Maldonado, F.; Demarest, C.T.; Simon, V.; Zhou, Y.; Dong, X.","Ge, Ruijian (60300818800); Wang, Yusheng (57222737200); Negron, Carlos (59411613400); Fan, Hanwen (59395073000); Maldonado, Fabien (23012782200); Demarest, Caitlin T. (37161160400); Simon, Victoria (59340619600); Zhou, Yuxiao (57201360565); Dong, Xiaoguang (56559048300)",60300818800; 57222737200; 59411613400; 59395073000; 23012782200; 37161160400; 59340619600; 57201360565; 56559048300,A wireless implantable sensory ring for continuous airway stent migration tracking,2026,npj Flexible Electronics,10,1,25,,,0,10.1038/s41528-025-00526-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029758451&doi=10.1038%2Fs41528-025-00526-0&partnerID=40&md5=995db5ce85fe780bfa730011abe75e2c,"Airway stents play a vital role in managing central airway obstruction (CAO) caused by lung cancer and other pulmonary diseases by providing structural support to collapsed airways and restoring airflow. However, complications such as stent migration often require urgent medical intervention while early monitoring is essential to reduce the risk. Regular monitoring through bronchoscopy requires anesthesia in the hospital, which causes pain and an economic burden on patients. Computed tomography involves risky radiation and lacks the ability to provide continuous, real-time feedback outside of hospital settings. Here we report a fundamental mechanism of wireless tracking based on magnetic field in a wirelessly powered sensory ring integrated on an airway stent. The sensory ring is designed for continuous, real-time monitoring of stent position and orientation. This sensory ring, integrating an on-board magnetic sensor, and a wearable magnetic field generation system, enable accurate localization by detecting the magnetic field generated externally. The sensory ring is powered wirelessly via a charging coil, ensuring long-term operation. Our system achieves tracking accuracy of 0.5 mm and 2.2 degrees, with a temporal resolution of 0.2 Hz. Beyond migration monitoring, the sensor also detects airway deformation, offering the potential to sense pathological changes associated with lung cancer and other pulmonary conditions. By eliminating the need for radiation-based imaging or bronchoscopy, this approach enables safe, long-term surveillance of stent patency and surrounding tissue conditions. The proposed sensing mechanism and platform are also adaptable in other organs, such as the esophagus, for monitoring stent migration and deformation. © The Author(s) 2026.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105029758451
"Thiboutot, J.; Latifi, A.; Illei, P.; Kapp, C.M.; Maldonado, F.; Sethi, S.; Shofer, S.; Gilbert, C.; Wahidi, M.; DeMaio, A.; Sachdeva, A.; DiBardino, D.; Vachani, A.; Pastis, N.; Molena, D.; Jones, M.R.; Rahman, N.M.; Silvestri, G.; Yarmus, L.","Thiboutot, Jeffrey (60222662600); Latifi, Ardian (57291640500); Illei, Peter B. (6602161340); Kapp, Christopher M. (57217354866); Maldonado, Fabien (23012782200); Sethi, Sonali (55933030900); Shofer, Scott L. (36980836100); Gilbert, Christopher R. (26634887100); Wahidi, Momen M. (6603182033); DeMaio, Andrew J. (57203746529); Sachdeva, Ashutosh W. (7003532138); DiBardino, David M. (36445323200); Vachani, Anil (8625677900); Pastis, Nicholas James (6507434299); Molena, Daniela A. (6603350248); Jones, Miranda R. (60373497300); Rahman, Najib Mahboob (8520039800); Silvestri, Gerard A. (7102565287); Yarmus, Lonny B. (35182298600)",60222662600; 57291640500; 6602161340; 57217354866; 23012782200; 55933030900; 36980836100; 26634887100; 6603182033; 57203746529; 7003532138; 36445323200; 8625677900; 6507434299; 6603350248; 60373497300; 8520039800; 7102565287; 35182298600,A randomized controlled trial of cryoprobe versus forceps for transbronchial biopsy (FROSTBITE-2): Study protocol for a multi-center pragmatic clinical trial,2026,Contemporary Clinical Trials,162,,108251,,,0,10.1016/j.cct.2026.108251,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029478421&doi=10.1016%2Fj.cct.2026.108251&partnerID=40&md5=4493acbfc503e98be45d4b39bcac255c,"Background: Transbronchial biopsy is a common bronchoscopic procedure that is traditionally performed with forceps. However, its diagnostic capability is limited by small specimen size and crush artifact. A 1.1 mm cryoprobe was developed to overcome these limitations utilizing rapid, controlled, freezing to retrieve larger specimens which are extractable through the bronchoscope's working channel. Whether this improves diagnostic yield remains uncertain. The 1.1 mm cryoprobe has not been directly compared to standard capacity forceps in a prospective, randomized fashion. Methods: This multicenter randomized controlled trial evaluates whether transbronchial biopsy with a 1.1 mm cryoprobe yields superior diagnostic yield compared to standard capacity forceps in adults undergoing transbronchial biopsy for diffuse parenchymal lung disease, parenchymal pulmonary lesions, or lung allografts. Participants will be randomized 1:1 to either biopsy tool, stratified by indication. Primary outcomes include indication-specific and overall diagnostic yield, adjudicated by centralized pathology review. Secondary outcomes include histologic quality metrics and complication rates. This trial is individually powered for each indication-specific primary outcome, and can detect an 11.3% difference in overall diagnostic yield with 250 participants per arm. Discussion: This trial will provide high-quality evidence to guide transbronchial biopsy tool selection to maximize diagnostic yield. Results of this trial may yield practice changing data for the evaluation of patients with diffuse parenchymal lung disease, parenchymal pulmonary lesions, and lung allografts. Unique design features include the use of a centralized histopathology core to minimize bias and interobserver variability and a pragmatic design to facilitate integration into clinical workflows and optimize recruitment. © 2024",Cryobiopsy; Forceps biopsy; Lung disease; Lung nodule; Transbronchial biopsy,Article,Final,,Scopus,2-s2.0-105029478421
"Kennedy, A.; Maldonado, F.; Leonard, K.; Boyle, T.; Ratwani, A.; Bridwell, G.; Duke, J.D.; Shojaee, S.; Paez, R.; Lentz, R.J.","Kennedy, Alice (57222343709); Maldonado, Fabien (23012782200); Leonard, Kaele M. (58574741500); Boyle, Taryn K. (58306505900); Ratwani, Ankush P. (57200533035); Bridwell, Greta (60012459000); Duke, Jennifer D. (57994037300); Shojaee, Samira (55999293600); Paez, Rafael (57224334341); Lentz, Robert James (57190001804)",57222343709; 23012782200; 58574741500; 58306505900; 57200533035; 60012459000; 57994037300; 55999293600; 57224334341; 57190001804,Clinical and Research Implications of Nonspecific Necrosis on Peripheral Pulmonary Lesion Biopsies,2026,Chest,169,2,,562,565,0,10.1016/j.chest.2025.09.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027163016&doi=10.1016%2Fj.chest.2025.09.015&partnerID=40&md5=0e5f1392523a4b0fadba70e5cbd21764,[No abstract available],,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105027163016
"Woodhouse, P.; Godfrey, C.M.; Chen, S.-C.; Chen, H.; Welty, V.; Meyers, P.M.; Maldonado, F.; Knight, M.; Deppen, S.A.; Grogan, E.L.","Woodhouse, Palina (57326770500); Godfrey, Caroline M. (57211627732); Chen, Sheauchiann (56642164600); Chen, Heidi C. (8524329800); Welty, Valerie F. (57207917812); Meyers, Patrick M. (57188654740); Maldonado, Fabien (23012782200); Knight, Michael A. (58183959900); Deppen, Stephen A. (6507852802); Grogan, Eric L. (7004219440)",57326770500; 57211627732; 56642164600; 8524329800; 57207917812; 57188654740; 23012782200; 58183959900; 6507852802; 7004219440,Use of the TREAT 2.0 Model to Create a Web-Based Lung Nodule Calculator for High-Risk Patients,2026,Annals of Thoracic Surgery Short Reports,,,,,,0,10.1016/j.atssr.2025.11.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027664076&doi=10.1016%2Fj.atssr.2025.11.017&partnerID=40&md5=d7d6e9c828613f8179da81052bf2754a,"Background: Indeterminate pulmonary nodules are common in clinical practice. The probability of cancer drives management decisions and depends on age, smoking, size, positron emission tomography avidity, growth, and the clinical setting, among other variables. We developed a web-based calculator for clinician use, using the Thoracic Research Evaluation and Treatment (TREAT) 2.0 model, previously developed by our group. This study evaluated calculator accuracy when the most common missing data patterns in the clinical setting occurred. Methods: A web-based calculator was designed for clinical use of the TREAT 2.0 model. We used a parsimonious modeling approach to select the 8 most important missing data patterns. Model accuracy and discrimination were evaluated using area under the curve (AUC) and Brier scores. Bootstrap internal validation was used for overfit correction. Results: The AUC for the complete cases (all 13 variables) was 0.91(CI: 0.87-0.92), and it was 0.83 (CI: 0.77-0.88) for the training and validation data sets, respectively, with a Brier score of 0.11. The mean AUC for the 8 most common missing variable submodels included in the calculator was 0.79, with a Brier score of 0.14 in the validation data set. Conclusions: The TREAT 2.0 calculator provides reliable risk predictions for indeterminate pulmonary nodules being evaluated in high–cancer prevalence settings while maintaining accuracy with incomplete input of the most common missing variables in clinical practice. © 2025",,Article,aip,All Open Access; Gold Open Access,Scopus,2-s2.0-105027664076
"Lyu, Z.; Wang, Y.; Ge, R.; Wang, D.; Bacchetta, M.; Demarest, C.T.; Maldonado, F.; Dong, X.","Lyu, Zhongming (60301787200); Wang, Yusheng (57222737200); Ge, Ruijian (60300818800); Wang, Darren (60301787300); Bacchetta, Matthew D. (6603980251); Demarest, Caitlin T. (37161160400); Maldonado, Fabien (23012782200); Dong, Xiaoguang (56559048300)",60301787200; 57222737200; 60300818800; 60301787300; 6603980251; 37161160400; 23012782200; 56559048300,Soft Artificial Ciliary Brush with Integrated Haptic Feedback for Efficient Airway Mucus Cleaning,2026,Advanced Intelligent Systems,,,,,,0,10.1002/aisy.202501236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026878259&doi=10.1002%2Faisy.202501236&partnerID=40&md5=ca17859168875a1763f8ba67d1c6864d,"Mucus accumulation is a major complication in cystic fibrosis (CF) and chronic obstructive pulmonary disease (COPD), increasing risks of airway obstruction and impairing drug delivery. Maintaining the patency of airway prosthetic devices such as stents and endotracheal tubes also requires effective clearance. Current approaches, primarily blind suction, are ineffective against viscous mucus and risk tissue trauma. Here, it proposes a mucus-cleaning catheter that integrates a rotational soft ciliary brush with suction for efficient and safe clearance on tracheobronchial tissues and within airway prosthetic devices. The soft artificial cilia efficiently wrap up mucus around the suction inlets for removing viscous mucus while a haptic sensing unit provides real-time feedback for operational safety. The device can remove mucus in thin layers without damaging the tissue, typically difficult for pure suction by a therapeutic bronchoscope. This study demonstrates that the device can access airway phantom models, ex vivo ovine lungs, airway stents, and endotracheal tubes, performing on-demand mucus clearance under real-time visualization via an onboard camera. Compared with therapeutic bronchoscopes with pure suction, the catheter provides faster clearance and minimal damage to tissues, offering a promising strategy for safe, efficient, and timely mucus cleaning for patients with excessive mucus accumulation in the airway. © 2026 The Author(s). Advanced Intelligent Systems published by Wiley-VCH GmbH.",airway plugging; artificial cilia; haptic sensing; mucus cleaning; soft robot,Article,aip,All Open Access; Gold Open Access,Scopus,2-s2.0-105026878259
"Paez, R.; Ratwani, A.; Duke, J.D.; Bridwell, G.; Leonard, K.; Katsis, J.M.; Pickering, E.M.; Thiboutot, J.; Chen, H.; Chen, S.-C.; Shojaee, S.; Yarmus, L.; Lentz, R.J.; Maldonado, F.","Paez, Rafael (57224334341); Ratwani, Ankush P. (57200533035); Duke, Jennifer D. (57994037300); Bridwell, Greta (60012459000); Leonard, Kaele M. (58574741500); Katsis, James M. (57217003388); Pickering, Edward M. (54889982700); Thiboutot, Jeffrey (60222662600); Chen, Heidi C. (8524329800); Chen, Sheauchiann (56642164600); Shojaee, Samira (55999293600); Yarmus, Lonny B. (35182298600); Lentz, Robert James (57190001804); Maldonado, Fabien (23012782200)",57224334341; 57200533035; 57994037300; 60012459000; 58574741500; 57217003388; 54889982700; 60222662600; 8524329800; 56642164600; 55999293600; 35182298600; 57190001804; 23012782200,Robotic versus electromagnetic bronchoscopy for pulmonary leslon assessment using integrated intraprocedural imaging: Study protocol for the reliant 2 trial,2025,PLOS ONE,20,12 December,e0327611,,,0,10.1371/journal.pone.0327611,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023653149&doi=10.1371%2Fjournal.pone.0327611&partnerID=40&md5=9039844203c79f82f473b2da119ce6f6,"Background Robotic assisted bronchoscopy (RAB) and electromagnetic navigational bronchoscopy (ENB) are two approaches to biopsy peripheral pulmonary lesions (PPLs). A recently completed cluster randomized controlled trial, RELIANT (NCT05705544), showed no difference in diagnostic yield between these two modalities. The ENB platform used in RELIANT included integrated digital tomosynthesis, allowing for real-time assessment of PPL location for more precise targeting at the time of biopsy. RAB has since been integrated with cone beam computed tomography (CBCT) to accomplish the same intraprocedural correction. It is unclear if the diagnostic yield of RAB with integrated CBCT (RAB-CBCT) is superior to ENB with integrated digital tomosynthesis (ENB-DT). Methods Robotic versus Electromagnetic Bronchoscopy for Pulmonary LesIon AssessmeNT using integrated intraprocedural imaging (RELIANT 2) is an investigator-initiated, multicenter, open label, superiority, cluster randomized trial. At each participating institution, procedural rooms are randomly assigned to either RAB-CBCT or ENB-DT, with each procedure room-day considered a cluster. All adult patients undergoing navigational bronchoscopy for evaluation of PPL(s) are eligible. Allocation is concealed from schedulers, proceduralists, and patients until the morning of procedure when each room is randomized to a platform. The primary endpoint is the diagnostic yield, defined as the proportion of cases yielding a specific benign or malignant diagnosis per current ATS/ACCP definition. Secondary and safety endpoints include procedure duration and procedural complications. Enrollment began on November 11, 2024 and is expected to enroll approximately 440 patients in 220 clusters. Discussion RELIANT 2 is an ongoing cluster randomized trial comparing the diagnostic yield of RAB-CBCT to that of ENB-DT in patients undergoing bronchoscopy to biopsy PPLs. This trial will help address some of the limitations of the recently published RELIANT trial. © 2025 Paez et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105023653149
"Maldonado, F.; Paez, R.; Lentz, R.J.","Maldonado, Fabien (23012782200); Paez, Rafael (57224334341); Lentz, Robert James (57190001804)",23012782200; 57224334341; 57190001804,Reply to Bertolaccini et al.: Small Nodules and Big Questions: A Closer Look at the RELIANT Trial,2025,American journal of respiratory and critical care medicine,211,12,,2427,2428,0,10.1164/rccm.202506-1515LE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023548168&doi=10.1164%2Frccm.202506-1515LE&partnerID=40&md5=850197a97fff8bc7c28c3ea51c01f7c6,[No abstract available],,Letter,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105023548168
"Vachani, A.; Murgu, S.; Maldonado, F.; Laxmanan, B.; Amos, T.B.; Zhou, M.; Khan, F.; Cumbo-Nacheli, G.; Seaman, J.; Tewari, P.; Johnston, S.; Kalsekar, I.; Johnson, B.H.","Vachani, Anil (8625677900); Murgu, Septimiu Dan (9434764200); Maldonado, Fabien (23012782200); Laxmanan, Balaji (55615917100); Amos, Tony B. (57192118253); Zhou, Meijia (57793145500); Khan, Faisal (58243614200); Cumbo-Nacheli, Gustavo (16201727700); Seaman, Joseph (58451143800); Tewari, Pranjal (57865081600); Johnston, Stephen S. (24776109400); Kalsekar, Iftekhar D. (6602997722); Johnson, Barbara H. (7404749529)",8625677900; 9434764200; 23012782200; 55615917100; 57192118253; 57793145500; 58243614200; 16201727700; 58451143800; 57865081600; 24776109400; 6602997722; 7404749529,Comparison of Diagnostic Bronchoscopy Single-Arm Trials Using an Advanced Optimization Approach for Indirect Comparisons with Partial Individual Patient Data,2025,Respiration,104,12,,940,949,0,10.1159/000547686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015689445&doi=10.1159%2F000547686&partnerID=40&md5=2ceb05d25133ac74170ab2b1162538fe,"Introduction: The diagnostic yield of lung biopsy modalities is often compared using data from single-arm studies. These comparisons are biased due to differences in study populations, institutional practices, and diagnostic yield definitions. While individual patient data may be useful to account for some of these co-variables, individual patient data may only be available for one study. What is the difference in the primary outcome between two single-arm studies that utilized different bronchoscopy technologies? Methods: A matching-adjusted indirect comparison analysis was performed comparing individual patient data from a retrospective multicenter cohort of consecutive RAB procedures to aggregate patient data in a prospective, multicenter clinical study of ENB procedures. The diagnostic yield was first calculated with the definition used in the comparator study, determined at 12 months after initial biopsy, with lost to follow-up excluded from the denominator (method 1), and second with a strict definition, determined at the time of bronchoscopy and nonspecific benign findings excluded (method 2). Results: Using method 1, the weighted diagnostic yield for RAB (87.1%) was significantly higher than for ENB (72.9%) (p < 0.001). Using method 2, the weighted diagnostic yield for RAB (64.9%) was also significantly higher than for ENB (50.6%) (p = 0.001). Conclusions: An optimization-based weighting approach for indirect comparisons between single-arm studies confirmed a significantly higher diagnostic yield for RAB compared to ENB. When using method 2, it was demonstrated that various factors significantly influence the diagnostic yield of RAB, highlighting the need for balancing to mitigate confounding effects, and ideally, randomized controlled trials. © 2025 The Author(s). Published by S. Karger AG, Basel",Advanced optimization; Comparative study; Diagnostic bronchoscopy; Diagnostic yield; Matching-adjusted indirect comparison,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105015689445
"Ratwani, A.; Duke, J.D.; Paez, R.; Bridwell, G.; Shojaee, S.; Lentz, R.J.; Eagle, S.; Bhadra, K.; Maldonado, F.","Ratwani, Ankush P. (57200533035); Duke, Jennifer D. (57994037300); Paez, Rafael (57224334341); Bridwell, Greta (60012459000); Shojaee, Samira (55999293600); Lentz, Robert James (57190001804); Eagle, Susan S. (14520545300); Bhadra, Krish (36630005800); Maldonado, Fabien (23012782200)",57200533035; 57994037300; 57224334341; 60012459000; 55999293600; 57190001804; 14520545300; 36630005800; 23012782200,Sustained breath-holds in bronchoscopy: a pause worth taking?—a narrative review,2025,Journal of Thoracic Disease,17,11,,10541,10550,0,10.21037/jtd-2025-1112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023157566&doi=10.21037%2Fjtd-2025-1112&partnerID=40&md5=8f025906f88d7ab92aff916af729e186,"Background and Objective: Innovations in advanced diagnostic bronchoscopy have transformed our ability to biopsy peripheral pulmonary lesions. Lesion movement throughout the respiratory cycle can reduce biopsy precision, particularly when targeting small nodules. To eliminate this, breath-hold (BH) maneuvers using apneic oxygenation have recently gained traction despite minimal data on their use during bronchoscopy. This narrative review explores the physiological basis, historical context, and early procedural use of apneic oxygenation in bronchoscopy, highlighting future research priorities. Methods: We reviewed studies published from inception through May 2025 using Ovid MEDLINE, PubMed, EMBASE, and Google Scholar. We focused on literature evaluating apneic oxygenation and BH maneuvers in procedural medicine, focusing on its historical development, physiology, feasibility, and its application in pulmonary procedures. Key Content and Findings: Prior studies have demonstrated that adequate oxygen delivery can be maintained through passive diffusion, supporting tissue perfusion in the absence of ventilation. However, carbon dioxide accumulates along a nonlinear trajectory, making the prediction of hypercapnia and respiratory acidosis challenging. Although well established in airway surgery, the application of apneic oxygenation in bronchoscopy is still evolving, with limited published data to guide its use. Future research should adopt a stepwise approach, beginning with safety and feasibility studies before progressing to comparative randomized trials. Conclusions: Sustained BH maneuvers are a novel strategy to increase procedural precision in advanced diagnostic bronchoscopy. Structured clinical research will be critical to defining its safety, tolerability, effectiveness, and role in routine clinical practice before widespread implementation. © AME Publishing Company.",apneic oxygenation; breath-hold (BH); Bronchoscopy; diagnostic precision; respiratory maneuvers,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105023157566
"Krishnan, A.R.; Li, T.Z.; Remedios, L.W.; Kim, M.E.; Gao, C.; Rudravaram, G.; McMaster, E.M.; Saunders, A.M.; Bao, S.; Xu, K.; Zuo, L.; Sandler, K.L.; Maldonado, F.; Huo, Y.; Landman, B.A.","Krishnan, Aravind R. (58195099100); Li, Thomas Z. (57557667700); Remedios, Lucas W. (57226830336); Kim, Michael E. (58290603100); Gao, Chenyu (57363597800); Rudravaram, Gaurav (57442300300); McMaster, Elyssa M. (59912653900); Saunders, Adam M. (58325980600); Bao, Shunxing (57189987093); Xu, Kaiwen (57218363938); Zuo, Lianrui (57202855256); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",58195099100; 57557667700; 57226830336; 58290603100; 57363597800; 57442300300; 59912653900; 58325980600; 57189987093; 57218363938; 57202855256; 57188931283; 23012782200; 56830058500; 16679175200,Multipath cycleGAN for harmonization of paired and unpaired low-dose lung computed tomography reconstruction kernels,2025,Medical Physics,52,11,e70120,,,0,10.1002/mp.70120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021200286&doi=10.1002%2Fmp.70120&partnerID=40&md5=82ee28c9a5aab0a36d89be052cfab36b,"Background: Reconstruction kernels in computed tomography (CT) introduce variability in spatial resolution and noise distribution, creating systematic differences in quantitative imaging measurements, that icl, emphysema characterization in lung imaging. While harmonization across images reconstructed using different kernels from the same manufacturer is feasible, this can be challenging in multi-centre or longitudinal studies where images are acquired using kernels from different manufacturers. This variability results in heterogeneous quantitative measurements that are difficult to compare. Therefore, it is necessary to standardize all images to a common reference kernel. Purpose: We explore training a harmonization model using paired reconstruction kernels (obtained from the same manufacturer for a given subject) and unpaired reconstruction kernels (obtained across different manufacturers for different subjects) in a low dose lung cancer screening cohort, validating our approach through quantitative CT measurements. Our overall goal is to use both sets of data to construct a shared latent space while recognizing the ability of different types of data to contribute through different classes of loss functions. Methods: We develop a multipath cycleGAN that enables multi-domain kernel harmonization through a shared latent space, domain specific encoder-decoder architectures, and discriminators trained in an unsupervised manner using a mixture of paired and unpaired data. We train our model using 100 scans each from seven representative kernels (Siemens B50f, Siemens B30f, GE BONE, GE STANDARD, GE LUNG, Philips C, and Philips D) from the National Lung Screening Trial (NLST) dataset, enabling harmonization across 42 different kernel combinations. Using 240 withheld scans from each kernel, we evaluate our approach on paired kernels using percent emphysema. For unpaired kernels, we harmonize all scans to the style of a reference soft kernel (Siemens B30f) and evaluate our model using percent emphysema, followed by a general linear model analysis that investigates the impact of age, sex, smoking status, and kernel on emphysema. Additionally, we harmonize all soft kernels to a reference hard kernel (Siemens B50f), quantifying percent emphysema. We assess anatomical consistency in unpaired kernels harmonized to a reference soft kernel by comparing segmentations of lung vessels, muscle, and subcutaneous adipose tissue derived from TotalSegmentator between the non-harmonized and harmonized images. We compare the performance of our model to the standard cycleGAN and a switchable cycleGAN model. Results: For paired kernels, the proposed multipath approach reduced differences in percent emphysema as seen from the Bland Altman analysis (p < 0.05), achieving the best performance on one kernel pair over the standard cycleGAN and on two pairs over the switchable cycleGAN.For unpaired kernels where all source kernels were harmonized to a reference soft kernel, our method mitigated differences in three of six kernels, comparable to the switchable cycleGAN, while the standard cycleGAN mitigated differences in four of six kernels. When harmonizing all soft kernels to a reference hard kernel, our approach outperformed the switchable cycleGAN and was comparable to the standard cycleGAN. Our proposed approach maintains anatomical consistency in muscle, adipose tissue across all unpaired kernels and showed reasonable overlap on three kernels for lung vessels when compared to the cycleGAN; however, performance was lower when compared to the switchable cycleGAN. Conclusions: Paired and unpaired kernel harmonization with a shared latent space multipath cycleGAN mitigates errors in emphysema quantification and maintains anatomical consistency after harmonization. © 2025 The Author(s). Medical Physics published by Wiley Periodicals LLC on behalf of American Association of Physicists in Medicine.",multipath cycleGAN; percent emphysema; reconstruction kernel; shared latent space,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105021200286
