Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Roshanitabrizi, P.; Nath, V.; Brown, K.; Broudy, T.G.; Jiang, Z.; Parida, A.; Rwebembera, J.; Okello, E.; Beaton, A.; Roth, H.R.; Sable, C.A.; Linguraru, M.G.","Roshanitabrizi, Pooneh (57285530200); Nath, Vishwesh (57194026100); Brown, Kelsey (57907791600); Broudy, Taylor Gloria (60127086300); Jiang, Zhifan (57823927300); Parida, Abhijeet (57219750411); Rwebembera, Joselyn (55407995000); Okello, Emmy S. (23020097900); Beaton, Andrea Zawacki (25957617800); Roth, Holger R. (36622444300); Sable, Craig Andrew (18635484200); Linguraru, Marius George (35588324900)",57285530200; 57194026100; 57907791600; 60127086300; 57823927300; 57219750411; 55407995000; 23020097900; 25957617800; 36622444300; 18635484200; 35588324900,End-to-end Spatiotemporal Analysis of Color Doppler Echocardiograms: Application for Rheumatic Heart Disease Detection,2025,IEEE Transactions on Medical Imaging,,,,,,0,10.1109/TMI.2025.3615574,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018312130&doi=10.1109%2FTMI.2025.3615574&partnerID=40&md5=567f7ebb9ac5f67d7903de9a73002796,"Rheumatic heart disease (RHD) represents a significant global health challenge, disproportionately affecting over 40 million people in low- and middle-income countries. Early detection through color Doppler echocardiography is crucial for treating RHD, but it requires specialized physicians who are often scarce in resource-limited settings. To address this disparity, artificial intelligence (AI)-driven tools for RHD screening can provide scalable, autonomous solutions to improve access to critical healthcare services in underserved regions. This paper introduces RADAR (Rapid AI-Assisted Echocardiography Detection and Analysis of RHD), a novel and generalizable AI approach for end-to-end spatiotemporal analysis of color Doppler echocardiograms, aimed at detecting early RHD in resource-limited settings. RADAR identifies key imaging views and employs convolutional neural networks to analyze diagnostically relevant phases of the cardiac cycle. It also localizes essential anatomical regions and examines blood flow patterns. It then integrates all findings into a cohesive analytical framework. RADAR was trained and validated on 1,022 echocardiogram videos from 511 Ugandan children, acquired using standard portable ultrasound devices. An independent set of 318 cases, acquired using a handheld ultrasound device with diverse imaging characteristics, was also tested. On the validation set, RADAR outperformed existing methods, achieving an average accuracy of 0.92, sensitivity of 0.94, and specificity of 0.90. In independent testing, it maintained high, clinically acceptable performance, with an average accuracy of 0.79, sensitivity of 0.87, and specificity of 0.70. These results highlight RADAR’s potential to improve RHD detection and promote health equity for vulnerable children by enhancing timely, accurate diagnoses in underserved regions. © 1982-2012 IEEE.",Color Doppler Echocardiography; Deep Learning; End-to-End Spatiotemporal Analysis; Low Resource; Rheumatic Heart Disease,Article,aip,,Scopus,2-s2.0-105018312130
"Nath, V.; Li, W.; Yang, D.; Myronenko, A.; Zheng, M.; Lu, Y.; Liu, Z.; Yin, H.; Law, Y.M.; Tang, Y.; Guo, P.; Zhao, C.; Xu, Z.; He, Y.; Harmon, S.; Simon, B.; Heinrich, G.; Aylward, S.; Edgar, M.; Zephyr, M.; Molchanov, P.; Turkbey, B.; Roth, H.R.; Xu, D.","Nath, Vishwesh (57194026100); Li, Wenqi (55823995400); Yang, Dong (60095035600); Myronenko, Andriy (15042863000); Zheng, Mingxin (57984456300); Lu, Yao (57221220349); Liu, Zhijian (57213431660); Yin, Hongxu (56942777700); Law, Yeeman (59745189000); Tang, Yucheng (57212614566); Guo, Pengfei (57215060760); Zhao, Can (57190618849); Xu, Ziyue (35209309700); He, Yufan (57195739376); Harmon, Stephanie Anne (57191581147); Simon, Benjamin D. (58852235300); Heinrich, Greg (57215269964); Aylward, Stephen R. (7004344836); Edgar, Marc (59744901500); Zephyr, Michael (57984989200); Molchanov, Pavlo A. (57191194479); Turkbey, Ismail Baris (9435311800); Roth, Holger R. (36622444300); Xu, Daguang (57191707223)",57194026100; 55823995400; 60095035600; 15042863000; 57984456300; 57221220349; 57213431660; 56942777700; 59745189000; 57212614566; 57215060760; 57190618849; 35209309700; 57195739376; 57191581147; 58852235300; 57215269964; 7004344836; 59744901500; 57984989200; 57191194479; 9435311800; 36622444300; 57191707223,VILA-M3: Enhancing Vision-Language Models with Medical Expert Knowledge,2025,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,14788,14798,8,10.1109/CVPR52734.2025.01378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017041026&doi=10.1109%2FCVPR52734.2025.01378&partnerID=40&md5=9cb1490d2220f5832d8c3f1c15efbc09,"Generalist vision language models (VLMs) have made significant strides in computer vision, but they fall short in specialized fields like healthcare, where expert knowledge is essential. Current large multimodal models like Gemini and GPT-4o are insufficient for medical tasks due to their reliance on memorized internet knowledge rather than the nuanced expertise required in healthcare. Meanwhile, existing medical VLMs (e.g. Med-Gemini) often lack expert consultation as part of their design, and many rely on outdated, static datasets that were not created with modern, large deep learning models in mind. VLMs are usually trained in three stages: vision pre-training, vision-language pre-training, and instruction fine-tuning (IFT). IFT has been typically applied using a mixture of generic and healthcare data. In contrast, we propose that for medical VLMs, a fourth stage of specialized IFT is necessary, which focuses on medical data and includes information from domain expert models. Domain expert models developed for medical use are crucial because they are specifically trained for certain clinical tasks, e.g. to detect tumors and classify abnormalities through segmentation and classification, which learn fine-grained features of medical data-features that are often too intricate for a VLM to capture effectively. This paper introduces a new framework, VILA-M3, for medical VLMs that utilizes domain knowledge via expert models. We argue that generic VLM architectures alone are not viable for real-world clinical applications and on-demand usage of domain-specialized expert model knowledge is critical for advancing AI in healthcare. Through our experiments, we show an improved state-of-the-art (SOTA) performance with an average improvement of ~9% over the prior SOTA model Med-Gemini and ~6% over models trained on the specific tasks. Our approach emphasizes the importance of domain expertise in creating precise, reliable VLMs for medical applications. © 2025 IEEE.",healthcare; multi-modal models; radiology; vision language models,Conference paper,Final,,Scopus,2-s2.0-105017041026
"Jiang, Z.; Nath, V.; Roth, H.R.; Parida, A.; Foreman, N.; Fisher, M.J.; Packer, R.J.; Anwar, S.M.; Avery, R.A.; Linguraru, M.G.","Jiang, Zhifan (57823927300); Nath, Vishwesh (57194026100); Roth, Holger R. (36622444300); Parida, Abhijeet (57219750411); Foreman, Nicholas K. (7005236296); Fisher, Michael Jay (55741957900); Packer, Roger J. (57205950682); Anwar, Syed Muhammad (36781722700); Avery, Robert A. (8663919300); Linguraru, Marius George (35588324900)",57823927300; 57194026100; 36622444300; 57219750411; 7005236296; 55741957900; 57205950682; 36781722700; 8663919300; 35588324900,KALM: Knowledge-Driven Active Learning for Medical Image Segmentation Using Localized Similarity,2025,Proceedings - International Symposium on Biomedical Imaging,,,,,,0,10.1109/ISBI60581.2025.10981164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005834816&doi=10.1109%2FISBI60581.2025.10981164&partnerID=40&md5=a4a946724e9dae58822874b4a03ed080,"Limited labeled data could compromise the robustness of segmentation models trained on medical images. In medical imaging, manual segmentation is time-consuming and financially costly since expert human labor (radiologist etc.) is required. Active learning (AL) is a promising approach to reduce the amount of labeled data required to train a model by iteratively selecting only the most beneficial instances to be labeled from the pool of unlabeled data. Towards this, we propose a novel AL query paradigm designed for the segmentation of 3D medical images. We use a selector which incorporates the knowledge related to a segmentation model performance measured by the Dice similarity coefficient on a validation dataset. The selector identifies failed validation cases and searches for potentially unsuccessful cases in the unlabeled pool by maximizing a localized image similarity metric. The method is evaluated on two datasets of medical images from multiple sites and modalities: 479 pediatric brain magnetic resonance images for the segmentation of the anterior visual pathway and 131 contrast-enhanced computed tomography scans for liver and tumor segmentation. Our results demonstrate that the proposed AL strategy achieves similar or better segmentation performance than established but computationally more complex uncertainty sampling methods, while showcasing its potential to efficiently select optimal unlabeled data. © 2025 IEEE.",Active Learning; Computed Tomography; Magnetic Resonance Imaging; Segmentation,Conference paper,Final,,Scopus,2-s2.0-105005834816
"Guo, P.; Zhao, C.; Yang, D.; Xu, Z.; Nath, V.; Tang, Y.; Simon, B.; Belue, M.; Harmon, S.; Turkbey, B.; Xu, D.","Guo, Pengfei (57215060760); Zhao, Can (57190618849); Yang, Dong (60095035600); Xu, Ziyue (35209309700); Nath, Vishwesh (57194026100); Tang, Yucheng (57212614566); Simon, Benjamin D. (58852235300); Belue, Mason James (57201657721); Harmon, Stephanie Anne (57191581147); Turkbey, Ismail Baris (9435311800); Xu, Daguang (57191707223)",57215060760; 57190618849; 60095035600; 35209309700; 57194026100; 57212614566; 58852235300; 57201657721; 57191581147; 9435311800; 57191707223,MAISI: Medical AI for Synthetic Imaging,2025,"Proceedings - 2025 IEEE Winter Conference on Applications of Computer Vision, WACV 2025",,,,4430,4441,9,10.1109/WACV61041.2025.00435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003636925&doi=10.1109%2FWACV61041.2025.00435&partnerID=40&md5=410f732f940725bc51948dda53d69099,"Medical imaging analysis faces challenges such as data scarcity, high annotation costs, and privacy concerns. This paper introduces the Medical AI for Synthetic Imaging (MAISI), an innovative approach using the diffusion model to generate synthetic 3D computed tomography (CT) images to address those challenges. MAISI leverages the foundation volume compression network and the latent diffusion model to produce high-resolution CT images (up to a landmark volume dimension of 512 × 512 × 768) with flexible volume dimensions and voxel spacing. By incorporating ControlNet, MAISI can process organ segmentation, including 127 anatomical structures, as additional conditions and enables the generation of accurately annotated synthetic images that can be used for various downstream tasks. Our experiment results show that MAISI's capabilities in generating realistic, anatomically accurate images for diverse regions and conditions reveal its promising potential to mitigate challenges using synthetic data. © 2025 IEEE.",diffusion,Conference paper,Final,,Scopus,2-s2.0-105003636925
"Newlin, N.R.; Schilling, K.G.; Koudoro, S.; Chandio, B.Q.; Kanakaraj, P.; Moyer, D.; Kelly, C.E.; Genc, S.; Yang, J.Y.-M.; Wu, Y.; Adluru, N.; Nath, V.; Pathak, S.; Schneider, W.; Gade, A.; Consagra, W.; Rathi, Y.; Hendriks, T.; Vilanova, A.; Chamberland, M.; Pieciak, T.; Ciupek, D.; Vega, A.T.; Aja-Fernández, S.; Malawski, M.; Ouedraogo, G.; Machnio, J.; Thompson, P.M.; Jahanshad, N.; Garyfallidis, E.; Landman, B.A.","Newlin, Nancy R. (58133978900); Schilling, Kurt G. (56192036700); Koudoro, Serge (57212646442); Chandio, Bramsh Qamar (57219376673); Kanakaraj, Praitayini (57217029207); Moyer, Daniel C. (57117453900); Kelly, Claire E. (55017105900); Genc, Sila (57050179300); Yang, Joseph Yuan Mou (56393563200); Wu, Ye (56739365600); Adluru, Nagesh (22833809800); Nath, Vishwesh (57194026100); Pathak, Sudhir K. (26653675400); Schneider, Walter W. (7403514850); Gade, Anurag (59516349400); Consagra, William (57222379895); Rathi, Yogesh (8731212600); Hendriks, Tom (58546874600); Vilanova, Anna (8983322800); Chamberland, Maxime (55808645900); Pieciak, Tomasz (55255307000); Ciupek, Dominika (58401231300); Vega, Antonio Tristán (59516306300); Aja-Fernández, Santiago (6507904679); Malawski, Maciej (22433325400); Ouedraogo, Gani (59516266500); Machnio, Julia (59300089000); Thompson, Paul M. (57217465353); Jahanshad, Neda (8517650500); Garyfallidis, Eleftherios (57220285937); Landman, Bennett Allan (16679175200)",58133978900; 56192036700; 57212646442; 57219376673; 57217029207; 57117453900; 55017105900; 57050179300; 56393563200; 56739365600; 22833809800; 57194026100; 26653675400; 7403514850; 59516349400; 57222379895; 8731212600; 58546874600; 8983322800; 55808645900; 55255307000; 58401231300; 59516306300; 6507904679; 22433325400; 59516266500; 59300089000; 57217465353; 8517650500; 57220285937; 16679175200,Introducing QuantConn: Overcoming Challenging Diffusion Acquisitions with Harmonization,2025,Lecture Notes in Computer Science,15171 LNCS,,,164,174,0,10.1007/978-3-031-86920-4_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003629180&doi=10.1007%2F978-3-031-86920-4_15&partnerID=40&md5=27aae836b02374b4108b9cc6cba438a2,"White matter alterations are increasingly implicated in neurological diseases and their progression. Diffusion-weighted magnetic resonance imaging (DW-MRI) has been included in many international-scale studies to identify alterations in white matter microstructure and connectivity. Yet, quantitative investigation of DW-MRI data is hindered by a lack of consistency due to variations in acquisition protocols, sites, and scanners. Specifically, there is a need to harmonize the preprocessing of DW-MRI datasets to ensure that compatible and reproducible quantitative metrics are derived from each site, including (1) bundle-wise microstructure measures, (2) features of white matter fiber bundles, and (3) connectomics measures. In the MICCAI CDMRI 2023 QuantConn challenge, participants are provided raw data from the same individuals taken with two different acquisition protocols on a single 4 tesla scanner in the same scanning session and asked to preprocess the data in order to minimize acquisition differences while retaining biological variation. Here, we outline the testing framework, provide baseline pre-harmonized results, and discuss the learning implications of this challenge. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",connectome; Diffusion MRI; harmonization; image processing; macrostructure; microstructure; tractography,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-105003629180
"Liu, Q.; Deng, R.; Cui, C.; Yao, T.; Yang, Y.; Nath, V.; Li, B.; Chen, Y.; Tang, Y.; Huo, Y.","Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yao, Tianyuan (57222525765); Yang, Yuechen (59530872600); Nath, Vishwesh (57194026100); Li, Bingshan (23479764000); Chen, You (37039449900); Tang, Yucheng (57212614566); Huo, Yuankai (56830058500)",57336485300; 57219448253; 57219469236; 57222525765; 59530872600; 57194026100; 23479764000; 37039449900; 57212614566; 56830058500,mTREE: Multi-Level Text-Guided Representation End-to-End Learning for Whole Slide Image Analysis,2025,IS and T International Symposium on Electronic Imaging Science and Technology,37,12,HPCI-183,,,0,10.2352/EI.2025.37.12.HPCI-183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000833089&doi=10.2352%2FEI.2025.37.12.HPCI-183&partnerID=40&md5=1b2292465764a2b89aeb91ece6abf61a,"Multi-modal learning adeptly integrates visual and textual data, but its application to histopathology image and text analysis remains challenging, particularly with large, high-resolution images like gigapixel Whole Slide Images (WSIs). Current methods typically rely on manual region labeling or multi-stage learning to assemble local representations (e.g., patch-level) into global features (e.g., slide-level). However, there is no effective way to integrate multi-scale image representations with text data in a seamless end-to-end process. In this study, we introduce Multi-Level Text-Guided Representation End-to-End Learning (mTREE). This novel text-guided approach effectively captures multi-scale WSI representations by utilizing information from accompanying textual pathology information. mTREE innovatively combines – the localization of key areas (“global-to-local”) and the development of a WSI-level image-text representation (“local-to-global”) – into a unified, end-to-end learning framework. In this model, textual information serves a dual purpose: firstly, functioning as an attention map to accurately identify key areas, and secondly, acting as a conduit for integrating textual features into the comprehensive representation of the image. Our study demonstrates the effectiveness of mTREE through quantitative analyses in two image-related tasks: classification and survival prediction, showcasing its remarkable superiority over baselines. Code and trained models are made available at https://github.com/hrlblab/mTREE. © 2025 Society for Imaging Science and Technology.",,Conference paper,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000833089
"Cai, L.Y.; Lee, H.H.; Johnson, G.W.; Newlin, N.R.; Ramadass, K.; Kim, M.E.; Archer, D.; Hohman, T.J.; Jefferson, A.L.; Begnoche, J.P.; Boyd, B.D.; Taylor, W.D.; Morgan, V.L.; Englot, D.J.; Nath, V.; Chotai, S.; Barquero, L.; D’Archangel, M.; Cutting, L.E.; Dawant, B.M.; Rheault, F.; Moyer, D.; Schilling, K.G.; Gore, J.C.; Landman, B.A.","Cai, Leon Y. (57203145686); Lee, Hohin (57219409783); Johnson, Graham W. (57216801905); Newlin, Nancy R. (58133978900); Ramadass, Karthik (57221294056); Kim, Michael E. (58290603100); Archer, Derek B. (55915833400); Hohman, Timothy J. (57211697123); Jefferson, Angela Lee (8228195700); Begnoche, John Patrick (57221348235); Boyd, Brian D. (37098596500); Taylor, Warren D. (7402890604); Morgan, Victoria L. (7004877594); Englot, Dario J. (23667065900); Nath, Vishwesh (57194026100); Chotai, Silky P. (37005559600); Barquero, Laura A. (8614903000); D’Archangel, Micah (57740676200); Cutting, Laurie E. (6603345531); Dawant, Benoît M. (7007025943); Rheault, François (57062832800); Moyer, Daniel C. (57117453900); Schilling, Kurt G. (56192036700); Gore, John C. (7202242633); Landman, Bennett Allan (16679175200)",57203145686; 57219409783; 57216801905; 58133978900; 57221294056; 58290603100; 55915833400; 57211697123; 8228195700; 57221348235; 37098596500; 7402890604; 7004877594; 23667065900; 57194026100; 37005559600; 8614903000; 57740676200; 6603345531; 7007025943; 57062832800; 57117453900; 56192036700; 7202242633; 16679175200,Tractography from T1-weighted MRI: Empirically exploring the clinical viability of streamline propagation without diffusion MRI,2024,Imaging Neuroscience,2,,,1,20,4,10.1162/imag_a_00259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009940596&doi=10.1162%2Fimag_a_00259&partnerID=40&md5=7b5caf5b3fe6f79fa4476bf7d641ac08,"Over the last few decades, diffusion MRI (dMRI) streamline tractography has emerged as the dominant method for in vivo estimation of white matter (WM) pathways in the brain. One key limitation to this technique is that modern tractography implementations require high angular resolution diffusion imaging (HARDI). However, HARDI can be difficult to collect clinically, limiting the reach of tractography analyses to research cohorts and thus limiting many WM investigations to certain populations and pathologies. As such, a clinically viable tractography solution applicable to wider patient populations scanned as a part of routine care would be of key significance in broadening WM analyses to underfunded or rarer diseases and to the clinical setting. Such a solution would require the ability to perform arbitrary tractography analyses, use only clinical imaging for input, and be open source and widely accessible and implementable. Thus, here we evaluate our recently developed, containerized, and open-source, T1-weighted (T1w) MRI-based deep learning model for streamline propagation. We empirically assess its performance against traditional dMRI-based and established atlas-based approaches in a healthy young population, an aging one, and in those with epilepsy, depression, and brain cancer. In the healthy young population, we find slightly increased error compared to traditional tractography with the deep learning model that falls within the bounds attributable to dMRI variability and is considerably less than the atlas-based approach. Further, seeking to replicate previously published dMRI tractography effects in the remaining cohorts as an initial assessment of clinical viability, we find this model successfully does so in some key cases—particularly in applications that rely on long-range streamlines including those not captured by the atlas-based approach—but importantly not all. These results suggest a deep learning-based approach to tractography with T1w MRI demonstrates promise within the limitations of our definition of clinical viability and especially over atlas-based approaches but requires refinement and more robust consideration of out-of-distribution effects prior to widespread clinical use. We also find these results raise additional questions regarding the differences in image content between dMRI and T1w MRI and their relationship to tractography. Further investigation of these questions will improve the field’s understanding of which features of the brain influence measured tractography effects. © 2024 The Authors. Published under a Creative Commons Attribution 4.0 International (CC BY NC ND 4.0) license.",convolutional recurrent neural networks; CoRNN; diffusion MRI; open-source software; streamline tractography; T1-weighted MRI; white matter,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105009940596
"Diaz-Pinto, A.; Alle, S.; Nath, V.; Tang, Y.; Ihsani, A.; Asad, M.; Pérez-García, F.; Mehta, P.; Li, W.; Flores, M.; Roth, H.R.; Vercauteren, T.; Xu, D.; Dogra, P.; Ourselin, S.; Feng, A.; Cardoso, M.J.","Diaz-Pinto, Andres (57204781309); Alle, Sachidanand (57195602231); Nath, Vishwesh (57194026100); Tang, Yucheng (57212614566); Ihsani, Alvin (55822376700); Asad, Muhammad Abdullah Al (57212584536); Pérez-García, Fernando (57210373446); Mehta, Pritesh (57216955536); Li, Wenqi (55823995400); Flores, Mona G. (57218528816); Roth, Holger R. (36622444300); Vercauteren, Tom (23010613000); Xu, Daguang (57191707223); Dogra, Prerna (57219307600); Ourselin, Sebastien G. (6602233595); Feng, Andrew (57212008067); Cardoso, Jorge Jorge (57204636980)",57204781309; 57195602231; 57194026100; 57212614566; 55822376700; 57212584536; 57210373446; 57216955536; 55823995400; 57218528816; 36622444300; 23010613000; 57191707223; 57219307600; 6602233595; 57212008067; 57204636980,MONAI Label: A framework for AI-assisted interactive labeling of 3D medical images,2024,Medical Image Analysis,95,,103207,,,56,10.1016/j.media.2024.103207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193484576&doi=10.1016%2Fj.media.2024.103207&partnerID=40&md5=31854183943ae26ec7642886dd4d085d,"The lack of annotated datasets is a major bottleneck for training new task-specific supervised machine learning models, considering that manual annotation is extremely expensive and time-consuming. To address this problem, we present MONAI Label, a free and open-source framework that facilitates the development of applications based on artificial intelligence (AI) models that aim at reducing the time required to annotate radiology datasets. Through MONAI Label, researchers can develop AI annotation applications focusing on their domain of expertise. It allows researchers to readily deploy their apps as services, which can be made available to clinicians via their preferred user interface. Currently, MONAI Label readily supports locally installed (3D Slicer) and web-based (OHIF) frontends and offers two active learning strategies to facilitate and speed up the training of segmentation algorithms. MONAI Label allows researchers to make incremental improvements to their AI-based annotation application by making them available to other researchers and clinicians alike. Additionally, MONAI Label provides sample AI-based interactive and non-interactive labeling applications, that can be used directly off the shelf, as plug-and-play to any given dataset. Significant reduced annotation times using the interactive model can be observed on two public datasets. © 2024",3D medical imaging; Active learning; Deep learning; Interactive 3D image segmentation,Article,Final,,Scopus,2-s2.0-85193484576
"Darestani, M.Z.; Nath, V.; Li, W.; He, Y.; Roth, H.R.; Xu, Z.; Xu, D.; Heckel, R.; Zhao, C.","Darestani, Mohammad Zalbagi (57219548466); Nath, Vishwesh (57194026100); Li, Wenqi (57443302100); He, Yufan (57195739376); Roth, Holger R. (36622444300); Xu, Ziyue (35209309700); Xu, Daguang (57191707223); Heckel, Reinhard (36082546300); Zhao, Can (57190618849)",57219548466; 57194026100; 57443302100; 57195739376; 36622444300; 35209309700; 57191707223; 36082546300; 57190618849,IR-FRestormer: Iterative Refinement with Fourier-Based Restormer for Accelerated MRI Reconstruction,2024,"Proceedings - 2024 IEEE Winter Conference on Applications of Computer Vision, WACV 2024",,,,7640,7649,9,10.1109/WACV57701.2024.00748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192025299&doi=10.1109%2FWACV57701.2024.00748&partnerID=40&md5=2364cb81671d1c76c81b4cad76ec1fb6,"Accelerated magnetic resonance imaging (MRI) aims to reconstruct high-quality MR images from a set of under-sampled measurements. State-of-the-art methods for this task use deep learning, which offers high reconstruction accuracy and fast runtimes. In this work, we propose a new state-of-the-art reconstruction model for accelerated MRI reconstruction. Our model is the first to combine the power of deep neural networks with iterative refinement for this task. For the neural network component of our method, we utilize a transformer-based architecture as transformers are state-of-the-art in various image reconstruction tasks. However, a major drawback of transformers which has limited their emergence among the state-of-the-art MRI models is that they are often memory inefficient for high-resolution inputs. To address this limitation, we propose a transformer-based model which uses parameter-free Fourier-based attention modules, achieving 2× more memory efficiency. We evaluate our model on the largest publicly available MRI dataset, the fastMRI dataset [46], and achieve on-par performance with other state-of-the-art1 methods on the dataset's leaderboard https://fastmri.org/leaderboards/. © 2024 IEEE.",Applications; Biomedical / healthcare / medicine,Conference paper,Final,,Scopus,2-s2.0-85192025299
"Jose Valanarasu, J.M.J.; Tang, Y.; Yang, D.; Xu, Z.; Zhao, C.; Li, W.; Patel, V.M.; Landman, B.A.; He, Y.; Nath, V.","Jose Valanarasu, Jeya Maria (57219450328); Tang, Yucheng (57212614566); Yang, Dong (60095035600); Xu, Ziyue (35209309700); Zhao, Can (57190618849); Li, Wenqi (55823995400); Patel, Vishal M. (56660008900); Landman, Bennett Allan (16679175200); He, Yufan (57195739376); Nath, Vishwesh (57194026100)",57219450328; 57212614566; 60095035600; 35209309700; 57190618849; 55823995400; 56660008900; 16679175200; 57195739376; 57194026100,Disruptive Autoencoders: Leveraging Low-level features for 3D Medical Image Pre-training,2024,Proceedings of Machine Learning Research,250,,,1553,1570,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211059040&partnerID=40&md5=b9b138952156a7cff7c9cdc485a753e5,"Harnessing the power of pre-training on large-scale datasets like ImageNet forms a fundamental building block for the progress of representation learning-driven solutions in computer vision. Medical images are inherently different from natural images as they are acquired in the form of many modalities (CT, MR, PET, Ultrasound etc.) and contain granulated information like tissue, lesion, organs etc. These characteristics of medical images require special attention towards learning features representative of local context. In this work, we focus on designing an effective pre-training framework for 3D radiology images. First, we propose a new masking strategy called local masking where the masking is performed across channel embeddings instead of tokens to improve the learning of local feature representations. We combine this with classical low-level perturbations like adding noise and downsampling to further enable low-level representation learning. To this end, we introduce Disruptive Autoencoders, a pre-training framework that attempts to reconstruct the original image from disruptions created by a combination of local masking and low-level perturbations. We curate a large-scale dataset to enable pre-training of 3D medical radiology images (MRI and CT). The proposed pre-training framework is tested across multiple downstream tasks and achieves state-of-the-art performance. Notably, our proposed method tops the public test leaderboard of BTCV multi-organ segmentation challenge. Our code can be found here. © 2024 CC-BY 4.0, J.M.J. Valanarasu et al.",Auto-encoders; Segmentation; Self-Supervised Learning,Conference paper,Final,,Scopus,2-s2.0-85211059040
