Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhu, G.; Hong, I.; Li, K.; Anyika, T.; Ugwu, M.T.; Nolen, J.R.; He, M.; Caldwell, J.D.; Ndukaife C, J.C.","Zhu, Guodong (58507372200); Hong, Ikjun (58494319100); Li, Kewei (60156611300); Anyika, Theodore (58236259900); Ugwu, Maxwell T. (59480029600); Nolen, Joshua Ryan (57204213413); He, Mingze (57211639454); Caldwell, Joshua David (14028139500); Ndukaife C, Justus C. (55930117200)",58507372200; 58494319100; 60156611300; 58236259900; 59480029600; 57204213413; 57211639454; 14028139500; 55930117200,Engineering Thermal Emission with Enhanced Emissivity and Quality Factor Using Bound States in the Continuum and Electromagnetically Induced Absorption,2026,Advanced Optical Materials,14,6,e01257,,,0,10.1002/adom.202501257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019764095&doi=10.1002%2Fadom.202501257&partnerID=40&md5=4ff9d07a4be8f0cb96f578536693a305,"Metal-based thermal metasurfaces exhibit stable spectral characteristics under temperature fluctuations, in contrast to more traditional gray- and near black-bodies, as well as some dielectric metasurfaces, whose emission spectra shift with changing temperatures. However, they often suffer from limited quality (Q) factors due to significant non-radiative ohmic losses. This study addresses the challenge of achieving high emissivity and Q-factors in metal-based thermal emitters. By leveraging the coupling of three surface lattice resonances that support bound states in the continuum and electromagnetically induced absorption (EIA), this work designs a metal-based thermal metasurface with a near-unity emissivity (0.96) and a Q factor as high as 320 through simulations. Experimental validation yields an emissivity of 0.82 and a Q factor of 202, representing an approximately fivefold improvement in the experimentally measured Q factor compared to the state-of-the-art metal-based thermal metasurfaces. This work offers a promising approach for developing efficient, narrow-band, directional thermal emitters with stable emission spectra across a wide temperature range. © 2025 The Author(s). Advanced Optical Materials published by Wiley-VCH GmbH.",bound-states-in-continuum; electromagnetically-induced absorption; thermal emission; thermal metasurface,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105019764095
"Kinsey, N.; Haffner, C.; Srinivasan, K.; Agrawal, A.; Ndukaife C, J.C.","Kinsey, Nathaniel G. (55225830200); Haffner, Christian (56181886700); Srinivasan, Kartik A. (7202489683); Agrawal, Amit K. (8615710600); Ndukaife C, Justus C. (55930117200)",55225830200; 56181886700; 7202489683; 8615710600; 55930117200,Finding the Right Ph.D. Advisor,2025,Optics and Photonics News,36,2,,34,37,0,10.1364/opn.36.2.000032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218406946&doi=10.1364%2Fopn.36.2.000032&partnerID=40&md5=a5c06922497d2bf0aa44c22d43cdb05e,"When you start a Ph.D. program, you may be thrilled to be studying a fancy topic that you love-and you should be! But don’t let that prevent you from carefully considering the impact that your Ph.D. supervisor has on your educational experience and career.",,Article,Final,,Scopus,2-s2.0-85218406946
"Anyika, T.; Hong, I.; Zhu, G.; Ndukaife C, J.C.","Anyika, Theodore (58236259900); Hong, Ikjun (58494319100); Zhu, Guodong (58507372200); Ndukaife C, Justus C. (55930117200)",58236259900; 58494319100; 58507372200; 55930117200,Application of Resonant Plasmonic Bowtie Nanoantennas for Optically-Assisted Diffusiophoretic Trapping of Extracellular Vesicles and Nanoparticles,2025,Laser and Photonics Reviews,19,1,2400412,,,3,10.1002/lpor.202400412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202475448&doi=10.1002%2Flpor.202400412&partnerID=40&md5=5cf3fd63dcb3645e048ad02f3870c1e8,"Plasmonic antennas leveraging localized surface plasmon resonances (LSPR) hold a significant premise for efficiently trapping nanoscale particles at low power levels. However, their effectiveness is hindered by photothermal effects that arise with metallic nanoparticles, leading to decreased stability of trapped particles. To address this limitation, a hybrid approach that combines depletion attraction and photothermal effects inherent in plasmonic structures is proposed, capitalizing on thermally induced concentration gradients. Through the thermophoretic depletion of polyethylene glycol (PEG) molecules around plasmonic hotspots, sharp concentration gradients are created, enabling precise localization of nanoscopic particles through a synergistic effect with diffusiophoretic forces. Our experiments successfully demonstrate the ability to trap and dynamically manipulate small extracellular vesicles and 100 nm polystyrene beads, showcasing the platform's potential for assembly at the nanoscale. Remarkably, this method maintains stable trapping performance even at a laser power of (Formula presented.). The demonstration of stable trapping of small extracellular vesicles showcases the compatibility of this platform with bio species. This study introduces a promising avenue for the precise and efficient manipulation of nanoscale particles, with wide-ranging implications in nanotechnology, biophysics, and nanomedicine. This research opens new opportunities for advancing nanoscale particle studies and applications, ushering in a new era of nanoscale manipulation techniques. © 2024 The Author(s). Laser & Photonics Reviews published by Wiley-VCH GmbH.",diffusiophoresis; nanotweezers; plasmonics; polyethylene glycol; trapping,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85202475448
"Hong, C.; Hong, I.; Jiang, Y.; Ndukaife C, J.C.","Hong, Chuchuan (57206179103); Hong, Ikjun (58494319100); Jiang, Yuxi (57226083970); Ndukaife C, Justus C. (55930117200)",57206179103; 58494319100; 57226083970; 55930117200,Plasmonic Dielectric Antennas for Hybrid Optical Nanotweezing And Optothermoelectric Manipulation of Single Nanosized Extracellular Vesicles,2024,Advanced Optical Materials,12,12,2302603,,,8,10.1002/adom.202302603,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184429760&doi=10.1002%2Fadom.202302603&partnerID=40&md5=d1c16c5640f95385551b9fa7261eb428,"This study showcases an experimental demonstration of near-field optical trapping and dynamic manipulation of an individual extracellular vesicle. This is accomplished through the utilization of a plasmonic dielectric nanoantenna designed to support an optical anapole state—a non-radiating optical state resulting from the destructive interference between electric and toroidal dipoles in the far-field, leading to robust near-field enhancement. To further enhance the field intensity associated with the optical anapole state, a plasmonic mirror is incorporated, thereby boosting trapping capabilities. In addition to demonstrating near-field optical trapping, the study achieves dynamic manipulation of extracellular vesicles by harnessing the thermoelectric effect. This effect is induced in the presence of an ionic surfactant, cetyltrimethylammonium chloride, combined with plasmonic heating. Furthermore, the thermoelectric effect improves trapping stability by a deep trapping potential. In summary, the hybrid plasmonic-dielectric trapping platform offers a versatile approach for actively transporting, stably trapping, and dynamically manipulating individual extracellular vesicles. © 2024 The Authors. Advanced Optical Materials published by Wiley-VCH GmbH.",nanomanipulation; nanotweezers; optical anapole; thermoplasmonics,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85184429760
"Zhu, G.; Yang, S.; Ndukaife C, J.C.","Zhu, Guodong (58507372200); Yang, Sen (57281482200); Ndukaife C, Justus C. (55930117200)",58507372200; 57281482200; 55930117200,Merging toroidal dipole bound states in the continuum without up-down symmetry in Lieb lattice metasurfaces,2024,Nanophotonics,13,9,,1561,1568,5,10.1515/nanoph-2023-0686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187499337&doi=10.1515%2Fnanoph-2023-0686&partnerID=40&md5=7d5ec635ee28fcc661dfd1103cc63099,"The significance of bound states in the continuum (BICs) lies in their potential for theoretically infinite quality factors. However, their actual quality factors are limited by imperfections in fabrication, which lead to coupling with the radiation continuum. In this study, we present a novel approach to address this issue by introducing a merging BIC regime based on a Lieb lattice. By utilizing this approach, we effectively suppress the out-of-plane scattering loss, thereby enhancing the robustness of the structure against fabrication artifacts. Notably, unlike previous merging systems, our design does not rely on the up-down symmetry of metasurfaces. This characteristic grants more flexibility in applications that involve substrates and superstrates with different optical properties, such as microfluidic devices. Furthermore, we incorporate a lateral band gap mirror into the design to encapsulate the BIC structure. This mirror serves to suppress the in-plane radiation resulting from finite-size effects, leading to a remarkable ten-fold improvement in the quality factor. Consequently, our merged BIC metasurface, enclosed by the Lieb lattice photonic crystal mirror, achieves an exceptionally high-quality factor of 105 while maintaining a small footprint of 26.6 × 26.6μm. Our findings establish an appealing platform that capitalizes on the topological nature of BICs within compact structures. This platform holds great promise for various applications, including optical trapping, optofluidics, and high-sensitivity biodetection, opening up new possibilities in these fields. © 2024 the author(s), published by De Gruyter, Berlin/Boston.",band gap mirror; high-Q metasurfaces; Lieb lattice; merging BIC; toroidal dipole,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85187499337
"Yang, S.; He, M.; Hong, C.; Nordlander, J.; Maria, J.-P.; Caldwell, J.D.; Ndukaife C, J.C.","Yang, Sen (57281482200); He, Mingze (57211639454); Hong, Chuchuan (57206179103); Nordlander, Josh L. (57219766875); Maria, Jon Paul (7006619267); Caldwell, Joshua David (14028139500); Ndukaife C, Justus C. (55930117200)",57281482200; 57211639454; 57206179103; 57219766875; 7006619267; 14028139500; 55930117200,Single-peak and narrow-band mid-infrared thermal emitters driven by mirror-coupled plasmonic quasi-BIC metasurfaces,2024,Optica,11,3,,305,314,24,10.1364/OPTICA.514203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188660503&doi=10.1364%2FOPTICA.514203&partnerID=40&md5=29978a6e066b9df008795fb469548b1d,"Wavelength-selective thermal emitters (WS-EMs) hold considerable appeal due to the scarcity of cost-effective, narrowband sources in the mid-to-long-wave infrared spectrum. WS-EMs achieved via dielectric materials typically exhibit thermal emission peaks with high quality factors (Q factors), but their optical responses are prone to temperature fluctuations. Metallic EMs, on the other hand, show negligible drifts with temperature changes, but their Q factors usually hover around 10. In this study, we introduce and experimentally verify an EM grounded in plasmonic quasi-bound states in the continuum (BICs) within a mirror-coupled system. Our design numerically delivers an ultra-narrowband single peak with a Qfactor of approximately 64 and near-unity absorptance that can be freely tuned within an expansive band of more than 10 μm. By introducing air slots symmetrically, the Qfactor can be further augmented to around 100. Multipolar analysis and phase diagrams are presented to elucidate the operational principle. Importantly, our infrared spectral measurements affirm the remarkable resilience of our designs’ resonance frequency in the face of temperature fluctuations over 300°C. Additionally, we develop an effective impedance model based on the optical nanoantenna theory to understand how further tuning of the emission properties is achieved through precise engineering of the slot. This research thus heralds the potential of applying plasmonic quasi-BICs in designing ultra-narrowband, temperaturestable thermal emitters in the mid-infrared. Moreover, such a concept may be adaptable to other frequency ranges, such as near-infrared, terahertz, and gigahertz. © 2024 Optica Publishing Group.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85188660503
"Hong, C.; Hong, I.; Yang, S.; Ndukaife C, J.C.","Hong, Chuchuan (57206179103); Hong, Ikjun (58494319100); Yang, Sen (57281482200); Ndukaife C, Justus C. (55930117200)",57206179103; 58494319100; 57281482200; 55930117200,Towards rapid colorimetric detection of extracellular vesicles using optofluidics-enhanced color-changing optical metasurface,2024,Optics Express,32,4,,4769,4777,5,10.1364/OE.506686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184394870&doi=10.1364%2FOE.506686&partnerID=40&md5=e963d001a4ede39d05a59654a0d2a93b,"Efficient transportation and delivery of analytes to the surface of optical sensors are crucial for overcoming limitations in diffusion-limited transport and analyte sensing. In this study, we propose a novel approach that combines metasurface optics with optofluidics-enabled active transport of extracellular vesicles (EVs). By leveraging this combination, we show that we can rapidly capture EVs and detect their adsorption through a color change generated by a specially designed optical metasurface that produces structural colors. Our results demonstrate that the integration of optofluidics and metasurface optics enables spectrometer-less and label-free colorimetric read-out for EV concentrations as low as 107 EVs/ml, achieved within a short incubation time of two minutes. © 2024 Optica Publishing Group under the terms of the Optica Open Access Publishing Agreement.",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85184394870
"Yang, S.; Hong, C.; Zhu, G.; Anyika, T.; Hong, I.; Ndukaife C, J.C.","Yang, Sen (57281482200); Hong, Chuchuan (57206179103); Zhu, Guodong (58507372200); Anyika, Theodore (58236259900); Hong, Ikjun (58494319100); Ndukaife C, Justus C. (55930117200)",57281482200; 57206179103; 58507372200; 58236259900; 58494319100; 55930117200,Recent advancements in nanophotonics for optofluidics,2024,Advances in Physics: X,9,1,2416178,,,6,10.1080/23746149.2024.2416178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207206735&doi=10.1080%2F23746149.2024.2416178&partnerID=40&md5=7043dce791ee4aaa1bf86bbf726b2365,"Optofluidics is dedicated to achieving integrated control of particles and fluid motion, particularly on the micrometer scale, by utilizing light to direct fluid flow and particle motion. This field has seen significant growth recently, driven by the concerted efforts of researchers across various scientific disciplines, notably for its successful applications in biomedical science. In this review, we explore a range of optofluidic architectures developed over the past decade, with a primary focus on mechanisms for precise control of micro and nanoscale biological objects and their applications in sensing. Regarding nanoparticle manipulation, we delve into mechanisms based on optical nanotweezers using nanolocalized light fields and light-based hybrid effects with dramatically improved performance and capabilities. In the context of- sensing, we emphasize those works that used optofluidics to aggregate molecules or particles to promote sensing and detection. Additionally, we highlight emerging research directions, encompassing both fundamental principles and practical applications in the field. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",biosensing; electroosmosis; optical manipulation; Optofluidics; optothermal effect; plasmonics,Review,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85207206735
"Anyika, T.; Hong, I.; Ndukaife C, J.C.","Anyika, Theodore (58236259900); Hong, Ikjun (58494319100); Ndukaife C, Justus C. (55930117200)",58236259900; 58494319100; 55930117200,Mirror-Enhanced Plasmonic Nanoaperture for Ultrahigh Optical Force Generation with Minimal Heat Generation,2023,Nano Letters,23,24,,11416,11423,7,10.1021/acs.nanolett.3c02543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179159045&doi=10.1021%2Facs.nanolett.3c02543&partnerID=40&md5=7d2d5b4872d0757135432a480624f0c9,"Double Nanohole Plasmonic Tweezers (DNH) have emerged as a powerful approach for confining light to sub-wavelength volume, enabling the trapping of nanoscale particles much smaller than the wavelength of light. However, to circumvent plasmonic heating effects, DNH tweezers are typically operated off-resonance, resulting in reduced optical forces and field enhancements. In this study, we introduce a novel DNH design with a reflector layer, enabling on-resonance illumination while minimizing plasmonic heating. This design efficiently dissipates heat and redistributes the electromagnetic hotspots, making them more accessible for trapping nanoscale particles and enhancing light-matter interactions. We also demonstrate low-power trapping and release of small extracellular vesicles. Our work opens new possibilities for trapping-assisted Surface Enhanced Raman Spectroscopy (SERS), plasmon-enhanced imaging, and single photon emission applications that demand strong light-matter interactions. © 2023 American Chemical Society.",double nanohole; extracellular vesicles; field enhancement; nanotweezers; plasmonic aperture; trapping,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85179159045
"Hong, C.; Ndukaife C, J.C.","Hong, Chuchuan (57206179103); Ndukaife C, Justus C. (55930117200)",57206179103; 55930117200,Scalable trapping of single nanosized extracellular vesicles using plasmonics,2023,Nature Communications,14,1,4801,,,27,10.1038/s41467-023-40549-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167528965&doi=10.1038%2Fs41467-023-40549-7&partnerID=40&md5=28723d05556e7dc379fb66186fe5336e,"Heterogeneous nanoscale extracellular vesicles (EVs) are of significant interest for disease detection, monitoring, and therapeutics. However, trapping these nano-sized EVs using optical tweezers has been challenging due to their small size. Plasmon-enhanced optical trapping offers a solution. Nevertheless, existing plasmonic tweezers have limited throughput and can take tens of minutes for trapping for low particle concentrations. Here, we present an innovative approach called geometry-induced electrohydrodynamic tweezers (GET) that overcomes these limitations. GET generates multiple electrohydrodynamic potentials, allowing parallel transport and trapping of single EVs within seconds. By integrating nanoscale plasmonic cavities at the center of each GET trap, single EVs can be placed near plasmonic cavities, enabling instant plasmon-enhanced optical trapping upon laser illumination without detrimental heating effects. These non-invasive scalable hybrid nanotweezers open new horizons for high-throughput tether-free plasmon-enhanced single EV trapping and spectroscopy. Other potential areas of impact include nanoplastics characterization, and scalable hybrid integration for quantum photonics. © 2023, Springer Nature Limited.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85167528965
