Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Nanda, A.; Johnson, G.W.; Mu, Y.; Ahrens, M.B.; Chang, C.; Englot, D.J.; Breakspear, M.; Rubinov, M.","Nanda, Aditya (57160723400); Johnson, Graham W. (57216801905); Mu, Yu (59383676600); Ahrens, Misha B. (55227097200); Chang, Catie (59383259100); Englot, Dario J. (23667065900); Breakspear, Michael J. (6603702151); Rubinov, Mikail (26028456500)",57160723400; 57216801905; 59383676600; 55227097200; 59383259100; 23667065900; 6603702151; 26028456500,"Erratum: Time-resolved correlation of distributed brain activity tracks E-I balance and accounts for diverse scale-free phenomena (Cell Reports (2023) 42(4), (S2211124723002656), (10.1016/j.celrep.2023.112254))",2024,Cell Reports,43,11,114950,,,0,10.1016/j.celrep.2024.114950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207360196&doi=10.1016%2Fj.celrep.2024.114950&partnerID=40&md5=502840396817120038698b4e37020c68,"Main text (Cell Reports 42, 112254; April 25, 2023) As this paper was originally published on March 24, 2023, a sentence in the experimental model and subject details subsection “data processing” contained an error in the further subsection “electrophysiology.” The text “All recordings were highpass filtered with a cutoff of 0.5Hz” should have instead read “Macaque anesthesia electrocorticography recordings were highpass filtered with a cutoff of 5Hz, for consistency with the workflow in Solovey et al.29 All other recordings were highpass filtered with a cutoff of 0.5Hz.” Although the article is too old to update directly with the correct text, we can provide this correction notice to let readers know about the error and give them the updated, correct information. The authors apologize for the error. © 2024 The Author(s)",,Erratum,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85207360196
"Hoang, N.; Sardaripour, N.; Ramey, G.D.; Schilling, K.G.; Liao, E.; Chen, Y.; Park, J.H.; Bledsoe, X.; Landman, B.A.; Gamazon, E.R.; Benton, M.L.; Capra, J.A.; Rubinov, M.","Hoang, Nhung (57221141379); Sardaripour, Neda (57477043100); Ramey, Grace D. (59194325200); Schilling, Kurt G. (56192036700); Liao, Emily (59328433900); Chen, Yiting (59328434000); Park, Jee-hyun (59328309900); Bledsoe, Xavier (57201394752); Landman, Bennett Allan (16679175200); Gamazon, Eric R. (35309924700); Benton, Mary Lauren (57194450277); Capra, John Anthony (19639806400); Rubinov, Mikail (26028456500)",57221141379; 57477043100; 59194325200; 56192036700; 59328433900; 59328434000; 59328309900; 57201394752; 16679175200; 35309924700; 57194450277; 19639806400; 26028456500,Integration of estimated regional gene expression with neuroimaging and clinical phenotypes at biobank scale,2024,PLoS Biology,22,9 September,e3002782,,,2,10.1371/journal.pbio.3002782,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203978023&doi=10.1371%2Fjournal.pbio.3002782&partnerID=40&md5=c129417d268db06c4ccaec590cb39e8d,"An understanding of human brain individuality requires the integration of data on brain organization across people and brain regions, molecular and systems scales, as well as healthy and clinical states. Here, we help advance this understanding by leveraging methods from computational genomics to integrate large-scale genomic, transcriptomic, neuroimaging, and electronic-health record data sets. We estimated genetically regulated gene expression (gr-expression) of 18,647 genes, across 10 cortical and subcortical regions of 45,549 people from the UK Biobank. First, we showed that patterns of estimated gr-expression reflect known genetic-ancestry relationships, regional identities, as well as inter-regional correlation structure of directly assayed gene expression. Second, we performed transcriptomewide association studies (TWAS) to discover 1,065 associations between individual variation in gr-expression and gray-matter volumes across people and brain regions. We benchmarked these associations against results from genome-wide association studies (GWAS) of the same sample and found hundreds of novel associations relative to these GWAS. Third, we integrated our results with clinical associations of gr-expression from the Vanderbilt Biobank. This integration allowed us to link genes, via gr-expression, to neuroimaging and clinical phenotypes. Fourth, we identified associations of polygenic gr-expression with structural and functional MRI phenotypes in the Human Connectome Project (HCP), a small neuroimaging-genomic data set with high-quality functional imaging data. Finally, we showed that estimates of gr-expression and magnitudes of TWAS were generally replicable and that the p-values of TWAS were replicable in large samples. Collectively, our results provide a powerful new resource for integrating gr-expression with population genetics of brain organization and disease. © 2024 Hoang et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85203978023
"Rubinov, M.","Rubinov, Mikail (26028456500)",26028456500,"Distinctions between brain structure, complexity, and function. Comment on “Does the brain behave like a (complex) network? I. Dynamics” by Papo and Buldú",2024,Physics of Life Reviews,50,,,30,31,0,10.1016/j.plrev.2024.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194466814&doi=10.1016%2Fj.plrev.2024.05.006&partnerID=40&md5=6008ce8edfd484162ec24fa7ba2a7531,[No abstract available],,Note,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85194466814
"Rubinov, M.","Rubinov, Mikail (26028456500)",26028456500,Circular and unified analysis in network neuroscience,2023,eLife,12,,,,,6,10.7554/eLife.79559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178191363&doi=10.7554%2FeLife.79559&partnerID=40&md5=298d6e2348d667f2ecd0e40bec51daf8,"Genuinely new discovery transcends existing knowledge. Despite this, many analyses in systems neuroscience neglect to test new speculative hypotheses against benchmark empirical facts. Some of these analyses inadvertently use circular reasoning to present existing knowledge as new discovery. Here, I discuss that this problem can confound key results and estimate that it has affected more than three thousand studies in network neuroscience over the last decade. I suggest that future studies can reduce this problem by limiting the use of speculative evidence, integrating existing knowledge into benchmark models, and rigorously testing proposed discoveries against these models. I conclude with a summary of practical challenges and recommendations. © 2023, Rubinov.",benchmark models; computational neuroscience; explanatory models; network neuroscience; neuroscience; none; statistical models; systems neuroscience,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85178191363
"Nanda, A.; Rubinov, M.","Nanda, Aditya (57160723400); Rubinov, Mikail (26028456500)",57160723400; 26028456500,Unbiased and efficient sampling of timeseries reveals redundancy of brain network and gradient structure,2023,NeuroImage,274,,120110,,,0,10.1016/j.neuroimage.2023.120110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156202857&doi=10.1016%2Fj.neuroimage.2023.120110&partnerID=40&md5=0d287ea474ec98b0ed91892d1d26c886,"Many studies in human neuroscience seek to understand the structure of brain networks and gradients. Few studies, however, have tested the redundancy between these outwardly distinct features. Here, we developed methods to directly enable such tests. We built on insights from linear algebra to develop methods for unbiased and efficient sampling of timeseries with network or gradient constraints. We used these methods to show considerable redundancy between popular definitions of network and gradient structure in functional MRI data. On the one hand, we found that network constraints largely accounted for the structure of three major gradients. On the other hand, we found that gradient constraints largely accounted for the structure of seven major networks. Our results imply that some networks and gradients may denote discrete and continuous representations of the same aspects of functional MRI data. We suggest that integrated explanations can reduce redundancy by avoiding the attribution of independent existence or function to these features. © 2023",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85156202857
"Nanda, A.; Johnson, G.W.; Mu, Y.; Ahrens, M.B.; Chang, C.; Englot, D.J.; Breakspear, M.; Rubinov, M.","Nanda, Aditya (57160723400); Johnson, Graham W. (57216801905); Mu, Yu (54404780100); Ahrens, Misha B. (55227097200); Chang, Catie E. (56561973300); Englot, Dario J. (23667065900); Breakspear, Michael J. (6603702151); Rubinov, Mikail (26028456500)",57160723400; 57216801905; 54404780100; 55227097200; 56561973300; 23667065900; 6603702151; 26028456500,Time-resolved correlation of distributed brain activity tracks E-I balance and accounts for diverse scale-free phenomena,2023,Cell Reports,42,4,112254,,,10,10.1016/j.celrep.2023.112254,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150888257&doi=10.1016%2Fj.celrep.2023.112254&partnerID=40&md5=8dd517969f054919919be7a5c478b119,"Much of systems neuroscience posits the functional importance of brain activity patterns that lack natural scales of sizes, durations, or frequencies. The field has developed prominent, and sometimes competing, explanations for the nature of this scale-free activity. Here, we reconcile these explanations across species and modalities. First, we link estimates of excitation-inhibition (E-I) balance with time-resolved correlation of distributed brain activity. Second, we develop an unbiased method for sampling time series constrained by this time-resolved correlation. Third, we use this method to show that estimates of E-I balance account for diverse scale-free phenomena without need to attribute additional function or importance to these phenomena. Collectively, our results simplify existing explanations of scale-free brain activity and provide stringent tests on future theories that seek to transcend these explanations. © 2023 The Authors",1/f; calcium imaging; CP: Neuroscience; electrophysiology; excitation-inhibition balance; scale-free brain activity; time-resolved correlation,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85150888257
"Yang, E.; Zwart, M.F.; James, B.; Rubinov, M.; Wei, Z.; Narayan, S.; Vladimirov, N.; Mensh, B.D.; Fitzgerald, J.E.; Ahrens, M.B.","Yang, En (57386237300); Zwart, Maarten F. (13805698700); James, Ben (59874176000); Rubinov, Mikail (26028456500); Wei, Ziqiang (25959425400); Narayan, Sujatha (7103261349); Vladimirov, Nikita V. (25931800900); Mensh, Brett Daren (6602770447); Fitzgerald, James E. (55581809500); Ahrens, Misha B. (55227097200)",57386237300; 13805698700; 59874176000; 26028456500; 25959425400; 7103261349; 25931800900; 6602770447; 55581809500; 55227097200,A brainstem integrator for self-location memory and positional homeostasis in zebrafish,2022,Cell,185,26,,5011,5027.e20,23,10.1016/j.cell.2022.11.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144590331&doi=10.1016%2Fj.cell.2022.11.022&partnerID=40&md5=6e564c23db9de2ae62dd5a487efb291c,"To track and control self-location, animals integrate their movements through space. Representations of self-location are observed in the mammalian hippocampal formation, but it is unknown if positional representations exist in more ancient brain regions, how they arise from integrated self-motion, and by what pathways they control locomotion. Here, in a head-fixed, fictive-swimming, virtual-reality preparation, we exposed larval zebrafish to a variety of involuntary displacements. They tracked these displacements and, many seconds later, moved toward their earlier location through corrective swimming (“positional homeostasis”). Whole-brain functional imaging revealed a network in the medulla that stores a memory of location and induces an error signal in the inferior olive to drive future corrective swimming. Optogenetically manipulating medullary integrator cells evoked displacement-memory behavior. Ablating them, or downstream olivary neurons, abolished displacement corrections. These results reveal a multiregional hindbrain circuit in vertebrates that integrates self-motion and stores self-location to control locomotor behavior. © 2022 The Authors",brainstem; cerebellum; hippocampus; inferior olive; memory; motor control; navigation; neural circuits; neuroscience; path integration; zebrafish,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85144590331
"McGuinness, I.; Abou-Khalil, B.; Rubinov, M.; Gallagher, M.J.","McGuinness, Ian (55632888200); Abou-Khalil, Bassel W. (7005242146); Rubinov, Mikail (26028456500); Gallagher, Martin J. (7202220691)",55632888200; 7005242146; 26028456500; 7202220691,Network connectivity in primary generalized tonic-clonic seizures,2022,Clinical Neurophysiology,138,,,97,107,5,10.1016/j.clinph.2022.02.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127273270&doi=10.1016%2Fj.clinph.2022.02.024&partnerID=40&md5=fa00382d166f8201484cf5249c93426e,"Objective: To determine EEG spatiospectral activation and connectivity in the generalized tonic-clonic seizure (GTCS) semiological subtypes. Methods: 39 patients with genetic generalized epilepsy (GGE) who had GTCS (n = 58) during video-EEG monitoring were identified in the Vanderbilt Epilepsy database. GTCSs were classified as absence tonic-clonic, myoclonic tonic-clonic, or tonic-clonic. Patient characteristics and semiological features were compared. Spectral power and node degree, a network measure of connectivity, were calculated at two seizure epochs, electrographic and tonic-start. Results: Different GTCS subtypes occurred within individual patients. At electrographic-onset, all subtypes activated midline frontal cortex at delta/theta and beta frequencies but differed in network connectivity. In all subtypes, GTCS evolution from electrographic to tonic-start associated with preserved beta frequency spectral power, but reduced connectivity and delta/theta power. Conclusions: Our findings suggest that at GTCS onset, the subtypes activate similar cortical regions and their different initial semiologies relate to their distinct onset long-range connectivity. Upon transition to the tonic-start epoch, the ictal activity is predominantly conveyed by β frequency activity and connectivity. Significance: Future neurostimulation therapies for medically intractable GTCSs may target the same brain regions for all GTCS subtypes and may be most effective prior to the tonic-start epoch. © 2022","Biomarker; Brain, pathophysiology; Idiopathic generalized epilepsy; Neural pathways; Signal analysis",Article,Final,,Scopus,2-s2.0-85127273270
"González, H.F.J.; Narasimhan, S.; Johnson, G.W.; Wills, K.E.; Haas, K.F.; Konrad, P.E.; Chang, C.; Morgan, V.L.; Rubinov, M.; Englot, D.J.","González, Hernan F.J. (57205142716); Narasimhan, Saramati (57194496849); Johnson, Graham W. (57216801905); Wills, Kristin E. (57219013897); Haas, Kevin F. (57213261924); Konrad, Peter E. (24383687400); Chang, Catie E. (56561973300); Morgan, Victoria L. (7004877594); Rubinov, Mikail (26028456500); Englot, Dario J. (23667065900)",57205142716; 57194496849; 57216801905; 57219013897; 57213261924; 24383687400; 56561973300; 7004877594; 26028456500; 23667065900,Role of the Nucleus Basalis as a Key Network Node in Temporal Lobe Epilepsy,2021,Neurology,96,9,,E1334,E1346,25,10.1212/WNL.0000000000011523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100906331&doi=10.1212%2FWNL.0000000000011523&partnerID=40&md5=ccc9a76533ae446444536fd0f2561ae7,"ObjectiveTo determine whether the nucleus basalis of Meynert (NBM) may be a key network structure of altered functional connectivity in temporal lobe epilepsy (TLE), we examined fMRI with network-based analyses.MethodsWe acquired resting-state fMRI in 40 adults with TLE and 40 matched healthy control participants. We calculated functional connectivity of NBM and used multiple complementary network-based analyses to explore the importance of NBM in TLE networks without biasing our results by our approach. We compared patients to controls and examined associations of network properties with disease metrics and neurocognitive testing.ResultsWe observed marked decreases in connectivity between NBM and the rest of the brain in patients with TLE (0.91 ± 0.88, mean ± SD) vs controls (1.96 ± 1.13, p < 0.001, t test). Larger decreases in connectivity between NBM and fronto-parietal-insular regions were associated with higher frequency of consciousness-impairing seizures (r =-0.41, p = 0.008, Pearson). A core network of altered nodes in TLE included NBM ipsilateral to the epileptogenic side and bilateral limbic structures. Furthermore, normal community affiliation of ipsilateral NBM was lost in patients, and this structure displayed the most altered clustering coefficient of any node examined (3.46 ± 1.17 in controls vs 2.23 ± 0.93 in patients). Abnormal connectivity between NBM and subcortical arousal community was associated with modest neurocognitive deficits. Finally, a logistic regression model incorporating connectivity properties of ipsilateral NBM successfully distinguished patients from control datasets with moderately high accuracy (78%).ConclusionsThese results suggest that while NBM is rarely studied in epilepsy, it may be one of the most perturbed network nodes in TLE, contributing to widespread neural effects in this disabling disorder. © American Academy of Neurology.",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85100906331
"Mu, Y.; Bennett, D.V.; Rubinov, M.; Narayan, S.; Yang, C.-T.; Tanimoto, M.; Mensh, B.D.; Looger, L.L.; Ahrens, M.B.","Mu, Yu (54404780100); Bennett, Davis V. (56289077700); Rubinov, Mikail (26028456500); Narayan, Sujatha (7103261349); Yang, Chaotsung (56289039900); Tanimoto, Masashi (21744236600); Mensh, Brett Daren (6602770447); Looger, Loren L. (6602848770); Ahrens, Misha B. (55227097200)",54404780100; 56289077700; 26028456500; 7103261349; 56289039900; 21744236600; 6602770447; 6602848770; 55227097200,Glia Accumulate Evidence that Actions Are Futile and Suppress Unsuccessful Behavior,2019,Cell,178,1,,27,43.e19,229,10.1016/j.cell.2019.05.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067682343&doi=10.1016%2Fj.cell.2019.05.050&partnerID=40&md5=0121df31a9243af03260fbf416ce9af2,"When a behavior repeatedly fails to achieve its goal, animals often give up and become passive, which can be strategic for preserving energy or regrouping between attempts. It is unknown how the brain identifies behavioral failures and mediates this behavioral-state switch. In larval zebrafish swimming in virtual reality, visual feedback can be withheld so that swim attempts fail to trigger expected visual flow. After tens of seconds of such motor futility, animals became passive for similar durations. Whole-brain calcium imaging revealed noradrenergic neurons that responded specifically to failed swim attempts and radial astrocytes whose calcium levels accumulated with increasing numbers of failed attempts. Using cell ablation and optogenetic or chemogenetic activation, we found that noradrenergic neurons progressively activated brainstem radial astrocytes, which then suppressed swimming. Thus, radial astrocytes perform a computation critical for behavior: they accumulate evidence that current actions are ineffective and consequently drive changes in behavioral states. Video Abstract Whole-brain imaging in virtual-reality-immersed zebrafish reveals that failed swim attempts are detected by noradrenergic neurons, which drive glial cells that accumulate calcium until they trigger the suppression of further futile attempts. © 2019 The Authors",astrocytes; behavioral states; evidence accumulation; glia; learned helplessness; neuromodulation; neuroscience; noradrenaline; norepinephrine; zebrafish,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85067682343
