Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Soininen, N.; Ruhl, J.B.; Cosens, B.; Gunderson, L.","Soininen, Niko (56875398500); Ruhl, J. B. (7005543121); Cosens, Barbara A. (6506594235); Gunderson, Lance H. (7101765205)",56875398500; 7005543121; 6506594235; 7101765205,Governing complexity: A comparative assessment of four governance models with applications to climate change mitigation and adaptation,2025,Environmental Innovation and Societal Transitions,57,,101020,,,3,10.1016/j.eist.2025.101020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007700098&doi=10.1016%2Fj.eist.2025.101020&partnerID=40&md5=7653f74a25bd2b97562f816389785984,"Responses to ongoing global climate change include economy-wide mitigation efforts and large-scale societal adaptation that demand novel approaches to governance. An array of innovative governance models has been proposed since the late 1900s and early 2000s as scholars observed inadequacies of government-centric and formal legal approaches to natural resource management, complexity and uncertainty, failures of neoliberal economic reforms, and cross-scale institutional arrangements. Four such models have come to dominate the solution-oriented discourse on climate change governance: adaptive governance, transition governance, transformation governance, and anticipatory governance. We compare these models in terms of their origin and applicability to deal with the complexities of climate change. Our particular interest lies in how the four governance models propose to manage complexity and how they envision the role of governments as actors and law as an instrument in steering societal responses to climate change. Our analysis shows that while transition and transformation governance are often portrayed as more readily applicable to climate change mitigation, and adaptive and anticipatory governance to climate change adaptation, this sharp dichotomy does not hold water on closer scrutiny. Rather, all four governance models are applicable to different aspects of climate change mitigation and adaptation. Concerning complexity, all four governance models take some variation of social-ecological-technological complexity as their starting point. Finally on the role of government and law, adaptive governance, transition governance and one branch of transformation governance favour a facilitative role of governments, while another branch of transformation governance calls for a more involved and directive role for governments with heavy legal instrumentation and legal systemic change to match. Anticipatory governance plays more of a supporting role for implementing the other models and can range from facilitative to directive in that respect. With these observations, we hope to clarify the current global discussion over the perspectives offered by the four governance models in governing complexity in the context of climate change and beyond. © 2025 The Author(s)",Adaptation; Climate change; Complexity; Governance; Mitigation,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105007700098
"Hess, D.J.; Ruhl, J.B.","Hess, David J. (7202440099); Ruhl, J. B. (7005543121)",7202440099; 7005543121,"How can policy balance the goals of transition acceleration and justice? Permitting reform, large-scale renewable energy, and host communities in the United States",2025,Energy Research and Social Science,129,,104397,,,3,10.1016/j.erss.2025.104397,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022212168&doi=10.1016%2Fj.erss.2025.104397&partnerID=40&md5=f2c922a2958cb20c2f3d6650ee15ca1e,"Implementing energy-transition policies requires building new infrastructure, but the result is often opposition from host communities and associated actors. An important research and policy problem emerges over how to balance two goals that can be in tension: rapidly implementing energy-transition policies and addressing the needs and concerns of local communities, including diverse justice-related issues. This study adopts the perspective that the analysis of this problem benefits from opening the black box of permitting policy reform. The research contributes to the literature on siting conflicts by shifting the focus from explaining conflicts or suggesting targeted policy reforms such as improved engagement to the analysis of the diverse field of policy instruments that can balance the two goals. The study is based on a detailed analysis of eight US states that have approved permitting reform legislation since 2020. Analysis focuses on the features of the enacting legislation and associated statutory code with attention to how the two goals are addressed. The research develops a composite analysis of the states' permit application and decision requirements, and it reviews specific suggestions from local governments for next steps in ongoing policy reform. The study contributes to the energy social science and policy literature by providing a detailed analysis that addresses the theoretical problem of how to balance the goals of transition acceleration and transition justice. The study also offers practical guidance on the design problem of improving permitting policy that can balance the goals. © 2025 The Authors.",Permitting reform; Preemption; Renewable energy; Transition acceleration; Transition justice,Article,Final,,Scopus,2-s2.0-105022212168
"Vivo, P.; Katz, D.M.; Ruhl, J.B.","Vivo, Pierpaolo (23478531800); Katz, Daniel Martin (57214283634); Ruhl, J. B. (7005543121)",23478531800; 57214283634; 7005543121,CompLex: Legal systems through the lens of complexity science,2025,EPL,149,2,22001,,,4,10.1209/0295-5075/ad99fc,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215845645&doi=10.1209%2F0295-5075%2Fad99fc&partnerID=40&md5=4a3755bfbf09ae06dde8879c486d6ada,"While “complexity science” has achieved significant successes in several interdisciplinary fields such as economics and biology, it is only a very recent observation that legal systems —from the way legal texts are drafted and connected to the rest of the corpus, up to the level of how judges and courts reach decisions under a variety of conflicting inputs— share several features with standard Complex Adaptive Systems. This review is meant as a gentle introduction to the use of quantitative tools and techniques of complexity science to describe, analyse, and tame the complex web of human interactions that the Law is supposed to regulate. We offer an overview of the main directions of research undertaken so far as well as an outlook for future research, and we argue that statistical physicists and complexity scientists should not ignore the opportunities offered by the cross-fertilisation between legal scholarship and complex-systems modelling. © © 2025 The author(s)",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85215845645
"Ruhl, J.B.; Salzman, J.","Ruhl, J. B. (7005543121); Salzman, James E. (7004770718)",7005543121; 7004770718,Who owns ecosystem services?,2025,Rethinking the Law of Private Property,,,,311,334,0,10.4337/9781035311361.00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019869632&doi=10.4337%2F9781035311361.00020&partnerID=40&md5=435d848857d60cbcf9dfa2c51842c8c0,"J.B. Ruhl and James Salzman discuss the need for property law to evolve and take innovative steps concerning pre-existing baseline ecosystems. They point out how nuisance property law has been shaped by negative externalities, inherently disregarding the importance of positive externalities. They advance the novel argument that ecosystem services are capable of ownership, using variations of common law property. They pose and offer solutions to the two critical questions: (1) who should own the ecosystems and (2) how ecosystems should be owned based on the positive externalities that non-property owners may enjoy. © The Editor and Contributors Severally 2025.",Common law; Ecosystem services; Nuisance law; Ownership; Positive externalities; Property,Book chapter,Final,,Scopus,2-s2.0-105019869632
"Garmestani, A.; Ruhl, J.B.; García, J.H.; Gilissen, H.K.; Allen, C.R.; Eason, T.; Gunderson, L.; van Rijswick, H.F.M.W.; Angeler, D.G.","Garmestani, Ahjond S. (6507938636); Ruhl, J. B. (7005543121); García, Jorge H. (7406131657); Gilissen, Herman Kasper (35974869400); Allen, Craig R. (7402265908); Eason, Tarsha N. (34167630100); Gunderson, Lance H. (7101765205); van Rijswick, Helena F.Marleen W. (6504126048); Angeler, David G. (6603774099)",6507938636; 7005543121; 7406131657; 35974869400; 7402265908; 34167630100; 7101765205; 6504126048; 6603774099,Opportunities and challenges for transformation of urban social-ecological systems,2025,Advances in Ecological Research,72,,,1,21,3,10.1016/bs.aecr.2025.02.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001072459&doi=10.1016%2Fbs.aecr.2025.02.003&partnerID=40&md5=b79dcd74f2346d037cddd9cb10fb197f,"Accelerating climate change and the possibility of triggering tipping points on Earth has led to increased calls for transformation (deliberately shifting to a new regime in response to climate change) of coupled systems of humans and nature (e.g., cities). In this paper, we discuss the underpinnings and framing of transformation for social-ecological systems. We illuminate this perspective by discussing opportunities and challenges for transformation with examples from cities (urban social-ecological systems) around the world. Our perspective is important for policy, as governments around the world have embraced linear responses to climate change as the preferred approaches for governance (e.g., water, coastal zones) in a world that will require transformations at multiple social-ecological scales in the post-Holocene future. © 2025",Adaptation; Cities; Governance; Green; Infrastructure; Policy; Scale; Social-ecological systems; Transformation; Urban,Article,Final,,Scopus,2-s2.0-105001072459
"Vivo, P.; Katz, D.M.; Ruhl, J.B.","Vivo, Pierpaolo (23478531800); Katz, Daniel Martin (57214283634); Ruhl, J. B. (7005543121)",23478531800; 57214283634; 7005543121,A complexity science approach to law and governance,2024,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",382,2270,20230166,,,4,10.1098/rsta.2023.0166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186146908&doi=10.1098%2Frsta.2023.0166&partnerID=40&md5=8f85ae32a7a6a83fd179ec96f0845763,[No abstract available],artificial intelligence; complex systems; complexity; governance; law; legal complexity,Editorial,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85186146908
"Ruhl, J.B.","Ruhl, J. B. (7005543121)",7005543121,Do Montreal! A Review Article,2024,Political Science Quarterly,140,1,,105,119,1,10.1093/psquar/qqad116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000749455&doi=10.1093%2Fpsquar%2Fqqad116&partnerID=40&md5=5bc8b2c49ae88c3173ddc41b6c7f5c4f,"International climate change diplomacy has tried a rigid top-down approach (the Kyoto Agreement) and a more flexible bottom-up approach (the Paris Agreement). Neither approach has gained sufficient traction on the climate change problem. The authors of Fixing the Climate: Strategies for an Uncertain World propose a new direction. Borrowing from the framework of the Montreal Protocol of 1987, which made great strides in eliminating use of ozone-depleting chemicals, they outline a framework for ""experimentalist governance""that relies on public and private organizations to promote a problem-solving approach that is, at the same time, both bottom-up and top-down, market based and institution based, technocratic and democratic. Using case studies and examples across a wide array of contexts - from U.S. coal-fired power-plant sulfur dioxide emissions to dairy farm pollution in Ireland - they build the case for infusing climate change governance with innovation-driven institutions, processes, and instruments. The case studies and examples, however, share several common features that suggest experimentalist governance thrives under ideal conditions, including clearly defined technology challenges and ability to contain the impacts of innovation largely to the incumbent industry. Under the Montreal Protocol, for example, switching chemicals in products did not require consumers to change behavior or make substantial sacrifices. Many of the challenges of climate change policy fit these and the other ideal conditions, but many do not. The full extent of the necessary energy transition, as well as the demands of climate change adaptation, present complex socioeconomic policy issues fraught with political division. Experimentalist governance can go a long way toward fixing the climate, but ultimately, fixing the climate also will require fixing the climate politics. © The Author(s) 2023.",climate change; experimentalist governance; governing uncertainty; technology innovation,Review,Final,,Scopus,2-s2.0-86000749455
"Garmestani, A.; Allen, C.R.; Angeler, D.G.; Gunderson, L.; Ruhl, J.B.","Garmestani, Ahjond S. (6507938636); Allen, Craig R. (7402265908); Angeler, David G. (6603774099); Gunderson, Lance H. (7101765205); Ruhl, J. B. (7005543121)",6507938636; 7402265908; 6603774099; 7101765205; 7005543121,Multiscale adaptive management of social-ecological systems,2023,BioScience,73,11,,800,807,23,10.1093/biosci/biad096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180584190&doi=10.1093%2Fbiosci%2Fbiad096&partnerID=40&md5=d8593f82960c1413f84067c5644e5ccc,"Adaptive management is an approach for stewardship of social-ecological systems in circumstances with high uncertainty and high controllability. Although they are largely overlooked in adaptive management (and social-ecological system management), it is important to account for spatial and temporal scales to mediate within-and cross-scale effects of management actions, because cross-scale interactions increase uncertainty and can lead to undesirable consequences. The iterative nature of an adaptive approach can be expanded to multiple scales to accommodate different stakeholder priorities and multiple ecosystem attributes. In this Forum, we introduce multiscale adaptive management of social-ecological systems, which merges adaptive management with panarchy (a multiscale model of social-ecological systems) and demonstrate the importance of this approach with case studies from the Great Plains of North America and the Platte River Basin, in the United States. Adaptive management combined with a focus on the panarchy model of social-ecological systems can help to improve the management of social-ecological systems. © 2023 Published by Oxford University Press on behalf of American Institute of Biological Sciences.",adaptive management; ecosystem management; ecosystems; natural resources; social-ecological systems,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180584190
"Martin, P.; Ruhl, J.B.","Martin, Paul Vincent (36637847100); Ruhl, J. B. (7005543121)",36637847100; 7005543121,Systems methods in non-doctrinal environmental law research,2023,Non-doctrinal Research Methods in Environmental Law,,,,154,175,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175129070&partnerID=40&md5=29239d2f625a3ea4794d9b97e671d36d,[No abstract available],,Book chapter,Final,,Scopus,2-s2.0-85175129070
"Rossi, J.; Ruhl, J.B.","Rossi, Jim (8749360800); Ruhl, J. B. (7005543121)",8749360800; 7005543121,Adapting private law for climate change adaptation,2023,Vanderbilt Law Review,76,3,,827,898,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165552502&partnerID=40&md5=4e5594f553ac10bc687528ed5b691568,"The private law of torts, property, and contracts will and should play an important role in resolving disputes regarding how private individuals and entities respond to and manage the harms of climate change that cannot be avoided through mitigation (known in climate change policy dialogue as ""adaptation""). While adaptation is commonly presented as a problem needing legislative solutions, this Article presents a novel and overdue case for private law to take climate adaptation seriously. To date, the role of private law is a significant blind spot in scholarly discussions of climate adaptation. Litigation invoking common-law doctrines in climate adaption disputes has not yet taken off the way that the wave of highprofile lawsuits against sources of emissions causing climate change has, but it is inevitable that it will, making it ripe for attention in legal scholarship. The Article begins in Part I by highlighting several features of climate change and adaptation that will place inevitable disruptive pressure on existing doctrines and principles of private law. The new normal of climate change questions some key factual predicates embedded in private law doctrine. For example, climate change is radically moving the long-stable upper and lower extremes of multiple biophysical conditions (what scientists call ""nonstationarity""), meaning individuals increasingly will be unable to accurately predict the future based entirely on past data (what scientists call the ""no-Analog future""). Private law nonetheless must operate in a manner that provides practical and meaningful guidance to stakeholders, which will require it to confront the new realities presented by climate adaptation, including how private individuals and entities can no longer predict the future in the same ways that they have in the past. In Part II, the Article identifies a series of evaluative guideposts to help assess when changes to doctrines and principles of private law may be needed to address impending climate adaptation disputes. Private laws basic architecture helps to define and manage relationships, clarify responsibilities, and provide remedies for harma tripartite framework we use in Part III to unravel a few key doctrinal pressure points that private law faces as it addresses a novel set of impending climate change adaptation claims. The principle of foreseeabilitycentral to numerous doctrines that define relationships, responsibilities, and remedies across tort, property, and contract lawis likely to face some of the strongest pushback as we confront climate adaptation. We propose a ""foreseeability of nonstationarity"" principle and evaluate what that might mean for some core private law doctrines. This points towards expansion of the scope of obligations private law recognizes for various actors within their adaptation footprints. Existing private law principles can address wrongfulness even in the no-Analog future of climate adaptation. It is important, however, that private law defenses recognize the nonstationarity of climate risks, as well as the lack of an analog future available to predict and address the harmful effects of climate change. We conclude that private law can and will adapt to climate change. This process will be central to providing guidance as individuals, businesses, and other private actors confront new risks and harms as society adapts to a new natural world. But the path of private laws adaption matters, and how it approaches key principles such as foreseeability will be central to its capacity to provide meaningful guidance for private stakeholders adapting to the realities of climate change. © 2023 Vanderbilt Law Review. All rights reserved.",,Article,Final,,Scopus,2-s2.0-85165552502
