Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Schlunk, S.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,A Generalized SNR to Quantify Lesion Detectability for Modern Adaptive beamformers,2024,"IEEE Ultrasonics, Ferroelectrics, and Frequency Control Joint Symposium, UFFC-JS 2024 - Proceedings",,,,,,0,10.1109/UFFC-JS60046.2024.10793748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216463134&doi=10.1109%2FUFFC-JS60046.2024.10793748&partnerID=40&md5=ccd733f5501788f848a59131e6a2c7c8,"It is well known that the enveloped data after delay-and-sum beamforming of an ultrasound image follows a Rayleigh distribution. Many image quality metrics, such as signal-to-noise ratio (SNR) proposed by Smith et al., are designed specifically with these statistics in mind. However, many modern adaptive beamformers or post-processing techniques produce images where the data no longer follows a Rayleigh distribution. This makes the applicability of those image metrics questionable. Metrics like the generalized contrast-to-noise ratio (gCNR) have been proposed explicitly for this reason, as these metrics are designed to be transform-invariant, and measure the information of the image more accurately. We propose to apply gCNR and other robust techniques to create a generalized version of Smith et al.'s SNR, which will likewise be robust to transformations but will also retain much of the subjective clinical context that SNR was designed around. © 2024 IEEE.",gCNR; image quality; lesion detectability; SNR,Conference paper,Final,,Scopus,2-s2.0-85216463134
"Schlunk, S.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,Expanding gCNR into a clinically relevant measure of lesion detectability by considering size and spatial resolution,2024,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,12932,,1293205,,,0,10.1117/12.3007268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193545561&doi=10.1117%2F12.3007268&partnerID=40&md5=31536bde59fe47fad6f0ea5e6c6daea0,"Early image quality metrics were often designed with clinicians in mind, and ideally better metrics would correlate with the subjective opinion of clinically better images. Over time, adaptive beamformers and other post-processing methods have become more common, and these newer methods often violate assumptions of earlier image quality metrics, making the meaning of these metrics inaccurate at best. The result is the possibility of beamformers that can “manipulate” metrics to be better, while not producing clinically better images. In this work, Smith et al.’s SNR metric for lesion detectability1 is considered, and a more robust version, here called generalized SNR (gSNR), is proposed that uses gCNR2,3 as a core, and therefore is more robust to transformations and manipulations. SNR differs from gCNR in that it uses lesion size and spatial resolution as components of it’s calculation, which gCNR does not. It is analytically shown that for Rayleigh distributed data, gCNR can be written in terms of Smith et al.’s C<inf>ψ</inf> (and therefore can be used as a substitution), and more robust methods for estimating the resolution cell size are considered. This allows for a robust estimate of lesion detectability based on estimated gCNR that may correlate with clinical assessments of image quality. © 2024 SPIE.",gCNR; image quality; size; SNR; spatial resolution,Conference paper,Final,,Scopus,2-s2.0-85193545561
"Cui, L.; Khan, C.; Pan, Y.-C.; Schlunk, S.; Vienneau, E.; Ofosu, E.; Harbert, J.; Lefevre, R.; Eagle, S.; Byram, B.C.","Cui, Lening (59133649200); Khan, Christopher (57213141462); Pan, Yingchun (58000804200); Schlunk, Siegfried G. (57200091816); Vienneau, Emelina (57197716421); Ofosu, Emmanuel (59133839700); Harbert, Jason (59133452300); Lefevre, Ryan J. (57218372936); Eagle, Susan S. (14520545300); Byram, Brett C. (24479731200)",59133649200; 57213141462; 58000804200; 57200091816; 57197716421; 59133839700; 59133452300; 57218372936; 14520545300; 24479731200,Using Domain Adaptive Deep Neural Networks to Improve Transthoracic Echocardiography,2024,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,12932,,129320M,,,0,10.1117/12.3008175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193501961&doi=10.1117%2F12.3008175&partnerID=40&md5=b9f8b603fab7010ba71d8633afb78aa4,"We previously showed that domain adaptive deep neural networks (DNNs) can outperform delay-and-sum (DAS) beamforming in the context of abdominal imaging. We hypothesize the ability of our domain adaptive DNN framework to be applied to transthoracic echocardiography (TTE). We also propose architectural improvements, such as leveraging an encoder-decoder structure and skip connections, to further improve ultrasound image quality for echocardiography tasks such as the detection of thrombi in the left atrial appendage (LAA). DNN training data utilized simulated and in vivo cardiac data. Simulated anechoic and hypoechoic cysts with various amounts of clutter were generated through Field II and in vivo data was collected by scanning patients at Vanderbilt University Medical Center. Fundamental frequency TTE data from five separate cases were processed with DAS, ADMIRE, the baseline model, and multiple models with modified architectures. We found that even when varying the amount of training data, the DNNs consistently achieved higher generalized contrast-to-noise (gCNR) and contrast ratio (CR) but lower contrast-to-noise ratio when compared to DAS. The best-performing beamformer was one DNN with our architectural improvements, achieving higher average gCNR and CR values of .907 and 48.30 dB compared to the baseline DNN values of .788 and 39.45 dB, and DAS values of .717 and 14.08 dB. Our results demonstrate that our domain adaptive DNN can effectively be applied in the context of transthoracic cardiology, and an encoder-decoder architecture with skip connections can result in even more improvements. Further advancements may improve image quality even more. © 2024 SPIE.",,Conference paper,Final,,Scopus,2-s2.0-85193501961
"Schlunk, S.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,Methods for Enhancing the Robustness of the Generalized Contrast-to-Noise Ratio,2023,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",70,8,,831,842,11,10.1109/TUFFC.2023.3289157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163443777&doi=10.1109%2FTUFFC.2023.3289157&partnerID=40&md5=5f7cdf7d4347a8c3d1217cd9b41e87a5,"The generalized contrast-to-noise ratio (gCNR) is a new but increasingly popular metric for measuring lesion detectability due to its use of probability distribution functions that increase robustness against transformations and dynamic range alterations. The value of these kinds of metrics has become increasingly important as it becomes clear that traditional metrics can be arbitrarily boosted with advanced beamforming or the right kinds of postprocessing. The gCNR works well for most cases; however, we will demonstrate that for some specific cases the implementation of gCNR using histograms requires careful consideration, as histograms can be poor estimates of probability density functions (PDFs) when designed improperly. This is demonstrated with simulated lesions by altering the amount of data and the number of bins used in the calculation, as well as by introducing some extreme transformations that are represented poorly by uniformly spaced histograms. In this work, the viability of a parametric gCNR implementation is tested, more robust methods for implementing histograms are considered, and a new method for estimating gCNR using empirical cumulative distribution functions (eCDFs) is shown. The most consistent methods found were to use histograms on rank-ordered data or histograms with variable bin widths, or to use eCDFs to estimate the gCNR. © 1986-2012 IEEE.",Histograms; image analysis; image quality; nonparametric statistics; probability density function (PDF); ranking; ultrasonic imaging,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85163443777
"Schlunk, S.; Hsi, R.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Hsi, Ryan S. (55255647000); Byram, Brett C. (24479731200)",57200091816; 55255647000; 24479731200,Enhancing sizing accuracy in ultrasound images with an alternative ADMIRE model and dynamic range considerations,2023,Ultrasonics,131,,106952,,,0,10.1016/j.ultras.2023.106952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148017520&doi=10.1016%2Fj.ultras.2023.106952&partnerID=40&md5=b5d952c8306ad3660b4b0bd50baf5e6f,"Ultrasound imaging can struggle with sizing accuracy, especially when the targets have a significantly different amplitude compared to the surrounding background. In this work, we consider the challenging task of accurately sizing hyperechoic structures, and specifically kidney stones, where accurate sizing is critical for determining medical intervention. AD-Ex, an extended alternative model of our aperture domain model image reconstruction (ADMIRE) pre-processing method, is introduced and is designed to improve clutter removal and improve sizing accuracy. We compare this method against other resolution enhancing methods such as minimum variance (MV) and generalized coherence factor (GCF), and against those methods using AD-Ex as a pre-processing tool. These methods are evaluated among patients with kidney stone disease, with the task of accurately sizing the stones against the gold standard, computed tomography (CT). Stone ROI's were selected using contour maps as reference from which the lateral stone size was estimated. Among the in vivo kidney stone cases we processed, AD-Ex+MV had the overall lowest sizing error among the methods, with an average error of 10.8% compared to the next best method AD-Ex which had an average error of 23.4%. For reference, DAS had an average error of 82.4%. Though dynamic range was evaluated to determine optimal thresholding for sizing applications, variability between stone cases was too high for any conclusions to be drawn at this time. © 2023 Elsevier B.V.",Beamforming; Image quality; In vivo; Medical ultrasound; Model; Signal processing,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85148017520
"Schlunk, S.; Byram, B.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,Combining ADMIRE and MV to Improve Image Quality,2022,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",69,9,,2651,2662,9,10.1109/TUFFC.2022.3194548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135765051&doi=10.1109%2FTUFFC.2022.3194548&partnerID=40&md5=dd986d54449b5457c981e4fa64a591de,"Aperture domain model image reconstruction (ADMIRE) is a frequency-domain, model-based beamformer, in part designed for removing reverberation and off-Axis clutter. Minimum variance (MV) is alternatively designed to reduce off-Axis interference and improve lateral resolution. MV is known to be less effective in high incoherent noise scenarios, and its performance in the presence of reverberation has not been evaluated. By implementing ADMIRE before MV, the benefits of both these beamformers can be achieved. In this article, the assumptions of MV are discussed, specifically their relationship to reverberation clutter. The use of ADMIRE as a preprocessing step to suppress noise from simulations with linear scanning and in vivo curvilinear kidney data is demonstrated, and both narrowband and broadband implementations of MV are applied. With optimal parameters, ADMIRE + MV demonstrated sizing improvements over MV alone by an average of 52.1% in 0-dB signal-To-clutter ratio reverberation cyst simulations and 14.5% in vivo while improving the contrast ratio compared to ADMIRE alone by an average of 15.1% in simulations and 14.0% in vivo. ADMIRE + MV demonstrated a consistent improvement compared to DAS, MV, and ADMIRE both in terms of sizing and contrast ratio. © 1986-2012 IEEE.",Beamforming; Image quality; In vivo; Medical ultrasound; Minimum variance (MV); Model; Reverberation clutter; Signal processing; Simulation,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85135765051
"Schlunk, S.; Byram, B.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,Breaking and Fixing gCNR and Histogram Matching,2022,"IEEE International Ultrasonics Symposium, IUS",2022-October,,,,,3,10.1109/IUS54386.2022.9958858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143768360&doi=10.1109%2FIUS54386.2022.9958858&partnerID=40&md5=31d67cb08e79a0aaf5d699cdadb34a45,"Generalized contrast-to-noise ratio (gCNR) and histogram matching are methods developed to better measure the performance of modern adaptive beamformers. Both use histograms to make comparisons between methods more robust and transformation-resistant compared to traditional metrics. However, the standard implementation of gCNR using histograms is potentially manipulable, and histogram matching can be difficult to implement and interpret. To make gCNR more robust, we suggest the disclosing of binning information and additionally the use of either rank-ordered data or variable bin widths. These two implementations increase the consistency of the gCNR metric and reduce the likelihood that the ranking of beamformers changes. For histogram matching, we consider situations where the choice of matching can yield different outcomes. © 2022 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85143768360
"Khan, C.; Dei, K.; Schlunk, S.; Ozgun, K.A.; Byram, B.C.","Khan, Christopher (57213141462); Dei, Kazuyuki (56414923700); Schlunk, Siegfried G. (57200091816); Ozgun, Kathryn A. (57191910663); Byram, Brett C. (24479731200)",57213141462; 56414923700; 57200091816; 57191910663; 24479731200,"A Real-Time, GPU-Based Implementation of Aperture Domain Model Image REconstruction",2021,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",68,6,9344672,2101,2116,10,10.1109/TUFFC.2021.3056334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100757107&doi=10.1109%2FTUFFC.2021.3056334&partnerID=40&md5=a723519006c7739fe267045fd83f5195,"Multipath and off-axis scattering are two of the primary mechanisms for ultrasound image degradation. To address their impact, we have proposed Aperture Domain Model Image REconstruction (ADMIRE). This algorithm utilizes a model-based approach in order to identify and suppress sources of acoustic clutter. The ability of ADMIRE to suppress clutter and improve image quality has been demonstrated in previous works, but its use for real-time imaging has been infeasible due to its significant computational requirements. However, in recent years, the use of graphics processing units (GPUs) for general-purpose computing has enabled the significant acceleration of compute-intensive algorithms. This is because many modern GPUs have thousands of computational cores that can be utilized to perform massively parallel processing. Therefore, in this work, we have developed a GPU-based implementation of ADMIRE. The implementation on a single GPU provides a speedup of two orders of magnitude when compared to a serial CPU implementation, and additional speedup is achieved when the computations are distributed across two GPUs. In addition, we demonstrate the feasibility of the GPU implementation to be used for real-time imaging by interfacing it with a Verasonics Vantage 128 ultrasound research system. Moreover, we show that other beamforming techniques, such as delay-and-sum (DAS) and short-lag spatial coherence (SLSC), can be computed and simultaneously displayed with ADMIRE. The frame rate depends upon various parameters, and this is exhibited in the multiple imaging cases that are presented. An open-source code repository containing CPU and GPU implementations of ADMIRE is also provided. © 1986-2012 IEEE.",Graphics processing unit (GPU) computing; real-time imaging; ultrasound,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85100757107
"Schlunk, S.; Dei, K.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Dei, Kazuyuki (56414923700); Byram, Brett C. (24479731200)",57200091816; 56414923700; 24479731200,Iterative Model-Based Beamforming for High Dynamic Range Applications,2021,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",68,3,9149929,482,493,10,10.1109/TUFFC.2020.3012165,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101987659&doi=10.1109%2FTUFFC.2020.3012165&partnerID=40&md5=b78168161dae82aa400af68837d2491d,"Clutter produced using bright acoustic sources can obscure weaker acoustic targets, degrading the quality of the image in scenarios with high dynamic ranges. Many adaptive beamformers seek to improve image quality by reducing these sidelobe artifacts, generating a boost in contrast ratio or contrast-To-noise ratio. However, some of these beamformers inadvertently introduce a dark region artifact in place of the strong clutter, a situation that occurs when both clutter and the underlying signal of interest are removed. We introduce the iterative aperture domain model image reconstruction (iADMIRE) method that is designed to reduce clutter while preserving the underlying signal. We compare the contrast ratio dynamic range (CRDR) of iADMIRE to several other adaptive beamformers plus delay-And-sum (DAS) to quantify the accuracy and reliability of the reported measured contrast for each beamformer over a wide range of contrast levels. We also compare all beamformers in the presence of bright targets ranging from 40 to 120 dB to observe the presence of sidelobes. In cases with no added reverberation clutter, iADMIRE had a CRDR of 75.6 dB when compared with the next best method DAS with 60.8 dB. iADMIRE also demonstrated the best performance for levels of reverberation clutter up to 0-dB signal-To-clutter ratio. Finally, iADMIRE restored underlying speckle signal in dark artifact regions while suppressing sidelobes in bright target cases up to 100 dB. © 1986-2012 IEEE.",Array signal processing; clutter; dynamic range; image quality; imaging; ultrasonic imaging,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85101987659
"Schlunk, S.; Byram, B.C.","Schlunk, Siegfried G. (57200091816); Byram, Brett C. (24479731200)",57200091816; 24479731200,On Model Space Sampling in ADMIRE for Image Quality and Computational Efficiency,2021,"IEEE International Ultrasonics Symposium, IUS",,,,,,1,10.1109/IUS52206.2021.9593649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122882775&doi=10.1109%2FIUS52206.2021.9593649&partnerID=40&md5=28b15c6cd517dfd8af3472cc6c257abe,"Image quality and computational efficiency of the aperture domain model image reconstruction (ADMIRE) method is dependent on the specific model used. This makes it important for users to understand how various model design considerations could have significant impacts on image processing. In this work, we consider how undersampling, randomization of physical locations, and dimensionality reduction with independent component analysis (ICA) can be used to improve runtime. Specifically, we observed that undersampling resulted in a trade-off between contrast and efficiency, random sampling led to improved CNR, and ICA generally showed improved contrast and computation time. © 2021 IEEE.",ADMIRE; beamforming; ICA; model; random sampling,Conference paper,Final,,Scopus,2-s2.0-85122882775
