Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Crump, A.A.; Bimali, M.; McCall, S.; Parker, P.; Massey-Swindle, T.; Sexton, K.W.; Seker, E.; Garza, M.Y.; Williams, T.B.","Crump, Alisha A. (58394423600); Bimali, Milan (57188742664); McCall, Sanchia (60350866600); Parker, Pearman D. (57204529500); Massey-Swindle, Taren (59901954800); Sexton, Kevin W. (54586054300); Seker, Emel (57205720733); Garza, Maryam Y. (57192102881); Williams, Tremaine Brueon (57195233283)",58394423600; 57188742664; 60350866600; 57204529500; 59901954800; 54586054300; 57205720733; 57192102881; 57195233283,Social determinants of health and hospitalization risk in heart failure: A Retrospective analysis,2026,American Heart Journal Plus: Cardiology Research and Practice,63,,100731,,,0,10.1016/j.ahjo.2026.100731,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028527425&doi=10.1016%2Fj.ahjo.2026.100731&partnerID=40&md5=dce2184f4251a26325d48d0811544314,"Background: Heart failure affects over 6.5 million Americans and accounts for substantial healthcare utilization, with social determinants of health (SDOH) increasingly recognized as critical factors influencing patient outcomes. The present study aims to examine the relationships among specific SDOH (food insecurity risk, financial resource strain, and medical transportation needs) with subsequent hospitalization risk among patients with heart failure. Methods: This retrospective cross-sectional study analyzed electronic health record data from the Arkansas Clinical Data Repository for 2494 patients with heart failure hospitalized between January 2014 and December 2023 at the University of Arkansas for Medical Sciences. Quantile regression on the median was used to analyze the data. Results: Study population descriptive results demonstrated moderate hospitalization risk (average score 40.3). The population was predominantly older adults (mean age ∼ 65), female (55.8%), non-Hispanic (98.3%) and White (54.3%). In fully adjusted models, all three social determinants remained significant predictors of increased subsequent hospitalization risk: food insecurity was associated with a 9.37-point increase (95% CI: 4.83–13.90, p < 0.01), high financial resource strain with a 13.13-point increase (95% CI: 8.50–17.76, p < 0.01), and medical transportation needs with a 13.23-point increase (95% CI: 7.55–18.89, p < 0.01). Conclusions: Food insecurity risk, financial resource strain, and medical transportation needs are associated with increased future hospitalization risk among patients with heart failure. These findings support the integration of social determinant screening into clinical risk stratification and the development of targeted interventions addressing these modifiable social factors to potentially reduce healthcare utilization and improve outcomes for vulnerable populations with heart failure. © 2026",Cardiovascular disease; Financial strain; Food insecurity; Heart failure; Hospitalization risk; Rural health; Social determinants of health; Transportation barriers,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105028527425
"Williams, T.B.; Bimali, M.; Parker, P.; Crump, A.A.; Seker, E.; Garza, M.Y.; Greer, M.; Massey-Swindle, T.; Sexton, K.W.","Williams, Tremaine Brueon (57195233283); Bimali, Milan (57188742664); Parker, Pearman D. (57204529500); Crump, Alisha A. (58394423600); Seker, Emel (57205720733); Garza, Maryam Y. (57192102881); Greer, Melody L. (57217618874); Massey-Swindle, Taren (59901954800); Sexton, Kevin W. (54586054300)",57195233283; 57188742664; 57204529500; 58394423600; 57205720733; 57192102881; 57217618874; 59901954800; 54586054300,An instrument for measuring the influence of nursing care on the length of stay in heart failure hospitalizations of African Americans,2026,Journal of Clinical and Translational Science,,,,,,0,10.1017/cts.2026.10700,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030081231&doi=10.1017%2Fcts.2026.10700&partnerID=40&md5=4f34634d858b081aecbb81da560c342b,[No abstract available],,Article,aip,All Open Access; Gold Open Access,Scopus,2-s2.0-105030081231
"Chappell, E.; Whorton, J.; Villafranca, A.A.; Shahriari, R.; Brakenridge, S.C.; Bennett, J.L.; Ounpraseuth, S.; Ragan, E.D.; Hogan, W.R.; Bona, J.; Sexton, K.W.; Brochhausen, M.","Chappell, Emma (60265181100); Whorton, Justin M. (57694412600); Villafranca, Adrià Abella (57679558100); Shahriari, Reza (59700464400); Brakenridge, Scott C. (6508194327); Bennett, Judy L. (57339201000); Ounpraseuth, Songthip T. (23973486400); Ragan, Eric D. (26667185300); Hogan, William R. (7101782257); Bona, Jonathan P. (36156141500); Sexton, Kevin W. (54586054300); Brochhausen, Mathias (23388655700)",60265181100; 57694412600; 57679558100; 59700464400; 6508194327; 57339201000; 23973486400; 26667185300; 7101782257; 36156141500; 54586054300; 23388655700,Generation of Interactive Knowledge Graphs to Enable Research of the Effects of Trauma Center Organization on Patient Outcomes,2026,Lecture Notes in Computer Science,16373 LNCS,,,1,8,0,10.1007/978-3-032-13109-6_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026444934&doi=10.1007%2F978-3-032-13109-6_1&partnerID=40&md5=4b5f6257022d8cd5101450de45482965,"This research addresses a knowledge gap on the effect of trauma center organization on patient outcomes. To allow trauma care stakeholders to explore data from their center and identify potential opportunities to improve patient outcomes by adjusting organizational patterns, we are creating knowledge graphs from data on relevant parameters. These include data on organizational parameters of trauma centers, currently an understudied topic, and patient outcome data. We have recruited 42 trauma centers in the US and have collected data from those sites. Our knowledge graph uses an ontology to aid knowledge collection and data integration across medical institutions. We are presenting a novel tool, the Knowledge Path Explorer, that allows users to query and expand the knowledge graph at their own pace and based on their needs. This paper presents the basics of the Knowledge Path Explorer, the extension of the underlying ontology to capture trauma patient outcomes, and the data curation process underlying the knowledge graph. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Biomedical Ontologies; Knowledge Graph; Patient Outcomes; Trauma Care; Visualization,Conference paper,Final,,Scopus,2-s2.0-105026444934
"Sharma, M.; Brown, A.W.; Chung, S.; Sexton, K.W.; Schootman, M.; Mourani, P.M.","Sharma, Megha (57196151166); Brown, Andrew W. (10139916400); Chung, Simon (60019098300); Sexton, Kevin W. (54586054300); Schootman, Mario (7003822676); Mourani, Peter M. (6507856553)",57196151166; 10139916400; 60019098300; 54586054300; 7003822676; 6507856553,"Race Is an Incomplete Surrogate for Skin Pigmentation in Neonates, with Potential Relevance for Pulse Oximetry",2025,Journal of Pediatrics,286,,114720,,,0,10.1016/j.jpeds.2025.114720,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011967501&doi=10.1016%2Fj.jpeds.2025.114720&partnerID=40&md5=46c74b979601cb9ed215518fb5778411,"Objective: To examine the objective differences and overlap in skin pigment among neonates born to mothers of different racial groups. Study design: We conducted a prospective study assessing neonatal skin tone by spectrophotometry using SkinColorCatch (Delfin, Miami, FL) at the pulse oximetry site (dorsum of foot) in neonatal and cardiac intensive care units. Colorimetric indices were compared between non-Hispanic Black (NHB) and non-Hispanic White (NHW) neonates using Welch's t test. Distribution overlap was evaluated using the overlap coefficient and the probability of a higher value. Bivariate regression assessed the relationships between colorimetric indices and neonatal characteristics, including gestational age and birth weight. A P value of <.05 was considered significant. Results: Among 100 neonates (33 NHB, 57 NHW, 7 Hispanic, 3 other), skin darkness measures (melanin index, perceived lightness, and individual typology angle [ITA°]) were significantly different between NHB and NHW infants. However, substantial overlap was observed: overlap coefficient of 0.66 (95% CI, 0.51-0.83) for the melanin index and 0.73 (95% CI, 0.57-0.90) for the ITA°. The probability of higher value was 0.27 (melanin index) and 0.69 (ITA°), further demonstrating overlap. Lower gestational age and birth weight correlated with darker skin tone characteristics and this association did not differ significantly by race. Conclusions: Despite statistical differences, NHB and NHW neonates exhibit substantial overlap in objectively assessed skin color. These findings support the use of direct skin pigmentation measurements in device accuracy studies rather than race-based classifications, helping to decrease bias in medical algorithms and device research. © 2025 Elsevier Inc.",,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105011967501
"Williams, T.B.; Parker, P.; Bimali, M.; Garza, M.Y.; Crump, A.A.; Robins, T.; Seker, E.; Storey, A.; Purvis, A.; Tolbert, M.; Drake, A.; Swindle, T.M.; Sexton, K.W.","Williams, Tremaine Brueon (57195233283); Parker, Pearman D. (57204529500); Bimali, Milan (57188742664); Garza, Maryam Y. (57192102881); Crump, Alisha A. (58394423600); Robins, Taiquitha T. (58697788800); Seker, Emel (57205720733); Storey, Ava (60026258800); Purvis, Allison (60026817800); Tolbert, Mya (60026401000); Drake, Anthony (60026951700); Swindle, Taren Massey (55097945500); Sexton, Kevin W. (54586054300)",57195233283; 57204529500; 57188742664; 57192102881; 58394423600; 58697788800; 57205720733; 60026258800; 60026817800; 60026401000; 60026951700; 55097945500; 54586054300,Registered nurse effect on long length of stay in the heart failure hospitalizations of African Americans,2025,PLOS ONE,20,8 August,e0329602,,,1,10.1371/journal.pone.0329602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012400093&doi=10.1371%2Fjournal.pone.0329602&partnerID=40&md5=147e92659f97cb8b4bcb89cc2b56683e,"African Americans experience approximately 2.5 times more heart failure hospitalizations than Caucasians and the complexity of heart failure requires registered nurses to work in collaboration with other types of healthcare professionals. The purpose of this study was to identify care team configurations associated with long lengths of hospital stay in African Americans with heart failure hospitalizations and the related effect of the presence of registered nurses on their length of hospital stay. This study analyzed electronic health record data on the heart failure hospitalizations of 2,274 African American patients. Binomial logistic regression identified the association between specific care team configurations and length of stay among subgroups of African American patients. Of the significant team configurations, a Kruskal-Wallis H test and linear regression further assessed the team composition and the specific change in days associated with a one-unit change in the number of registered nurses on a patient’s care team. Six team configurations were associated with a long length of stay among all African Americans regardless of age, sex, rurality, heart failure severity, and overall health severity. The configurations only differed significantly in the proportion of registered nurses with respect to other care team roles. An increase in one additional registered nurse on a care delivery team was associated with an increase in length of stay of 8.4 hours (i.e., 504 minutes). Identifying the full range of social and technical care delivery tasks performed by RNs, and controlling for their effect on length of stay, may be a key strategy for reducing length of stay and explaining why these six configurations and RNs are associated with long LOS. The identification of these models can be used to support decision-making that optimizes the availability of patient access to high-quality care (e.g., clinical staffing and supplies). © 2025 Williams et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105012400093
"Heye, T.; Thind, T.; Jenkins, A.; Reif, R.; Jensen, H.K.; Sexton, K.W.; Kalkwarf, K.; Bhavaraju, A.","Heye, Thomas (57344034700); Thind, Tarendeep (58305923400); Jenkins, Allison K. (57856148500); Reif, Rebecca J. (57204330780); Jensen, Hanna K. (57190844779); Sexton, Kevin W. (54586054300); Kalkwarf, Kyle J. (56189188500); Bhavaraju, Avi (6504062780)",57344034700; 58305923400; 57856148500; 57204330780; 57190844779; 54586054300; 56189188500; 6504062780,"Corrigendum to “Weight-Based Dosing for Venous Thromboembolism Prophylaxis in Spinal Trauma Patients Appears Safe” [Journal of Surgical Research 2023, Volume 290, October 2023, Pages 209-214] (Journal of Surgical Research (2023) 290 (209–214), (S0022480423001920), (10.1016/j.jss.2023.04.019))",2025,Journal of Surgical Research,312,,,266,,0,10.1016/j.jss.2025.04.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006664306&doi=10.1016%2Fj.jss.2025.04.016&partnerID=40&md5=4e95433dc1c37e8cb479ae0c35e90c81,"The authors regret the inclusion of the NIH grant number 5R01GM111324 (TIPTOE) in the funding acknowledgments. Upon further internal review, we have determined that the research described in this publication, while intellectually related in origin, was not directly supported by this grant and does not align with specific aims of the grant. The authors apologize for any inconvenience caused. © 2025 Elsevier Inc.",,Erratum,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-105006664306
"Moore, B.; Daniels, K.J.; Martinez, B.; Sexton, K.W.; Kalkwarf, K.; Roberts, M.; Bowman, S.M.; Jensen, H.K.","Moore, Benjamin (58634769500); Daniels, Kacee J. (58727186900); Martinez, Blake (59379335100); Sexton, Kevin W. (54586054300); Kalkwarf, Kyle J. (56189188500); Roberts, Matthew L. (59379944100); Bowman, Stephen M. (57215455260); Jensen, Hanna K. (57190844779)",58634769500; 58727186900; 59379335100; 54586054300; 56189188500; 59379944100; 57215455260; 57190844779,Intensive Care Unit Readmissions in a Level I Trauma Center,2025,Journal of Surgical Research,310,,,382,387,0,10.1016/j.jss.2024.09.074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207184899&doi=10.1016%2Fj.jss.2024.09.074&partnerID=40&md5=57e3e8a3bbaa0f7a99189f819a8a8d95,"Introduction: Intensive care unit (ICU) readmissions are associated with increased morbidity and mortality rates, longer hospitalization, and increased health-care expenditures. This study sought to present a large cohort of trauma patients readmitted to the ICU, characterizing risk factors and providing quality improvement strategies to limit ICU readmission. Methods: A retrospective cohort analysis was conducted on adult trauma patients admitted to the ICU at a single level I trauma center from 2014 to 2021. Patients were split into readmission and no readmission groups. Patients experiencing readmission were compared to a similar group that was not readmitted using descriptive statistics and logistic regression. Results: In this study, 3632 patients were included and 278 (7.7%) were readmitted to the ICU. Significant differences were found in age, Elixhauser Comorbidity score, number of days on a ventilator, and number of patients requiring ventilator support. Furthermore, logistic regression showed that increasing age and the Elixhauser Comorbidity Score were associated with an increased likelihood of ICU readmission. Over the study period, the ICU readmission rate increased while the ICU length decreased. Conclusions: Age, Elixhauser Comorbidity score, and ventilator use were all significant risk factors for ICU readmission. During our study period, a concerning trend of increasing ICU readmissions and decreased ICU length of stay was found. By identifying this trend, our institution was able to employ mitigation strategies that have successfully reversed the trend in ICU readmissions, decreasing the rate below the national average. © 2024 Elsevier Inc.",Critical care; Improvement; Intensive care; Quality; Readmission; Trauma,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85207184899
"Blobel, B.; Oemig, F.; Ruotsalainen, P.; Brochhausen, M.; Sexton, K.W.; Giacomini, M.","Blobel, Bernd Gerhard (55551292000); Oemig, Frank (22941217500); Ruotsalainen, Pekka Sakari (57216940254); Brochhausen, Mathias (23388655700); Sexton, Kevin W. (54586054300); Giacomini, Mauro (55208666200)",55551292000; 22941217500; 57216940254; 23388655700; 54586054300; 55208666200,The Representational Challenge of Integration and Interoperability in Transformed Health Ecosystems,2025,Journal of Personalized Medicine,15,1,4,,,2,10.3390/jpm15010004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215781661&doi=10.3390%2Fjpm15010004&partnerID=40&md5=7a5a038f1e5068d0ec185992fbc06077,"Background/Objectives: Health and social care systems around the globe are currently undergoing a transformation towards personalized, preventive, predictive, participative precision medicine (5PM), considering the individual health status, conditions, genetic and genomic dispositions, etc., in personal, social, occupational, environmental, and behavioral contexts. This transformation is strongly supported by technologies such as micro- and nanotechnologies, advanced computing, artificial intelligence, edge computing, etc. Methods: To enable communication and cooperation between actors from different domains using different methodologies, languages, and ontologies based on different education, experiences, etc., we have to understand the transformed health ecosystem and all its components in terms of structure, function and relationships in the necessary detail, ranging from elementary particles up to the universe. In this way, we advance design and management of the complex and highly dynamic ecosystem from data to knowledge level. The challenge is the consistent, correct, and formalized representation of the transformed health ecosystem from the perspectives of all domains involved, representing and managing them based on related ontologies. The resulting business viewpoint of the real-world ecosystem must be interrelated using the ISO/IEC 21838 Top Level Ontologies standard. Thereafter, the outcome can be transformed into implementable solutions using the ISO/IEC 10746 Open Distributed Processing Reference Model. Results: The model and framework for this system-oriented, architecture-centric, ontology-based, policy-driven approach have been developed by the first author and meanwhile standardized as ISO 23903 Interoperability and Integration Reference Architecture. The formal representation of any ecosystem and its development process including examples of practical deployment of the approach, are presented in detail. This includes correct systems and standards integration and interoperability solutions. A special issue newly addressed in the paper is the correct and consistent formal representation Conclusions: of all components in the development process, enabling interoperability between and integration of any existing representational artifacts such as models, work products, as well as used terminologies and ontologies. The provided solution is meanwhile mandatory at ISOTC215, CEN/TC251 and many other standards developing organization in health informatics for all projects covering more than just one domain. © 2024 by the authors.",ecosystems; health and social care transformation; information modelling; knowledge representation and management; language types; ontologies; systems architecture,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85215781661
"Williams, T.B.; Bimali, M.; Garza, M.Y.; Parker, P.; Paladino-Vaden, C.; Seker, E.; Crump, A.A.; Rice, R.; Prince, L.; Massey-Swindle, T.; Sexton, K.W.","Williams, Tremaine Brueon (57195233283); Bimali, Milan (57188742664); Garza, Maryam Y. (57192102881); Parker, Pearman D. (57204529500); Paladino-Vaden, Chase (60238663500); Seker, Emel (57205720733); Crump, Alisha A. (58394423600); Rice, Randall (59504230900); Prince, Latrina Y. (57191668990); Massey-Swindle, Taren (59901954800); Sexton, Kevin W. (54586054300)",57195233283; 57188742664; 57192102881; 57204529500; 60238663500; 57205720733; 58394423600; 59504230900; 57191668990; 59901954800; 54586054300,Sociotechnical Needs of Registered Nurses in the Heart Failure Hospitalizations of African American Patients: Cross-Sectional Study,2025,JMIR Nursing,8,,e75080,,,1,10.2196/75080,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024805949&doi=10.2196%2F75080&partnerID=40&md5=d83228318c4531cc365293d04a9aaba5,"Background: The African American population is disproportionately impacted by congestive heart failure (CHF). The impact includes a hospitalization rate that is 2.5 times higher and a hospital stay that is, on average, a quarter of a day longer compared with Caucasians. Notably, nursing care has been associated with nearly a 30% decrease in hospitalizations and readmissions. Previous studies have demonstrated that registered nurses (RNs), working in conjunction with electronic health record systems to conduct care tasks, may optimize length of stay in African Americans with CHF. Objective: This study aimed to identify the needs of RNs who performed sociotechnical tasks, the perceived importance of these sociotechnical tasks, and the perceived performance of these tasks by RNs, in relation to the length of stay of their African American patients with CHF. Methods: The study used an observational, cross-sectional survey design in RNs who were randomly selected from a total population of 3498 RNs who provided care to 22,703 African American patients with CHF within 113,543 heart failure hospitalizations between January 1, 2015, and January 1, 2024. The RNs were retrospectively stratified into 2 groups based on EHR data: those whose African American patients had a mean length of stay of 10 days or less (Group A) and those whose mean length of stay was greater than 10 days (Group B). Descriptive statistics, Cohen d, and a 2-sided unpaired t test were used to analyze the data. Results: The total sample of 200 RNs responded to the survey (100% survey completion rate). Group A (100 RNs) reported the least important task as drawing conclusions about how to use the EHR to care for African American patients (mean 4.66, SD 1.82). The least important task in Group B (100 RNs) was reading published research on African American patients (mean 4.88, SD 1.70). Group A reported performing best in caring for African American patients (mean 5.61, SD 1.44). Group B reported performing best at caring for all patients (mean 5.86, SD 1.04). A total of 17 significant sociotechnical needs were identified among groups. In total, 2 sociotechnical needs were unique to group B: caring for patients (ie, the full scope of social and technological processes in nursing care; Cohen d=0.32, 95% CI 0.04-0.59; P=.04) and working with information related to a patient’s CHF in the EHR (eg, laboratory results, discharge summaries, or radiographic images) to care for the patient (Cohen d=0.33, 95% CI 0.05-0.61; P=.03). Conclusions: Lengths of patient stay may be reduced by identifying and addressing sociotechnical needs through targeted training, nursing care interventions, and RN-led risk stratification guidelines for working with EHRs to reduce lengths of stay in those who are disproportionately impacted by CHF. © Tremaine Brueon Williams, Milan Bimali, Maryam Y Garza, Pearman Parker, Chase Paladino-Vaden, Emel Seker, Alisha Crump, Randy Rice, Latrina Prince, Taren Massey-Swindle, Kevin Wayne Sexton.",EHR; electronic health record; health disparities; heart failure; human factors; registered nurses; socio-technical,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105024805949
"Walters, D.K.; Sexton, K.W.; Gunderman, A.L.","Walters, Dibbon Keith (57293475000); Sexton, Kevin W. (54586054300); Gunderman, Anthony L. (57221804979)",57293475000; 54586054300; 57221804979,LOKI: Laparoscopic Operational Kinematic Instrument,2025,"International Symposium on Medical Robotics, ISMR",,2025,,178,184,0,10.1109/ISMR67322.2025.11025967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013080864&doi=10.1109%2FISMR67322.2025.11025967&partnerID=40&md5=94753802dc7e1dd4e533e3c0bd8e100a,"Laparoscopic surgery is an accepted surgical technique that is capable of improving patient outcomes when compared to open-surgery. However, one standing challenge is obtaining and maintaining an adequate field of view of the operative area through retraction. This paper presents LOKI, a laparoscopic operational kinematic instrument for surgical retraction that uses phase changing material (PCM) to switch between high dexterity and high stiffness. In this paper, we identify the clinical requirements, define the corresponding geometrical parameters of the PCM, propose a design for the arm and thermal management system of the thermal fluid, and perform thermal analysis using computational fluid dynamics to evaluate the phase transition time of the PCM across multiple flow rates. We demonstrate that despite the arm's relatively large size and thermal mass compared to prior art, the proposed thermal conduit permits an adequate thermal response. Observed computationally is a minimum phase transition time of 27 s for liquefaction and 14.5 s for solidification using a flow rate of 20L/min. © 2025 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-105013080864
