Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kohut, L.E.; Wernke, S.A.; Dunnavant, J.","Kohut, Lauren E. (57191060179); Wernke, Steven A. (16069400900); Dunnavant, Justin P. (56764634400)",57191060179; 16069400900; 56764634400,Modeling Marronage: GIS Heuristics of Refuge Affordances in Colonial St. Croix,2025,Journal of Archaeological Method and Theory,32,1,2,,,1,10.1007/s10816-024-09680-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209761732&doi=10.1007%2Fs10816-024-09680-7&partnerID=40&md5=c51def1d1da3cef4d127deb4add8ef95,"On the Caribbean island of St. Croix, archival documents reference settlements of runaway enslaved Africans in the mountainous range known as Maroon Ridge. These settlements provide an important record of Afro-Atlantic resistance to enslavement. However, as both intentionally secluded and ephemeral places of refuge, these maroon settlements are difficult to locate in the archaeological record. Geospatial modeling provides one avenue for understanding African geographies of resistance. Building on prior geospatial modeling efforts, this paper uses a GIS-based multicriteria suitability analysis to characterize the shifting affordances of marronage on Danish colonial St. Croix across the second half of the eighteenth century. By considering how the island landscape “looked” to those seeking refuge, we trace how possibilities for refuge were distributed through space and over time. In this paper, we develop affordance heuristics to model refuge using digitized historic maps and publicly available LiDAR data. The resulting model suggests shifting maroon refugia sites over time and demonstrates how geospatial approaches, paired with historical archives, can model historic affordances across time. © The Author(s) 2024.",Caribbean; Circuit analysis; Colonialism; GIS; LiDAR; Slavery; Suitability analysis,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85209761732
"Guo, J.; Zimmer-Dauphinee, J.R.; Nieusma, J.M.; Lu, S.; Liu, Q.; Deng, R.; Cui, C.; Yue, J.; Lin, Y.; Yao, T.; Xiong, J.; Zhu, J.; Qu, C.; Yang, Y.; Wilkes, M.; Wang, X.; VanValkenburgh, P.; Wernke, S.A.; Huo, Y.","Guo, Junlin (58170992800); Zimmer-Dauphinee, James R. (57386317800); Nieusma, Jordan M. (59302259900); Lu, Siqi (59302144800); Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yue, Jialin (58952307200); Lin, Yizhe (59315480600); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Wilkes, Mitchell (59315480700); Wang, Xiao (57221485766); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Huo, Yuankai (56830058500)",58170992800; 57386317800; 59302259900; 59302144800; 57336485300; 57219448253; 57219469236; 58952307200; 59315480600; 57222525765; 58550762500; 59305966400; 59773197500; 59530872600; 59315480700; 57221485766; 55909740200; 16069400900; 56830058500,DeepAndes: A Self-Supervised Vision Foundation Model for Multispectral Remote Sensing Imagery of the Andes,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,,,26983,26999,1,10.1109/JSTARS.2025.3619423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019239290&doi=10.1109%2FJSTARS.2025.3619423&partnerID=40&md5=f16e398adf80481013060ace8f4d2c91,"By mapping sites at large scales usingremotely sensed data, archaeologists can generate unique insights into long-term demographic trends, interregional social networks, and human adaptations in the past. Remote sensing surveys complement field-based approaches, and their reach can be especially great when combined with deep learning and computer vision techniques. However, conventional supervised deep learning methods face challenges in annotating fine-grained archaeological features at scale. In addition, while recent vision foundation models have shown remarkable success in learning large-scale remote sensing data with minimal annotations, most off-the-shelf solutions are designed for RGB images rather than multispectral satellite imagery, such as the eight-band data used in our study. In this article, we introduce DeepAndes, a transformer-based vision foundation model trained on three million multispectral satellite images, specifically tailored for Andean archaeology. DeepAndes incorporates a customized DINOv2 self-supervised learning algorithm optimized for eight-band multispectral imagery, marking the first foundation model designed explicitly for the Andes region. We evaluate its image understanding performance through imbalanced image classification, image instance retrieval, and pixel-level semantic segmentation tasks. Our experiments show that DeepAndes achieves superior F1 scores, mean average precision, and Dice scores in few-shot learning scenarios, significantly outperforming models trained from scratch or pretrained on smaller datasets. This underscores the effectiveness of large-scale self-supervised pretraining in archaeological remote sensing. © 2008-2012 IEEE.",Andean archaeology; DINOv2; foundation model (FM); multispectral imaging; remote sensing; self-supervised learning,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105019239290
"Li, A.; Zimmer-Dauphinee, J.R.; Kalyanam, R.; Lindsay, I.; VanValkenburgh, P.; Wernke, S.A.; Aliaga, D.","Li, Aocheng (59705975900); Zimmer-Dauphinee, James R. (57386317800); Kalyanam, Rajesh (17434681700); Lindsay, Ian C. (23097509800); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Aliaga, Daniel G. (6603684704)",59705975900; 57386317800; 17434681700; 23097509800; 55909740200; 16069400900; 6603684704,Self-Supervised Large Scale Point Cloud Completion for Archaeological Site Restoration,2025,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,11759,11768,1,10.1109/CVPR52734.2025.01098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017081869&doi=10.1109%2FCVPR52734.2025.01098&partnerID=40&md5=8f079a97cf97e0509eae165c8b0af10f,"Point cloud completion helps restore partial incomplete point clouds suffering occlusions. Current self-supervised methods fail to give high fidelity completion for large objects with missing surfaces and unbalanced distribution of available points. In this paper, we present a novel method for restoring large-scale point clouds with limited and unbalanced ground-truth. Using rough boundary annotations for a region of interest, we project the original point clouds into a multiple-center-of-projection (MCOP) image, where fragments are projected to images of 5 channels (RGB, depth, and rotation). Completion of the original point cloud is reduced to inpainting the missing pixels in the MCOP images. Due to lack of complete structures and an unbalanced distribution of existing parts, we develop a self-supervised scheme which learns to infill the MCOP image with points resembling existing ""complete""patches. Special losses are applied to further enhance the regularity and consistency of completed MCOP images, which is mapped back to 3D to form final restoration. Extensive experiments demonstrate the superiority of our method in completing 600+ incomplete and unbalanced archaeological structures in Peru. © 2025 IEEE.",archaeological restoration; point cloud completion; self-supervised learning; view-based representation,Conference paper,Final,,Scopus,2-s2.0-105017081869
"Lu, S.; Guo, J.; Zimmer-Dauphinee, J.R.; Nieusma, J.M.; Wang, X.; VanValkenburgh, P.; Wernke, S.A.; Huo, Y.","Lu, Siqi (59302144800); Guo, Junlin (58170992800); Zimmer-Dauphinee, James R. (57386317800); Nieusma, Jordan M. (59302259900); Wang, Xiao (57221485766); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Huo, Yuankai (56830058500)",59302144800; 58170992800; 57386317800; 59302259900; 57221485766; 55909740200; 16069400900; 56830058500,Vision Foundation Models in Remote Sensing: A survey,2025,IEEE Geoscience and Remote Sensing Magazine,13,3,,190,215,47,10.1109/MGRS.2025.3541952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001568017&doi=10.1109%2FMGRS.2025.3541952&partnerID=40&md5=956907dcf8fc249755b9692d43aca53b,"Artificial intelligence (AI) technologies have profoundly transformed the field of remote sensing (RS), revolutionizing data collection, processing, and analysis. Traditionally reliant on manual interpretation and task-specific models, RS research has been significantly enhanced by the advent of foundation models (FMs)—large-scale pretrained AI models capable of performing a wide array of tasks with unprecedented accuracy and efficiency. This article provides a comprehensive survey of FMs in the RS domain. We categorize these models based on their architectures, pretraining datasets, and methodologies. Through detailed performance comparisons, we highlight emerging trends and the significant advancements achieved by those FMs. Additionally, we discuss technical challenges, practical implications, and future research directions, addressing the need for high-quality data, computational resources, and improved model generalization. Our research also finds that pretraining methods, particularly self-supervised learning (SSL) techniques like contrastive learning (CL) and masked autoencoders (MAEs), remarkably enhance the performance and robustness of FMs. This survey aims to serve as a resource for researchers and practitioners by providing a panorama of advances and promising pathways for the continued development and application of FMs in RS. © 2013 IEEE.",,Article,Final,,Scopus,2-s2.0-105001568017
"Zimmer-Dauphinee, J.R.; Wernke, S.A.","Zimmer-Dauphinee, James R. (57386317800); Wernke, Steven A. (16069400900)",57386317800; 16069400900,Semantic Segmentation and Classification of Active and Abandoned Agricultural Fields through Deep Learning in the Southern Peruvian Andes,2024,Remote Sensing,16,19,3546,,,4,10.3390/rs16193546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206322356&doi=10.3390%2Frs16193546&partnerID=40&md5=dbf6f99646b66e49b2b5cbe072f19fb7,"The monumental scale agricultural infrastructure systems built by Andean peoples during pre-Hispanic times have enabled intensive agriculture in the high-relief, arid/semi-arid landscape of the Southern Peruvian Andes. Large tracts of these labor-intensive systems have been abandoned, however, owing in large measure to a range of demographic, economic, and political crises precipitated by the Spanish invasion of the 16th century CE. This research seeks to better understand the dynamics of agricultural intensification and deintensification in the Andes by inventorying through the semantic segmentation of active and abandoned agricultural fields in satellite imagery across approximately 77,000 km2 of the Southern Peruvian Highlands. While manual digitization of agricultural fields in satellite imagery is time-consuming and labor-intensive, deep learning-based semantic segmentation makes it possible to map and classify en masse Andean agricultural infrastructure. Using high resolution satellite imagery, training and validation data were manually produced in distributed sample areas and were used to transfer-train a convolutional neural network for semantic segmentation. The resulting dataset was compared to manual surveys of the region and results suggest that deep learning can generate larger and more accurate datasets than those generated by hand. © 2024 by the authors.",agricultural deintensification; agricultural terracing; AI; Andean agriculture; convolutional neural networks; landscape archaeology; remote sensing,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85206322356
"Ahonkhai, A.A.; Bian, A.; Robbins, N.N.; Maurer, L.A.; Clouse, K.; Pierce, L.J.; Perkins, J.M.; Wernke, S.A.; Shepherd, B.E.; Brantley, M.","Ahonkhai, Aima A. (15028144100); Bian, Aihua (16644555200); Robbins, Natalie N. (58136750000); Maurer, Laurie A. (57188755313); Clouse, Kate A. (57214265855); Pierce, Leslie J. (57218913619); Perkins, Jessica M. (26639748300); Wernke, Steven A. (16069400900); Shepherd, Bryan Earl (8728235200); Brantley, Meredith L. (57214605835)",15028144100; 16644555200; 58136750000; 57188755313; 57214265855; 57218913619; 26639748300; 16069400900; 8728235200; 57214605835,Characterizing residential mobility among people with HIV in Tennessee and its impact on HIV care outcomes,2024,AIDS,38,3,,397,405,0,10.1097/QAD.0000000000003778,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184152810&doi=10.1097%2FQAD.0000000000003778&partnerID=40&md5=8354df947e14d0b8f4a05c079b0c8abd,"Objective:Our objective was to assess the prevalence and patterns of mobility among people with HIV (PWH) in Tennessee and its impact on HIV care outcomes.Design:Retrospective cohort study.Methods:We combined residential address and HIV surveillance data from PWH in Tennessee from 2016 to 2018. Using Poisson regression, we estimated associations between in-state mobility (change in address or total miles moved) in 1 year and outcomes in the subsequent year; retention: having two CD4+/HIV RNA values (labs) in a calendar year at least 3 months apart, loss to follow-up (LTFU): having labs at baseline but not the subsequent year, and viral suppression: HIV RNA less than 200 copies/ml. We applied a kernel density estimator to origin-destination address lines to visualize mobility patterns across demographic subgroups.Results:Among 17 428 PWH [median age 45 years (interquartile range; IQR 34-53)], 6564 (38%) had at least one move. Median miles moved was 8.9 (IQR 2.6-143.4)). We observed in-state movement between major cities (Chattanooga, Knoxville, Memphis and Nashville) and out-of-state movement to and from Georgia and Florida. Having at least one in-state move was associated with a decreased likelihood of retention [adjusted relative risk (aRR) = 0.91; 95% confidence interval (CI) 0.88-0.95], and an increased risk of LTFU (aRR = 1.17; 95% CI 1.04-1.31, two to three moves vs. none). Greater distance moved in-state was associated with decreased retention and increased LTFU (aRR = 0.53; 95% CI 0.49-0.58, aRR = 2.52; 95% CI 2.25-2.83, respectively for 1000 vs. 0 miles). There was no association between mobility and viral suppression.Conclusion:Mobility is common among PWH in Tennessee and is associated with initial poor engagement in HIV care. © 2024 Wolters Kluwer Health, Inc. All rights reserved.",residential mobility; retention; viral suppression,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85184152810
"Wernke, S.A.; VanValkenburgh, P.; Zimmer-Dauphinee, J.R.; Whitlock, B.; Spence-Morrow, G.; Smith, R.; Smit, D.; Roque Ortega, G.; Ricci Jara, K.; Plekhov, D.; Oré Menéndez, G.; Norman, S.; Marcone, G.; Mamani Calloapaza, M.; Kohut, L.; Hernández Garavito, C.; Chacaltana-Cortez, S.; Arkush, E.","Wernke, Steven A. (16069400900); VanValkenburgh, Parker (55909740200); Zimmer-Dauphinee, James R. (57386317800); Whitlock, Bethany (57305864000); Spence-Morrow, Giles (57191289248); Smith, Ryan D. (57211902811); Smit, Douglas K. (56749730700); Roque Ortega, Grecia (58774012200); Ricci Jara, Kevin (58774781500); Plekhov, Daniel (57203816197); Oré Menéndez, Gabriela (57224887406); Norman, Scotti M. (57205323246); Marcone, Giancarlo F. (56139728900); Mamani Calloapaza, Manuel (58773701500); Kohut, Lauren E. (57191060179); Hernández Garavito, Carla (57205352639); Chacaltana-Cortez, Sofia (57938927300); Arkush, Elizabeth N. (14122966900)",16069400900; 55909740200; 57386317800; 57305864000; 57191289248; 57211902811; 56749730700; 58774012200; 58774781500; 57203816197; 57224887406; 57205323246; 56139728900; 58773701500; 57191060179; 57205352639; 57938927300; 14122966900,"Large-scale, collaborative imagery survey in archaeology: The Geospatial Platform for Andean Culture, History and Archaeology (GeoPACHA)",2024,Antiquity,98,397,,155,171,16,10.15184/aqy.2023.177,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180278115&doi=10.15184%2Faqy.2023.177&partnerID=40&md5=3e2c83c619436068b1fcf46887d32037,"Imagery-based survey is capable of producing archaeological datasets that complement those collected through field-based survey methods, widening the scope of analysis beyond regions. The Geospatial Platform for Andean Culture, History and Archaeology (GeoPACHA) enables systematic registry of imagery survey data through a 'federated' approach. Using GeoPACHA, teams pursue problem-specific research questions through a common data schema and interface that allows for inter-project comparisons, analyses and syntheses. The authors present an overview of the platform's rationale and functionality, as well as a summary of results from the first survey campaign, which was carried out by six projects distributed across the central Andes, five of which are represented here. © © The Author(s), 2023. Published by Cambridge University Press on behalf of Antiquity Publications Ltd.",Andes; big data; large-scale imagery survey; QGIS; satellite survey; settlement pattern analysis; South America,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180278115
"Whitlock, B.; VanValkenburgh, P.; Wernke, S.A.","Whitlock, Bethany (57305864000); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900)",57305864000; 55909740200; 16069400900,"Managing pastoral landscapes: remote survey of herding infrastructure in Huancavelica, Peru",2024,Melanges de l'Ecole Francaise de Rome:Antiquite,98,397,,229,244,2,10.15184/aqy.2023.174,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180344788&doi=10.15184%2Faqy.2023.174&partnerID=40&md5=831b753a259e3302f9dd04d7494b4d66,"Recent archaeological research in the Andes suggests that Indigenous herders carefully managed their environments through the modification of local hydrology and vegetation. However, the limited geographical scale of previous research makes it challenging to assess the range and prevalence of pastoralist land management in the Andes. In this article, the authors utilise large-scale, systematic imagery survey to examine the distribution and environmental contexts of corrals and pastoralist settlements in Huancavelica, Peru. Results indicate that corrals and pastoralist settlements cluster around colonial and present-day settlements and that a statistically significant relationship exists between pastoral infrastructure and perennial vegetation. This highlights the utility of remote survey for the identification of trans-regional patterns in herder-environment relationships that are otherwise difficult to detect. © 2024 ECOLE FRANCAISE DE ROME. All rights reserved.",Andes; bofedales; corrals; estancias; optimised hot-spot analysis; pastoralism; satellite imagery survey; South America,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180344788
"Marcone, G.; Huertas, G.; Zimmer-Dauphinee, J.R.; VanValkenburgh, P.; Moat, J.; Wernke, S.A.","Marcone, Giancarlo F. (56139728900); Huertas, Geraldine (58774012100); Zimmer-Dauphinee, James R. (57386317800); VanValkenburgh, Parker (55909740200); Moat, Justin F. (6507046506); Wernke, Steven A. (16069400900)",56139728900; 58774012100; 57386317800; 55909740200; 6507046506; 16069400900,Late pre-Hispanic fog oasis settlements and long-term human occupation on the Peruvian central coast from satellite imagery,2024,Melanges de l'Ecole Francaise de Rome:Antiquite,98,397,,211,228,3,10.15184/aqy.2023.179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180328833&doi=10.15184%2Faqy.2023.179&partnerID=40&md5=27ac3ad443e29e5d311c991488e6d85b,"Fog oases (lomas) present pockets of verdant vegetation within the arid coastal desert of Andean South America and archaeological excavation within some of the oases has revealed a long history of human exploitation of these landscapes. Yet lomas settlements are under-represented in archaeological datasets due to their tendency to be located in remote inter-valley areas. Here, the authors employ satellite imagery survey to map the locations of anthropogenic surface features along the central Peruvian coast. They observe two categories of archaeological features, large corrals and clustered structures, and document a concentration of settlement features within lomas landscapes that suggests a pre-Hispanic preference for both short- and long-term occupation of these verdant oases. © 2024 ECOLE FRANCAISE DE ROME. All rights reserved.",Andean central coast; fog oases; lomas; pre-Hispanic; satellite imagery survey; settlement patterns; South America,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180328833
"Spence-Morrow, G.; VanValkenburgh, P.; Wai, C.; Wernke, S.A.","Spence-Morrow, Giles (57191289248); VanValkenburgh, Parker (55909740200); Wai, Christopher (58773701300); Wernke, Steven A. (16069400900)",57191289248; 55909740200; 58773701300; 16069400900,Augmenting field data with archaeological imagery survey: mapping hilltop fortifications on the north coast of Peru,2024,Melanges de l'Ecole Francaise de Rome:Antiquite,98,397,,193,210,1,10.15184/aqy.2023.176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180326284&doi=10.15184%2Faqy.2023.176&partnerID=40&md5=4f3260ff57f1af755dd342073d44b2a7,"The north coast of Peru is among the most extensively surveyed regions in the world, yet variation in research questions, sampling strategies and chronological and geospatial controls among survey projects makes comparison of disparate datasets difficult. To contextualise these issues, the authors present a systematic survey of satellite imagery focusing on hilltop fortifications in the Jequetepeque and Santa Valleys. This digital recontextualisation of pedestrian survey data demonstrates the potential of hybrid methodologies to substantially expand both the identification of archaeological sites within difficult terrain and, consequently, our understanding of the function of defensive sites. © 2024 ECOLE FRANCAISE DE ROME. All rights reserved.",Andes; fortifications; Middle Horizon; Moche culture; pedestrian survey; satellite imagery survey; South America,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180326284
