Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Fogo, A.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Fogo, Agnes B. (7102673654); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59442510500; 56561973300; 59315480700; 7102673654; 58952280800; 8638224800; 56830058500,Evaluating cell AI foundation models in kidney pathology with human-in-the-loop enrichment,2025,Communications Medicine,5,1,495,,,0,10.1038/s43856-025-01205-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022790247&doi=10.1038%2Fs43856-025-01205-x&partnerID=40&md5=9a563ea34e43e8c8b11432615ddcb1e3,"Background: Large-scale artificial intelligence foundation models have emerged as promising tools for addressing healthcare challenges, including digital pathology. While many have been developed for complex tasks such as disease diagnosis and tissue quantification using extensive and diverse datasets, their readiness for seemingly simpler tasks, such as nuclei segmentation within a single organ (for example, the kidney), remains unclear. This study answers two questions: How good are current cell foundation models? and How can we improve them? Methods: We curated a multi-center, multi-disease, and multi-species dataset sampled from 2542 kidney whole slide images. Three state-of-the-art cell foundation models—Cellpose, StarDist, and CellViT—were evaluated. To enhance performance, we developed a human-in-the-loop strategy that distilled multi-model predictions, improving data quality while reducing reliance on pixel-level annotation. Fine-tuning was performed using the enriched datasets, and segmentation performance was quantitatively assessed. Results: Here we show that cell nuclei segmentation in kidney pathology still requires improvement with more organ-targeted foundation models. Among the evaluated models, CellViT achieves the highest baseline performance, with an F1 score of 0.78. Fine-tuning with enriched data improves all three models, with StarDist achieving the highest F1 score of 0.82. The combination of the foundation model-generated pseudo-labels and a subset of pathologist-corrected “hard” patches yields consistent performance gains across all models. Conclusions: This study establishes a benchmark for the development and deployment of cell AI foundation models tailored to real-world data. The proposed framework, which leverages foundation models with reduced expert annotation, supports more efficient workflows in clinical pathology. © The Author(s) 2025.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105022790247
"Zhu, J.; Deng, R.; Guo, J.; Yao, T.; Xiong, J.; Qu, C.; Yin, M.; Wang, Y.; Zhao, S.; Yang, H.; Xu, D.; Tang, Y.; Huo, Y.","Zhu, Junchao (59305966400); Deng, Ruining (57219448253); Guo, Junlin (58170992800); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Qu, Chongyu (58311576300); Yin, Mengmeng (58952280800); Wang, Yu (55979182400); Zhao, Shilin (59442510500); Yang, Haichun (8638224800); Xu, Daguang (57191707223); Tang, Yucheng (57212614566); Huo, Yuankai (56830058500)",59305966400; 57219448253; 58170992800; 57222525765; 58550762500; 58311576300; 58952280800; 55979182400; 59442510500; 8638224800; 57191707223; 57212614566; 56830058500,Img2ST-Net: efficient high-resolution spatial omics prediction from whole-slide histology images via fully convolutional image-to-image learning,2025,Journal of Medical Imaging,12,6,061410,,,1,10.1117/1.JMI.12.6.061410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026307026&doi=10.1117%2F1.JMI.12.6.061410&partnerID=40&md5=86856d2041e8990e5b260d303bbe3d4c,"Purpose: Recent advances in multimodal artificial intelligence (AI) have demonstrated promising potential for generating the currently expensive spatial transcriptomics (ST) data directly from routine histology images, offering a means to reduce the high cost and time-intensive nature of ST data acquisition. However, the increasing resolution of ST—particularly with platforms such as Visium HD achieving 8 μm or finer—introduces significant computational and modeling challenges. Conventional spot-by-spot sequential regression frameworks become inefficient and unstable at this scale, whereas the inherent extreme sparsity and low expression levels of high-resolution ST further complicate both prediction and evaluation. Approach: To address these limitations, we propose Img2ST-Net, a high-definition (HD) histology-to-ST generation framework for efficient and parallel high-resolution ST prediction. Unlike conventional spot-by-spot inference methods, Img2ST-Net employs a fully convolutional architecture to generate dense, HD gene expression maps in a parallelized manner. By modeling HD ST data as super-pixel representations, the task is reformulated from image-to-omics inference into a super-content image generation problem with hundreds or thousands of output channels. This design not only improves computational efficiency but also better preserves the spatial organization intrinsic to spatial omics data. To enhance robustness under sparse expression patterns, we further introduce SSIM-ST, a structural-similarity-based evaluation metric tailored for high-resolution ST analysis. Results: Evaluations on two public Visium HD datasets at 8 and 16 μm resolutions demonstrate that Img2ST-Net outperforms state-of-the-art methods in both accuracy and spatial coherence. On the Breast Cancer dataset at 16 μm, Img2STNet achieves a mean squared error (MSE) of 0.1657 and a structural similarity index of 0.0937, whereas on the Colorectal Cancer dataset, it reaches an MSE of 0.7981 and a mean absolute error of 0.5208. These results highlight its ability to capture fine-grained gene expression patterns. In addition, our region-wise modeling significantly reduces training time without sacrificing performance, achieving up to 28-fold acceleration over conventional spot-wise methods. Ablation studies further validate the contribution of contrastive learning in enhancing spatial fidelity. The source code has been made publicly available at https://github.com/hrlblab/Img2ST-Net. Conclusions: We present a scalable, biologically coherent framework for high-resolution ST prediction. Img2ST-Net offers a principled solution for efficient and accurate ST inference at scale. Our contributions lay the groundwork for next-generation ST modeling that is robust and resolution-aware. © The Authors.",computational pathology; spatial transcriptomics; Visium HD,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105026307026
"Xiong, J.; Deng, R.; Yue, J.; Lu, S.; Guo, J.; Lionts, M.; Yao, T.; Cui, C.; Zhu, J.; Qu, C.; Yang, Y.; Yin, M.; Yang, H.; Huo, Y.","Xiong, Juming (58550762500); Deng, Ruining (57219448253); Yue, Jialin (58952307200); Lu, Siqi (59302144800); Guo, Junlin (58170992800); Lionts, Marilyn (58886284600); Yao, Tianyuan (57222525765); Cui, Can (57219469236); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58550762500; 57219448253; 58952307200; 59302144800; 58170992800; 58886284600; 57222525765; 57219469236; 59305966400; 59773197500; 59530872600; 58952280800; 8638224800; 56830058500,ZeroReg3D: A zero-shot registration pipeline for 3D consecutive histopathology image reconstruction,2025,Journal of Medical Imaging,12,4,044002,,,0,10.1117/1.JMI.12.4.044002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014736251&doi=10.1117%2F1.JMI.12.4.044002&partnerID=40&md5=8ced8cb4a7425e404041dc8dd6815e3d,"Purpose: Histological analysis plays a crucial role in understanding tissue struc ture and pathology. Although recent advancements in registration methods have improved 2D histological analysis, they often struggle to preserve critical 3D spa tial relationships, limiting their utility in both clinical and research applications. Specifically, constructing accurate 3D models from 2D slices remains challenging due to tissue deformation, sectioning artifacts, variability in imaging techniques, and inconsistent illumination. Deep learning-based registration methods have demon strated improved performance but suffer from limited generalizability and require large-scale training data. In contrast, non-deep-learning approaches offer better generalizability but often compromise on accuracy. Approach: We introduce ZeroReg3D, a zero-shot registration pipeline that integra tes zero-shot deep learning-based keypoint matching and non-deep-learning regis tration techniques to effectively mitigate deformation and sectioning artifacts without requiring extensive training data. Results: Comprehensive evaluations demonstrate that our pairwise 2D image registration method improves registration accuracy by ∼10% over baseline meth ods, outperforming existing strategies in both accuracy and robustness. High-fidelity 3D reconstructions further validate the effectiveness of our approach, establishing ZeroReg3D as a reliable framework for precise 3D reconstruction from consecutive 2D histological images. Conclusions: We introduced ZeroReg3D, a zero-shot registration pipeline tailored for accurate 3D reconstruction from serial histological sections. By combining zero shot deep learning-based keypoint matching with optimization-based affine and non-rigid registration techniques, ZeroReg3D effectively addresses critical chal lenges such as tissue deformation, sectioning artifacts, staining variability, and inconsistent illumination without requiring retraining or fine-tuning. © The Authors.",3D reconstruction; deep learning; histology; image registration; pathology,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105014736251
"Yue, J.; Yao, T.; Deng, R.; Lu, S.; Guo, J.; Liu, Q.; Xiong, J.; Yin, M.; Yang, H.; Huo, Y.","Yue, Jialin (58952307200); Yao, Tianyuan (57222525765); Deng, Ruining (57219448253); Lu, Siqi (59302144800); Guo, Junlin (58170992800); Liu, Quan (57336485300); Xiong, Juming (58550762500); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952307200; 57222525765; 57219448253; 59302144800; 58170992800; 57336485300; 58550762500; 58952280800; 8638224800; 56830058500,"GloFinder: AI-empowered QuPath plugin for WSI-level glomerular detection, visualization, and curation",2025,Journal of Pathology Informatics,17,,100433,,,2,10.1016/j.jpi.2025.100433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000069400&doi=10.1016%2Fj.jpi.2025.100433&partnerID=40&md5=8a3421e53edf160f82ad46d64ec670b1,"Artificial intelligence (AI) has demonstrated significant success in automating the detection of glomeruli—key functional units of the kidney—from whole slide images (WSIs) in kidney pathology. However, existing open-source tools are often distributed as source code or Docker containers, requiring advanced programming skills that hinder accessibility for non-programmers, such as clinicians. Additionally, current models are typically trained on a single dataset and lack flexibility in adjusting confidence levels for predictions. To overcome these challenges, we introduce GloFinder, a QuPath plugin designed for single-click automated glomerular detection across entire WSIs with online editing through the graphical user interface. GloFinder employs CircleNet, an anchor-free detection framework utilizing circle representations for precise object localization, with models trained on approximately 160,000 manually annotated glomeruli. To further enhance accuracy, the plugin incorporates weighted circle fusion—an ensemble method that combines confidence scores from multiple CircleNet models to produce refined predictions, achieving superior performance in glomerular detection. GloFinder enables direct visualization and editing of results in QuPath, facilitating seamless interaction for clinicians and providing a powerful tool for nephropathology research and clinical practice. © 2025 The Authors",Automated glomerular detection; CircleNet; Medical image analysis; QuPath plugin; Renal pathology; Weighted circle fusion; Whole slide images,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000069400
"Guo, J.; Zimmer-Dauphinee, J.R.; Nieusma, J.M.; Lu, S.; Liu, Q.; Deng, R.; Cui, C.; Yue, J.; Lin, Y.; Yao, T.; Xiong, J.; Zhu, J.; Qu, C.; Yang, Y.; Wilkes, M.; Wang, X.; VanValkenburgh, P.; Wernke, S.A.; Huo, Y.","Guo, Junlin (58170992800); Zimmer-Dauphinee, James R. (57386317800); Nieusma, Jordan M. (59302259900); Lu, Siqi (59302144800); Liu, Quan (57336485300); Deng, Ruining (57219448253); Cui, Can (57219469236); Yue, Jialin (58952307200); Lin, Yizhe (59315480600); Yao, Tianyuan (57222525765); Xiong, Juming (58550762500); Zhu, Junchao (59305966400); Qu, Chongyu (59773197500); Yang, Yuechen (59530872600); Wilkes, Mitchell (59315480700); Wang, Xiao (57221485766); VanValkenburgh, Parker (55909740200); Wernke, Steven A. (16069400900); Huo, Yuankai (56830058500)",58170992800; 57386317800; 59302259900; 59302144800; 57336485300; 57219448253; 57219469236; 58952307200; 59315480600; 57222525765; 58550762500; 59305966400; 59773197500; 59530872600; 59315480700; 57221485766; 55909740200; 16069400900; 56830058500,DeepAndes: A Self-Supervised Vision Foundation Model for Multispectral Remote Sensing Imagery of the Andes,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,,,26983,26999,1,10.1109/JSTARS.2025.3619423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019239290&doi=10.1109%2FJSTARS.2025.3619423&partnerID=40&md5=f16e398adf80481013060ace8f4d2c91,"By mapping sites at large scales usingremotely sensed data, archaeologists can generate unique insights into long-term demographic trends, interregional social networks, and human adaptations in the past. Remote sensing surveys complement field-based approaches, and their reach can be especially great when combined with deep learning and computer vision techniques. However, conventional supervised deep learning methods face challenges in annotating fine-grained archaeological features at scale. In addition, while recent vision foundation models have shown remarkable success in learning large-scale remote sensing data with minimal annotations, most off-the-shelf solutions are designed for RGB images rather than multispectral satellite imagery, such as the eight-band data used in our study. In this article, we introduce DeepAndes, a transformer-based vision foundation model trained on three million multispectral satellite images, specifically tailored for Andean archaeology. DeepAndes incorporates a customized DINOv2 self-supervised learning algorithm optimized for eight-band multispectral imagery, marking the first foundation model designed explicitly for the Andes region. We evaluate its image understanding performance through imbalanced image classification, image instance retrieval, and pixel-level semantic segmentation tasks. Our experiments show that DeepAndes achieves superior F1 scores, mean average precision, and Dice scores in few-shot learning scenarios, significantly outperforming models trained from scratch or pretrained on smaller datasets. This underscores the effectiveness of large-scale self-supervised pretraining in archaeological remote sensing. © 2008-2012 IEEE.",Andean archaeology; DINOv2; foundation model (FM); multispectral imaging; remote sensing; self-supervised learning,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105019239290
"Xiong, J.; Li, M.; Deng, R.; Yao, T.; Bao, S.; Tyree, R.; Hiremath, G.; Huo, Y.","Xiong, Juming (58550762500); Li, Muyang (59250828000); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Bao, Shunxing (57189987093); Tyree, Regina N. (57210803860); Hiremath, Girish S. (12798054500); Huo, Yuankai (56830058500)",58550762500; 59250828000; 57219448253; 57222525765; 57189987093; 57210803860; 12798054500; 56830058500,Enhanced Feature-based Image Stitching for Endoscopic Videos in Pediatric Eosinophilic Esophagitis,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13408,,134080F,,,0,10.1117/12.3047514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005954430&doi=10.1117%2F12.3047514&partnerID=40&md5=1488b7f556192287da9b88fa330afbde,"Video endoscopy represents a major advance in the investigation of gastrointestinal diseases. Reviewing endoscopy videos often involves frequent adjustments and reorientations to reconstruct a comprehensive view of the examined area, a process that is not only time-consuming but also prone to errors. Image stitching techniques offer a solution by enabling a continuous and complete visualization of the examined area. However, endoscopic images, particularly those of the esophagus, present unique challenges. The smooth surface, lack of distinct feature points, and non-horizontal orientation complicate the stitching process, rendering traditional feature-based methods often ineffective for these types of images. To solve this problem, we propose a novel preprocessing pipeline designed to enhance endoscopic image stitching through advanced computational techniques. Our approach converts endoscopic video data into continuous 2D images by following four key steps: (1) keyframe selection, (2) image rotation adjustment to correct distortions, (3) surface unwrapping using polar coordinate transformation to generate a flat image, and (4) feature point matching enhanced by Adaptive Histogram Equalization for improved feature detection. We evaluate stitching quality through the assessment of valid feature point match pairs. Experiments conducted on 20 pediatric endoscopy videos demonstrate that our method significantly improves image alignment and stitching quality compared to traditional techniques, laying a robust foundation for more effective panoramic image creation. © 2025 SPIE",Endoscopy; Eosinophilic esophagitis; Image stitching,Conference paper,Final,,Scopus,2-s2.0-105005954430
"Yue, J.; Yao, T.; Deng, R.; Liu, Q.; Xiong, J.; Guo, J.; Yang, H.; Huo, Y.","Yue, Jialin (58952307200); Yao, Tianyuan (57222525765); Deng, Ruining (57219448253); Liu, Quan (57336485300); Xiong, Juming (58550762500); Guo, Junlin (58170992800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58952307200; 57222525765; 57219448253; 57336485300; 58550762500; 58170992800; 8638224800; 56830058500,Weighted Circle Fusion: Ensembling Circle Representation from Different Object Detection Results,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13409,,1340911,,,0,10.1117/12.3047295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004810408&doi=10.1117%2F12.3047295&partnerID=40&md5=f5a7aa8b388c1bdd4ada22b003a0235a,"Recently, the use of circle representation has emerged as a method to improve the identification of spherical objects (such as glomeruli, cells, and nuclei) in medical imaging studies. In traditional bounding box-based object detection, combining results from multiple models improves accuracy, especially when real-time processing isn’t crucial. Unfortunately, this widely adopted strategy is not readily available for combining circle representations. In this paper, we propose Weighted Circle Fusion (WCF), a simple approach for merging predictions from various circle detection models. Our method leverages confidence scores associated with each proposed bounding circle to generate averaged circles. We evaluate our method on a proprietary dataset for glomerular detection in whole slide imaging (WSI) and find a performance gain of 5% compared to existing ensemble methods. Additionally, we assess the efficiency of two annotation methods-fully manual annotation and a human-in-the-loop (HITL) approach-in labeling 200,000 glomeruli. The HITL approach, which integrates machine learning detection with human verification, demonstrated remarkable improvements in annotation efficiency. The Weighted Circle Fusion technique not only enhances object detection precision but also notably reduces false detections, presenting a promising direction for future research and application in pathological image analysis. The source code has been made publicly available at https://github.com/hrlblab/WeightedCircleFusion. © 2025 SPIE.",Circle Representation; Ensemble Methods; Medical Imaging; Weighted Circle Fusion,Conference paper,Final,,Scopus,2-s2.0-105004810408
"Guo, J.; Lu, S.; Cui, C.; Deng, R.; Yao, T.; Tao, Z.; Lin, Y.; Lionts, M.; Liu, Q.; Xiong, J.; Wang, Y.; Zhao, S.; Chang, C.; Wilkes, M.; Yin, M.; Yang, H.; Huo, Y.","Guo, Junlin (58170992800); Lu, Siqi (59302144800); Cui, Can (57219469236); Deng, Ruining (57219448253); Yao, Tianyuan (57222525765); Tao, Zhewen (59314097000); Lin, Yizhe (59315480600); Lionts, Marilyn (58886284600); Liu, Quan (57336485300); Xiong, Juming (58550762500); Wang, Yu (55979182400); Zhao, Shilin (59636153400); Chang, Catie E. (56561973300); Wilkes, Mitchell (59315480700); Yin, Mengmeng (58952280800); Yang, Haichun (8638224800); Huo, Yuankai (56830058500)",58170992800; 59302144800; 57219469236; 57219448253; 57222525765; 59314097000; 59315480600; 58886284600; 57336485300; 58550762500; 55979182400; 59636153400; 56561973300; 59315480700; 58952280800; 8638224800; 56830058500,Assessment of Cell Nuclei AI Foundation Models in Kidney Pathology,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13409,,134090G,,,1,10.1117/12.3047301,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004806172&doi=10.1117%2F12.3047301&partnerID=40&md5=218a82eef67d298d55ba6527688745d9,"Cell nuclei instance segmentation is a crucial task in digital kidney pathology. Traditional automatic segmentation methods often lack generalizability when applied to unseen datasets. Recently, the success of foundation models (FMs) has provided a more generalizable solution, potentially enabling the segmentation of any cell type. In this study, we perform a large-scale evaluation of three widely used state-of-the-art (SOTA) cell nuclei foundation models-Cellpose, StarDist, and CellViT. Specifically, we created a highly diverse evaluation dataset consisting of 2,542 kidney whole slide images (WSIs) collected from both human and rodent sources, encompassing various tissue types, sizes, and staining methods. To our knowledge, this is the largest-scale evaluation of its kind to date. Our quantitative analysis of the prediction distribution reveals a persistent performance gap in kidney pathology. Among the evaluated models, CellViT demonstrated superior performance in segmenting nuclei in kidney pathology. However, none of the foundation models are perfect; a performance gap remains in general nuclei segmentation for kidney pathology. © 2025 SPIE.",Ensemble learning; Foundation model; Instance Segmentation; Kidney Pathology; Model Agreement; Nuclei,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004806172
"Wu, Y.; Xiong, J.; Yao, T.; Deng, R.; Guo, J.; Yue, J.; Chowdhury, N.; Huo, Y.","Wu, Yifei (59469657500); Xiong, Juming (58550762500); Yao, Tianyuan (57222525765); Deng, Ruining (57219448253); Guo, Junlin (58170992800); Yue, Jialin (58952307200); Chowdhury, Naweed Iffat (56946350200); Huo, Yuankai (56830058500)",59469657500; 58550762500; 57222525765; 57219448253; 58170992800; 58952307200; 56946350200; 56830058500,Cross-organ Deployment of EOS Detection AI without Retraining: Feasibility and Limitation,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13413,,1341310,,,0,10.1117/12.3047040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004792961&doi=10.1117%2F12.3047040&partnerID=40&md5=92790d5a09a58e3fc322762bf5afd3d3,"Chronic rhinosinusitis (CRS) is characterized by persistent inflammation in the paranasal sinuses, leading to typical symptoms of nasal congestion, facial pressure, olfactory dysfunction, and discolored nasal drainage, which can significantly impact quality-of-life. Eosinophils (Eos), a crucial component in the mucosal immune response, have been linked to disease severity in CRS. The diagnosis of eosinophilic CRS typically uses a threshold of 10-20 eos per high-power field (HPF). However, manually counting Eos in histological samples is laborious and time-intensive, making the use of AI-driven methods for automated evaluations highly desirable. Interestingly, eosinophils are predominantly located in the gastrointestinal (GI) tract, which has prompted the release of numerous deep learning models trained on GI data. This study leverages a CircleSnake model initially trained on upper-GI data to segment Eos cells in whole slide images (WSIs) of nasal tissues. It aims to determine the extent to which Eos segmentation models developed for the GI tract can be adapted to nasal applications without retraining. The experimental results show promising accuracy in some WSIs, although, unsurprisingly, the performance varies across cases. This paper details these performance outcomes, delves into the reasons for such variations, and aims to provide insights that could guide future development of deep learning models for eosinophilic CRS. © 2025 SPIE.",Chronic Rhinosinusitis; CircleSnake; Deep Learning; Eosinophils,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004792961
"Xiong, J.; Xiong, H.; Liu, Q.; Deng, R.; Tyree, R.N.; Hiremath, G.; Huo, Y.","Xiong, Juming (58550762500); Xiong, Hou (59566922800); Liu, Quan (57336485300); Deng, Ruining (57219448253); Tyree, Regina N. (57210803860); Hiremath, Girish S. (12798054500); Huo, Yuankai (56830058500)",58550762500; 59566922800; 57336485300; 57219448253; 57210803860; 12798054500; 56830058500,Expanding Training Data for Endoscopic Phenotyping of Eosinophilic Esophagitis,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134062L,,,0,10.1117/12.3047356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004582727&doi=10.1117%2F12.3047356&partnerID=40&md5=57480dda4f4b28f62f3f2a25e7a05d60,"Eosinophilic esophagitis (EoE) is a chronic esophageal disorder marked by eosinophil-dominated inflammation. Diagnosing EoE usually involves endoscopic inspection of the esophageal mucosa and obtaining esophageal biopsies for histologic confirmation. Recent advances have seen AI-assisted endoscopic imaging, guided by the EREFS system, emerge as a potential alternative to reduce reliance on invasive histological assessments. Despite these advancements, significant challenges persist due to the limited availability of data for training AI models − a common issue even in the development of AI for more prevalent diseases. This study seeks to improve the performance of deep learning-based EoE phenotype classification by augmenting our training data with a diverse set of images from online platforms, public datasets, and electronic textbooks increasing our dataset from 435 to 8268 images. We utilized the Data-efficient Image Transformer for image classification and incorporated attention map visualizations to boost interpretability. The findings show that our expanded dataset and model enhancements markedly improve diagnostic accuracy, robustness, and comprehensive analysis, enhancing patient outcomes. © 2025 SPIE.",Deep learning; Endoscopy; Eosinophilic esophagitis; Image classification,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004582727
