Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhou, Y.; Lee, H.H.; Tang, Y.; Yu, X.; Yang, Q.; Kim, M.E.; Remedios, L.W.; Bao, S.; Spraggins, J.M.; Huo, Y.; Landman, B.A.","Zhou, Yinchi (59290954300); Lee, Hohin (57219409783); Tang, Yucheng (57212614566); Yu, Xin (57309160700); Yang, Qi (58653285300); Kim, Michael E. (58290603100); Remedios, Lucas W. (57226830336); Bao, Shunxing (57189987093); Spraggins, Jeffrey M. (6507478607); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",59290954300; 57219409783; 57212614566; 57309160700; 58653285300; 58290603100; 57226830336; 57189987093; 6507478607; 56830058500; 16679175200,Multi-contrast computed tomography atlas of healthy pancreas with dense displacement sampling registration,2025,Journal of Medical Imaging,12,2,024006,,,1,10.1117/1.JMI.12.2.024006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005521295&doi=10.1117%2F1.JMI.12.2.024006&partnerID=40&md5=dcfd7341ca93db24c70458043f50b466,"Purpose: Diverse population demographics can lead to substantial variation in the human anatomy. Therefore, standard anatomical atlases are needed for interpreting organ-specific analyses. Among abdominal organs, the pancreas exhibits notable variability in volumetric morphology, shape, and appearance, complicating the generalization of population-wide features. Understanding the common features of a healthy pancreas is crucial for identifying biomarkers and diagnosing pancreatic diseases. Approach: We propose a high-resolution CT atlas framework optimized for the healthy pancreas. We introduce a deep-learning-based preprocessing technique to extract abdominal ROIs and leverage a hierarchical registration pipeline to align pancreatic anatomy across populations. Briefly, DEEDS affine and non-rigid registration techniques are employed to transfer patient abdominal volumes to a fixed high-resolution atlas template. To generate and evaluate the pancreas atlas, multi-phase contrast CT scans of 443 subjects (aged 15 to 50 years, with no reported history of pancreatic disease) were processed. Results: The two-stage DEEDS affine and non-rigid registration outperforms other state-of-the-art tools, achieving the highest scores for pancreas label transfer across all phases (non-contrast: 0.497, arterial: 0.505, portal venous: 0.494, delayed: 0.497). External evaluation with 100 portal venous scans and 13 labeled abdominal organs shows a mean Dice score of 0.504. The low variance between the pancreases of registered subjects and the obtained pancreas atlas further illustrates the generalizability of the proposed method. Conclusion: We introduce a high-resolution pancreas atlas framework to generalize healthy biomarkers across populations with multi-contrast abdominal CT. The atlases and the associated pancreas organ labels are publicly available through the Human Biomolecular Atlas Program (HuBMAP). © 2025 SPIE. All rights reserved.",computed tomography; pancreas; registration,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105005521295
"Zhao, L.; Yu, X.; Liu, Y.; Chen, X.; Chen, E.Z.; Chen, T.; Sun, S.","Zhao, Lin (57748941700); Yu, Xin (57309160700); Liu, Yikang (56740474600); Chen, Xiao (57219433075); Chen, Eric Z. (57219440464); Chen, Terrence (35207990900); Sun, Shanhui (56352342000)",57748941700; 57309160700; 56740474600; 57219433075; 57219440464; 35207990900; 56352342000,Leveraging Diffusion Model and Image Foundation Model for Improved Correspondence Matching in Coronary Angiography,2025,IEEE Transactions on Medical Imaging,,,,,,0,10.1109/TMI.2025.3623507,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019985964&doi=10.1109%2FTMI.2025.3623507&partnerID=40&md5=b25ca3fa2a501fd96890fbfc4f93aa84,"Accurate correspondence matching in coronary angiography images is crucial for reconstructing 3D coronary artery structures, which is essential for precise diagnosis and treatment planning of coronary artery disease (CAD). Traditional matching methods for natural images often fail to generalize to X-ray images due to inherent differences such as lack of texture, lower contrast, and overlapping structures, compounded by insufficient training data. To address these challenges, we propose a novel pipeline that generates realistic paired coronary angiography images using a diffusion model conditioned on 2D projections of 3D reconstructed meshes from Coronary Computed Tomography Angiography (CCTA), providing high-quality synthetic data for training. Additionally, we employ large-scale image foundation models to guide feature aggregation, enhancing correspondence matching accuracy by focusing on semantically relevant regions and keypoints. Our approach demonstrates superior matching performance on synthetic datasets and effectively generalizes to real-world datasets, offering a practical solution for this task. Furthermore, our work investigates the efficacy of different foundation models in correspondence matching, providing novel insights into leveraging advanced image foundation models for medical imaging applications. © 1982-2012 IEEE.",3D Reconstruction; Coronary Angiography; Correspondence Matching; Diffusion Model; Foundation Model,Article,aip,,Scopus,2-s2.0-105019985964
"Bao, S.; Wang, Y.; Rudravaram, G.; Zhang, R.; Deng, R.; Yu, X.; Gao, C.; Li, J.; Li, Y.; Roland, J.T.; Zuo, L.; Liu, Q.; Lau, K.S.; Coburn, L.A.; Wilson, K.T.; Landman, B.A.; Huo, Y.","Bao, Shunxing (57189987093); Wang, Yaohong (55734196100); Rudravaram, Gaurav (57442300300); Zhang, Rendong (58119414700); Deng, Ruining (57219448253); Yu, Xin (57309160700); Gao, Chenyu (57363597800); Li, Jia (57223877581); Li, Yike (50061507600); Roland, Joseph T. (8094809800); Zuo, Lianrui (57202855256); Liu, Qi (57071806700); Lau, Ken S. (7401560116); Coburn, Lori A. (6603410655); Wilson, Keith Tucker (57202597534); Landman, Bennett Allan (16679175200); Huo, Yuankai (56830058500)",57189987093; 55734196100; 57442300300; 58119414700; 57219448253; 57309160700; 57363597800; 57223877581; 50061507600; 8094809800; 57202855256; 57071806700; 7401560116; 6603410655; 57202597534; 16679175200; 56830058500,Quantitative Analysis of Colonic Epithelial Cell Aging in a Cell-cycle like Model: Changes in Nucleus and Cytoplasm Along the Crypt Axis,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13413,,134130U,,,0,10.1117/12.3047344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004789553&doi=10.1117%2F12.3047344&partnerID=40&md5=201f3229fab6b0b8552bbba31cff6e70,"Understanding epithelial cell aging in bowel tissue can provide critical insights into gastrointestinal (GI) health, potentially leading to improved diagnosis, treatment, and prevention strategies for various GI conditions. Despite the significance of cellular aging in the GI tract, previous studies have not quantified epithelial cell maturity development along the base-to-surface axis of colon crypts due to the labor-intensive nature of manual quantification and the lack of a clear definition of cellular age. Moreover, the process faces tremendous challenges when tissue is cut in 2D and examines results solely from one or a few biopsy cuts without reconstructing the full 3D space, as the original cell structure is 3D, leading to variability based on the cut angle. This research addresses these challenges by systematically analyzing the relationship between epithelial cell morphology and their position from the base to the surface in colon crypt tissue. Our approach involves using multiplex immunofluorescence (MxIF) imaging for cell nuclei segmentation, identifying the potential full longitudinal cut, and manually annotating the surface and base of the colon crypts. By analyzing the epithelial cells, we create density maps to investigate the relationship between nucleus size and the surface-to-base distance ratio, defining this ratio as cell age. We also examine the nucleus-to-cytoplasm (N/C) ratio in relation to cell age. For the statistical analysis, we use a robust linear regression model to remove outliers and a random effects model for the final regression. Our results show a decreasing trend in both the N/C ratio and nucleus size as epithelial cells move from the base to the surface. These findings provide a quantitative pipeline for single-cell profiling in a spatial manner, facilitating broader analysis of epithelial cell aging and its implications for GI health. © 2025 SPIE.",,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105004789553
"Zuo, L.; Xu, K.; Su, D.; Yu, X.; Krishnan, A.R.; Liu, Y.; Bao, S.; Li, T.; Sandler, K.L.; Maldonado, F.; Landman, B.A.","Zuo, Lianrui (57202855256); Xu, Kaiwen (57218363938); Su, Dingjie (57226243757); Yu, Xin (57309160700); Krishnan, Aravind R. (58195099100); Liu, Yihao (57202381977); Bao, Shunxing (57189987093); Li, Thomas Z. (57557667700); Sandler, Kim Lori (57188931283); Maldonado, Fabien (23012782200); Landman, Bennett Allan (16679175200)",57202855256; 57218363938; 57226243757; 57309160700; 58195099100; 57202381977; 57189987093; 57557667700; 57188931283; 23012782200; 16679175200,Beyond the Lungs: Extending the Field of View in Chest CT with Latent Diffusion Models,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060J,,,0,10.1117/12.3047271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004575595&doi=10.1117%2F12.3047271&partnerID=40&md5=edcd47909b1d61b3900b197584f88831,"The interconnection between the human lungs and other organs, such as the liver and kidneys, is crucial for understanding the underlying risks and effects of lung diseases and improving patient care. However, most research chest CT imaging is focused solely on the lungs due to considerations of cost and radiation dose. This restricted field of view (FOV) in the acquired images poses challenges to comprehensive analysis and hinders the ability to gain insights into the impact of lung diseases on other organs. To address this, we propose SCOPE (Spatial Coverage Optimization with Prior Encoding), a novel approach to capture the inter-organ relationships from CT images and extend the FOV of chest CT images. Our approach first trains a variational autoencoder (VAE) to encode 2D axial CT slices individually, then stacks the latent representations of the VAE to form a 3D context for training a latent diffusion model. Once trained, our approach extends the FOV of CT images in the z-direction by generating new axial slices in a zero-shot manner. We evaluated our approach on the National Lung Screening Trial (NLST) dataset, and results suggest that it effectively extends the FOV to include the liver and kidneys, which are not completely covered in the original NLST data acquisition. Quantitative results on a held-out whole-body dataset demonstrate that the generated slices exhibit high fidelity with acquired data, achieving an SSIM of 0.81. © 2025 SPIE.",CT; Image synthesis; Latent diffusion; Lung,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004575595
"Zuo, L.; Yu, X.; Su, D.; Xu, K.; Krishnan, A.R.; Liu, Y.; Bao, S.; Maldonado, F.; Ferrucci, L.; Landman, B.A.","Zuo, Lianrui (57202855256); Yu, Xin (57309160700); Su, Dingjie (57226243757); Xu, Kaiwen (57218363938); Krishnan, Aravind R. (58195099100); Liu, Yihao (57202381977); Bao, Shunxing (57189987093); Maldonado, Fabien (23012782200); Ferrucci, Luigi G. (55239601400); Landman, Bennett Allan (16679175200)",57202855256; 57309160700; 57226243757; 57218363938; 58195099100; 57202381977; 57189987093; 23012782200; 55239601400; 16679175200,Robust Body Composition Analysis by Generating 3D CT Volumes from Limited 2D Slices,2025,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,13406,,134060H,,,0,10.1117/12.3047039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004575180&doi=10.1117%2F12.3047039&partnerID=40&md5=78c16659284780218c5e3a19f235539d,"Body composition analysis provides valuable insights into aging, disease progression, and overall health conditions. Due to concerns of radiation exposure, two-dimensional (2D) single-slice computed tomography (CT) imaging has been used repeatedly for body composition analysis. However, this approach introduces significant spatial variability that can impact the accuracy and robustness of the analysis. To mitigate this issue and facilitate body composition analysis, this paper presents a novel method to generate 3D CT volumes from limited number of 2D slices using a latent diffusion model (LDM). Our approach first maps 2D slices into a latent representation space using a variational autoencoder. An LDM is then trained to capture the 3D context of a stack of these latent representations. To accurately interpolate intermediate slices and construct a full 3D volume, we utilize body part regression to determine the spatial location and distance between the acquired slices. Experiments on both in-house and public 3D abdominal CT datasets demonstrate that the proposed method significantly enhances body composition analysis compared to traditional 2D-based analysis, with a reduced error rate from 23.3% to 15.2%. © 2025 SPIE.",Body composition; CT; Image synthesis; Imputation; Latent diffusion,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105004575180
"Lee, H.H.; Saunders, A.M.; Kim, M.E.; Remedios, S.W.; Remedios, L.W.; Tang, Y.; Yang, Q.; Yu, X.; Bao, S.; Cho, C.; Mawn, L.A.; Rex, T.S.; Schey, K.L.; Dewey, B.E.; Spraggins, J.M.; Prince, J.L.; Huo, Y.; Landman, B.A.","Lee, Hohin (57219409783); Saunders, Adam M. (58325980600); Kim, Michael E. (58290603100); Remedios, Samuel W. (57201854184); Remedios, Lucas W. (57226830336); Tang, Yucheng (57212614566); Yang, Qi (58653285300); Yu, Xin (57309160700); Bao, Shunxing (57189987093); Cho, Chloe (59230707700); Mawn, Louise A. (6701407030); Rex, T. S. (36882328300); Schey, Kevin L. (7004041829); Dewey, Blake E. (56963777300); Spraggins, Jeffrey M. (6507478607); Prince, Jerry L. (56600943200); Huo, Yuankai (56830058500); Landman, Bennett Allan (16679175200)",57219409783; 58325980600; 58290603100; 57201854184; 57226830336; 57212614566; 58653285300; 57309160700; 57189987093; 59230707700; 6701407030; 36882328300; 7004041829; 56963777300; 6507478607; 56600943200; 56830058500; 16679175200,Super-resolution multi-contrast unbiased eye atlases with deep probabilistic refinement,2024,Journal of Medical Imaging,11,6,064004,,,0,10.1117/1.JMI.11.6.064004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214122590&doi=10.1117%2F1.JMI.11.6.064004&partnerID=40&md5=cfff75ab5860378b047c4f6f5a68b022,"Purpose: Eye morphology varies significantly across the population, especially for the orbit and optic nerve. These variations limit the feasibility and robustness of generalizing population-wise features of eye organs to an unbiased spatial reference. Approach: To tackle these limitations, we propose a process for creating high-resolution unbiased eye atlases. First, to restore spatial details from scans with a low through-plane resolution compared with a high in-plane resolution, we apply a deep learning-based super-resolution algorithm. Then, we generate an initial unbiased reference with an iterative metric-based registration using a small portion of subject scans. We register the remaining scans to this template and refine the template using an unsupervised deep probabilistic approach that generates a more expansive deformation field to enhance the organ boundary alignment. We demonstrate this framework using magnetic resonance images across four different tissue contrasts, generating four atlases in separate spatial alignments. Results: When refining the template with sufficient subjects, we find a significant improvement using the Wilcoxon signed-rank test in the average Dice score across four labeled regions compared with a standard registration framework consisting of rigid, affine, and deformable transformations. These results highlight the effective alignment of eye organs and boundaries using our proposed process. Conclusions: By combining super-resolution preprocessing and deep probabilistic models, we address the challenge of generating an eye atlas to serve as a standardized reference across a largely variable population. © 2024 SPIE. All rights reserved.",deep learning; medical image registration; multi-contrast imaging; super-resolution; unbiased eye atlas,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85214122590
"Gao, C.; Yang, Q.; Kim, M.E.; Mohd Khairi, N.M.; Cai, L.Y.; Newlin, N.R.; Kanakaraj, P.; Remedios, L.W.; Krishnan, A.R.; Yu, X.; Yao, T.; Zhang, P.; Schilling, K.G.; Moyer, D.; Archer, D.; Resnick, S.; Landman, B.A.","Gao, Chenyu (57363597800); Yang, Qi (58653285300); Kim, Michael E. (58290603100); Mohd Khairi, Nazirah Mohd (57208887001); Cai, Leon Y. (57203145686); Newlin, Nancy R. (58133978900); Kanakaraj, Praitayini (57217029207); Remedios, Lucas W. (57226830336); Krishnan, Aravind R. (58195099100); Yu, Xin (57309160700); Yao, Tianyuan (57222525765); Zhang, Panpan (56397340300); Schilling, Kurt G. (56192036700); Moyer, Daniel C. (57117453900); Archer, Derek B. (55915833400); Resnick, Susan M. (7102831381); Landman, Bennett Allan (16679175200)",57363597800; 58653285300; 58290603100; 57208887001; 57203145686; 58133978900; 57217029207; 57226830336; 58195099100; 57309160700; 57222525765; 56397340300; 56192036700; 57117453900; 55915833400; 7102831381; 16679175200,Characterizing patterns of diffusion tensor imaging variance in aging brains,2024,Journal of Medical Imaging,11,4,,44007,,0,10.1117/1.JMI.11.4.044007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202978774&doi=10.1117%2F1.JMI.11.4.044007&partnerID=40&md5=8d3b25dde116ce048afd55032475051b,"Purpose: As large analyses merge data across sites, a deeper understanding of variance in statistical assessment across the sources of data becomes critical for valid analyses. Diffusion tensor imaging (DTI) exhibits spatially varying and correlated noise, so care must be taken with distributional assumptions. Here, we characterize the role of physiology, subject compliance, and the interaction of the subject with the scanner in the understanding of DTI variability, as modeled in the spatial variance of derived metrics in homogeneous regions. Approach: We analyze DTI data from 1035 subjects in the Baltimore Longitudinal Study of Aging, with ages ranging from 22.4 to 103 years old. For each subject, up to 12 longitudinal sessions were conducted. We assess the variance of DTI scalars within regions of interest (ROIs) defined by four segmentation methods and investigate the relationships between the variance and covariates, including baseline age, time from the baseline (referred to as ""interval""), motion, sex, and whether it is the first scan or the second scan in the session. Results: Covariate effects are heterogeneous and bilaterally symmetric across ROIs. Inter-session interval is positively related (p ≫ 0.001)to FA variance in the cuneus and occipital gyrus, but negatively (p ≫ 0.001) in the caudate nucleus. Males show significantly (p ≫ 0.001) higher FA variance in the right putamen, thalamus, body of the corpus callosum, and cingulate gyrus. In 62 out of 176 ROIs defined by the Eve type-1 atlas, an increase in motion is associated (p < 0.05) with a decrease in FA variance. Head motion increases during the rescan of DTI (Δμ = 0.045 mm per volume). Conclusions: The effects of each covariate on DTI variance and their relationships across ROIs are complex. Ultimately, we encourage researchers to include estimates of variance when sharing data and consider models of heteroscedasticity in analysis. This work provides a foundation for study planning to account for regional variations in metric variance. © The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License.",aging; brain; DTI; motion; variance,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85202978774
"Yu, X.; Yang, Q.; Tang, Y.; Gao, R.; Bao, S.; Cai, L.Y.; Lee, H.H.; Huo, Y.; Moore, A.Z.; Ferrucci, L.; Landman, B.A.","Yu, Xin (57309160700); Yang, Qi (58653285300); Tang, Yucheng (57212614566); Gao, Riqiang (57209643243); Bao, Shunxing (57189987093); Cai, Leon Y. (57203145686); Lee, Hohin (57219409783); Huo, Yuankai (56830058500); Moore, Ann Zenobia (24166833200); Ferrucci, Luigi G. (55239601400); Landman, Bennett Allan (16679175200)",57309160700; 58653285300; 57212614566; 57209643243; 57189987093; 57203145686; 57219409783; 56830058500; 24166833200; 55239601400; 16679175200,Deep conditional generative model for longitudinal single-slice abdominal computed tomography harmonization,2024,Journal of Medical Imaging,11,2,024008,,,2,10.1117/1.JMI.11.2.024008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192712467&doi=10.1117%2F1.JMI.11.2.024008&partnerID=40&md5=f4f441406dd5a3e379287e548b7368b8,"Purpose: Two-dimensional single-slice abdominal computed tomography (CT) provides a detailed tissue map with high resolution allowing quantitative characterization of relationships between health conditions and aging. However, longitudinal analysis of body composition changes using these scans is difficult due to positional variation between slices acquired in different years, which leads to different organs/ tissues being captured. Approach: To address this issue, we propose C-SliceGen, which takes an arbitrary axial slice in the abdominal region as a condition and generates a pre-defined vertebral level slice by estimating structural changes in the latent space. Results: Our experiments on 2608 volumetric CT data from two in-house datasets and 50 subjects from the 2015 Multi-Atlas Abdomen Labeling Challenge Beyond the Cranial Vault (BTCV) dataset demonstrate that our model can generate high-quality images that are realistic and similar. We further evaluate our method’s capability to harmonize longitudinal positional variation on 1033 subjects from the Baltimore longitudinal study of aging dataset, which contains longitudinal single abdominal slices, and confirmed that our method can harmonize the slice positional variance in terms of visceral fat area. Conclusion: This approach provides a promising direction for mapping slices from different vertebral levels to a target slice and reducing positional variance for single-slice longitudinal analysis. The source code is available at: https://github.com/MASILab/C-SliceGen. © The Authors. Published by SPIE.",abdominal slice generation; body composition; longitudinal data harmonization,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85192712467
"Tang, Y.; Liu, J.; Zhou, Z.; Yu, X.; Huo, Y.","Tang, Yucheng (57212614566); Liu, Jie (57225028469); Zhou, Zongwei (57201419561); Yu, Xin (57309160700); Huo, Yuankai (56830058500)",57212614566; 57225028469; 57201419561; 57309160700; 56830058500,Efficient 3D Representation Learning for Medical Image Analysis,2024,Deep Learning for 3D Vision: Algorithms and Applications,,,,399,437,0,10.1142/9789811286490_0011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210806423&doi=10.1142%2F9789811286490_0011&partnerID=40&md5=111198e6079007cd18f4e6d419467133,[No abstract available],,Book chapter,Final,,Scopus,2-s2.0-85210806423
"Bao, S.; Guo, J.; Lee, H.H.; Deng, R.; Cui, C.; Remedios, L.W.; Liu, Q.; Yang, Q.; Xu, K.; Yu, X.; Li, J.; Li, Y.; Roland, J.T.; Liu, Q.; Lau, K.S.; Wilson, K.T.; Coburn, L.A.; Landman, B.A.; Huo, Y.","Bao, Shunxing (57189987093); Guo, Junlin (58170992800); Lee, Hohin (57219409783); Deng, Ruining (57219448253); Cui, Can (57219469236); Remedios, Lucas W. (57226830336); Liu, Quan (57336485300); Yang, Qi (58653285300); Xu, Kaiwen (57218363938); Yu, Xin (57309160700); Li, Jia (57223877581); Li, Yike (50061507600); Roland, Joseph T. (8094809800); Liu, Qi (57071806700); Lau, Ken S. (7401560116); Wilson, Keith Tucker (57202597534); Coburn, Lori A. (6603410655); Landman, Bennett Allan (16679175200); Huo, Yuankai (56830058500)",57189987093; 58170992800; 57219409783; 57219448253; 57219469236; 57226830336; 57336485300; 58653285300; 57218363938; 57309160700; 57223877581; 50061507600; 8094809800; 57071806700; 7401560116; 57202597534; 6603410655; 16679175200; 56830058500,Mitigating Over-Saturated Fluorescence Images Through a Semi-Supervised Generative Adversarial Network,2024,Proceedings - International Symposium on Biomedical Imaging,,,,,,0,10.1109/ISBI56570.2024.10635687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203349111&doi=10.1109%2FISBI56570.2024.10635687&partnerID=40&md5=d9a818ca6267efeb2785eeba937450b7,"Multiplex immunofluorescence (MxIF) imaging is a critical tool in biomedical research, offering detailed insights into cell composition and spatial context. As an example, DAPI staining identifies cell nuclei, while CD20 staining helps segment cell membranes in MxIF. However, a persistent challenge in MxIF is saturation artifacts, which hinder single-cell level analysis in areas with over-saturated pixels. Traditional gamma correction methods for fixing saturation are limited, often incorrectly assuming uniform distribution of saturation, which is rarely the case in practice. This paper introduces a novel approach to correct saturation artifacts from a data-driven perspective. We introduce a two-stage, high-resolution hybrid generative adversarial network (HD-mixGAN), which merges unpaired (CycleGAN) and paired (pix2pixHD) network architectures. This approach is designed to capitalize on the available small-scale paired data and the more extensive unpaired data from costly MxIF data. Specifically, we generate pseudo-paired data from large-scale unpaired over-saturated datasets with a CycleGAN, and train a Pix2pixGAN using both small-scale real and large-scale synthetic data derived from multiple DAPI staining rounds in MxIF. This method was validated against various base-lines in a downstream nuclei detection task, improving the F1 score by 6% over the baseline. This is, to our knowledge, the first focused effort to address multi-round saturation in MxIF images, offering a specialized solution for enhancing cell analysis accuracy through improved image quality. The source code and implementation of the proposed method are available at https://github.com/MASILab/DAPIArtifactRemoval.git. © 2024 IEEE.",color saturation; Fluorescence; GAN,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85203349111
