author_id,author_file,themes,summary
Ancker_Jessica_55916074200,Ancker_Jessica_55916074200.csv,**Health Informatics and Technology**:; Development and evaluation of electronic health records (EHRs); Use of health information technology to improve healthcare quality and safety; Design and implementation of patient-facing visualizations of personal health data; Integration of health information exchange (HIE) data into EHRs; Use of predictive analytics in healthcare; **Patient Engagement and Empowerment**:; Patient access to electronic health records and personal health information; Patient portals and patient-generated health data (PGHD); Patient education and empowerment through health information technology; Patient-centered design of EHRs and HIE systems; **Health Disparities and Equity**:,"Dr. Jessica Ancker is a researcher focused on improving healthcare quality and safety through the effective use of health information technology. Her work has spanned multiple areas, including the development and evaluation of electronic health records (EHRs), patient-facing visualizations of personal health data, and the integration of health information exchange (HIE) data into EHRs. Over time, her research has evolved to address issues related to patient engagement and empowerment, such as patient access to electronic health records and personal health information, patient portals, and patient-generated health data.

Dr. Ancker's primary areas of expertise lie at the intersection of health informatics and patient-centered care. She has investigated the impact of health information technology on patient outcomes, satisfaction, and engagement, as well as the effectiveness of patient-centered design in EHRs and HIE systems. Her work also touches on issues of health disparities and equity, examining the ways in which health information technology can be used to reduce health inequities and improve access to care for vulnerable populations."
Anders_Shilo_21233283900,Anders_Shilo_21233283900.csv,"**Human-centered design and usability**: Many publications focus on designing and evaluating systems, tools, and interfaces that prioritize human needs, usability, and user experience in healthcare settings. Examples include human-centered design to address biases in AI, usability evaluations of electronic health records, and user-centered design in pediatric acute care settings.; **Healthcare technology and innovation**: The author explores various aspects of healthcare technology, including the impact of health information technology on quality and safety, the role of artificial intelligence and machine learning, and the development of new technologies such as voice input, telemedicine, and mobile applications.; **Patient safety and quality improvement**: Several publications focus on improving patient safety and quality of care through the design and implementation of new systems, tools, and processes. Examples include the use of checklists, debriefing, and simulation training to improve patient safety, and the development of risk models for suicide screening.; **; **Human Factors and Ergonomics**:; Studying the effects of new technologies on human behavior and performance in various settings (e.g., ICUs, operating rooms); Analyzing the interactions among multiple factors affecting patient safety; Developing and evaluating human-centered designs for healthcare technologies; **User Experience and Usability**:; Conducting usability testing and formative evaluations of healthcare technologies; Identifying usability issues and barriers to adoption; Applying user-centered design principles to develop effective healthcare solutions","Anders Shilo is a researcher with a multifaceted background in human-centered design, healthcare technology, and patient safety. Over time, their work has evolved to encompass various aspects of healthcare innovation, from designing and evaluating systems that prioritize human needs and usability to exploring the impact of emerging technologies like artificial intelligence and machine learning.

Their primary areas of expertise include Human Factors and Ergonomics, where they study the effects of new technologies on human behavior and performance in various settings, analyze interactions affecting patient safety, and develop human-centered designs for healthcare technologies. Additionally, they specialize in User Experience and Usability, conducting usability testing and formative evaluations of healthcare technologies, identifying usability issues, and applying user-centered design principles to create effective healthcare solutions. Their work aims to improve patient safety and quality of care through innovative approaches to healthcare technology and design."
Anderson_Adam_7403369918,Anderson_Adam_7403369918.csv,"**Brain Imaging and Neuroplasticity**:; Investigating how brain areas respond to expertise and familiarity (e.g., face recognition, greeble recognition).; Examining the role of the fusiform gyrus and occipital lobe in processing faces and objects.; Studying the neural basis of auditory/verbal hallucinations in schizophrenia.; **Diffusion Tensor Imaging (DTI)**:; Developing methods for measuring fiber orientation distributions and dispersion using DTI.; Validating DTI-based fiber tracking against histological data.; Investigating the effects of noise on DTI estimates.; **Functional Magnetic Resonance Imaging (fMRI)**:; Applying fMRI to study brain function and cognition in various populations (e.g., preterm infants, children with mathematical disabilities).; Exploring the neural basis of mathematical skills and numerical processing.; Investigating the neural mechanisms underlying auditory/verbal","Dr. Adam Anderson is a researcher with a strong background in brain imaging and neuroplasticity. His work has focused on understanding how the brain responds to expertise and familiarity, particularly in areas such as face recognition and object processing. He has also investigated the neural basis of auditory/verbal hallucinations in schizophrenia and the role of the fusiform gyrus and occipital lobe in these processes.

Over time, Dr. Anderson's research has expanded to include the application of diffusion tensor imaging (DTI), functional magnetic resonance imaging (fMRI), and other advanced MRI techniques to study brain structure and function in various populations, including children, older adults, and individuals with neurological disorders. His current research interests encompass the investigation of white matter microstructure and integrity, the development and validation of DTI-based methods for measuring white matter tracts and their relationships to cognition and behavior, and the examination of the relationship between white matter and cognitive decline in neurological conditions such as Alzheimer's disease."
Archer_Derek_55915833400,Archer_Derek_55915833400.csv,"**White matter microstructure and its association with various neurological conditions**: This theme encompasses research on the relationship between white matter microstructure and conditions such as Alzheimer's disease, Parkinson's disease, multiple system atrophy, and progressive supranuclear palsy.; **Diffusion MRI and its applications in neuroscience**: This theme includes studies on the use of diffusion MRI in understanding brain structure and function, including the development of new methods for analyzing diffusion MRI data and applying them to various neurological conditions.; **Brain aging and cognitive decline**: Research in this theme focuses on the changes in brain structure and function that occur with aging, including the relationship between white matter microstructure and cognitive decline.; **Harmonization and standardization of brain imaging data**: This theme involves the development of methods for harmonizing and standardizing brain imaging data across different sites and scanners, enabling the comparison of results across studies.; **Genetic factors and their influence on brain structure and function**: This theme explores the; **Brain Network Analysis**:; Connectome network metrics and their alteration implications in diseases such as Alzheimer's disease, multiple sclerosis, and traumatic brain injury.; Harmonization of connectome network measures.; Patterns of diffusion tensor imaging variance in aging brains.; **Diffusion MRI Analysis**:; Enhancement of diffusion MRI analysis beyond voxel and volumetric embedding using polyhedral encoding transformers.; Free water estimation and elimination in diffusion MRI using deep learning techniques.","Derek Archer is a researcher with a diverse background in neuroimaging and neuroscience. Over the course of his career, he has shifted his focus from studying the application of diffusion MRI in understanding brain structure and function to exploring the complex relationships between white matter microstructure, brain aging, and cognitive decline. His work has also delved into the harmonization and standardization of brain imaging data, allowing for more accurate comparisons across studies.

Archer's current research primarily revolves around brain network analysis, particularly the examination of connectome network metrics in relation to neurological conditions such as Alzheimer's disease, multiple sclerosis, and traumatic brain injury. He is also actively involved in developing novel methods for diffusion MRI analysis, leveraging deep learning techniques to enhance image quality and uncover subtle details about brain microstructure and connectivity."
Bao_Shunxing_57189987093,Bao_Shunxing_57189987093.csv,"**Deep Learning for Medical Image Segmentation**:; Application of deep learning techniques such as convolutional neural networks (CNNs), generative adversarial networks (GANs), and transformers for medical image segmentation.; Use of synthetic data generation for improving generalizability of segmentation models.; Development of novel architectures and techniques for efficient and accurate segmentation, such as hierarchical transformers and large kernel convolutions.; **Medical Image Analysis and Interpretation**:; Analysis of medical images for diagnosing and monitoring various diseases, including lung cancer, Crohn's disease, and splenomegaly.; Development of methods for image segmentation, feature extraction, and pattern recognition.; Use of machine learning and deep learning techniques for image classification, regression, and clustering.; **Computer Vision and Image Processing**:; Application of computer vision techniques for image processing, feature extraction, and object detection.; Development of methods for image denoising,; **Medical Image Processing**:","Dr. Shunxing Bao is a researcher with a strong background in computer science and engineering. Over the course of their career, Dr. Bao has demonstrated an evolving focus on applying artificial intelligence and deep learning techniques to medical image analysis and interpretation. Initially, their work centered around developing novel architectures and methods for efficient and accurate medical image segmentation using deep learning approaches such as CNNs, GANs, and transformers. They have also explored the use of synthetic data generation to improve model generalizability.

As their research progressed, Dr. Bao expanded their scope to encompass broader applications of computer vision and image processing, including image denoising, object detection, and feature extraction. Their work now spans multiple areas, including medical image processing, deep learning, and biomedical imaging and analysis. With expertise in both theoretical foundations and practical implementation, Dr. Bao continues to contribute to the development of innovative solutions for medical image analysis and interpretation, leveraging techniques such as transfer learning, domain adaptation, and topological data analysis."
Bayrak_Roza_57204806278,Bayrak_Roza_57204806278.csv,**Diffusion MRI and White Matter Analysis**:; White matter bundle segmentation and tractography; Diffusion weighted MRI (DWMRI); Tractography dissection variability; Anatomical differences between subjects and human rater subjectivity in labeling; Accurate quantification of the apparent diffusion coefficient (ADC); **Functional MRI and Physiological Signals**:; Influence of systemic physiological processes on fMRI signals; Extraction of respiratory variation signals from fMRI data; Reconstruction of physiological signals from fMRI data; Modeling of fMRI signals interacting with physiological dynamics; **Machine Learning and Image Analysis**:,"Roza Bayrak is a researcher with a diverse range of interests in medical imaging and its applications to brain function and structure. Initially focusing on diffusion MRI and white matter analysis, her work has spanned topics such as white matter bundle segmentation and tractography, diffusion-weighted MRI, and accurate quantification of the apparent diffusion coefficient (ADC). Over time, her research has expanded to incorporate functional MRI and physiological signals, including the influence of systemic physiological processes on fMRI signals and the extraction of respiratory variation signals from fMRI data.

In recent years, Roza's research has also explored the intersection of machine learning and image analysis, applying techniques like deep learning and convolutional neural networks to analyze high-dimensional functional neuroimaging data and learn 3D white matter microstructure from 2D histology. Her work continues to investigate how brain-body interactions can be understood through advanced imaging modalities, contributing to a deeper understanding of brain function and behavior."
Belzil_Veronique_35098119100,Belzil_Veronique_35098119100.csv,"**Amyotrophic Lateral Sclerosis (ALS)**:; Investigation of genetic causes and mutations (e.g., FUS, TARDBP, C9ORF72); Study of ALS symptoms, diagnosis, and prognosis; Examination of ALS-related epigenetic modifications and gene expression changes; Development of biomarkers for ALS diagnosis and monitoring; **Frontotemporal Dementia (FTD)**:; Exploration of genetic links between ALS and FTD; Investigation of shared underlying mechanisms and pathways; Examination of epigenetic modifications and gene expression changes in FTD; Development of biomarkers for FTD diagnosis and monitoring; **Epigenetics and Gene Expression**:; Study of epigenetic modifications (e.g., DNA methylation, histone methylation) in ALS and FTD","Dr. Veronique Belzil is a researcher with a long-standing interest in neurodegenerative diseases, particularly Amyotrophic Lateral Sclerosis (ALS) and Frontotemporal Dementia (FTD). Her work has focused on understanding the genetic underpinnings of these conditions, including the role of specific genes such as FUS, TARDBP, and C9ORF72. Over time, her research has expanded to encompass the examination of epigenetic modifications and gene expression changes associated with ALS and FTD.

As her research evolved, Dr. Belzil's attention turned to exploring the connections between ALS and FTD, investigating shared underlying mechanisms and pathways that contribute to both diseases. She continues to investigate epigenetic modifications, such as DNA methylation and histone methylation, and their impact on gene expression in these conditions. Additionally, she is working towards developing biomarkers for early diagnosis and monitoring of ALS and FTD, aiming to improve patient outcomes and treatment strategies."
Bhansali_Shekhar_7006527220,Bhansali_Shekhar_7006527220.csv,"**Biosensors and Bioelectronics**:; Development of biosensors for various applications (e.g., cortisol, glucose, lactate, etc.); Use of different materials (e.g., ZnO, Au, CNTs, PANI, etc.) for biosensor construction; Integration of biosensors with microfluidics and microelectrodes; Point-of-care (POC) and wearable biosensors for healthcare monitoring; **Electrochemical Sensing and Analysis**:; Electrochemical techniques (e.g., cyclic voltammetry, impedance spectroscopy, etc.) for biosensing; Development of electrochemical biosensors for various targets (e.g., cortisol, glucose, etc.); Use of molecularly imprinted polymers (MIPs) for biosensing; Optimization of electrode geometry and materials for improved biosensing performance; **Materials Science and Nanotechnology**:; Synthesis and","Shekhar Bhansali is a researcher with a strong background in developing innovative biosensors and electrochemical sensing technologies. Over the course of his career, his research focus has evolved to encompass various aspects of biosensing, including the development of biosensors for diverse applications, integration of nanomaterials for enhanced sensitivity and selectivity, and the application of biosensors in point-of-care diagnostics and disease detection.

His primary areas of expertise lie at the intersection of biosensors, bioelectronics, and materials science. He has explored the use of electrochemical methods, micro/nanostructures, and nanomaterials for biosensing applications, as well as the development of novel fabrication techniques and characterization methods for creating micro/nanostructures. His work has also delved into the investigation of nanomaterials and their properties, as well as the exploration of energy harvesting techniques and biomedical applications of these technologies."
Biswas_Gautam_57211726890,Biswas_Gautam_57211726890.csv,"**Computational Thinking and Education**:; Developing computational thinking in students through various methods and applications, such as agent-based modeling, simulations, and visual programming.; Investigating the effectiveness of computational thinking in science and math education.; Creating learning environments that integrate computational thinking with science, technology, engineering, and mathematics (STEM) subjects.; **Learning by Teaching and Adaptive Scaffolding**:; Designing learning environments that utilize the ""teach-to-learn"" principle, where students learn by teaching a virtual agent or peer.; Implementing adaptive scaffolding techniques to support self-regulated learning and metacognition.; Analyzing the impact of adaptive scaffolding on student learning outcomes and behaviors.; **Fault Diagnosis and Prognosis**:; Developing model-based diagnosis and prognosis methods for complex systems, including hybrid systems and cyber-physical systems.; Investigating the use of machine learning and data-driven approaches for fault diagnosis; **Fault Diagnosis and Isolation**:","Dr. Gautam Biswas is an expert in the intersection of computer science, education, and engineering. His research focuses on developing innovative methods to promote computational thinking in students, particularly in science, technology, engineering, and mathematics (STEM) subjects. Over the course of his career, Dr. Biswas has explored various approaches to computational thinking education, including agent-based modeling, simulations, and visual programming. He has also investigated the effectiveness of computational thinking in enhancing student learning outcomes and behaviors.

In addition to his work in educational computing, Dr. Biswas has made significant contributions to the field of fault diagnosis and prognosis, developing model-based diagnosis and prognosis methods for complex systems, including hybrid systems and cyber-physical systems. His research has also touched on machine learning and data-driven approaches for fault diagnosis and system health management. With a strong background in artificial intelligence and machine learning, Dr. Biswas continues to investigate the application of these technologies in various domains, including education, healthcare, and energy management."
Bodenheimer_Bobby_56133948600,Bodenheimer_Bobby_56133948600.csv,"**Motion and Navigation in Virtual Environments**:; Studying motion transitions and their impact on navigation in virtual environments (e.g., efficient generation of motion transitions, evaluating walking in place methods).; Investigating the role of physical movements (locomotion) in navigating virtual environments (e.g., walking, rotating, jumping).; Examining the influence of virtual avatars on navigation and locomotion in immersive virtual environments.; **Distance Perception and Spatial Awareness**:; Understanding how people estimate distances in virtual environments (e.g., using bisection, scaled translational gain).; Investigating the impact of head-mounted displays (HMDs) on distance perception in virtual environments.; Analyzing the relationship between distance perception and spatial awareness in virtual environments.; **Human-Centered Computing and Interaction Design**:; Developing methods for creating interactive virtual environments that take into account human perception and cognition (e.g., designing interfaces for teachable; **Virtual Reality and Perception**:; Studying the effects of immersive virtual environments on human perception, including distance estimation, affordance judgments, and spatial awareness.","Bobby Bodenheimer is a researcher focused on understanding human behavior and interaction within virtual environments. His work has evolved over time to encompass various aspects of virtual reality, including motion and navigation, distance perception, and human-centered computing. Initially, his research concentrated on the impact of physical movements on navigation in virtual spaces, examining topics like walking in place methods and the influence of virtual avatars. 

As his research progressed, he expanded his scope to investigate the broader implications of virtual reality on human perception and cognition. This includes studying distance estimation, spatial awareness, and the effects of head-mounted displays on these processes. Additionally, he has explored the design of interactive virtual environments that consider human perception and cognition, aiming to improve user experience and interaction in immersive settings."
