record_id,first_name,last_name,scopus,orcid,internal_accounting_complete
1,Yuankai,Huo,56830058500,,2
2,Maizie,Zhou,58250125100,,2
3,Brett,Byram,24479731200,,2
4,Karthik,Ramadass,57221294056,,2
5,Nazirah,Mohd Khairi,57208887001,,2
6,Praitayini ,Kanakaraj,57217029207,,2
7,Bennett,Landman,16679175200,,2
8,Greyson,Wintergerst,,0009000215289495,2
9,Lianrui,Zuo,57202855256,,2
11,Ruining,Deng,57219448253,,2
13,Tianyuan,Yao,57222525765,,2
14,Yunfei,Hu,57223201246,,2
15,Juming,Xiong,58550762500,,2
16,Isabella (Manfei) ,Xie,58946221500,,2
17,Yichen,Liu,,0009000978171081,2
18,Elyssa,McMaster,59912653900,,2
19,Adam,Saunders,58325980600,,2
20,Yehyun,Suh,58643930300,,2
21,Jongyeon,Yoon,59794313200,,2
22,Junlin,Guo,58170992800,,2
23,Kuan-I,Chung,,0000-0003-1537-004X,2
24,Chloe,Cho,57204478955,,2
25,Ying-Chun,Pan,57215840981,,2
26,Yurui,Gao,56163925700,,2
28,Roza,Bayrak,57204806278,,2
29,Yamin,Li,57214236515,,2
30,Nancy,Newlin,58133978900,,2
31,Siegfried,Schlunk,57200091816,,2
32,Lucas,Remedios,57226830336,,2
33,Aravind,Krishnan,58195099100,,2
34,Gaurav,Rudravaram,57442300300,,2
35,Xin,Yu,57309160700,,2
36,Michael,Kim,58290603100,,2
37,Shunxing,Bao,57189987093,,2
38,Can,Cui,57219469236,,2
39,Mingxing,Rao,58946721400,,2
40,Marilyn,Lionts,58886284600,,2
42,Ken,Lau,7401560116,,2
43,Yu,Huang,57188585234,,2
44,Christopher,Khan,57213141462,,2
46,Steven ,Wernke,16069400900,,2
47,Lening,Cui,,0009-0000-0349-5123,2
51,Chenyu,Gao,57363597800,,2
52,Gautam,Biswas,57211726890,,2
53,Eric,Tkaczyk,13104961300,,2
54,Yihao,Liu,57202381977,,2
55,Soheil,Kolouri,55497793500,,2
56,Vishwesh,Nath,57194026100,,2
59,Rui,Li,55686513800,,2
62,Camila,Romero,,0009-0008-6722-7812,2
63,Laurie,Novak,24171474300,,2
64,Shilo,Anders,21233283900,,2
66,Paula,Trujillo,57038630300,,2
68,Brandon,Soubasis,57193345634,,2
69,Cleiver,Ruiz Martinez,,0009-0000-8691-6711,2
70,Jingyi,Zhu,57201700580,,2
72,Andre,Teixeira da Silva Hucke,59173658700,,2
75,Abayomi,Opadele,,0009-0000-7593-2791,2
77,Tao,Hong,,0000-0002-2990-8771,2
78,Xinqiang,Yan,56079070000,,2
79,Zhiyuan,Li,59144471700,,2
80,Xiao,Li,57205028092,,2
82,Jessica,Ancker,55916074200,,2
84,Manish,Kota,,0009-0005-3780-3506,2
86,Trent,Schwartz,58785696800,,2
88,Qingyun,Yang,59912015400,,2
89,Mikail,Rubinov ,26028456500,,2
90,Jacob ,Franklin,59140283400,,2
91,Andie,DeFreese,,0000-0001-6636-8906,2
92,Cameron,Pattison,,0009-0009-6009-9157,2
93,Tyler,Derr,57198886641,,2
95,Ismail,Kurun,58073216300,,2
96,Keivan,Stassun,6602807413,,2
97,Neda,Sardaripour,57477043100,,2
98,Nick,Lord,57218632790,,2
100,Mingyang,Jiang,,0009-0008-7676-3051,2
101,Surat,Kulapatana,58659793200,,2
102,Chongyu,Qu,58311576300,,2
103,Preston,Robinette,57218558379,,2
104,Kun ,Qiu,,0009-0007-6216-8553,2
105,Alan,Peters,7401442416,,2
106,Junchao,Zhu,59305966400,,2
107,Yuechen,Yang,59530872600,,2
108,Min,Liu,,0009-0002-7519-4949,2
109,Thomas,Li,57557667700,,2
110,Reed,Omary,7004196006,,2
112,Adam,Anderson,7403369918,,2
113,Jie Ying,Wu,57207823155,,2
114,Juan,Rojas,36868704800,,2
115,Laurie,Cutting,6603345531,,2
116,Fabien,Maldonado,23012782200,,2
117,John Jeffrey,Carr,55792206400,,2
118,Jonathan,Martin,57613540200,,2
119,Jed,Kumah,,0009-0007-4301-7688,2
120,J.B.,Ruhl,7005543121,,2
121,Sung Jun,Han,,0009-0008-9482-0312,2
122,Yayun,Du,57217196426,,2
123,Kristin,O'Grady,57202653402,,2
124,Justus,Ndukaife,55930117200,,2
125,Bruno,Hidalgo Monroy Lerma,59919121000,,2
126,Mary Ellen,Koran,55425645200,,2
132,Can,Luo,57222656743,,2
133,Veronique,Belzil,35098119100,,2
134,Derek,Archer,55915833400,,2
135,Zhengyi,Lu,59330275800,,2
136,James,Zainaldin,57195773759,,2
137,Kurt,Schilling,56192036700,,2
139,Shekhar ,Bhansali,7006527220,,2
140,Clair (Min Kyung),Hong,57212390821,,2
141,Katherine,Van Schaik,36519777200,,2
142,Catie,Chang,56561973300,,2
143,Daniel,Moyer,57117453900,,2
144,Lily,Gao,59506219800,,2
145,Brandon,Swartz,58510691100,,2
146,Riqiang,Gao,57209643243,,2
147,Shelagh,Mulvaney,7003561781,,2
148,Kevin,Sexton,54586054300,,2
149,Charlotte,Sappo,57196261544,,2
151,Yikun,Bai,57218847504,,2
152,John,Han,,0009-0009-8978-2822,2
153,Xinran,Liu,57383255300,,2
155,Marco,Barbero Mota,,0000-0002-7387-1590,2
156,Shansita,Sharma,,0009-0008-4056-4712,2
157,Chandreyee,Bhowmick,57190392568,,2
158,Hannah,Slater,,0000-0002-2910-3420,2
159,Harsimran,Kaur,58115164100,,2
160,Sajal,Islam,58279591300,,2
161,Kaiwen,Shi,59469149900,,2
162,Tonnar,Castellano,59212418800,,2
164,Allan,Peetz,36710553200,,2
165,Chang,Li,60126848100,,2
166,Luca,Bonomi,55522738500,,2
167,Wei-Qi,Wei,57212895740,,2
168,Hao,Li,57224913502,,2
170,Bobby,Bodenheimer,56133948600,,2
171,Yanfan,Zhu,59299811600,,2
173,Jeff,Neul,9269111500,,2
176,Justin,Shi,,0009-0007-3132-0890,2
178,James,Dewar,7006640348,,2
179,Emily,Harriott,57220895291,,2
183,Megan,Wang,,0009-0005-2619-9876,2
184,Laurie,Cutting,6603345531,,2
185,Ashkan,Shahbazi,58485449800,,2
187,Anish,Kammila,,0009-0004-4091-1930,2
188,Gabriella,Taylor,,0009-0000-4451-2380,2
189,David,Barrutia,,0009-0007-8300-9658,2
190,Denise,Shkurovich,,0009-0007-2642-3625,2
191,Ema,Topolnjak,59132415800,,2
192,Bridget,Litts,,0000-0001-8647-4677,2
